airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
gls,0,path,,UNLABELED,243.81,130.44,310.59,78.36,66.78,52.08,3477.9035,467.026,172.7334,277.2,104.4,1.2823,25,1,0,1,rgb,207,207,207,0,none,,,,0.0,34.5626,50.7849,35.496,67.0633,0.0,594.0,387.36,0.0,1121.295
gls,1,path,,UNLABELED,141.64,338.22,238.57,323.48,96.93,14.74,1428.7474,546.5666,200.2584,190.105,330.85,6.576,23,1,0,1,rgb,207,207,207,0,none,,,,0.0,177.3322,134.1642,176.2922,91.0806,0.0,594.0,387.36,0.0,967.8875
gls,2,compound,,UNLABELED,31.28,505.26,361.44,127.14,330.16,378.12,124840.099,18571.7874,2602.4953,196.36,316.2,0.8732,236,3,0,1,rgb,207,207,207,0,none,,,,0.0,118.8613,3.926,13.6189,283.6966,0.0,594.0,387.36,0.0,71841.0372
gls,3,path,,UNLABELED,256.43,485.01,278.05,461.38,21.62,23.63,510.8806,510.8806,90.5,267.24,473.195,0.9149,5,1,0,0,none,,,,1,rgb,0,0,0,0.39,120.9468,1.4637,90.0,23.63,0.0,594.0,387.36,0.0,510.8806
gls,4,compound,,UNLABELED,136.92,185.77,140.07,180.92,3.15,4.85,15.2776,5.7213,22.4409,138.495,183.345,0.6495,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0036,2.6322,112.3075,0.4215,0.0,594.0,387.36,0.0,12.1817
gls,5,path,,UNLABELED,140.81,181.6,141.49,180.92,0.68,0.68,0.4624,0.353,2.1208,141.15,181.26,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.4954,1.0975,12.0943,0.1432,0.0,594.0,387.36,0.0,0.353
gls,6,path,,UNLABELED,142.8,185.6,144.11,181.0,1.31,4.6,6.026,2.6749,11.5968,143.455,183.3,0.2848,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,95.2736,22.9109,90.0,4.6,0.0,594.0,387.36,0.0,4.3109
gls,7,compound,,UNLABELED,145.88,185.61,147.96,183.54,2.08,2.07,4.3056,2.4114,10.0279,146.92,184.575,1.0048,34,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.1553,1.126,169.4624,0.4374,0.0,594.0,387.36,0.0,3.363
gls,8,path,,UNLABELED,149.91,185.77,156.38,180.83,6.47,4.94,31.9618,9.0344,33.0821,153.145,183.3,1.3097,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,153.044,1.2652,112.029,5.1457,0.0,594.0,387.36,0.0,22.2296
gls,9,compound,,UNLABELED,108.16,192.14,112.59,187.3,4.43,4.84,21.4413,5.9919,22.3831,110.375,189.72,0.9153,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.3087,1.2399,114.6398,5.3249,0.0,594.0,387.36,0.0,10.7207
gls,10,path,,UNLABELED,112.98,192.12,116.98,187.11,4.0,5.01,20.04,7.4866,27.5524,114.98,189.615,0.7984,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.7502,1.7664,132.9748,5.0024,0.0,594.0,387.36,0.0,19.22
gls,11,path,,UNLABELED,117.79,192.12,121.79,187.11,4.0,5.01,20.04,7.4874,27.5525,119.79,189.615,0.7984,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.7082,1.7662,132.8909,4.9956,0.0,594.0,387.36,0.0,19.22
gls,12,path,,UNLABELED,122.52,191.9,125.92,187.22,3.4,4.68,15.912,6.0315,22.1187,124.22,189.56,0.7265,51,1,0,1,rgb,0,0,0,0,none,,,,0.0,105.4284,1.3754,90.0,2.9,0.0,594.0,387.36,0.0,14.7268
gls,13,compound,,UNLABELED,126.19,192.14,130.62,187.3,4.43,4.84,21.4413,5.9859,22.377,128.405,189.72,0.9153,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.8146,1.2385,65.3602,5.3249,0.0,594.0,387.36,0.0,10.7206
gls,14,path,,UNLABELED,131.01,191.9,133.01,187.3,2.0,4.6,9.2,3.474,13.2,132.01,189.6,0.4348,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,100.4862,10.2887,90.0,4.6,0.0,594.0,387.36,0.0,6.337
gls,15,compound,,UNLABELED,135.14,191.9,138.05,187.3,2.91,4.6,13.3859,6.4582,23.5092,136.595,189.6,0.6326,45,2,0,1,rgb,0,0,0,0,none,,,,0.0,92.0678,3.0608,90.0,4.6,0.0,594.0,387.36,0.0,11.9767
gls,16,compound,,UNLABELED,137.96,192.14,142.39,187.3,4.43,4.84,21.4413,5.9859,22.377,140.175,189.72,0.9153,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.8146,1.2385,65.3602,5.3249,0.0,594.0,387.36,0.0,10.7206
gls,17,path,,UNLABELED,142.37,191.9,145.16,187.3,2.79,4.6,12.8341,3.877,14.78,143.765,189.6,0.6065,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.2583,3.441,90.0,4.09,0.0,594.0,387.36,0.0,8.3555
gls,18,path,,UNLABELED,145.58,191.9,148.08,187.3,2.5,4.6,11.5,5.6248,21.72,146.83,189.6,0.5435,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,82.4761,2.6667,90.0,4.6,0.0,594.0,387.36,0.0,11.5
gls,19,compound,,UNLABELED,150.2,192.07,155.05,187.22,4.85,4.85,23.5225,7.4919,27.0443,152.625,189.645,1.0,114,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.8533,1.0724,117.2539,0.3712,0.0,594.0,387.36,0.0,18.5108
gls,20,path,,UNLABELED,155.62,191.9,157.87,187.3,2.25,4.6,10.35,4.3817,16.92,156.745,189.6,0.4891,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,72.0073,3.9303,90.0,4.6,0.0,594.0,387.36,0.0,8.3388
gls,21,path,,UNLABELED,160.04,192.07,163.68,187.22,3.64,4.85,17.6539,5.1012,20.0651,161.86,189.645,0.7505,75,1,0,1,rgb,0,0,0,0,none,,,,0.0,87.3152,2.3139,90.0,0.69,0.0,594.0,387.36,0.0,14.8791
gls,22,path,,UNLABELED,164.35,191.9,167.67,187.3,3.32,4.6,15.272,6.5603,24.02,166.01,189.6,0.7217,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.9715,2.0244,90.0,4.6,0.0,594.0,387.36,0.0,15.272
gls,23,compound,,UNLABELED,167.97,192.14,172.4,187.3,4.43,4.84,21.4413,5.9859,22.377,170.185,189.72,0.9153,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.8146,1.2385,65.3602,5.3249,0.0,594.0,387.36,0.0,10.7206
gls,24,path,,UNLABELED,172.79,192.12,176.79,187.11,4.0,5.01,20.04,7.4874,27.5525,174.79,189.615,0.7984,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.7082,1.7662,132.8908,4.9956,0.0,594.0,387.36,0.0,19.22
gls,25,path,,UNLABELED,177.35,192.07,181.78,187.22,4.43,4.85,21.4856,7.0537,26.8671,179.565,189.645,0.9134,100,1,0,1,rgb,0,0,0,0,none,,,,0.0,97.4357,1.4415,0.0,1.77,0.0,594.0,387.36,0.0,17.1855
gls,26,path,,UNLABELED,182.39,191.9,184.89,187.3,2.5,4.6,11.5,5.6248,21.72,183.64,189.6,0.5435,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,82.4761,2.6667,90.0,4.6,0.0,594.0,387.36,0.0,11.5
gls,27,path,,UNLABELED,125.33,198.2,127.33,193.52,2.0,4.68,9.36,3.2341,12.3352,126.33,195.86,0.4274,31,1,0,1,rgb,0,0,0,0,none,,,,0.0,77.1118,7.8292,90.0,2.92,0.0,594.0,387.36,0.0,5.8083
gls,28,compound,,UNLABELED,127.59,198.44,132.01,193.61,4.42,4.83,21.3486,5.9874,22.3123,129.8,196.025,0.9151,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.2259,1.2406,65.4133,5.3116,0.0,594.0,387.36,0.0,10.6743
gls,29,path,,UNLABELED,132.41,198.42,136.41,193.42,4.0,5.0,20.0,7.4636,27.5151,134.41,195.92,0.8,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.6248,1.7603,133.0531,4.9951,0.0,594.0,387.36,0.0,19.18
gls,30,path,,UNLABELED,137.13,198.2,140.54,193.52,3.41,4.68,15.9588,6.0922,22.1344,138.835,195.86,0.7286,51,1,0,1,rgb,0,0,0,0,none,,,,0.0,105.5699,1.3767,90.0,2.9,0.0,594.0,387.36,0.0,14.7556
gls,31,compound,,UNLABELED,140.81,198.44,145.24,193.61,4.43,4.83,21.3969,5.9903,22.3405,143.025,196.025,0.9172,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.5714,1.2324,114.6847,5.3158,0.0,594.0,387.36,0.0,10.6985
gls,32,compound,,UNLABELED,145.63,198.2,148.53,193.61,2.9,4.59,13.311,6.4458,23.4245,147.08,195.905,0.6318,45,2,0,1,rgb,0,0,0,0,none,,,,0.0,92.1012,3.0662,90.0,4.59,0.0,594.0,387.36,0.0,11.9064
gls,33,path,,UNLABELED,148.47,198.2,152.08,193.61,3.61,4.59,16.5699,4.3934,16.393,150.275,195.905,0.7865,10,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.541,3.1509,120.6322,2.9635,0.0,594.0,387.36,0.0,9.662
gls,34,path,,UNLABELED,154.11,198.37,157.05,193.61,2.94,4.76,13.9944,5.2033,20.6843,155.58,195.99,0.6176,47,1,0,1,rgb,0,0,0,0,none,,,,0.0,100.989,1.9485,51.0619,3.2141,0.0,594.0,387.36,0.0,12.967
gls,35,compound,,UNLABELED,157.53,198.37,160.68,193.52,3.15,4.85,15.2776,5.7277,22.4397,159.105,195.945,0.6495,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.004,2.6313,74.9817,0.4245,0.0,594.0,387.36,0.0,12.1848
gls,36,path,,UNLABELED,161.19,198.37,164.14,193.61,2.95,4.76,14.042,5.2036,20.7182,162.665,195.99,0.6197,47,1,0,1,rgb,0,0,0,0,none,,,,0.0,100.9384,1.9481,50.9234,3.2204,0.0,594.0,387.36,0.0,12.998
gls,37,path,,UNLABELED,164.6,198.2,167.68,193.52,3.08,4.68,14.4145,5.12,20.7034,166.14,195.86,0.6581,67,1,0,1,rgb,0,0,0,0,none,,,,0.0,71.2033,2.6028,73.2565,2.4645,0.0,594.0,387.36,0.0,11.1148
gls,38,path,,UNLABELED,146.57,273.95,146.57,204.06,0.0,69.89,0.0,0.0,69.89,146.57,239.005,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,69.89,0.0,594.0,387.36,0.0,0.0
