airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
gsb,0,path,,UNLABELED,145.158,487.886,145.881,487.451,0.723,0.435,0.3145,0.0856,0.982,145.5195,487.6685,1.6621,3,1,0,1,rgb,230,230,230,0,none,,,,0.0,25.9087,15.4785,16.779,0.7551,0.0,593.0,387.0,0.0,0.0856
gsb,1,path,,UNLABELED,134.568,525.498,154.314,487.887,19.746,37.611,742.6669,343.1403,82.73,144.441,506.6925,0.525,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,107.1727,14.6978,106.2334,36.5158,0.0,593.0,387.0,0.0,343.1403
gsb,2,path,,UNLABELED,81.555,494.987,173.271,293.732,91.716,201.255,18458.3025,4645.1763,634.4786,127.413,394.3595,0.4557,48,1,0,1,rgb,230,230,230,0,none,,,,0.0,95.18,5.3542,106.7639,108.8103,0.0,593.0,387.0,0.0,11121.4103
gsb,3,path,,UNLABELED,248.464,178.839,306.733,154.968,58.269,23.871,1390.9394,236.2202,147.7966,277.5985,166.9035,2.441,29,1,0,1,rgb,230,230,230,0,none,,,,0.0,168.2683,31.2145,1.6664,31.6034,0.0,593.0,387.0,0.0,786.7877
gsb,4,path,,UNLABELED,156.95,176.059,262.131,88.18,105.181,87.879,9243.2008,1836.6976,486.2654,209.5405,132.1195,1.1969,52,1,0,1,rgb,230,230,230,0,none,,,,0.0,175.418,2.1673,106.8695,75.9357,0.0,593.0,387.0,0.0,5520.1023
gsb,5,path,,UNLABELED,210.275,175.653,241.763,169.343,31.488,6.31,198.6891,84.236,70.4403,226.019,172.498,4.9902,12,1,0,1,rgb,230,230,230,0,none,,,,0.0,179.7763,45.9604,1.8461,24.5528,0.0,593.0,387.0,0.0,164.8477
gsb,6,path,,UNLABELED,108.914,295.962,198.828,122.797,89.914,173.165,15569.9602,5086.0226,642.9671,153.871,209.3795,0.5192,53,1,0,1,rgb,230,230,230,0,none,,,,0.0,77.1864,5.8612,49.1323,68.5817,0.0,593.0,387.0,0.0,9870.569
gsb,7,path,,UNLABELED,17.651,550.632,370.229,43.348,352.578,507.284,178857.1794,178857.1794,1719.724,193.94,296.99,0.695,5,1,0,0,none,,,,1,rgb,0,0,0,0.84,102.0704,2.236,90.0,507.284,0.0,593.0,387.0,0.0,178857.1794
gsb,8,path,,UNLABELED,363.365,542.352,367.105,538.756,3.74,3.596,13.449,5.8523,11.9231,365.235,540.554,1.04,10,1,0,1,rgb,0,0,0,0,none,,,,0.0,115.5766,1.0424,149.5287,1.4178,0.0,593.0,387.0,0.0,9.4547
gsb,9,path,,UNLABELED,337.478,549.07,341.218,545.475,3.74,3.595,13.4453,5.8521,11.9223,339.348,547.2725,1.0403,10,1,0,1,rgb,0,0,0,0,none,,,,0.0,115.959,1.0423,149.5487,1.4187,0.0,593.0,387.0,0.0,9.4539
