airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
gtf,0,0,0,266.69,323.97,68.1986,0.3231
gtf,0,0,1,267.095,322.98,118.9671,1.9203
gtf,0,0,2,265.94,320.505,45.264,4.6033
gtf,0,0,3,264.31,318.87,0.0,0.02
gtf,0,0,4,264.05,318.99,154.3599,0.5546
gtf,0,0,5,263.54,319.19,162.8966,0.544
gtf,0,0,6,263.015,319.305,172.4754,0.5346
gtf,0,0,7,262.485,319.33,2.1599,0.5304
gtf,0,0,8,261.96,319.265,11.9461,0.5315
gtf,0,0,9,261.44,319.115,20.0711,0.5536
gtf,0,0,10,260.935,318.88,29.7453,0.5643
gtf,0,0,11,259.38,317.69,38.7132,3.3577
gtf,0,0,12,256.12,315.08,38.6597,4.9944
gtf,0,0,13,253.815,313.235,38.7588,0.9105
gtf,0,0,14,253.34,312.83,44.9982,0.3394
gtf,0,0,15,252.285,313.66,134.5441,2.6659
gtf,0,0,16,251.75,315.055,48.0493,1.1967
gtf,0,0,17,252.235,315.585,44.9949,0.2404
gtf,0,0,18,252.395,315.78,55.7144,0.2663
gtf,0,0,19,252.53,316.02,65.2266,0.2864
gtf,0,0,20,252.635,316.29,72.1817,0.2941
gtf,0,0,21,252.71,316.58,78.6873,0.3059
gtf,0,0,22,252.75,316.89,86.4257,0.3206
gtf,0,0,23,252.75,317.205,93.6894,0.3106
gtf,0,0,24,252.715,317.51,99.4623,0.3042
gtf,0,0,25,252.645,317.8,107.8183,0.2941
gtf,0,0,26,252.54,318.07,114.7788,0.2863
gtf,0,0,27,252.41,318.315,121.3274,0.2693
gtf,0,0,28,252.25,318.52,135.0,0.2545
gtf,0,0,29,252.065,318.68,143.6131,0.236
gtf,0,0,30,251.87,318.79,158.2016,0.2154
gtf,0,0,31,251.665,318.845,171.8705,0.2121
gtf,0,0,32,251.455,318.85,5.4376,0.2109
gtf,0,0,33,250.695,318.81,2.6223,1.3114
gtf,0,0,34,249.97,320.845,91.9417,4.1324
gtf,0,0,35,253.26,323.495,9.8765,6.8211
gtf,0,0,36,257.19,324.265,17.981,1.1986
gtf,0,0,37,258.315,324.68,22.5111,1.2015
gtf,0,0,38,259.42,325.18,26.1458,1.2254
gtf,0,0,39,260.51,325.76,29.8603,1.2453
gtf,0,0,40,261.58,326.42,33.4392,1.2703
gtf,0,0,41,262.625,327.155,36.7807,1.286
gtf,1,0,0,181.825,228.08,44.8528,2.7507
gtf,1,0,1,178.7,229.25,135.1336,6.067
gtf,1,0,2,177.445,232.28,44.8396,2.5244
gtf,1,0,3,180.23,231.29,135.152,5.3316
gtf,1,0,4,182.285,229.31,148.7829,0.3859
gtf,2,0,0,289.205,330.875,168.4891,3.3575
gtf,2,0,1,287.715,331.53,64.1552,0.7111
gtf,2,0,2,288.135,332.715,72.9673,1.8094
gtf,2,0,3,288.725,336.765,84.1734,6.4031
gtf,2,0,4,290.74,339.655,170.0984,3.4311
gtf,2,0,5,291.68,335.36,79.3803,8.1394
gtf,2,0,6,290.925,331.275,86.6408,0.1703
gtf,3,0,0,268.25,318.0,45.3952,4.1013
gtf,3,0,1,265.83,317.515,135.1462,2.7648
gtf,3,0,2,264.715,318.59,143.4684,0.336
gtf,3,0,3,264.44,318.78,147.2686,0.3329
gtf,3,0,4,264.31,318.87,0.0,0.02
gtf,3,0,5,265.94,320.505,45.264,4.6033
gtf,3,0,6,268.075,321.195,118.5894,2.1524
gtf,3,0,7,268.86,320.045,142.7923,0.678
gtf,4,0,0,271.12,327.525,45.737,6.0463
gtf,4,0,1,273.69,329.24,135.6302,1.287
gtf,4,0,2,272.12,326.74,45.2807,5.7701
gtf,5,0,0,288.295,327.88,175.7265,4.5627
gtf,5,0,1,286.79,329.63,64.0184,3.5153
gtf,5,0,2,289.205,330.875,168.4891,3.3575
gtf,5,0,3,290.755,329.71,83.4703,1.6708
gtf,6,0,0,272.825,326.175,44.5638,5.5722
gtf,6,0,1,270.465,324.455,147.9259,0.8851
gtf,6,0,2,272.12,326.74,45.2809,5.7701
gtf,7,0,0,270.345,315.245,82.6816,6.9869
gtf,7,0,1,269.875,312.055,95.1933,0.5523
gtf,7,0,2,269.795,312.59,101.9422,0.5315
gtf,7,0,3,269.665,313.1,106.7018,0.522
gtf,7,0,4,269.485,313.58,114.5372,0.5057
gtf,7,0,5,269.255,314.01,122.0058,0.4717
gtf,7,0,6,268.985,314.385,129.6445,0.4545
gtf,7,0,7,268.68,314.7,138.8121,0.4252
gtf,7,0,8,267.665,315.69,135.1687,2.4112
gtf,7,0,9,268.25,318.0,45.3952,4.1013
gtf,7,0,10,269.965,319.29,148.2775,0.6466
gtf,8,0,0,315.825,386.895,44.7708,3.5356
gtf,8,0,1,314.515,385.7,137.7208,0.1487
gtf,8,0,2,313.22,386.98,135.232,3.4931
gtf,8,0,3,311.71,388.37,149.3504,0.6277
gtf,8,0,4,311.165,388.65,156.4243,0.6001
gtf,8,0,5,310.61,388.855,163.1133,0.5852
gtf,8,0,6,310.04,388.985,171.1798,0.5869
gtf,8,0,7,309.465,389.035,178.9955,0.5701
gtf,8,0,8,308.89,389.01,5.9057,0.5831
gtf,8,0,9,308.315,388.91,13.8,0.5869
gtf,8,0,10,307.755,388.735,20.8964,0.5887
gtf,8,0,11,307.205,388.485,27.8027,0.6218
gtf,8,0,12,309.415,390.82,44.9423,7.0216
gtf,9,0,0,296.195,360.01,135.1521,2.6658
gtf,9,0,1,302.3,368.0,45.0,19.9404
gtf,9,0,2,310.29,376.24,51.6942,3.033
gtf,9,0,3,312.28,376.365,134.5937,2.9911
gtf,10,0,0,292.615,340.35,79.1981,1.5474
gtf,10,0,1,292.45,339.475,80.1393,0.2334
gtf,10,0,2,290.74,339.655,170.0985,3.4311
gtf,10,0,3,289.115,340.54,83.7129,1.1871
gtf,10,0,4,289.185,341.275,88.0291,0.2902
gtf,10,0,5,289.185,341.565,91.9708,0.2902
gtf,11,0,0,206.01,268.575,137.3277,4.3523
gtf,11,0,1,206.9,266.39,44.9997,2.0082
gtf,11,0,2,204.32,263.81,44.9999,5.2892
gtf,11,0,3,200.89,263.52,134.6353,4.4407
