airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
gur,0,path,,UNLABELED,157.61,435.76,187.4,355.11,29.79,80.65,2402.564,668.7551,213.5676,172.505,395.435,0.3694,43,1,0,1,rgb,207,207,207,0,none,,,,0.0,77.9355,17.6507,62.2825,44.2473,0.0,594.0,387.36,0.0,1413.4184
gur,1,path,,UNLABELED,96.51,478.58,113.86,456.14,17.35,22.44,389.3342,207.9476,61.472,105.185,467.36,0.7732,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,116.2698,2.4133,118.3481,8.1924,0.0,594.0,387.36,0.0,230.8223
gur,2,path,,UNLABELED,112.84,383.97,291.53,115.89,178.69,268.08,47903.2094,3022.79,841.9818,202.185,249.93,0.6666,99,1,0,1,rgb,207,207,207,0,none,,,,0.0,120.4662,71.2164,117.818,200.6367,0.0,594.0,387.36,0.0,15343.5107
gur,3,path,,UNLABELED,65.16,101.21,252.92,101.21,187.76,0.0,0.0,0.0,187.76,159.04,101.21,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.72,0.0,1000000.0,0.0,187.76,0.0,594.0,387.36,0.0,0.0
gur,4,compound,,UNLABELED,65.58,107.2,68.49,102.6,2.91,4.6,13.3859,6.4549,23.508,67.035,104.9,0.6326,45,2,0,1,rgb,0,0,0,0,none,,,,0.0,92.0842,3.0598,90.0,4.6,0.0,594.0,387.36,0.0,11.9745
gur,5,path,,UNLABELED,68.91,107.2,71.42,102.6,2.51,4.6,11.546,5.6518,21.74,70.165,104.9,0.5457,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,82.4377,2.6581,90.0,4.6,0.0,594.0,387.36,0.0,11.546
gur,6,compound,,UNLABELED,71.6,107.44,76.02,102.6,4.42,4.84,21.3928,6.0084,22.3263,73.81,105.02,0.9132,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.2335,1.2436,114.542,5.3207,0.0,594.0,387.36,0.0,10.6964
gur,7,compound,,UNLABELED,76.42,107.2,79.99,102.6,3.57,4.6,16.422,6.9853,24.7863,78.205,104.9,0.7761,72,2,0,1,rgb,0,0,0,0,none,,,,0.0,88.7543,2.7477,90.0,4.6,0.0,594.0,387.36,0.0,14.151
gur,8,compound,,UNLABELED,80.49,107.2,83.13,102.6,2.64,4.6,12.144,6.6002,23.6461,81.81,104.9,0.5739,77,3,0,1,rgb,0,0,0,0,none,,,,0.0,96.1005,4.6721,90.0,4.6,0.0,594.0,387.36,0.0,10.4982
gur,9,compound,,UNLABELED,83.26,107.44,87.69,102.6,4.43,4.84,21.4412,6.0207,22.3405,85.475,105.02,0.9153,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.5375,1.2367,114.6399,5.3248,0.0,594.0,387.36,0.0,10.7206
gur,10,path,,UNLABELED,87.82,107.37,91.47,102.52,3.65,4.85,17.7024,5.0967,20.073,89.645,104.945,0.7526,75,1,0,1,rgb,0,0,0,0,none,,,,0.0,87.2988,2.3168,90.0,0.69,0.0,594.0,387.36,0.0,14.8843
gur,11,path,,UNLABELED,92.13,107.2,95.48,102.6,3.35,4.6,15.41,6.2327,23.3368,93.805,104.9,0.7283,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.7378,2.4439,90.0,4.6,0.0,594.0,387.36,0.0,15.318
gur,12,compound,,UNLABELED,97.24,107.37,102.09,102.52,4.85,4.85,23.5225,7.4917,27.0479,99.665,104.945,1.0,114,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.9899,1.0728,117.2549,0.3712,0.0,594.0,387.36,0.0,18.5142
gur,13,path,,UNLABELED,102.66,107.2,104.91,102.6,2.25,4.6,10.35,4.3817,16.92,103.785,104.9,0.4891,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,72.0073,3.9303,90.0,4.6,0.0,594.0,387.36,0.0,8.3388
gur,14,compound,,UNLABELED,106.82,107.44,111.25,102.6,4.43,4.84,21.4412,6.0207,22.3405,109.035,105.02,0.9153,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.8664,1.237,65.3601,5.3248,0.0,594.0,387.36,0.0,10.7206
