airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
gxy,0,path,,UNLABELED,267.85,124.0,282.54,116.58,14.69,7.42,109.0,52.8437,32.3213,275.195,120.29,1.9798,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,164.3289,14.7184,164.8613,14.2443,0.0,594.0,387.36,0.0,52.8437
gxy,1,path,,UNLABELED,217.11,184.92,217.19,184.67,0.08,0.25,0.02,0.0091,0.5462,217.15,184.795,0.32,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,99.0509,14.9866,92.2894,0.2502,0.0,594.0,387.36,0.0,0.0091
gxy,2,path,,UNLABELED,183.98,516.85,222.47,144.75,38.49,372.1,14322.1301,945.2098,1151.4874,203.225,330.8,0.1034,304,1,0,1,rgb,207,207,207,0,none,,,,0.0,90.4877,228.1557,92.2002,290.9545,0.0,594.0,387.36,0.0,11108.9377
gxy,3,path,,UNLABELED,131.3,131.56,278.87,84.01,147.57,47.55,7016.9513,415.7347,523.1001,205.085,107.785,3.1035,200,1,0,0,none,,,,1,rgb,207,207,207,0.39,178.364,13.1096,164.4976,49.3867,0.0,594.0,387.36,0.0,5516.1074
gxy,4,path,,UNLABELED,64.03,175.79,265.47,110.02,201.44,65.77,13248.7119,525.2562,506.8162,164.75,142.905,3.0628,200,1,0,0,none,,,,1,rgb,207,207,207,0.39,165.9785,63.4275,164.4872,73.5079,0.0,594.0,387.36,0.0,4363.4652
gxy,5,path,,UNLABELED,117.04,137.54,138.87,96.62,21.83,40.92,893.2833,406.1086,155.9386,127.955,117.08,0.5335,65,1,0,0,none,,,,1,rgb,207,207,207,0.39,81.2234,6.5211,89.7631,16.9301,0.0,594.0,387.36,0.0,675.8168
gxy,6,compound,,UNLABELED,64.03,175.79,278.87,84.01,214.84,91.78,19718.016,2311.9207,1250.3973,171.45,129.9,2.3408,538,6,0,1,rgb,207,207,207,0,none,,,,0.0,167.7601,7.48,164.4872,73.5079,0.0,594.0,387.36,0.0,10112.44
gxy,7,path,,UNLABELED,273.83,88.47,274.26,88.26,0.43,0.21,0.0903,0.0082,0.9625,274.045,88.365,2.0474,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,152.6867,108.2054,153.9677,0.4785,0.0,594.0,387.36,0.0,0.0082
gxy,8,compound,,UNLABELED,294.15,452.41,297.3,447.56,3.15,4.85,15.2775,5.7223,22.4468,295.725,449.985,0.6495,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0099,2.6341,112.3067,0.4215,0.0,594.0,387.36,0.0,12.1822
gxy,9,path,,UNLABELED,298.03,448.24,298.71,447.56,0.68,0.68,0.4624,0.3496,2.1104,298.37,447.9,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.0,1.1191,12.9936,0.1334,0.0,594.0,387.36,0.0,0.3496
gxy,10,path,,UNLABELED,300.02,452.24,301.33,447.64,1.31,4.6,6.026,2.6724,11.5921,300.675,449.94,0.2848,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,95.2383,23.0273,90.0,4.6,0.0,594.0,387.36,0.0,4.3084
gxy,11,compound,,UNLABELED,303.11,452.25,305.18,450.18,2.07,2.07,4.2849,2.4029,10.0373,304.145,451.215,1.0,34,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0688,1.1254,10.7842,0.4276,0.0,594.0,387.36,0.0,3.3609
gxy,12,path,,UNLABELED,307.14,452.41,313.61,447.47,6.47,4.94,31.9618,9.0181,33.0758,310.375,449.94,1.3097,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,153.3444,1.264,67.9712,5.1457,0.0,594.0,387.36,0.0,22.2297
gxy,13,compound,,UNLABELED,265.38,458.78,269.81,453.94,4.43,4.84,21.4411,5.9858,22.377,267.595,456.36,0.9153,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.8147,1.2385,65.3601,5.3248,0.0,594.0,387.36,0.0,10.7206
gxy,14,path,,UNLABELED,270.2,458.76,274.2,453.75,4.0,5.01,20.04,7.4874,27.5525,272.2,456.255,0.7984,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.7082,1.7662,132.8908,4.9956,0.0,594.0,387.36,0.0,19.22
gxy,15,path,,UNLABELED,275.02,458.76,279.02,453.75,4.0,5.01,20.04,7.4866,27.5524,277.02,456.255,0.7984,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.7503,1.7664,132.9748,5.0024,0.0,594.0,387.36,0.0,19.22
