airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
hef,0,0,0,246.3,319.52,120.4219,3.9892
hef,0,0,1,245.485,321.43,44.2564,0.5445
hef,0,0,2,245.85,321.84,52.305,0.5561
hef,0,0,3,246.16,322.315,61.2315,0.5818
hef,0,0,4,246.405,322.85,69.4446,0.5981
hef,0,0,5,246.58,323.43,76.8662,0.6161
hef,0,0,6,246.68,324.04,84.4726,0.6229
hef,0,0,7,246.705,324.66,90.9235,0.6201
hef,0,0,8,246.655,325.275,98.3928,0.6166
hef,0,0,9,246.53,325.875,105.1733,0.6113
hef,0,0,10,247.76,326.88,28.4573,2.9801
hef,0,0,11,249.335,327.12,119.4155,1.0791
hef,0,0,12,249.81,326.305,121.3294,0.8078
hef,0,0,13,250.185,325.58,113.4699,0.8286
hef,0,0,14,250.46,324.79,105.0183,0.849
hef,0,0,15,250.63,323.95,97.9443,0.8683
hef,0,0,16,250.695,323.085,90.6582,0.8701
hef,0,0,17,250.65,322.22,83.3672,0.8658
hef,0,0,18,250.495,321.375,75.8018,0.8561
hef,0,0,19,250.235,320.57,68.3255,0.8393
hef,0,0,20,249.88,319.83,60.255,0.8062
hef,0,0,21,249.435,319.175,51.2257,0.7824
hef,1,0,0,327.89,106.08,104.0358,0.9895
hef,1,0,1,328.07,105.105,96.9108,0.9973
hef,1,0,2,328.14,104.105,91.1356,1.0102
hef,1,0,3,328.105,103.1,84.8574,1.004
hef,1,0,4,327.96,102.115,78.349,0.9904
hef,1,0,5,327.71,101.165,72.1219,0.9772
hef,1,0,6,327.36,100.27,65.0568,0.9485
hef,1,0,7,326.915,99.445,58.1898,0.9296
hef,1,0,8,326.385,98.7,50.8435,0.9027
hef,1,0,9,325.785,98.055,43.1231,0.8631
hef,1,0,10,325.12,97.525,33.8781,0.8432
hef,1,0,11,323.755,99.03,120.2566,4.0288
hef,1,0,12,322.915,100.91,38.6592,0.4482
hef,1,0,13,323.245,101.23,49.2694,0.4751
hef,1,0,14,323.53,101.62,58.2385,0.494
hef,1,0,15,323.76,102.065,66.9506,0.5108
hef,1,0,16,323.93,102.55,74.3562,0.5192
hef,1,0,17,324.035,103.065,82.4786,0.5346
hef,1,0,18,324.07,103.595,90.0,0.53
hef,1,0,19,324.035,104.125,97.5214,0.5346
hef,1,0,20,323.93,104.64,105.6438,0.5192
hef,1,0,21,323.19,106.47,112.9793,3.4324
hef,1,0,22,324.2,108.99,29.2282,3.8502
hef,2,0,0,324.49,97.155,25.7399,0.6217
hef,2,0,1,322.75,96.145,30.9348,3.4043
hef,2,0,2,320.285,97.055,119.3805,4.0969
hef,2,0,3,320.69,99.625,29.1066,3.2276
hef,2,0,4,322.28,100.51,29.055,0.4118
hef,2,0,5,322.6,100.69,29.7456,0.3225
hef,3,0,0,160.02,485.535,119.3213,7.7189
hef,3,0,1,162.43,481.255,119.6101,2.1049
hef,3,0,2,170.46,466.87,119.1412,30.8442
hef,3,0,3,180.265,449.42,119.9692,9.1886
hef,3,0,4,180.565,444.285,30.0688,4.6104
hef,3,0,5,177.99,444.675,110.5764,3.3006
hef,3,0,6,176.79,447.74,112.1902,3.2832
hef,3,0,7,175.51,450.75,113.8912,3.2593
hef,3,0,8,174.155,453.705,115.3797,3.243
hef,3,0,9,168.375,464.185,119.4256,20.7005
hef,3,0,10,157.35,483.63,119.662,24.0057
hef,3,0,11,151.22,494.415,118.1565,0.8053
hef,3,0,12,144.42,506.52,119.3601,26.9633
hef,3,0,13,139.245,519.07,29.1392,3.2859
hef,3,0,14,144.315,513.42,119.4041,14.8075
hef,3,0,15,149.045,505.03,119.4417,4.4554
hef,3,0,16,150.61,502.25,119.2281,1.9251
hef,3,0,17,152.29,499.26,119.3704,4.9342
hef,3,0,18,153.705,496.75,119.6593,0.8286
hef,3,0,19,156.02,492.645,119.3977,8.597
hef,4,0,0,130.105,397.01,129.4466,13.0792
hef,4,0,1,125.725,402.32,130.8733,0.6877
hef,4,0,2,125.245,402.785,141.2033,0.6544
hef,4,0,3,124.71,403.15,150.2544,0.645
hef,4,0,4,124.14,403.415,160.0971,0.6168
hef,4,0,5,123.545,403.565,171.6074,0.6166
hef,4,0,6,122.94,403.6,1.9081,0.6003
hef,4,0,7,122.34,403.525,12.2256,0.6139
hef,4,0,8,121.26,403.115,23.8603,1.7058
hef,4,0,9,118.03,401.685,23.8865,5.359
hef,4,0,10,114.905,401.75,120.411,2.6669
hef,4,0,11,119.5,405.865,29.3629,12.0937
hef,5,0,0,235.105,212.07,157.0835,1.3354
hef,5,0,1,233.86,212.525,162.801,1.319
hef,5,0,2,232.585,212.84,169.4612,1.3121
hef,5,0,3,231.295,213.0,176.4506,1.2925
hef,5,0,4,230.0,213.01,2.6425,1.3014
hef,5,0,5,228.71,212.875,9.3181,1.2971
hef,5,0,6,227.435,212.59,15.8255,1.32
hef,5,0,7,224.825,211.305,29.2267,4.5262
hef,5,0,8,222.105,211.515,119.5336,3.0227
hef,5,0,9,223.0,213.745,29.1586,3.756
hef,5,0,10,225.05,214.96,36.1932,1.0161
hef,5,0,11,225.84,215.615,43.0518,1.04
hef,5,0,12,226.57,216.375,49.1665,1.0706
hef,5,0,13,227.23,217.235,55.7323,1.1011
hef,5,0,14,227.81,218.18,61.1442,1.1189
hef,5,0,15,228.305,219.2,66.9981,1.1516
hef,5,0,16,228.71,220.29,72.181,1.1764
hef,5,0,17,229.02,221.425,77.2605,1.179
hef,5,0,18,229.225,222.595,82.8153,1.1994
hef,6,0,0,143.765,404.075,28.8228,6.2435
hef,6,0,1,140.76,402.37,36.5298,0.672
hef,6,0,2,140.245,401.93,44.4088,0.6859
hef,6,0,3,139.78,401.405,52.3346,0.7201
hef,6,0,4,139.38,400.795,61.02,0.743
hef,6,0,5,139.055,400.12,67.4969,0.7577
hef,6,0,6,138.805,399.395,74.3573,0.7788
hef,6,0,7,138.67,398.61,85.8153,0.8222
hef,6,0,8,138.655,397.79,92.0952,0.8205
hef,6,0,9,138.725,396.975,97.7337,0.8174
hef,6,0,10,138.875,396.175,103.5232,0.8125
hef,6,0,11,139.11,395.41,110.7257,0.7912
hef,6,0,12,136.485,399.95,119.3855,11.27
hef,6,0,13,134.57,405.325,28.6815,1.9378
hef,6,0,14,135.595,405.635,138.4675,0.4676
hef,6,0,15,135.965,405.36,148.3935,0.4579
hef,6,0,16,136.365,405.16,158.6818,0.4401
hef,6,0,17,136.785,405.045,170.7528,0.4357
hef,6,0,18,137.215,405.015,1.3335,0.4301
hef,6,0,19,137.64,405.07,13.3909,0.4318
hef,6,0,20,138.055,405.21,23.7042,0.4478
hef,6,0,21,141.455,407.085,29.1914,7.3196
hef,7,0,0,144.855,416.105,179.1454,0.6701
hef,7,0,1,144.185,416.055,9.3237,0.679
hef,7,0,2,143.525,415.88,20.2647,0.6929
hef,7,0,3,142.275,415.245,29.1073,2.1174
hef,7,0,4,140.63,416.01,119.3578,2.9372
hef,7,0,5,140.31,417.51,28.8108,0.913
hef,7,0,6,142.06,418.49,29.3778,3.0984
hef,7,0,7,144.3,417.675,119.4699,3.6181
hef,8,0,0,149.79,407.29,13.2409,0.6986
hef,8,0,1,147.975,406.395,28.9223,3.3704
hef,8,0,2,145.575,407.225,119.3494,3.7745
hef,8,0,3,145.295,409.23,29.1678,1.4773
hef,8,0,4,146.23,409.75,28.8859,0.6624
hef,8,0,5,146.775,410.1,36.6904,0.636
hef,8,0,6,147.26,410.53,46.2182,0.6648
hef,8,0,7,147.69,411.05,54.4634,0.6882
hef,9,0,0,134.57,405.325,28.6811,1.9378
hef,9,0,1,133.57,405.125,119.5118,0.609
hef,9,0,2,133.095,405.965,119.4758,1.321
hef,9,0,3,132.745,406.585,119.0571,0.103
hef,9,0,4,133.6,407.15,30.5795,2.0443
hef,9,0,5,134.495,407.6,102.0943,0.1432
hef,9,0,6,134.57,407.32,105.9468,0.4368
hef,9,0,7,134.71,406.91,111.7995,0.4308
hef,9,0,8,134.89,406.525,118.3948,0.4206
