airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
hlg,0,path,,UNLABELED,106.82,156.55,125.12,137.17,18.3,19.38,354.6541,152.6768,73.5352,115.97,146.86,0.9443,23,1,0,1,rgb,207,207,207,0,none,,,,0.0,56.4587,1.5823,59.2682,7.2013,0.0,594.0,387.36,0.0,225.9237
hlg,1,path,,UNLABELED,146.16,361.19,209.42,222.19,63.26,139.0,8793.1392,617.5399,353.3348,177.79,291.69,0.4551,33,1,0,1,rgb,207,207,207,0,none,,,,0.0,65.5944,68.3741,64.1019,141.3783,0.0,594.0,387.36,0.0,1976.0566
hlg,2,path,,UNLABELED,266.85,444.48,278.17,426.11,11.32,18.37,207.9485,86.3522,47.2366,272.51,435.295,0.6162,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,60.8883,9.4536,63.6163,19.7804,0.0,594.0,387.36,0.0,96.4878
hlg,3,path,,UNLABELED,54.79,458.18,268.44,418.54,213.65,39.64,8469.0859,1824.408,515.7822,161.615,438.36,5.3898,30,1,0,1,rgb,207,207,207,0,none,,,,0.0,178.6806,53.51,3.0765,213.5278,0.0,594.0,387.36,0.0,5072.8458
hlg,4,path,,UNLABELED,85.63,457.89,107.1,427.48,21.47,30.41,652.9028,235.1127,139.3845,96.365,442.685,0.706,25,1,0,1,rgb,207,207,207,0,none,,,,0.0,96.6043,2.8597,92.9742,30.451,0.0,594.0,387.36,0.0,459.2992
hlg,5,path,,UNLABELED,112.87,450.61,122.81,428.34,9.94,22.27,221.3636,83.7652,58.9435,117.84,439.475,0.4463,27,1,0,1,rgb,207,207,207,0,none,,,,0.0,78.7574,3.5389,92.2531,9.1571,0.0,594.0,387.36,0.0,146.7828
hlg,6,path,,UNLABELED,170.8,459.54,267.21,433.75,96.41,25.79,2486.4137,761.997,250.356,219.005,446.645,3.7383,46,1,0,1,rgb,207,207,207,0,none,,,,0.0,1.6355,16.5956,3.6886,32.4873,0.0,594.0,387.36,0.0,1748.3401
hlg,7,path,,UNLABELED,282.34,282.58,335.31,215.2,52.97,67.38,3569.1189,1375.8221,235.9186,308.825,248.89,0.7861,22,1,0,1,rgb,207,207,207,0,none,,,,0.0,133.7383,2.354,118.4438,23.5987,0.0,594.0,387.36,0.0,2215.3893
hlg,8,path,,UNLABELED,289.19,204.11,311.53,166.64,22.34,37.47,837.0797,195.765,104.0613,300.36,185.375,0.5962,14,1,0,1,rgb,207,207,207,0,none,,,,0.0,111.5174,3.4685,77.6663,22.9394,0.0,594.0,387.36,0.0,452.7511
hlg,9,path,,UNLABELED,56.52,64.75,258.21,64.75,201.69,0.0,0.0,0.0,201.69,157.365,64.75,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.42,0.0,1000000.0,0.0,201.69,0.0,594.0,387.36,0.0,0.0
hlg,10,path,,UNLABELED,252.97,490.93,274.59,466.14,21.62,24.79,535.9597,535.9597,92.82,263.78,478.535,0.8721,5,1,0,0,none,,,,1,rgb,0,0,0,0.39,115.2644,1.5442,90.0,24.79,0.0,594.0,387.36,0.0,535.9597
hlg,11,compound,,UNLABELED,71.42,194.21,74.57,189.35,3.15,4.86,15.309,5.7342,22.4414,72.995,191.78,0.6482,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0009,2.6264,103.7076,0.422,0.0,594.0,387.36,0.0,12.1918
hlg,12,path,,UNLABELED,75.3,190.03,75.98,189.35,0.68,0.68,0.4624,0.3554,2.1288,75.64,189.69,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.4169,1.1102,12.0943,0.1432,0.0,594.0,387.36,0.0,0.3554
hlg,13,compound,,UNLABELED,76.73,194.21,79.88,189.35,3.15,4.86,15.309,5.7322,22.4398,78.305,191.78,0.6482,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.9807,2.6296,105.0194,0.4245,0.0,594.0,387.36,0.0,12.1845
hlg,14,compound,,UNLABELED,80.38,194.05,82.46,191.97,2.08,2.08,4.3264,2.4115,10.0228,81.42,193.01,1.0,34,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.1625,1.125,10.5374,0.4374,0.0,594.0,387.36,0.0,3.3618
hlg,15,path,,UNLABELED,84.41,194.21,90.88,189.27,6.47,4.94,31.9618,9.0009,33.0823,87.645,191.74,1.3097,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,153.3654,1.2631,67.9293,5.1364,0.0,594.0,387.36,0.0,22.2165
hlg,16,compound,,UNLABELED,42.66,200.57,47.08,195.74,4.42,4.83,21.3487,5.9874,22.3124,44.87,198.155,0.9151,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.226,1.2406,114.5867,5.3116,0.0,594.0,387.36,0.0,10.6743
hlg,17,path,,UNLABELED,47.48,200.56,51.48,195.55,4.0,5.01,20.04,7.4867,27.5523,49.48,198.055,0.7984,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.7472,1.7657,133.0531,4.9951,0.0,594.0,387.36,0.0,19.22
hlg,18,path,,UNLABELED,52.29,200.56,56.29,195.55,4.0,5.01,20.04,7.503,27.5555,54.29,198.055,0.7984,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.8114,1.7678,132.9691,4.9882,0.0,594.0,387.36,0.0,19.22
hlg,19,path,,UNLABELED,57.02,200.34,60.42,195.65,3.4,4.69,15.946,6.029,22.1335,58.72,197.995,0.7249,51,1,0,1,rgb,0,0,0,0,none,,,,0.0,105.2911,1.3777,90.0,2.91,0.0,594.0,387.36,0.0,14.7361
hlg,20,compound,,UNLABELED,60.69,200.57,65.12,195.74,4.43,4.83,21.397,5.9903,22.3406,62.905,198.155,0.9172,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.5711,1.2324,114.6847,5.3158,0.0,594.0,387.36,0.0,10.6985
hlg,21,path,,UNLABELED,65.51,200.34,67.51,195.74,2.0,4.6,9.2,3.474,13.2,66.51,198.04,0.4348,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,100.4862,10.2887,90.0,4.6,0.0,594.0,387.36,0.0,6.337
hlg,22,compound,,UNLABELED,69.64,200.34,72.55,195.74,2.91,4.6,13.3859,6.4589,23.4991,71.095,198.04,0.6326,45,2,0,1,rgb,0,0,0,0,none,,,,0.0,92.1904,3.0553,90.0,4.6,0.0,594.0,387.36,0.0,11.9616
hlg,23,compound,,UNLABELED,72.46,200.57,76.89,195.74,4.43,4.83,21.397,5.9903,22.3406,74.675,198.155,0.9172,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.571,1.2324,114.6847,5.3158,0.0,594.0,387.36,0.0,10.6985
hlg,24,path,,UNLABELED,76.86,200.34,79.65,195.74,2.79,4.6,12.834,3.8769,14.78,78.255,198.04,0.6065,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.3783,3.4394,90.0,4.09,0.0,594.0,387.36,0.0,8.3555
hlg,25,path,,UNLABELED,80.07,200.34,82.58,195.74,2.51,4.6,11.546,5.6518,21.74,81.325,198.04,0.5457,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,82.4377,2.6581,90.0,4.6,0.0,594.0,387.36,0.0,11.546
hlg,26,compound,,UNLABELED,84.7,200.51,89.55,195.65,4.85,4.86,23.5709,7.4961,27.0484,87.125,198.08,0.9979,114,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0636,1.0724,29.3568,0.3671,0.0,594.0,387.36,0.0,18.5162
hlg,27,path,,UNLABELED,90.12,200.34,92.37,195.74,2.25,4.6,10.35,4.3817,16.92,91.245,198.04,0.4891,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,72.0073,3.9303,90.0,4.6,0.0,594.0,387.36,0.0,8.3388
hlg,28,path,,UNLABELED,94.54,200.51,98.18,195.65,3.64,4.86,17.6903,5.097,20.0681,96.36,198.08,0.749,75,1,0,1,rgb,0,0,0,0,none,,,,0.0,87.3265,2.3151,90.0,0.68,0.0,594.0,387.36,0.0,14.8841
hlg,29,path,,UNLABELED,98.84,200.34,102.16,195.74,3.32,4.6,15.272,6.5603,24.02,100.5,198.04,0.7217,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.9455,2.0243,90.0,4.6,0.0,594.0,387.36,0.0,15.272
hlg,30,compound,,UNLABELED,102.47,200.57,106.9,195.74,4.43,4.83,21.397,5.9903,22.3406,104.685,198.155,0.9172,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.571,1.2324,114.6847,5.3158,0.0,594.0,387.36,0.0,10.6985
hlg,31,path,,UNLABELED,107.29,200.56,111.29,195.55,4.0,5.01,20.04,7.4873,27.5524,109.29,198.055,0.7984,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.7053,1.7656,132.9691,4.9882,0.0,594.0,387.36,0.0,19.22
hlg,32,path,,UNLABELED,111.85,200.51,116.27,195.65,4.42,4.86,21.4813,7.037,26.8847,114.06,198.08,0.9095,100,1,0,1,rgb,0,0,0,0,none,,,,0.0,97.3961,1.4431,0.0,1.76,0.0,594.0,387.36,0.0,17.1762
hlg,33,path,,UNLABELED,116.88,200.34,119.39,195.74,2.51,4.6,11.546,5.6518,21.74,118.135,198.04,0.5457,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,82.4377,2.6581,90.0,4.6,0.0,594.0,387.36,0.0,11.546
hlg,34,path,,UNLABELED,59.83,206.64,61.82,201.96,1.99,4.68,9.3132,3.2027,12.3239,60.825,204.3,0.4252,31,1,0,1,rgb,0,0,0,0,none,,,,0.0,77.1472,7.8724,90.0,2.92,0.0,594.0,387.36,0.0,5.7828
