airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
hlr,0,0,0,43.8775,430.352,159.647,5.0546
hlr,0,0,1,56.616,425.358,158.354,22.3114
hlr,0,0,2,76.0015,417.75,158.8236,19.3389
hlr,0,0,3,86.1105,413.8005,157.3226,2.3681
hlr,0,0,4,97.6285,409.2225,158.4297,22.4212
hlr,0,0,5,107.9425,404.7845,70.5924,0.6711
hlr,0,0,6,108.0595,403.448,102.627,2.0906
hlr,0,0,7,108.913,399.411,101.7038,6.1621
hlr,0,0,8,110.687,390.392,100.8374,12.222
hlr,0,0,9,125.089,379.1805,158.5412,28.4802
hlr,0,0,10,141.4295,372.8395,159.8732,6.5766
hlr,0,0,11,145.0185,371.531,160.5599,1.0636
hlr,0,0,12,144.5525,368.7005,69.9675,5.6487
hlr,0,0,13,143.0965,364.7195,69.797,2.8291
hlr,0,0,14,141.3505,360.342,67.5939,6.5981
hlr,0,0,15,138.459,352.9525,69.3666,9.2739
hlr,0,0,16,135.5655,345.176,69.8745,7.321
hlr,0,0,17,130.021,331.155,67.9591,22.837
hlr,0,0,18,122.205,321.891,159.5025,7.5393
hlr,0,0,19,92.9235,333.61,158.0093,55.542
hlr,0,0,20,47.496,351.9615,157.9938,42.4465
hlr,0,0,21,29.2945,363.4865,67.5586,7.7304
hlr,0,0,22,31.6255,369.2295,68.4882,4.666
hlr,0,0,23,33.971,375.249,68.8379,8.2547
hlr,0,0,24,36.337,381.2525,67.8738,4.6515
hlr,0,0,25,37.4495,383.905,64.5969,1.1026
hlr,0,0,26,39.891,390.056,68.6913,12.1356
hlr,0,0,27,35.5875,397.986,160.7176,13.7906
hlr,1,0,0,158.079,422.431,89.0524,2.4183
hlr,1,0,1,156.3985,421.569,168.1966,3.3927
hlr,1,0,2,155.1135,420.0605,101.4404,3.7862
hlr,1,0,3,156.29,415.29,105.3649,6.0461
hlr,1,0,4,158.7715,406.9585,107.2368,11.3424
hlr,1,0,5,158.7795,399.685,47.9924,4.9983
hlr,1,0,6,155.0425,394.347,59.3288,8.0943
hlr,1,0,7,151.3405,390.1755,22.8641,3.5543
hlr,1,0,8,148.402,389.256,9.983,2.642
hlr,1,0,9,145.7285,388.7005,13.3809,2.8216
hlr,1,0,10,143.983,390.387,100.4977,4.0945
hlr,1,0,11,142.0815,392.1405,9.6354,3.1007
hlr,1,0,12,139.972,395.5425,99.0164,7.4146
hlr,1,0,13,138.986,401.2915,100.9796,4.2529
hlr,1,0,14,137.922,406.6195,101.4951,6.6137
hlr,1,0,15,137.1535,410.3195,103.4033,0.9447
hlr,1,0,16,140.013,412.227,25.9988,6.6065
hlr,1,0,17,142.7025,415.4605,98.8967,3.6145
hlr,1,0,18,141.595,417.557,159.4139,1.769
hlr,1,0,19,140.923,418.422,74.2736,1.1511
hlr,1,0,20,141.3185,419.9655,76.3936,2.0361
hlr,1,0,21,141.6445,422.018,85.3478,2.133
hlr,1,0,22,141.7135,423.7935,91.4071,1.4254
hlr,1,0,23,146.1665,425.37,10.9385,9.1064
hlr,1,0,24,152.274,425.6975,161.8543,3.4453
hlr,2,0,0,286.1985,356.67,107.6526,4.0528
hlr,2,0,1,287.6155,352.359,108.6335,5.0233
hlr,2,0,2,288.5865,349.393,106.0409,1.2195
hlr,2,0,3,280.1465,346.177,16.9885,18.0026
hlr,2,0,4,262.7945,376.362,104.9197,67.9198
hlr,2,0,5,259.5455,410.7795,16.2596,11.4468
hlr,2,0,6,267.298,404.684,106.3477,16.0447
hlr,2,0,7,271.4225,390.5065,106.0696,13.4859
hlr,2,0,8,271.7315,383.476,19.4822,3.3042
hlr,2,0,9,270.9755,380.273,106.8161,5.5409
hlr,2,0,10,273.3665,378.0655,15.6233,3.301
hlr,2,0,11,277.5795,369.6505,106.4952,18.4795
hlr,2,0,12,278.4785,360.349,14.3759,3.5605
hlr,2,0,13,277.304,358.136,107.2523,3.7089
hlr,3,0,0,199.615,432.3975,133.3475,9.7345
hlr,3,0,1,198.3965,427.3515,18.284,9.6039
hlr,3,0,2,190.386,424.6835,18.6016,7.2824
hlr,3,0,3,187.387,424.045,49.1645,1.3825
hlr,3,0,4,188.1335,425.093,60.7095,1.2039
hlr,3,0,5,189.2355,429.8955,79.3097,8.7061
hlr,4,0,0,266.3055,209.6205,108.2633,5.281
hlr,4,0,1,266.736,207.269,158.5472,0.8531
hlr,4,0,2,265.9425,207.416,1.3007,0.7932
hlr,4,0,3,262.849,206.725,14.191,5.5638
hlr,4,0,4,259.7075,206.0195,3.0261,0.8902
hlr,4,0,5,258.866,206.182,154.8977,0.8768
hlr,4,0,6,257.484,207.57,129.3333,3.1081
hlr,4,0,7,256.118,209.2135,130.793,1.1663
hlr,4,0,8,255.34,209.8715,151.3957,0.9044
hlr,4,0,9,254.32,210.2605,164.5233,1.2929
hlr,4,0,10,256.2895,211.2685,17.8631,5.4476
hlr,4,0,11,259.942,212.4045,15.8271,2.2035
hlr,4,0,12,262.636,213.237,18.0342,3.4369
hlr,4,0,13,264.4925,213.781,3.0893,0.4457
hlr,4,0,14,264.858,213.6255,130.4876,0.4405
hlr,5,0,0,304.187,226.928,91.8335,3.1256
hlr,5,0,1,304.2715,223.667,91.1633,3.3987
hlr,5,0,2,306.806,213.5515,106.5433,17.5599
hlr,5,0,3,311.669,197.3655,106.9164,16.2418
hlr,5,0,4,313.092,187.9565,60.1727,3.7797
hlr,5,0,5,311.018,184.383,59.6148,4.4839
hlr,5,0,6,311.547,177.089,107.2371,11.2241
hlr,5,0,7,313.9175,169.4685,107.3793,4.7373
hlr,5,0,8,315.5385,164.114,106.4492,6.4521
hlr,5,0,9,304.31,157.569,15.8662,25.2458
hlr,5,0,10,291.331,157.131,105.5252,6.2542
hlr,5,0,11,290.268,160.418,129.5159,0.7104
hlr,5,0,12,289.707,160.79,163.693,0.6981
hlr,5,0,13,289.0225,160.86,4.5806,0.7012
hlr,5,0,14,288.343,162.055,105.1006,2.5335
hlr,5,0,15,288.3285,163.488,33.6498,0.758
hlr,5,0,16,288.792,163.9665,61.1337,0.6132
