airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
hmn,0,path,,UNLABELED,187.447,97.361,223.375,73.965,35.928,23.396,840.5705,243.2929,104.8611,205.411,85.663,1.5356,10,1,0,1,rgb,230,230,230,0,none,,,,0.0,24.1904,8.5808,16.8742,23.1853,0.0,593.0,387.0,0.0,463.3275
hmn,1,path,,UNLABELED,310.346,374.35,324.883,360.789,14.537,13.561,197.1362,75.0938,23.835,317.6145,367.5695,1.072,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,133.3713,8.8639,130.6162,11.3044,0.0,593.0,387.0,0.0,75.0938
hmn,2,path,,UNLABELED,221.688,362.748,238.488,279.803,16.8,82.945,1393.4764,241.8259,170.1604,230.088,321.2755,0.2025,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,99.601,836.6333,99.601,83.6345,0.0,593.0,387.0,0.0,241.8259
hmn,3,path,,UNLABELED,301.908,411.724,304.962,408.623,3.054,3.101,9.4704,4.681,6.8085,303.435,410.1735,0.9848,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,131.4891,1.6397,131.5226,2.4483,0.0,593.0,387.0,0.0,4.681
hmn,4,path,,UNLABELED,237.381,287.287,241.844,284.566,4.463,2.721,12.1437,9.7633,10.5922,239.6125,285.9265,1.6402,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,4.0069,3.1011,6.1667,4.1983,0.0,593.0,387.0,0.0,9.7633
hmn,5,path,,UNLABELED,75.306,288.816,156.09,269.025,80.784,19.791,1598.7949,208.3982,168.9922,115.698,278.9205,4.0819,8,1,0,1,rgb,230,230,230,0,none,,,,0.0,11.9734,649.1456,10.5016,78.6555,0.0,593.0,387.0,0.0,342.5193
hmn,6,path,,UNLABELED,244.665,437.474,253.433,427.374,8.768,10.1,88.5568,21.5223,28.871,249.049,432.424,0.8681,11,1,0,1,rgb,230,230,230,0,none,,,,0.0,56.8254,5.9366,46.6907,7.3097,0.0,593.0,387.0,0.0,36.52
hmn,7,path,,UNLABELED,205.932,469.006,225.067,423.893,19.135,45.113,863.237,138.811,104.4086,215.4995,446.4495,0.4242,22,1,0,1,rgb,230,230,230,0,none,,,,0.0,71.3986,26.7656,65.8007,20.097,0.0,593.0,387.0,0.0,361.1564
hmn,8,path,,UNLABELED,177.35,497.016,329.555,351.64,152.205,145.376,22126.9554,3419.9431,498.3687,253.4525,424.328,1.047,28,1,0,1,rgb,230,230,230,0,none,,,,0.0,138.3066,13.0656,131.3774,180.0122,0.0,593.0,387.0,0.0,7139.7014
hmn,9,path,,UNLABELED,302.745,397.864,322.762,378.633,20.017,19.231,384.947,196.3206,60.8235,312.7535,388.2485,1.0409,14,1,0,1,rgb,230,230,230,0,none,,,,0.0,38.0684,3.0611,42.0923,13.9395,0.0,593.0,387.0,0.0,236.0169
hmn,10,path,,UNLABELED,292.519,385.458,312.023,347.227,19.504,38.231,745.6574,132.3349,84.1163,302.271,366.3425,0.5102,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,114.1167,152.4359,114.1168,40.4212,0.0,593.0,387.0,0.0,132.3349
hmn,11,path,,UNLABELED,17.651,550.632,370.229,43.348,352.578,507.284,178857.1794,178857.1794,1719.724,193.94,296.99,0.695,5,1,0,0,none,,,,1,rgb,0,0,0,0.84,102.0704,2.236,90.0,507.284,0.0,593.0,387.0,0.0,178857.1794
