airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
hop,0,path,,UNLABELED,139.327,412.44,152.323,398.103,12.996,14.337,186.3238,95.4187,29.2687,145.825,405.2715,0.9065,6,1,0,1,rgb,230,230,230,0,none,,,,0.0,97.52,1.434,135.8099,10.655,0.0,593.0,387.0,0.0,95.4187
hop,1,path,,UNLABELED,112.61,453.958,122.461,443.969,9.851,9.989,98.4016,40.6316,21.9047,117.5355,448.9635,0.9862,9,1,0,1,rgb,230,230,230,0,none,,,,0.0,66.4456,1.2889,46.3752,6.8354,0.0,593.0,387.0,0.0,48.1428
hop,2,path,,UNLABELED,103.964,459.905,114.82,449.557,10.856,10.348,112.3378,40.2804,31.9797,109.392,454.731,1.0491,14,1,0,1,rgb,230,230,230,0,none,,,,0.0,142.3774,1.7078,135.8137,11.0044,0.0,593.0,387.0,0.0,56.2377
hop,3,path,,UNLABELED,240.379,330.838,290.415,272.292,50.036,58.546,2929.4078,887.5757,154.9016,265.397,301.565,0.8546,16,1,0,1,rgb,230,230,230,0,none,,,,0.0,124.7608,9.5564,135.7634,27.8646,0.0,593.0,387.0,0.0,1088.2002
hop,4,path,,UNLABELED,167.541,198.48,197.29,166.403,29.749,32.077,954.2583,345.127,83.3398,182.4155,182.4415,0.9274,8,1,0,1,rgb,230,230,230,0,none,,,,0.0,130.5204,19.4603,131.0155,33.5506,0.0,593.0,387.0,0.0,345.2328
hop,5,path,,UNLABELED,179.812,209.039,209.602,177.016,29.79,32.023,953.9657,346.9183,83.903,194.707,193.0275,0.9303,8,1,0,1,rgb,230,230,230,0,none,,,,0.0,131.1787,19.3252,130.7721,33.6849,0.0,593.0,387.0,0.0,347.0392
hop,6,path,,UNLABELED,192.397,219.74,221.943,187.711,29.546,32.029,946.3292,342.5471,83.9106,207.17,203.7255,0.9225,8,1,0,1,rgb,230,230,230,0,none,,,,0.0,130.8045,19.5822,130.7426,33.3848,0.0,593.0,387.0,0.0,343.1947
hop,7,path,,UNLABELED,215.877,217.705,234.559,198.321,18.682,19.384,362.1318,174.2388,49.4158,225.218,208.013,0.9638,6,1,0,1,rgb,230,230,230,0,none,,,,0.0,129.9228,3.0641,130.8979,16.34,0.0,593.0,387.0,0.0,174.2388
hop,8,path,,UNLABELED,196.712,198.61,245.468,155.544,48.756,43.066,2099.7262,291.1662,137.5475,221.09,177.077,1.1321,24,1,0,1,rgb,230,230,230,0,none,,,,0.0,37.031,69.0448,40.7855,40.0166,0.0,593.0,387.0,0.0,520.4957
hop,9,path,,UNLABELED,129.867,196.148,142.727,184.709,12.86,11.439,147.1059,64.7845,23.2948,136.297,190.4285,1.1242,7,1,0,1,rgb,230,230,230,0,none,,,,0.0,138.1863,3.8973,135.9405,9.521,0.0,593.0,387.0,0.0,67.1077
hop,10,path,,UNLABELED,48.997,465.636,59.945,451.82,10.948,13.816,151.2575,64.7145,37.5314,54.471,458.728,0.7924,10,1,0,1,rgb,230,230,230,0,none,,,,0.0,44.8272,5.2424,45.9157,11.5478,0.0,593.0,387.0,0.0,69.9421
hop,11,path,,UNLABELED,266.298,329.623,275.752,319.661,9.454,9.962,94.1806,51.7353,30.6579,271.025,324.642,0.949,17,1,0,1,rgb,230,230,230,0,none,,,,0.0,158.5905,2.221,45.5971,4.6134,0.0,593.0,387.0,0.0,58.1542
hop,12,path,,UNLABELED,255.159,340.061,265.3,329.695,10.141,10.366,105.1216,54.4016,25.7969,260.2295,334.878,0.9783,18,1,0,1,rgb,230,230,230,0,none,,,,0.0,172.7564,2.2661,133.9062,5.7046,0.0,593.0,387.0,0.0,58.6078
hop,13,path,,UNLABELED,337.741,214.519,351.248,195.808,13.507,18.711,252.7292,99.4099,29.3128,344.4945,205.1635,0.7219,6,1,0,1,rgb,230,230,230,0,none,,,,0.0,55.0268,6.5369,46.267,11.2889,0.0,593.0,387.0,0.0,106.4861
hop,14,path,,UNLABELED,127.652,314.078,164.641,272.186,36.989,41.892,1549.5434,783.1711,87.9601,146.1465,293.132,0.883,11,1,0,1,rgb,230,230,230,0,none,,,,0.0,68.6816,2.0874,59.5055,28.0615,0.0,593.0,387.0,0.0,796.6574
hop,15,path,,UNLABELED,231.299,335.945,240.29,326.684,8.991,9.261,83.2655,37.2203,25.762,235.7945,331.3145,0.9708,10,1,0,1,rgb,230,230,230,0,none,,,,0.0,126.666,1.4004,135.575,7.4702,0.0,593.0,387.0,0.0,41.6423
