airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
hrt,0,0,0,192.75,517.0995,93.3859,19.6072
hrt,0,0,1,193.7205,507.3535,5.9058,0.7872
hrt,0,0,2,194.3855,503.698,94.2322,7.4122
hrt,0,0,3,194.2115,499.9805,2.7506,0.896
hrt,0,0,4,194.17,494.1035,93.9663,11.7391
hrt,0,0,5,193.3405,488.128,5.5475,2.4826
hrt,0,0,6,190.5945,487.8805,4.8248,3.0318
hrt,0,0,7,188.7705,493.664,93.0359,11.8386
hrt,0,0,8,187.813,499.527,4.2623,1.2916
hrt,0,0,9,186.9225,503.213,93.7769,7.4843
hrt,0,0,10,187.195,506.9875,4.4617,1.0411
hrt,0,0,11,187.1495,516.745,93.3248,19.4668
hrt,1,0,0,141.1325,316.2635,4.1362,6.2252
hrt,1,0,1,137.842,319.231,93.3348,6.3948
hrt,1,0,2,140.7075,322.6205,3.703,6.1158
hrt,1,0,3,143.8185,322.046,94.4074,1.5486
hrt,1,0,4,143.9955,319.7055,94.2841,3.1458
hrt,2,0,0,170.5315,113.811,4.1011,7.1313
hrt,2,0,1,166.932,114.1745,93.9769,1.24
hrt,2,0,2,166.3975,114.75,4.9998,0.9868
hrt,2,0,3,165.696,117.7915,93.8948,6.1833
hrt,2,0,4,166.014,120.907,3.3607,1.0578
hrt,2,0,5,170.0715,121.179,3.9061,7.0754
hrt,2,0,6,173.7905,118.5615,93.7928,5.7296
hrt,3,0,0,133.5605,324.4465,3.8565,4.6535
hrt,3,0,1,130.9215,328.7015,94.1165,8.8458
hrt,3,0,2,132.9545,333.0695,178.9397,4.7018
hrt,3,0,3,135.408,331.5465,93.9823,2.9662
hrt,3,0,4,135.5935,328.9365,94.1741,2.267
hrt,4,0,0,148.255,320.0675,94.1743,2.9949
hrt,4,0,1,147.8845,325.1525,94.1644,7.202
hrt,4,0,2,147.5405,329.88,94.154,2.278
hrt,4,0,3,147.4305,331.3935,94.1659,0.757
hrt,4,0,4,158.1015,332.549,4.1593,21.4535
hrt,4,0,5,168.8945,333.361,19.7949,0.2009
hrt,4,0,6,169.067,333.457,38.4776,0.1993
hrt,4,0,7,169.7485,334.2455,50.2838,1.8889
hrt,4,0,8,173.3035,292.9835,94.0209,84.1842
hrt,4,0,9,176.614,246.081,94.1783,9.8542
hrt,4,0,10,179.696,202.3835,94.0162,77.7579
hrt,4,0,11,182.3665,163.408,74.7056,0.3981
hrt,4,0,12,182.2385,163.0375,67.0727,0.3876
hrt,4,0,13,182.0575,162.693,57.5626,0.3934
hrt,4,0,14,181.8435,162.3995,49.604,0.3348
hrt,4,0,15,179.904,160.8075,38.6539,4.6893
hrt,4,0,16,174.245,156.3885,37.6614,9.6711
hrt,4,0,17,166.5355,150.482,37.2542,9.753
hrt,4,0,18,158.265,144.167,37.4605,11.0586
hrt,4,0,19,153.7365,140.8515,161.2011,0.2947
hrt,4,0,20,153.461,140.9505,159.2547,0.2909
hrt,4,0,21,153.186,141.0645,155.7894,0.3048
hrt,4,0,22,152.915,141.199,151.3919,0.3007
hrt,4,0,23,152.54,141.419,148.655,0.5691
hrt,4,0,24,149.9545,144.5105,128.5135,7.5237
hrt,4,0,25,142.6345,153.6025,128.9918,15.8214
hrt,4,0,26,137.258,160.235,129.502,1.2545
