airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
hwo,0,0,0,141.995,375.91,89.6005,10.0402
hwo,0,0,1,141.385,381.605,133.6981,1.8673
hwo,0,0,2,140.785,393.34,89.7669,22.1202
hwo,0,0,3,131.035,404.43,179.8245,19.5901
hwo,0,0,4,122.415,405.035,26.0753,2.6163
hwo,0,0,5,132.175,405.59,179.8665,17.1701
hwo,0,0,6,141.025,405.76,35.6402,0.6522
hwo,0,0,7,141.525,406.205,47.3378,0.6935
hwo,0,0,8,141.875,406.745,68.0256,0.6146
hwo,0,0,9,142.065,407.345,76.6081,0.6476
hwo,0,0,10,142.07,410.23,91.5602,5.1419
hwo,0,0,11,142.05,412.935,69.675,0.2879
hwo,0,0,12,142.245,413.12,19.0271,0.3068
hwo,0,0,13,142.915,413.17,0.0,1.05
hwo,0,0,14,143.44,413.82,90.0,1.3
hwo,0,0,15,143.12,414.535,168.5189,0.6531
hwo,0,0,16,142.585,414.77,141.6652,0.5482
hwo,0,0,17,142.16,415.225,126.3846,0.708
hwo,0,0,18,141.89,415.89,98.9733,0.7694
hwo,0,0,19,141.86,426.13,89.8257,19.7201
hwo,0,0,20,141.84,436.715,93.9448,1.4534
hwo,0,0,21,140.73,441.225,105.645,7.8612
hwo,0,0,22,139.505,445.525,107.765,1.0816
hwo,0,0,23,139.305,446.15,107.6518,0.2309
hwo,0,0,24,139.18,446.43,117.8966,0.3847
hwo,0,0,25,138.985,446.73,128.9274,0.3342
hwo,0,0,26,138.745,446.975,139.5749,0.3547
hwo,0,0,27,138.41,447.195,152.2994,0.4518
hwo,0,0,28,138.02,447.355,163.8579,0.3956
hwo,0,0,29,137.215,447.445,176.7424,1.232
hwo,0,0,30,131.655,447.48,0.0,9.89
hwo,0,0,31,126.195,447.62,164.792,1.0674
hwo,0,0,32,125.33,447.865,163.3002,0.7308
hwo,0,0,33,124.62,448.02,172.0936,0.7269
hwo,0,0,34,123.935,448.07,0.0,0.65
hwo,0,0,35,123.215,448.01,8.6368,0.7991
hwo,0,0,36,122.385,447.805,18.4354,0.9171
hwo,0,0,37,121.58,447.45,29.5769,0.8509
hwo,0,0,38,120.885,446.975,39.1931,0.8387
hwo,0,0,39,120.215,446.3,49.9211,1.0717
hwo,0,0,40,119.605,445.34,64.2742,1.221
hwo,0,0,41,119.23,444.325,76.6911,0.9557
hwo,0,0,42,119.11,443.295,88.9858,1.1302
hwo,0,0,43,119.2,442.24,101.5345,1.0002
hwo,0,0,44,119.545,440.905,106.1692,1.7596
hwo,0,0,45,119.74,429.91,89.7177,20.3002
hwo,0,0,46,119.24,418.505,70.274,2.6665
hwo,0,0,47,118.59,416.89,60.9453,0.8237
hwo,0,0,48,118.125,416.255,46.0611,0.7638
hwo,0,0,49,117.395,415.73,28.264,1.0559
hwo,0,0,50,116.535,415.475,0.7248,0.7901
hwo,0,0,51,115.635,415.63,162.4206,1.0595
hwo,0,0,52,114.775,416.115,137.5257,0.9626
hwo,0,0,53,114.14,416.845,124.6583,0.9847
hwo,0,0,54,113.67,417.87,107.0376,1.2969
hwo,0,0,55,113.54,424.05,89.3817,11.1206
hwo,0,0,56,113.4,430.065,113.7284,0.994
hwo,0,0,57,112.995,430.8,126.2093,0.694
hwo,0,0,58,112.375,431.415,141.0887,1.0667
hwo,0,0,59,111.62,431.91,154.7994,0.7515
hwo,0,0,60,105.665,432.04,0.3061,11.2302
hwo,0,0,61,100.025,427.295,89.6962,9.4301
hwo,0,0,62,100.385,423.215,58.7715,1.4852
hwo,0,0,63,101.105,424.255,50.4043,1.0512
hwo,0,0,64,101.8,424.9,33.6898,0.8653
hwo,0,0,65,102.6,425.33,23.3557,0.9585
hwo,0,0,66,105.565,425.535,0.3404,5.0501
hwo,0,0,67,108.67,425.305,157.0998,1.2592
hwo,0,0,68,109.715,424.655,138.9453,1.2333
hwo,0,0,69,110.41,423.645,110.8149,1.2945
hwo,0,0,70,110.75,422.47,100.9229,1.161
hwo,0,0,71,110.705,399.775,89.5986,44.2511
hwo,0,0,72,110.42,377.23,72.8017,0.8793
hwo,0,0,73,110.08,376.39,63.4349,0.9391
hwo,0,0,74,106.64,371.03,56.8215,11.8045
hwo,0,0,75,103.065,365.56,56.938,1.2648
hwo,0,0,76,102.5,364.935,23.3561,0.4793
hwo,0,0,77,101.625,364.84,0.0,1.31
hwo,0,0,78,100.72,364.975,151.6306,0.5682
hwo,0,0,79,100.065,365.535,133.6194,1.1741
hwo,0,0,80,99.62,359.11,89.6654,13.7002
hwo,0,0,81,100.27,353.61,62.9279,3.0322
hwo,0,0,82,103.175,358.975,61.1153,9.1709
hwo,0,0,83,106.58,364.895,58.0081,4.4923
hwo,0,0,84,108.07,366.865,12.2241,0.6139
hwo,0,0,85,108.705,366.945,2.565,0.6707
hwo,0,0,86,109.285,366.91,168.4646,0.5001
hwo,0,0,87,109.8,366.615,137.7789,0.7292
hwo,0,0,88,110.235,366.105,121.9083,0.6243
hwo,0,0,89,110.32,350.525,89.7007,30.6304
hwo,0,0,90,109.99,334.525,69.9497,1.4584
hwo,0,0,91,109.29,333.315,49.3994,1.3829
hwo,0,0,92,108.275,332.475,29.1407,1.2938
hwo,0,0,93,107.05,331.985,14.8506,1.3656
hwo,0,0,94,104.295,331.855,178.7691,4.191
hwo,0,0,95,101.63,332.23,149.9326,1.3173
hwo,0,0,96,100.74,332.865,136.3741,0.8841
hwo,0,0,97,100.23,333.505,119.5597,0.7703
hwo,0,0,98,99.76,334.545,111.6614,1.5171
hwo,0,0,99,99.455,330.745,89.682,9.0101
hwo,0,0,100,99.84,327.125,65.1427,1.9507
hwo,0,0,101,100.515,328.325,49.9274,0.8233
hwo,0,0,102,101.12,328.98,44.9997,0.9617
hwo,0,0,103,101.72,329.44,24.7741,0.5727
hwo,0,0,104,104.195,329.56,0.0,4.43
hwo,0,0,105,106.805,329.48,168.5527,0.806
hwo,0,0,106,107.68,329.235,161.0285,1.0151
hwo,0,0,107,108.625,328.715,142.641,1.17
hwo,0,0,108,109.42,327.94,128.1572,1.0683
hwo,0,0,109,109.945,326.885,107.0707,1.3286
hwo,0,0,110,110.15,323.38,90.1996,5.74
hwo,0,0,111,110.025,320.16,68.9082,0.7503
hwo,0,0,112,109.615,319.395,56.4693,0.9957
hwo,0,0,113,108.965,318.635,42.6142,1.0191
hwo,0,0,114,108.02,318.025,24.9343,1.2572
hwo,0,0,115,111.475,317.74,179.7155,8.0501
hwo,0,0,116,115.06,317.965,150.8906,1.0072
hwo,0,0,117,114.17,318.595,139.4516,1.1844
hwo,0,0,118,113.39,319.415,127.185,1.092
hwo,0,0,119,112.985,320.39,97.9071,1.0904
hwo,0,0,120,112.92,323.55,89.7813,5.24
hwo,0,0,121,112.975,326.615,84.2258,0.8945
hwo,0,0,122,113.18,327.385,63.7895,0.7245
hwo,0,0,123,113.555,328.055,58.0694,0.813
hwo,0,0,124,113.965,328.625,49.0845,0.5955
hwo,0,0,125,114.555,329.08,30.2108,0.9142
hwo,0,0,126,115.98,329.505,10.7207,2.0966
hwo,0,0,127,130.14,329.71,0.0437,26.26
hwo,0,0,128,143.625,329.575,157.782,0.767
hwo,0,0,129,144.415,329.165,148.6503,1.0187
hwo,0,0,130,145.22,328.54,135.785,1.0325
hwo,0,0,131,145.8,327.86,123.2742,0.7655
hwo,0,0,132,146.04,323.96,90.4801,7.1603
hwo,0,0,133,146.015,319.935,82.9541,0.8968
hwo,0,0,134,145.655,319.095,52.3267,0.9981
hwo,0,0,135,144.935,318.36,39.3266,1.073
hwo,0,0,136,144.04,317.785,26.0859,1.0689
hwo,0,0,137,148.875,317.52,179.6766,10.6302
hwo,0,0,138,153.67,317.675,160.4161,1.1038
hwo,0,0,139,152.415,318.215,154.2201,1.6325
hwo,0,0,140,151.085,318.99,144.7826,1.4566
hwo,0,0,141,150.17,319.825,127.6347,1.0481
hwo,0,0,142,149.61,320.6,123.6898,0.8653
hwo,0,0,143,149.11,321.635,111.0665,1.4467
hwo,0,0,144,148.755,322.805,100.864,1.0081
hwo,0,0,145,148.64,324.9,90.716,3.2002
hwo,0,0,146,148.74,327.015,76.8844,1.0576
hwo,0,0,147,149.22,327.945,49.0588,1.0988
hwo,0,0,148,149.98,328.68,38.659,1.0245
hwo,0,0,149,150.875,329.175,19.4705,1.0501
hwo,0,0,150,163.145,329.29,179.7081,23.5503
hwo,0,0,151,175.23,329.155,166.3999,0.6379
hwo,0,0,152,175.795,328.925,148.7069,0.5968
hwo,0,0,153,176.275,328.45,125.1112,0.7824
hwo,0,0,154,176.755,327.68,119.5394,1.0345
hwo,0,0,155,177.25,326.7,114.3623,1.1636
hwo,0,0,156,177.48,323.135,89.8112,6.07
hwo,0,0,157,177.265,319.58,68.4841,1.1179
hwo,0,0,158,176.865,318.815,51.4837,0.6262
hwo,0,0,159,176.445,318.35,44.3556,0.6294
hwo,0,0,160,175.92,317.93,33.6901,0.7211
hwo,0,0,161,175.055,317.55,17.6703,1.186
hwo,0,0,162,178.595,317.345,179.6509,8.2102
hwo,0,0,163,182.32,317.54,149.9316,0.8782
hwo,0,0,164,181.605,318.04,140.1105,0.8732
hwo,0,0,165,180.865,318.87,126.3663,1.3661
hwo,0,0,166,180.4,319.985,96.0615,1.1364
hwo,0,0,167,180.34,323.455,90.0,5.81
hwo,0,0,168,180.495,326.77,69.2913,0.8766
hwo,0,0,169,180.815,327.475,60.7805,0.676
hwo,0,0,170,181.135,327.995,55.4384,0.5465
hwo,0,0,171,181.46,328.395,45.8286,0.4879
hwo,0,0,172,182.05,328.755,23.7722,0.9179
hwo,0,0,173,182.885,329.015,10.2457,0.8435
hwo,0,0,174,185.345,329.07,179.4395,4.0902
hwo,0,0,175,187.975,328.97,172.2127,1.1809
hwo,0,0,176,189.06,328.61,150.7513,1.1461
hwo,0,0,177,189.905,327.865,126.5733,1.158
hwo,0,0,178,190.475,326.885,113.6008,1.124
hwo,0,0,179,190.725,330.195,89.6256,7.6502
hwo,0,0,180,190.435,333.38,63.7945,1.4266
hwo,0,0,181,189.825,332.4,49.054,0.9003
hwo,0,0,182,189.205,331.88,28.9789,0.743
hwo,0,0,183,188.4,331.54,18.4355,1.0119
hwo,0,0,184,185.26,331.38,0.0,5.32
hwo,0,0,185,182.335,331.515,153.0024,0.5948
