airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
ikv,0,0,0,207.58,73.945,71.1207,2.0397
ikv,0,0,1,206.975,72.275,68.6911,1.5135
ikv,0,0,2,206.155,70.825,53.8128,1.8461
ikv,0,0,3,204.77,69.35,40.9916,2.2257
ikv,0,0,4,203.11,68.175,28.4883,1.8659
ikv,0,0,5,201.625,67.4901,19.8439,1.414
ikv,0,0,6,200.115,67.13,8.0843,1.707
ikv,0,0,7,194.535,67.01,0.0,9.47
ikv,0,0,8,189.115,67.045,177.0747,1.3718
ikv,0,0,9,187.775,67.19,170.4655,1.3284
ikv,0,0,10,186.515,67.5851,154.7756,1.3375
ikv,0,0,11,185.58,68.2,135.0013,0.9334
ikv,0,0,12,184.985,68.855,129.1922,0.8387
ikv,0,0,13,184.555,69.565,113.1998,0.8377
ikv,0,0,14,184.28,70.62,99.3235,1.358
ikv,0,0,15,183.97,119.67,90.2369,96.7608
ikv,0,0,16,183.965,168.83,75.9638,1.608
ikv,0,0,17,184.4,170.085,63.194,1.0644
ikv,0,0,18,185.07,171.01,46.3017,1.2448
ikv,0,0,19,185.935,171.71,29.8867,1.0034
ikv,0,0,20,186.68,172.065,18.7133,0.6546
ikv,0,0,21,187.665,172.26,7.5944,1.3619
ikv,0,0,22,193.485,172.335,179.833,10.2901
ikv,0,0,23,199.285,172.23,172.1766,1.3223
ikv,0,0,24,200.52,172.005,166.8963,1.191
ikv,0,0,25,201.71,171.65,160.1678,1.2969
ikv,0,0,26,202.815,171.16,151.3903,1.1277
ikv,0,0,27,203.8,170.53,143.6958,1.2161
ikv,0,0,28,204.74,169.755,137.3163,1.2243
ikv,0,0,29,205.545,168.92,130.2062,1.0999
ikv,0,0,30,206.23,167.98,122.3992,1.2317
ikv,0,0,31,206.885,166.89,119.6914,1.3123
ikv,0,0,32,207.645,164.815,106.1211,3.1332
ikv,0,0,33,208.05,173.56,90.1677,20.5001
ikv,0,0,34,207.365,181.84,71.6087,4.1521
ikv,0,0,35,206.305,179.245,57.0568,1.4895
ikv,0,0,36,205.245,177.875,48.6778,1.984
ikv,0,0,37,203.74,176.575,33.1426,2.0303
ikv,0,0,38,202.22,175.71,24.8292,1.4765
ikv,0,0,39,200.235,175.145,10.9739,2.679
ikv,0,0,40,194.45,174.905,179.8077,8.94
ikv,0,0,41,188.92,174.95,178.3789,2.1209
ikv,0,0,42,187.28,175.1,168.311,1.1846
ikv,0,0,43,186.25,175.41,157.1094,0.9769
ikv,0,0,44,185.385,175.96,139.0594,1.0988
ikv,0,0,45,184.61,176.8,126.8702,1.2
ikv,0,0,46,184.055,177.785,111.1133,1.0827
ikv,0,0,47,183.96,242.43,89.9107,128.2802
ikv,0,0,48,184.12,307.12,83.7737,1.1065
ikv,0,0,49,184.34,308.135,71.0127,0.9835
ikv,0,0,50,184.86,309.06,51.9524,1.1682
ikv,0,0,51,185.68,309.91,40.2933,1.2062
ikv,0,0,52,186.755,310.48,16.3133,1.2816
ikv,0,0,53,187.95,310.79,12.6338,1.1888
ikv,0,0,54,192.245,310.91,179.8456,7.43
ikv,0,0,55,197.54,310.885,179.4566,3.1601
ikv,0,0,56,199.815,310.7751,172.2163,1.4029
ikv,0,0,57,201.05,310.605,172.0915,1.0904
ikv,0,0,58,202.425,310.17,156.6774,1.8186
ikv,0,0,59,203.645,309.575,148.6001,0.9021
ikv,0,0,60,204.805,308.68,139.5818,2.0359
ikv,0,0,61,205.895,307.635,129.29,0.9949
ikv,0,0,62,206.435,306.86,119.9815,0.9005
ikv,0,0,63,207.09,305.53,114.5815,2.0674
ikv,0,0,64,207.805,303.455,104.0955,2.3405
ikv,0,0,65,208.03,311.825,90.3617,19.0104
ikv,0,0,66,207.625,320.435,68.9193,1.9184
ikv,0,0,67,206.985,318.795,68.3978,1.6026
ikv,0,0,68,206.21,317.32,56.6743,1.7474
ikv,0,0,69,205.045,315.96,42.605,1.8613
ikv,0,0,70,203.54,314.825,31.6265,1.926
ikv,0,0,71,202.05,314.095,18.5625,1.4135
ikv,0,0,72,200.545,313.72,10.1847,1.6967
ikv,0,0,73,192.575,313.545,0.2008,14.2701
ikv,0,0,74,184.825,313.495,2.3273,1.231
ikv,0,0,75,183.915,313.555,163.9283,0.614
ikv,0,0,76,183.23,313.76,162.8959,0.8161
ikv,0,0,77,180.46,316.31,134.4043,6.8027
ikv,0,0,78,177.77,319.32,118.1241,1.3153
ikv,0,0,79,177.355,320.44,101.0037,1.1002
ikv,0,0,80,177.235,321.47,91.7534,0.9804
ikv,0,0,81,177.34,322.53,78.1112,1.165
ikv,0,0,82,177.845,323.74,58.9703,1.4938
ikv,0,0,83,176.47,326.31,132.3621,5.224
ikv,0,0,84,173.845,327.825,25.6308,1.9188
ikv,0,0,85,172.54,327.225,22.8042,0.9546
ikv,0,0,86,171.575,327.095,174.0202,1.0557
ikv,0,0,87,170.345,327.305,167.6005,1.4437
ikv,0,0,88,169.12,327.775,148.7934,1.2159
ikv,0,0,89,165.39,331.275,135.224,9.044
ikv,0,0,90,160.77,335.84,135.616,3.9459
ikv,0,0,91,159.05,337.77,119.4069,1.2627
ikv,0,0,92,158.58,339.025,102.787,1.4459
ikv,0,0,93,158.27,396.135,90.1524,112.8104
ikv,0,0,94,158.255,453.345,80.4797,1.6325
ikv,0,0,95,158.595,454.805,72.6209,1.3727
ikv,0,0,96,159.09,455.93,58.3245,1.1045
ikv,0,0,97,159.875,456.79,38.2341,1.2603
ikv,0,0,98,161.19,457.41,15.6687,1.7033
ikv,0,0,99,180.26,457.745,0.3296,36.5006
ikv,0,0,100,199.085,457.77,172.079,1.1611
ikv,0,0,101,200.495,457.455,164.2814,1.7349
ikv,0,0,102,202.11,456.935,159.9282,1.6609
ikv,0,0,103,203.75,456.075,146.2333,2.069
ikv,0,0,104,205.135,454.925,132.3977,1.5572
ikv,0,0,105,206.18,453.645,126.4118,1.7521
ikv,0,0,106,207.04,452.13,112.7707,1.7569
ikv,0,0,107,207.64,450.565,109.0022,1.597
ikv,0,0,108,211.4,449.68,177.873,7.0048
ikv,0,0,109,215.29,450.695,71.1904,2.4192
ikv,0,0,110,215.99,452.545,66.2643,1.5403
ikv,0,0,111,216.875,454.01,52.8896,1.906
ikv,0,0,112,218.08,455.345,42.387,1.7059
ikv,0,0,113,219.595,456.415,29.2189,2.0281
ikv,0,0,114,221.235,457.17,19.0019,1.597
ikv,0,0,115,223.325,457.615,7.8902,2.6955
ikv,0,0,116,249.87,457.77,179.9318,50.42
ikv,0,0,117,275.635,457.665,172.3042,1.1201
ikv,0,0,118,276.605,457.49,166.4535,0.8538
ikv,0,0,119,277.455,457.15,151.1127,0.9936
ikv,0,0,120,278.2,456.625,137.4054,0.8422
ikv,0,0,121,278.645,456.145,124.6952,0.4743
ikv,0,0,122,278.9,455.655,112.1373,0.637
ikv,0,0,123,279.005,455.06,87.1348,0.6008
ikv,0,0,124,278.84,454.475,62.2427,0.6441
ikv,0,0,125,277.245,452.68,46.2599,4.18
ikv,0,0,126,280.025,446.89,134.6295,12.0281
ikv,0,0,127,284.54,442.27,130.4621,0.8938
ikv,0,0,128,284.935,441.51,104.0358,0.8658
ikv,0,0,129,285.065,440.595,92.8906,0.9913
ikv,0,0,130,285.09,439.625,90.0,0.95
ikv,0,0,131,286.85,440.905,44.9187,4.971
ikv,0,0,132,290.555,444.605,45.0,5.5013
ikv,0,0,133,287.32,451.835,134.4252,14.8005
ikv,0,0,134,281.185,457.895,140.9398,2.4598
ikv,0,0,135,279.44,459.085,152.287,1.7847
ikv,0,0,136,277.9,459.755,161.2216,1.5843
ikv,0,0,137,276.33,460.115,172.7033,1.6534
ikv,0,0,138,274.485,460.295,175.8152,2.0555
ikv,0,0,139,240.85,460.39,179.9649,65.22
ikv,0,0,140,185.535,460.355,0.1388,45.4101
ikv,0,0,141,161.89,460.455,170.6366,1.9054
ikv,0,0,142,160.3,460.98,150.3505,1.4959
ikv,0,0,143,159.155,461.95,129.5225,1.5557
ikv,0,0,144,158.345,463.645,106.0493,2.2788
ikv,0,0,145,157.875,465.915,97.5147,2.3704
ikv,0,0,146,157.825,481.035,89.5686,27.8908
ikv,0,0,147,139.425,494.9,0.2477,37.0103
ikv,0,0,148,120.765,479.805,89.4085,30.0316
ikv,0,0,149,120.605,464.215,89.5021,1.15
ikv,0,0,150,126.42,463.675,0.3444,11.6402
ikv,0,0,151,132.23,461.88,89.6868,3.66
ikv,0,0,152,132.155,449.34,89.6523,21.4204
ikv,0,0,153,138.615,438.605,179.7805,13.0501
ikv,0,0,154,145.095,433.91,89.4479,9.3405
ikv,0,0,155,150.295,429.24,0.0,10.49
ikv,0,0,156,155.56,424.58,90.2459,9.3201
ikv,0,0,157,150.01,419.87,0.5143,11.1404
ikv,0,0,158,144.255,416.26,87.0253,7.1296
ikv,0,0,159,149.78,412.79,0.903,11.4214
ikv,0,0,160,155.49,406.895,90.0,11.97
ikv,0,0,161,150.01,400.91,0.0,10.96
ikv,0,0,162,144.53,402.19,90.0,2.56
ikv,0,0,163,140.42,403.33,1.9509,8.2248
ikv,0,0,164,136.505,390.265,90.8644,25.8529
ikv,0,0,165,138.48,377.36,0.6439,3.5602
ikv,0,0,166,140.335,365.14,90.3511,24.4805
ikv,0,0,167,138.1,351.035,38.9159,5.9378
ikv,0,0,168,133.115,349.195,179.4647,5.3502
ikv,0,0,169,130.285,349.295,154.1797,0.3444
ikv,0,0,170,129.98,349.515,135.9705,0.4173
ikv,0,0,171,129.705,349.82,127.9981,0.4061
ikv,0,0,172,129.58,351.99,90.0,4.02
ikv,0,0,173,127.965,353.98,0.7097,3.2302
ikv,0,0,174,126.33,341.665,89.9068,24.59
ikv,0,0,175,133.525,329.3701,0.0,14.43
ikv,0,0,176,146.96,335.7,45.5021,17.749
ikv,0,0,177,154.46,341.985,177.9866,2.5616
ikv,0,0,178,155.695,341.34,85.7111,1.2034
ikv,0,0,179,155.485,339.935,78.4164,1.6435
ikv,0,0,180,154.995,338.475,63.6098,1.4624
ikv,0,0,181,154.22,337.12,57.2648,1.6643
ikv,0,0,182,153.205,335.745,50.0694,1.7605
ikv,0,0,183,108.47,291.035,44.9123,124.7409
ikv,0,0,184,100.16,211.035,134.9162,101.576
ikv,0,0,185,136.635,174.59,142.0285,1.5603
ikv,0,0,186,137.91,173.685,147.2209,1.57
ikv,0,0,187,139.145,173.03,158.1989,1.2386
ikv,0,0,188,140.145,172.69,165.487,0.878
ikv,0,0,189,141.13,172.51,172.8758,1.1287
ikv,0,0,190,159.13,172.39,179.8357,34.8801
ikv,0,0,191,177.08,172.295,174.9577,1.024
ikv,0,0,192,178.05,172.175,170.7403,0.9322
ikv,0,0,193,178.825,171.98,159.146,0.6742
ikv,0,0,194,179.48,171.575,140.029,0.8873
ikv,0,0,195,180.09,171.065,140.1933,0.7029
ikv,0,0,196,180.57,170.515,122.8688,0.7739
ikv,0,0,197,180.94,169.785,111.5576,0.8709
ikv,0,0,198,181.22,168.68,99.7272,1.4204
ikv,0,0,199,181.535,116.25,90.216,103.4608
ikv,0,0,200,195.09,64.415,179.5498,26.7208
ikv,0,0,201,208.18,69.61,92.9163,10.6137
ikv,0,1,0,159.91,174.89,179.967,34.74
ikv,0,1,1,141.755,175.03,170.5966,1.5914
ikv,0,1,2,140.635,175.29,158.79,0.7187
ikv,0,1,3,139.775,175.655,155.8858,1.1504
ikv,0,1,4,138.78,176.205,146.1706,1.1316
ikv,0,1,5,129.385,185.37,135.2417,25.1379
ikv,0,1,6,103.815,210.8,135.1121,46.9873
ikv,0,1,7,86.7,228.035,125.6617,1.6124
ikv,0,1,8,86.07,229.21,107.1026,1.0881
ikv,0,1,9,85.835,230.2,99.0666,0.9519
ikv,0,1,10,85.835,231.115,80.4331,0.9025
ikv,0,1,11,86.275,232.475,68.2524,1.9702
ikv,0,1,12,87.08,237.49,83.8747,8.2471
ikv,0,1,13,86.83,241.2,29.4759,1.5852
ikv,0,1,14,85.815,240.735,12.9941,0.6671
ikv,0,1,15,84.85,240.615,4.0218,1.2832
ikv,0,1,16,83.79,240.69,164.0553,0.8736
ikv,0,1,17,82.925,241.035,153.1774,0.9973
ikv,0,1,18,81.97,241.59,147.0945,1.2149
ikv,0,1,19,77.565,245.88,134.526,11.109
ikv,0,1,20,73.55,250.075,117.0496,0.5277
ikv,0,1,21,73.34,250.595,107.5261,0.5978
ikv,0,1,22,73.225,251.05,98.3665,0.3437
ikv,0,1,23,73.215,251.465,86.4948,0.4909
ikv,0,1,24,73.28,251.91,75.9658,0.4123
ikv,0,1,25,73.56,252.43,54.2922,0.7882
ikv,0,1,26,113.96,292.835,44.9393,113.4978
ikv,0,1,27,154.535,333.2,34.6583,0.9847
ikv,0,1,28,155.255,333.65,28.3545,0.7159
ikv,0,1,29,155.915,333.93,17.6844,0.7242
ikv,0,1,30,156.72,334.065,3.1101,0.9214
ikv,0,1,31,157.475,334.075,177.0893,0.5908
ikv,0,1,32,158.165,333.985,169.2494,0.8041
ikv,0,1,33,158.95,333.705,152.2715,0.8812
ikv,0,1,34,159.935,333.055,143.2078,1.486
ikv,0,1,35,163.615,329.48,134.5852,8.7896
ikv,0,1,36,167.03,325.77,119.6379,1.3346
ikv,0,1,37,167.53,324.74,110.6962,0.9621
ikv,0,1,38,167.745,324.015,99.2931,0.5573
ikv,0,1,39,167.805,323.4601,93.0664,0.5608
ikv,0,1,40,167.745,322.795,78.9762,0.7845
ikv,0,1,41,167.465,321.875,69.035,1.1459
ikv,0,1,42,168.695,318.94,120.8759,5.5926
ikv,0,1,43,170.855,316.955,29.788,1.6708
ikv,0,1,44,172.05,317.56,22.0099,1.0139
ikv,0,1,45,172.835,317.765,2.7262,0.6307
ikv,0,1,46,173.695,317.78,0.0,1.09
ikv,0,1,47,174.675,317.67,165.8088,0.8974
ikv,0,1,48,175.465,317.315,145.3896,0.8627
ikv,0,1,49,176.34,316.71,145.3046,1.2649
ikv,0,1,50,178.115,315.01,133.1239,3.6718
ikv,0,1,51,179.84,313.005,125.2511,1.6287
ikv,0,1,52,180.6,311.77,116.9655,1.2791
ikv,0,1,53,181.065,310.58,105.7625,1.2884
ikv,0,1,54,181.36,309.25,99.5935,1.4401
ikv,0,1,55,181.42,301.57,89.5067,13.9405
ikv,0,1,56,181.31,237.045,89.9502,115.11
ikv,0,1,57,181.185,178.82,83.6126,1.3484
ikv,0,1,58,180.95,177.72,69.5903,0.9176
ikv,0,1,59,180.55,176.915,57.3802,0.8905
ikv,0,1,60,180.055,176.285,45.0009,0.7213
ikv,0,1,61,179.355,175.69,37.3812,1.12
ikv,0,1,62,178.49,175.17,23.1978,0.9139
ikv,0,1,63,177.675,174.935,7.928,0.7976
ikv,0,2,0,153.955,447.595,168.6904,0.4589
ikv,0,2,1,154.435,447.46,160.5575,0.5408
ikv,0,2,2,154.91,447.205,143.1314,0.55
ikv,0,2,3,155.31,446.89,140.1928,0.4686
ikv,0,2,4,155.565,446.5,107.354,0.5029
ikv,0,2,5,155.64,444.41,90.0,3.7
ikv,0,2,6,155.52,442.265,67.8652,0.6369
ikv,0,2,7,155.16,441.73,45.0,0.6788
ikv,0,2,8,154.745,441.355,37.6472,0.442
ikv,0,2,9,154.27,441.16,11.3094,0.6119
ikv,0,2,10,151.435,441.1,0.0,5.07
ikv,0,2,11,148.885,441.625,91.6374,1.0504
ikv,0,2,12,148.63,442.165,176.4238,0.4809
ikv,0,2,13,148.39,443.985,90.0,3.61
ikv,0,2,14,148.63,445.79,0.0,0.48
ikv,0,2,15,148.885,446.7,89.0552,1.8203
ikv,0,2,16,151.315,447.625,0.3559,4.8301
ikv,0,3,0,153.955,456.535,168.6867,0.4589
ikv,0,3,1,154.43,456.4,160.2019,0.5314
ikv,0,3,2,154.905,456.145,143.7471,0.558
ikv,0,3,3,155.31,455.83,140.1928,0.4686
ikv,0,3,4,155.565,455.44,107.354,0.5029
ikv,0,3,5,155.64,453.35,90.0,3.7
ikv,0,3,6,155.52,451.205,67.8652,0.6369
ikv,0,3,7,155.16,450.67,45.0,0.6788
ikv,0,3,8,154.745,450.295,37.6472,0.442
ikv,0,3,9,154.27,450.1,11.3094,0.6119
ikv,0,3,10,151.435,450.04,0.0,5.07
ikv,0,3,11,148.885,450.565,91.6374,1.0504
ikv,0,3,12,148.63,451.105,176.4238,0.4809
ikv,0,3,13,148.39,452.925,90.0,3.61
ikv,0,3,14,148.63,454.73,0.0,0.48
ikv,0,3,15,148.885,455.64,89.0552,1.8203
ikv,0,3,16,151.315,456.565,0.3559,4.8301
ikv,0,4,0,153.955,465.565,168.6867,0.4589
ikv,0,4,1,154.43,465.43,160.2019,0.5314
ikv,0,4,2,154.905,465.18,144.5821,0.5522
ikv,0,4,3,155.31,464.87,140.1956,0.4686
ikv,0,4,4,155.565,464.48,107.353,0.5029
ikv,0,4,5,155.64,462.39,90.0,3.7
ikv,0,4,6,155.52,460.24,68.1996,0.6462
ikv,0,4,7,155.16,459.7,45.0,0.6788
ikv,0,4,8,154.745,459.33,36.6056,0.436
ikv,0,4,9,154.27,459.14,11.3094,0.6119
ikv,0,4,10,151.435,459.08,0.0,5.07
ikv,0,4,11,148.885,459.6,91.6531,1.0404
ikv,0,4,12,148.63,460.135,176.4238,0.4809
ikv,0,4,13,148.39,461.955,90.0,3.61
ikv,0,4,14,148.63,463.76,0.0,0.48
ikv,0,4,15,148.885,464.67,89.0552,1.8203
ikv,0,4,16,151.315,465.595,0.3559,4.8301
ikv,0,5,0,154.525,474.495,168.6904,0.4589
ikv,0,5,1,155.005,474.36,160.558,0.5408
ikv,0,5,2,155.485,474.105,143.7471,0.558
ikv,0,5,3,155.885,473.795,140.3543,0.4545
ikv,0,5,4,156.135,473.41,107.3557,0.5029
ikv,0,5,5,156.21,471.32,90.0,3.7
ikv,0,5,6,156.09,469.17,68.1983,0.6462
ikv,0,5,7,155.735,468.63,45.6019,0.6718
ikv,0,5,8,155.32,468.26,35.8386,0.4441
ikv,0,5,9,154.84,468.07,11.3097,0.6119
ikv,0,5,10,152.005,468.01,0.0,5.07
ikv,0,5,11,149.225,468.0,2.3396,0.4904
ikv,0,5,12,148.975,468.535,90.5261,1.0901
ikv,0,5,13,148.97,470.885,90.0,3.61
ikv,0,5,14,148.975,473.6,89.6849,1.82
ikv,0,5,15,149.225,474.51,0.0,0.49
ikv,0,5,16,151.885,474.525,0.3559,4.8301
ikv,0,6,0,154.58,483.425,168.4404,0.4491
ikv,0,6,1,155.055,483.29,160.5605,0.5408
ikv,0,6,2,155.535,483.035,143.7455,0.5581
ikv,0,6,3,155.94,482.725,141.1476,0.4623
ikv,0,6,4,156.195,482.34,107.3546,0.5029
ikv,0,6,5,156.27,480.25,90.0,3.7
ikv,0,6,6,156.15,478.1,68.1973,0.6462
ikv,0,6,7,155.79,477.56,45.0009,0.6788
ikv,0,6,8,155.37,477.19,35.8386,0.4441
ikv,0,6,9,154.895,477.0,11.4962,0.6021
ikv,0,6,10,152.065,476.94,0.0,5.07
ikv,0,6,11,149.275,476.945,178.8756,0.5101
ikv,0,6,12,149.02,477.48,90.0,1.06
ikv,0,6,13,149.02,479.815,90.0,3.61
ikv,0,6,14,149.02,482.53,90.0,1.82
ikv,0,6,15,149.275,483.44,0.0,0.51
ikv,0,6,16,151.945,483.455,0.3559,4.8301
ikv,0,7,0,154.635,492.465,168.6904,0.4589
ikv,0,7,1,155.11,492.33,160.1988,0.5314
ikv,0,7,2,155.585,492.075,143.7471,0.558
ikv,0,7,3,155.99,491.76,140.1956,0.4686
ikv,0,7,4,156.245,491.37,107.3546,0.5029
ikv,0,7,5,156.32,489.28,90.0,3.7
ikv,0,7,6,156.2,487.135,67.8639,0.6369
ikv,0,7,7,155.84,486.6,44.9991,0.6788
ikv,0,7,8,155.42,486.225,36.8718,0.45
ikv,0,7,9,154.945,486.03,11.4962,0.6021
ikv,0,7,10,152.115,485.97,0.0,5.07
ikv,0,7,11,149.325,485.95,4.4856,0.5116
ikv,0,7,12,149.07,486.49,90.0,1.12
ikv,0,7,13,149.07,488.855,90.0,3.61
ikv,0,7,14,149.075,491.57,89.6854,1.82
ikv,0,7,15,149.33,492.48,0.0,0.5
ikv,0,7,16,151.995,492.495,0.3559,4.8301
ikv,1,0,0,29.3,128.26,0.0,2.88
ikv,2,0,0,29.305,172.02,0.0,2.89
ikv,3,0,0,29.31,215.78,0.0,2.88
ikv,4,0,0,29.31,259.54,0.0,2.88
ikv,5,0,0,29.32,347.07,0.0,2.88
ikv,6,0,0,29.33,390.83,0.0,2.88
ikv,7,0,0,29.33,434.59,0.0,2.88
ikv,8,0,0,29.335,478.35,0.0,2.89
ikv,9,0,0,357.34,128.26,0.0,2.88
ikv,10,0,0,357.335,172.02,0.0,2.89
ikv,11,0,0,357.33,215.78,0.0,2.88
ikv,12,0,0,357.33,259.54,0.0,2.88
ikv,13,0,0,357.32,347.06,0.0,2.88
ikv,14,0,0,357.315,390.83,0.0,2.89
ikv,15,0,0,357.31,434.59,0.0,2.88
ikv,16,0,0,357.305,478.35,0.0,2.89
ikv,17,0,0,96.37,523.55,90.0,2.88
ikv,18,0,0,129.17,523.55,90.0,2.88
ikv,19,0,0,161.97,523.545,90.0,2.89
ikv,20,0,0,227.56,523.545,90.0,2.89
ikv,21,0,0,260.35,523.55,90.0,2.88
ikv,22,0,0,293.15,523.55,90.0,2.88
ikv,23,0,0,325.96,304.75,90.0,2.88
ikv,24,0,0,293.16,304.75,90.0,2.88
ikv,25,0,0,260.36,304.74,90.0,2.88
ikv,26,0,0,227.56,304.74,90.0,2.88
ikv,27,0,0,161.96,304.74,90.0,2.88
ikv,28,0,0,129.16,304.745,90.0,2.89
ikv,29,0,0,96.36,304.75,90.0,2.88
ikv,30,0,0,63.56,304.75,90.0,2.88
ikv,31,0,0,63.54,85.95,90.0,2.88
ikv,32,0,0,96.35,85.945,90.0,2.89
ikv,33,0,0,129.15,85.94,90.0,2.88
ikv,34,0,0,161.96,85.94,90.0,2.88
ikv,35,0,0,227.57,85.94,90.0,2.88
ikv,36,0,0,260.37,85.94,90.0,2.88
ikv,37,0,0,293.17,85.94,90.0,2.88
ikv,38,0,0,325.98,85.95,90.0,2.88
ikv,39,0,0,218.37,425.81,90.0,7.22
ikv,40,0,0,218.315,118.725,89.9602,14.39
ikv,41,0,0,109.82,249.515,44.9447,7.3186
ikv,42,0,0,278.865,418.685,45.0,6.463
ikv,43,0,0,218.705,421.135,79.1459,3.4518
ikv,43,0,1,218.705,422.76,12.155,0.6649
ikv,43,0,2,218.06,422.76,167.661,0.6551
ikv,44,0,0,276.22,415.585,34.0125,3.4503
ikv,44,0,1,277.37,416.73,147.2646,0.6657
ikv,44,0,2,276.91,417.19,122.7336,0.6657
ikv,45,0,0,112.81,253.005,34.0124,3.4503
ikv,45,0,1,111.66,251.86,147.2635,0.6657
ikv,45,0,2,112.12,251.4,122.7354,0.6657
ikv,46,0,0,218.005,125.755,79.146,3.4518
ikv,46,0,1,218.005,124.135,12.9968,0.6671
ikv,46,0,2,218.655,124.135,167.0032,0.6671
ikv,47,0,0,202.81,140.54,90.0,14.38
ikv,48,0,0,202.505,147.565,79.146,3.4518
ikv,48,0,1,202.505,145.945,12.9968,0.6671
ikv,48,0,2,203.155,145.945,167.0032,0.6671
ikv,49,0,0,193.365,478.72,0.0,2.89
ikv,50,0,0,193.37,434.96,0.0,2.88
ikv,51,0,0,193.37,391.2,0.0,2.88
ikv,52,0,0,193.4,128.64,0.0,2.88
ikv,53,0,0,193.39,172.4,0.0,2.88
ikv,54,0,0,193.39,216.16,0.0,2.88
ikv,55,0,0,193.385,259.92,0.0,2.89
ikv,56,0,0,125.045,407.43,0.0,9.19
ikv,57,0,0,130.295,407.755,169.1459,3.4518
ikv,57,0,1,128.67,407.755,102.155,0.6649
ikv,57,0,2,128.67,407.105,77.845,0.6649
ikv,58,0,0,120.035,372.45,35.7432,13.9347
ikv,59,0,0,119.12,368.46,0.9094,10.0813
ikv,60,0,0,119.79,364.755,147.5905,13.527
ikv,61,0,0,126.005,377.14,25.007,3.4538
ikv,61,0,1,124.685,376.19,138.0782,0.6585
ikv,61,0,2,125.065,375.665,113.875,0.6671
ikv,62,0,0,124.825,368.88,169.963,3.4427
ikv,62,0,1,123.205,368.855,102.9946,0.6671
ikv,62,0,2,123.215,368.205,78.6896,0.6629
ikv,63,0,0,126.605,360.81,136.7642,3.4452
ikv,63,0,1,125.24,361.675,70.7505,0.6673
ikv,63,0,2,124.895,361.125,45.0005,0.6647
ikv,64,0,0,125.045,416.03,0.0,9.19
ikv,65,0,0,130.295,416.355,169.1459,3.4518
ikv,65,0,1,128.67,416.355,102.155,0.6649
ikv,65,0,2,128.67,415.705,77.845,0.6649
ikv,66,0,0,130.59,434.595,169.1146,3.4419
ikv,66,0,1,128.97,434.595,102.155,0.6649
ikv,66,0,2,128.97,433.945,77.845,0.6649
ikv,67,0,0,125.335,434.27,0.0,9.19
ikv,68,0,0,109.115,474.655,158.6294,11.6081
ikv,69,0,0,108.875,477.63,9.4533,10.4722
ikv,70,0,0,109.28,480.895,38.7369,12.7688
ikv,71,0,0,114.635,485.6,27.9749,3.4535
ikv,71,0,1,113.37,484.585,141.7461,0.6622
ikv,71,0,2,113.775,484.08,115.7962,0.6664
ikv,72,0,0,114.435,478.885,178.5057,3.4512
ikv,72,0,1,112.835,478.62,111.9607,0.6685
ikv,72,0,2,112.94,477.98,86.5317,0.6612
ikv,73,0,0,115.14,472.645,147.9241,3.4461
ikv,73,0,1,113.63,473.235,81.254,0.6576
ikv,73,0,2,113.395,472.635,56.0702,0.6629
ikv,74,0,0,122.75,447.665,158.6474,11.6175
ikv,75,0,0,122.51,450.64,9.4444,10.4821
ikv,76,0,0,122.915,453.91,38.73,12.7547
ikv,77,0,0,128.265,458.615,27.8282,3.4489
ikv,77,0,1,127.0,457.6,141.0728,0.6684
ikv,77,0,2,127.405,457.095,116.1755,0.6574
ikv,78,0,0,128.065,451.9,178.6716,3.4509
ikv,78,0,1,126.465,451.63,111.9607,0.6685
ikv,78,0,2,126.575,450.99,87.3969,0.6607
ikv,79,0,0,128.775,445.66,147.6948,3.4429
