airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
ilg,0,0,0,33.175,290.715,102.0366,6.186
ilg,0,0,1,28.44,292.865,12.0756,8.3651
ilg,0,0,2,24.995,288.965,102.0366,6.186
ilg,1,0,0,222.98,234.24,49.1458,40.2974
ilg,1,0,1,235.73,244.63,84.9334,9.7381
ilg,1,0,2,234.85,240.135,141.7306,1.1463
ilg,1,0,3,233.885,240.64,163.7604,1.0728
ilg,1,0,4,232.895,240.545,27.2853,1.0689
ilg,1,0,5,222.31,228.615,49.1332,30.9032
ilg,1,0,6,211.93,216.465,59.8587,1.0754
ilg,1,0,7,211.585,215.42,82.6323,1.1697
ilg,1,0,8,211.67,214.275,105.8109,1.1744
ilg,1,0,9,211.98,213.475,122.5502,0.5576
ilg,1,0,10,212.22,213.14,131.9887,0.2691
ilg,1,0,11,212.355,212.995,135.0049,0.1273
ilg,1,0,12,212.425,212.93,141.3274,0.064
ilg,1,0,13,212.455,212.905,135.0,0.0142
ilg,1,0,14,212.465,212.895,135.0438,0.0141
ilg,1,0,15,212.475,212.885,134.9563,0.0141
ilg,1,0,16,212.49,212.875,153.4175,0.0224
ilg,1,0,17,211.41,213.81,139.2258,2.8787
ilg,1,0,18,209.12,215.785,139.2222,3.1694
ilg,1,0,19,206.83,217.765,139.0758,2.8852
ilg,1,0,20,206.205,218.44,149.8594,1.0754
ilg,1,0,21,207.25,218.095,172.6308,1.1697
ilg,1,0,22,208.395,218.175,15.3407,1.1718
ilg,1,0,23,209.38,218.665,38.5772,1.0745
ilg,2,0,0,79.56,319.475,139.062,6.0893
ilg,2,0,1,81.235,317.69,161.4284,1.3187
ilg,2,0,2,79.755,317.97,175.3191,1.7157
ilg,2,0,3,78.115,317.71,22.8011,1.7031
ilg,2,0,4,76.62,316.86,36.2191,1.7601
ilg,2,0,5,75.145,315.46,48.9992,2.3321
ilg,2,0,6,74.055,313.46,73.8183,2.3324
ilg,2,0,7,73.705,312.0,85.7943,0.6818
ilg,2,0,8,73.71,310.94,92.3861,1.4413
ilg,2,0,9,73.94,309.47,104.9312,1.5524
ilg,2,0,10,75.095,307.36,125.0768,3.3236
ilg,2,0,11,77.535,305.25,153.2039,3.3273
ilg,2,0,12,79.795,304.415,173.7416,1.5593
ilg,2,0,13,81.28,304.405,6.0297,1.4279
ilg,2,0,14,77.57,303.52,12.2541,9.0461
ilg,2,0,15,73.425,303.07,61.6661,1.1589
ilg,2,0,16,73.645,304.15,95.5116,1.1453
