airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
imt,0,0,0,262.31,198.705,81.9036,2.4141
imt,0,0,1,261.885,200.955,119.4224,2.4224
imt,0,0,2,260.79,202.335,146.9764,1.1927
imt,0,0,3,259.68,202.815,165.7431,1.2588
imt,0,0,4,258.44,202.915,4.9888,1.2648
imt,0,0,5,257.265,202.62,23.7671,1.191
imt,0,0,6,259.43,199.945,138.0596,7.2865
imt,1,0,0,203.085,131.745,82.3327,23.4597
imt,1,0,1,202.08,143.715,172.3542,5.1861
imt,1,0,2,197.94,132.43,82.3118,23.471
imt,1,0,3,196.0,119.24,76.6571,3.2066
imt,1,0,4,194.965,116.225,65.4375,3.1995
imt,1,0,5,193.94,112.095,82.3352,5.3982
imt,1,0,6,195.485,109.16,172.2283,3.8453
imt,1,0,7,198.19,108.9,0.0,1.6
imt,1,0,8,199.795,109.11,14.6213,1.6639
imt,1,0,9,201.32,109.74,30.2563,1.6671
imt,1,0,10,202.6,110.73,45.5068,1.5981
imt,1,0,11,203.415,113.175,82.2554,3.7845
imt,1,0,12,203.16,115.54,136.1451,1.4145
imt,1,0,13,202.275,116.66,120.7625,1.4663
imt,1,0,14,201.705,118.0,105.3576,1.4726
imt,1,0,15,201.515,119.415,89.5939,1.41
imt,2,0,0,291.93,109.62,90.0,5.4
imt,2,0,1,283.82,112.32,0.0,16.22
imt,2,0,2,275.71,115.025,90.0,5.41
imt,2,0,3,268.63,117.73,0.0,14.16
imt,2,0,4,257.875,117.73,0.0,7.35
imt,2,0,5,252.795,117.73,0.0,2.81
imt,2,0,6,249.745,117.73,0.0,3.29
imt,2,0,7,245.695,117.73,0.0,4.81
imt,2,0,8,243.29,112.325,90.0,10.81
imt,2,0,9,243.425,106.92,0.0,0.27
imt,2,0,10,243.56,106.785,90.0,0.27
imt,2,0,11,245.315,106.65,0.0,3.51
imt,2,0,12,247.88,106.65,0.0,1.62
imt,2,0,13,248.69,106.785,90.0,0.27
imt,2,0,14,252.665,106.92,0.0,7.95
imt,2,0,15,256.64,106.785,90.0,0.27
imt,2,0,16,259.07,106.65,0.0,4.86
imt,2,0,17,261.5,106.785,90.0,0.27
imt,2,0,18,263.19,106.92,0.0,3.38
imt,2,0,19,264.88,106.785,90.0,0.27
imt,2,0,20,266.5,106.65,0.0,3.24
imt,2,0,21,268.12,106.785,90.0,0.27
imt,2,0,22,268.38,106.92,0.0,0.52
imt,2,0,23,268.64,106.785,90.0,0.27
imt,2,0,24,270.395,106.65,0.0,3.51
imt,2,0,25,272.15,106.785,90.0,0.27
imt,2,0,26,273.3,106.92,0.0,2.3
imt,2,0,27,274.45,106.785,90.0,0.27
imt,2,0,28,276.07,106.65,0.0,3.24
imt,2,0,29,277.69,106.785,90.0,0.27
imt,2,0,30,278.18,106.92,0.0,0.98
imt,2,0,31,278.67,106.785,90.0,0.27
imt,2,0,32,280.425,106.65,0.0,3.51
imt,2,0,33,282.18,106.785,90.0,0.27
imt,2,0,34,283.07,106.92,0.0,1.78
imt,2,0,35,283.96,106.785,90.0,0.27
imt,2,0,36,285.58,106.65,0.0,3.24
imt,2,0,37,287.2,106.785,90.0,0.27
imt,2,0,38,287.835,106.92,0.0,1.27
imt,2,0,39,288.47,106.785,90.0,0.27
imt,2,0,40,289.955,106.65,0.0,2.97
imt,2,0,41,291.44,106.785,90.0,0.27
imt,2,0,42,291.685,106.92,0.0,0.49
imt,3,0,0,261.055,117.825,169.1357,1.0081
imt,3,0,1,260.1,118.22,146.8888,1.0984
imt,3,0,2,259.34,118.975,123.3987,1.09
imt,3,0,3,258.945,119.93,100.7581,1.0179
imt,3,0,4,258.85,123.62,90.0,6.38
imt,3,0,5,259.25,129.06,79.9192,4.5706
imt,3,0,6,259.225,134.065,98.7696,5.5752
imt,3,0,7,258.355,137.12,146.014,1.0734
imt,3,0,8,256.135,138.03,161.034,3.7538
imt,3,0,9,232.765,141.545,172.3385,43.579
imt,3,0,10,210.31,144.74,161.3658,1.8152
imt,3,0,11,208.705,145.68,138.8953,1.9774
imt,3,0,12,207.53,147.215,115.9141,1.9679
imt,3,0,13,207.035,148.57,97.8742,0.9489
imt,3,0,14,206.965,149.265,91.2723,0.4501
imt,3,0,15,206.98,149.705,84.6863,0.4318
imt,3,0,16,206.675,147.51,82.3198,4.8636
imt,3,0,17,206.22,144.14,82.2882,1.9375
imt,3,0,18,230.095,139.945,172.3249,48.444
imt,3,0,19,254.63,136.54,162.2148,1.1132
imt,3,0,20,255.63,136.0,141.789,1.1963
imt,3,0,21,256.405,135.115,120.6361,1.1971
imt,3,0,22,256.81,134.05,100.3039,1.118
imt,3,0,23,256.91,126.965,90.0,13.07
imt,3,0,24,256.815,119.93,79.2436,1.0179
imt,3,0,25,256.415,118.975,56.1643,1.0955
imt,3,0,26,255.655,118.22,33.3987,1.09
imt,3,0,27,254.7,117.825,10.7581,1.0179
imt,3,0,28,255.555,117.73,0.0,2.71
imt,3,0,29,257.88,117.73,0.0,1.94
imt,3,0,30,260.2,117.73,0.0,2.7
imt,4,0,0,182.09,204.365,72.7681,1.9579
imt,4,0,1,183.06,206.11,49.9862,2.1152
imt,4,0,2,184.69,207.39,26.3234,2.1198
imt,4,0,3,186.615,207.915,3.2291,1.9531
imt,4,0,4,194.4,207.05,172.3062,13.7437
imt,4,0,5,202.125,205.825,161.5646,1.929
imt,4,0,6,203.825,204.84,139.0997,2.0771
imt,4,0,7,205.06,203.22,115.5817,2.0843
imt,4,0,8,205.585,201.79,98.7018,0.9914
imt,4,0,9,205.66,201.06,90.0,0.48
imt,4,0,10,205.65,200.705,85.0294,0.2309
imt,4,0,11,205.63,200.475,85.0294,0.2309
imt,4,0,12,205.96,202.905,82.3905,5.1352
imt,4,0,13,206.535,207.19,82.3083,3.5116
imt,4,0,14,207.385,213.48,82.3023,9.1828
imt,4,0,15,207.81,217.215,76.877,1.6737
imt,4,0,16,207.265,215.585,66.4632,1.7779
imt,4,0,17,205.685,213.365,48.9153,3.7281
imt,4,0,18,202.78,211.15,25.7406,3.7301
imt,4,0,19,200.22,210.21,8.4036,1.7791
imt,4,0,20,198.505,210.12,177.2568,1.6719
imt,4,0,21,191.95,210.93,172.3333,11.5432
imt,4,0,22,185.495,211.935,162.2693,1.5433
imt,4,0,23,184.12,212.7,140.3714,1.6619
imt,4,0,24,183.08,213.96,118.7196,1.6648
imt,4,0,25,182.6,215.075,101.739,0.7864
imt,4,0,26,182.505,215.655,94.3984,0.3912
