airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
ind,0,path,,UNLABELED,235.28,341.49,241.76,333.79,6.48,7.7,49.896,16.789,17.5489,238.52,337.64,0.8416,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,124.8776,6.6559,134.3489,4.9783,0.0,594.0,387.36,0.0,19.7772
ind,1,path,,UNLABELED,288.35,294.46,295.72,286.87,7.37,7.59,55.9382,16.8063,18.8805,292.035,290.665,0.971,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,139.1355,12.5276,133.8973,7.716,0.0,594.0,387.36,0.0,19.4869
ind,2,path,,UNLABELED,239.79,335.8,246.65,329.09,6.86,6.71,46.0308,22.8953,20.0427,243.22,332.445,1.0224,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,138.5032,3.6267,134.2483,7.008,0.0,594.0,387.36,0.0,25.1598
ind,3,path,,UNLABELED,267.3,308.72,274.48,301.75,7.18,6.97,50.0448,23.8468,19.3103,270.89,305.235,1.0301,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,137.7995,4.3453,135.4237,7.6511,0.0,594.0,387.36,0.0,26.3766
ind,4,path,,UNLABELED,274.97,291.87,289.93,283.34,14.96,8.53,127.609,23.9065,35.8473,282.45,287.605,1.7538,27,1,0,1,rgb,207,207,207,0,none,,,,0.0,148.3029,9.9712,135.4612,11.4202,0.0,594.0,387.36,0.0,37.613
ind,5,path,,UNLABELED,272.83,303.35,285.93,294.66,13.1,8.69,113.8391,25.2751,29.7921,279.38,299.005,1.5075,20,1,0,1,rgb,207,207,207,0,none,,,,0.0,148.0531,17.1968,140.7103,2.9847,0.0,594.0,387.36,0.0,37.8251
ind,6,path,,UNLABELED,307.25,275.72,312.79,270.24,5.54,5.48,30.3591,15.9947,13.7035,310.02,272.98,1.0109,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,139.2009,1.5149,45.2285,3.5497,0.0,594.0,387.36,0.0,16.9243
ind,7,path,,UNLABELED,245.01,330.78,256.56,320.4,11.55,10.38,119.8891,26.4853,28.8068,250.785,325.59,1.1127,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,138.5541,26.8514,137.0287,10.3868,0.0,594.0,387.36,0.0,31.8271
ind,8,path,,UNLABELED,258.59,318.48,269.03,306.93,10.44,11.55,120.5819,26.7599,28.7928,263.81,312.705,0.9039,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,132.621,27.2925,133.5029,10.2848,0.0,594.0,387.36,0.0,32.1967
ind,9,path,,UNLABELED,289.42,288.55,304.73,278.43,15.31,10.12,154.9371,53.1337,38.3435,297.075,283.49,1.5128,31,1,0,1,rgb,207,207,207,0,none,,,,0.0,151.4058,8.7328,135.3075,7.9056,0.0,594.0,387.36,0.0,67.5063
ind,10,path,,UNLABELED,227.67,347.91,233.78,342.81,6.11,5.1,31.161,12.0526,13.5204,230.725,345.36,1.198,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,148.029,3.8938,137.5968,3.2773,0.0,594.0,387.36,0.0,13.6628
ind,11,path,,UNLABELED,221.47,350.39,229.8,336.36,8.33,14.03,116.8699,23.8192,34.0502,225.635,343.375,0.5937,40,1,0,1,rgb,207,207,207,0,none,,,,0.0,120.8842,6.3897,135.4583,10.6069,0.0,594.0,387.36,0.0,35.8233
ind,12,path,,UNLABELED,218.87,356.9,229.44,346.15,10.57,10.75,113.6274,38.6323,29.1805,224.155,351.525,0.9833,22,1,0,1,rgb,207,207,207,0,none,,,,0.0,131.2742,15.0702,135.4861,5.8338,0.0,594.0,387.36,0.0,42.5946
ind,13,path,,UNLABELED,213.21,366.57,216.05,363.76,2.84,2.81,7.9804,2.9607,7.087,214.63,365.165,1.0107,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,135.5293,9.4569,136.1088,3.2887,0.0,594.0,387.36,0.0,2.9607
ind,14,path,,UNLABELED,197.32,384.99,200.48,381.25,3.16,3.74,11.8184,5.8471,7.2453,198.9,383.12,0.8449,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,80.2032,2.248,39.1653,1.9476,0.0,594.0,387.36,0.0,5.945
ind,15,path,,UNLABELED,205.58,369.49,212.06,364.09,6.48,5.4,34.9919,13.7735,14.218,208.82,366.79,1.2,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,149.475,4.0199,137.9111,3.3419,0.0,594.0,387.36,0.0,15.3874
ind,16,path,,UNLABELED,198.21,370.21,203.86,364.41,5.65,5.8,32.77,14.6614,16.5655,201.035,367.31,0.9741,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,68.7103,1.3888,135.5599,4.3419,0.0,594.0,387.36,0.0,16.7313
ind,17,path,,UNLABELED,213.62,362.86,220.21,355.46,6.59,7.4,48.7659,14.8736,19.9104,216.915,359.16,0.8905,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,122.4378,10.4267,133.7066,5.3259,0.0,594.0,387.36,0.0,17.3825
ind,18,path,,UNLABELED,210.21,366.04,215.58,360.97,5.37,5.07,27.226,14.9082,12.8475,212.895,363.505,1.0592,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,129.8266,2.0127,137.8935,3.9224,0.0,594.0,387.36,0.0,15.2343
ind,19,path,,UNLABELED,193.88,388.36,199.13,383.03,5.25,5.33,27.9825,14.9927,12.5825,196.505,385.695,0.985,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,122.2429,2.5854,136.5748,4.1169,0.0,594.0,387.36,0.0,15.1146
ind,20,path,,UNLABELED,201.85,373.46,207.5,367.51,5.65,5.95,33.6174,18.8513,16.7777,204.675,370.485,0.9496,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,127.3194,1.2187,30.3303,2.7922,0.0,594.0,387.36,0.0,20.6914
