airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
irk,0,path,,UNLABELED,212.88,348.73,233.55,332.04,20.67,16.69,344.9829,113.7285,82.6305,223.215,340.385,1.2385,29,1,0,1,rgb,207,207,207,0,none,,,,0.0,1.1048,3.7767,0.0,10.71,0.0,594.0,387.36,0.0,305.0418
irk,1,path,,UNLABELED,235.05,331.33,286.44,265.49,51.39,65.84,3383.5184,1081.536,379.7422,260.745,298.41,0.7805,87,1,0,1,rgb,207,207,207,0,none,,,,0.0,99.7822,1.9006,179.7394,46.1705,0.0,594.0,387.36,0.0,2751.4893
irk,2,path,,UNLABELED,210.29,480.44,236.91,111.34,26.62,369.1,9825.4395,1002.5605,880.6784,223.6,295.89,0.0721,87,1,0,1,rgb,207,207,207,0,none,,,,0.0,89.2781,280.3435,89.499,150.9758,0.0,594.0,387.36,0.0,8491.0374
irk,3,compound,,UNLABELED,52.04,305.68,55.19,300.83,3.15,4.85,15.2775,5.7272,22.4437,53.615,303.255,0.6495,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0099,2.634,105.0183,0.4245,0.0,594.0,387.36,0.0,12.1841
irk,4,path,,UNLABELED,55.92,301.51,56.6,300.83,0.68,0.68,0.4624,0.353,2.1208,56.26,301.17,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.0,1.1404,102.0931,0.1432,0.0,594.0,387.36,0.0,0.353
irk,5,path,,UNLABELED,57.91,305.51,59.22,300.91,1.31,4.6,6.026,2.6724,11.5921,58.565,303.21,0.2848,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,95.2382,23.0277,90.0,4.6,0.0,594.0,387.36,0.0,4.3084
irk,6,compound,,UNLABELED,61.0,305.52,63.07,303.44,2.07,2.08,4.3056,2.4073,10.0166,62.035,304.48,0.9952,34,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0771,1.1194,10.7826,0.4275,0.0,594.0,387.36,0.0,3.3568
irk,7,path,,UNLABELED,65.03,305.68,71.5,300.74,6.47,4.94,31.9618,9.0181,33.0757,68.265,303.21,1.3097,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,153.3446,1.264,67.9711,5.1456,0.0,594.0,387.36,0.0,22.2296
irk,8,compound,,UNLABELED,23.27,312.05,27.7,307.21,4.43,4.84,21.4412,6.0124,22.3587,25.485,309.63,0.9153,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.9083,1.2362,65.3601,5.3248,0.0,594.0,387.36,0.0,10.7206
irk,9,path,,UNLABELED,28.09,312.03,32.09,307.02,4.0,5.01,20.04,7.4703,27.5697,30.09,309.525,0.7984,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.7607,1.7653,132.8909,4.9956,0.0,594.0,387.36,0.0,19.22
irk,10,path,,UNLABELED,32.9,312.03,36.91,307.02,4.01,5.01,20.0901,7.4999,27.5866,34.905,309.525,0.8004,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.6598,1.7607,132.9748,5.0024,0.0,594.0,387.36,0.0,19.2681
irk,11,path,,UNLABELED,37.63,311.81,41.04,307.13,3.41,4.68,15.9588,6.0998,22.1429,39.335,309.47,0.7286,51,1,0,1,rgb,0,0,0,0,none,,,,0.0,105.4323,1.3749,90.0,2.91,0.0,594.0,387.36,0.0,14.7666
irk,12,compound,,UNLABELED,41.31,312.05,45.73,307.21,4.42,4.84,21.3928,6.0095,22.3305,43.52,309.63,0.9132,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.2413,1.244,114.542,5.3207,0.0,594.0,387.36,0.0,10.6964
irk,13,path,,UNLABELED,46.13,311.81,48.13,307.21,2.0,4.6,9.2,3.4331,13.2,47.13,309.51,0.4348,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,100.5501,10.2883,90.0,4.6,0.0,594.0,387.36,0.0,6.3166
irk,14,compound,,UNLABELED,50.26,311.81,53.16,307.21,2.9,4.6,13.3399,6.4202,23.4809,51.71,309.51,0.6304,45,2,0,1,rgb,0,0,0,0,none,,,,0.0,92.1062,3.0638,90.0,4.6,0.0,594.0,387.36,0.0,11.928
irk,15,compound,,UNLABELED,53.08,312.05,57.5,307.21,4.42,4.84,21.3928,6.0095,22.3305,55.29,309.63,0.9132,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.2413,1.244,114.542,5.3207,0.0,594.0,387.36,0.0,10.6964
irk,16,path,,UNLABELED,57.48,311.81,60.27,307.21,2.79,4.6,12.834,3.836,14.78,58.875,309.51,0.6065,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.3302,3.4463,90.0,4.09,0.0,594.0,387.36,0.0,8.335
irk,17,path,,UNLABELED,60.69,311.81,63.19,307.21,2.5,4.6,11.5,5.6416,21.7,61.94,309.51,0.5435,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,82.4744,2.6741,90.0,4.6,0.0,594.0,387.36,0.0,11.5
irk,18,compound,,UNLABELED,65.32,311.98,70.17,307.13,4.85,4.85,23.5225,7.4956,27.0449,67.745,309.555,1.0,114,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0066,1.0729,61.3907,0.3759,0.0,594.0,387.36,0.0,18.5124
irk,19,path,,UNLABELED,70.73,311.81,72.99,307.21,2.26,4.6,10.396,4.4226,16.92,71.86,309.51,0.4913,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,71.9613,3.9324,90.0,4.6,0.0,594.0,387.36,0.0,8.3643
irk,20,path,,UNLABELED,75.15,311.98,78.8,307.13,3.65,4.85,17.7024,5.1031,20.0683,76.975,309.555,0.7526,75,1,0,1,rgb,0,0,0,0,none,,,,0.0,87.3258,2.3148,90.0,0.68,0.0,594.0,387.36,0.0,14.9004
irk,21,path,,UNLABELED,79.46,311.81,82.78,307.21,3.32,4.6,15.272,6.6012,24.02,81.12,309.51,0.7217,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.958,2.0338,90.0,4.6,0.0,594.0,387.36,0.0,15.272
irk,22,compound,,UNLABELED,83.09,312.05,87.51,307.21,4.42,4.84,21.3928,6.0095,22.3305,85.3,309.63,0.9132,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.241,1.244,114.542,5.3207,0.0,594.0,387.36,0.0,10.6964
irk,23,path,,UNLABELED,87.91,312.03,91.91,307.02,4.0,5.01,20.04,7.4696,27.5697,89.91,309.525,0.7984,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.8026,1.7655,132.9748,5.0024,0.0,594.0,387.36,0.0,19.22
irk,24,path,,UNLABELED,92.46,311.98,96.89,307.13,4.43,4.85,21.4855,7.0542,26.8458,94.675,309.555,0.9134,100,1,0,1,rgb,0,0,0,0,none,,,,0.0,97.4739,1.4417,0.0,1.76,0.0,594.0,387.36,0.0,17.176
irk,25,path,,UNLABELED,97.5,311.81,100.0,307.21,2.5,4.6,11.5,5.6416,21.7,98.75,309.51,0.5435,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,82.4744,2.6741,90.0,4.6,0.0,594.0,387.36,0.0,11.5
irk,26,path,,UNLABELED,40.45,318.11,42.44,313.43,1.99,4.68,9.3132,3.2288,12.3171,41.445,315.77,0.4252,31,1,0,1,rgb,0,0,0,0,none,,,,0.0,77.1651,7.8436,90.0,2.92,0.0,594.0,387.36,0.0,5.7939
irk,27,compound,,UNLABELED,42.7,318.35,47.13,313.51,4.43,4.84,21.4413,5.9859,22.3771,44.915,315.93,0.9153,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.4822,1.2381,114.6398,5.3249,0.0,594.0,387.36,0.0,10.7207
irk,28,path,,UNLABELED,47.52,318.33,51.52,313.32,4.0,5.01,20.04,7.4874,27.5525,49.52,315.825,0.7984,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.7082,1.7662,132.8909,4.9956,0.0,594.0,387.36,0.0,19.22
irk,29,path,,UNLABELED,52.25,318.11,55.65,313.43,3.4,4.68,15.912,6.0345,22.1198,53.95,315.77,0.7265,51,1,0,1,rgb,0,0,0,0,none,,,,0.0,105.4217,1.3764,90.0,2.9,0.0,594.0,387.36,0.0,14.7298
irk,30,compound,,UNLABELED,55.92,318.35,60.35,313.51,4.43,4.84,21.4413,5.9859,22.3771,58.135,315.93,0.9153,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.815,1.2385,65.3603,5.3249,0.0,594.0,387.36,0.0,10.7207
irk,31,compound,,UNLABELED,60.74,318.11,63.65,313.51,2.91,4.6,13.3859,6.4655,23.4976,62.195,315.81,0.6326,45,2,0,1,rgb,0,0,0,0,none,,,,0.0,92.1045,3.0605,90.0,4.6,0.0,594.0,387.36,0.0,11.9722
irk,32,path,,UNLABELED,63.59,318.11,67.2,313.51,3.61,4.6,16.606,4.4144,16.4102,65.395,315.81,0.7848,10,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.3328,3.1664,59.466,2.9722,0.0,594.0,387.36,0.0,9.683
irk,33,path,,UNLABELED,69.22,318.28,72.16,313.51,2.94,4.77,14.0239,5.2177,20.6986,70.69,315.895,0.6164,47,1,0,1,rgb,0,0,0,0,none,,,,0.0,100.7782,1.9569,51.1736,3.2219,0.0,594.0,387.36,0.0,12.9869
irk,34,compound,,UNLABELED,72.64,318.28,75.79,313.43,3.15,4.85,15.2775,5.7282,22.4421,74.215,315.855,0.6495,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0136,2.6345,105.0183,0.4245,0.0,594.0,387.36,0.0,12.1828
irk,35,path,,UNLABELED,76.31,318.28,79.25,313.51,2.94,4.77,14.0239,5.2081,20.6931,77.78,315.895,0.6164,47,1,0,1,rgb,0,0,0,0,none,,,,0.0,100.8954,1.9534,51.1736,3.2219,0.0,594.0,387.36,0.0,12.9896
irk,36,path,,UNLABELED,79.71,318.11,82.79,313.43,3.08,4.68,14.4144,5.1086,20.6782,81.25,315.77,0.6581,67,1,0,1,rgb,0,0,0,0,none,,,,0.0,71.2431,2.6038,73.2563,2.4645,0.0,594.0,387.36,0.0,11.1028
irk,37,path,,UNLABELED,259.68,182.45,262.18,177.85,2.5,4.6,11.5,5.63,21.7401,260.93,180.15,0.5435,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,82.464,2.6584,90.0,4.6,0.0,594.0,387.36,0.0,11.5
irk,38,compound,,UNLABELED,262.83,180.91,265.73,176.23,2.9,4.68,13.572,5.3692,21.5469,264.28,178.57,0.6197,71,2,0,1,rgb,0,0,0,0,none,,,,0.0,92.0645,2.031,90.0,4.51,0.0,594.0,387.36,0.0,10.1563
irk,39,path,,UNLABELED,266.63,180.74,269.01,177.76,2.38,2.98,7.0924,3.3816,14.1133,267.82,179.25,0.7987,43,1,0,1,rgb,0,0,0,0,none,,,,0.0,106.107,1.3926,90.0,1.64,0.0,594.0,387.36,0.0,6.5365
irk,40,path,,UNLABELED,270.15,180.74,270.66,177.85,0.51,2.89,1.4739,1.4739,6.8,270.405,179.295,0.1765,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,88.2628,33.0866,90.0,2.89,0.0,594.0,387.36,0.0,1.4739
irk,41,path,,UNLABELED,270.07,182.45,270.83,181.68,0.76,0.77,0.5852,0.4455,2.3821,270.45,182.065,0.987,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.0,1.1296,14.935,0.1552,0.0,594.0,387.36,0.0,0.4455
irk,42,path,,UNLABELED,271.33,180.74,274.22,177.76,2.89,2.98,8.6122,2.8623,11.7332,272.775,179.25,0.9698,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,101.1797,1.4728,64.0539,3.314,0.0,594.0,387.36,0.0,4.3061
irk,43,compound,,UNLABELED,274.53,180.91,277.42,177.76,2.89,3.15,9.1036,4.5207,18.29,275.975,179.335,0.9175,73,2,0,1,rgb,0,0,0,0,none,,,,0.0,87.7512,1.8134,90.0,2.89,0.0,594.0,387.36,0.0,8.0489
