airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
iso,0,0,0,83.365,147.3,48.7353,6.8381
iso,0,0,1,88.65,147.22,138.8274,8.0507
iso,0,0,2,89.425,141.995,48.7904,6.8456
iso,1,0,0,349.61,446.145,138.9469,8.1156
iso,1,0,1,354.96,446.11,48.953,6.9745
iso,1,0,2,354.21,451.39,138.9211,8.0658
iso,2,0,0,344.995,445.66,121.4815,2.0872
iso,2,0,1,342.76,447.92,140.97,4.3511
iso,2,0,2,339.915,449.85,154.1337,2.5672
iso,2,0,3,337.725,449.765,31.9305,2.4391
iso,2,0,4,334.17,446.405,47.1332,7.4086
iso,2,0,5,330.58,444.635,138.5496,2.8551
iso,2,0,6,327.28,447.38,141.0903,5.7316
iso,2,0,7,323.94,449.735,153.4349,2.482
iso,2,0,8,321.79,449.62,32.7909,2.4743
iso,2,0,9,320.095,448.225,47.9038,1.9541
iso,2,0,10,318.925,446.365,65.594,2.4927
iso,2,0,11,318.485,445.1,119.9797,0.3002
iso,2,0,12,316.89,443.04,49.1309,5.1044
iso,2,0,13,313.135,442.935,138.8042,5.5418
iso,2,0,14,312.725,446.665,48.6759,5.0733
iso,2,0,15,314.555,448.495,154.1775,0.3444
iso,2,0,16,315.725,449.105,34.0147,2.449
iso,2,0,17,317.1,450.175,46.9215,1.0542
iso,2,0,18,317.755,450.945,52.5398,0.9701
iso,2,0,19,318.575,452.41,64.0754,2.4017
iso,2,0,20,318.845,453.9,121.8803,0.9657
iso,2,0,21,318.465,454.35,162.2549,0.2625
iso,2,0,22,316.41,452.195,48.6759,5.8456
iso,2,0,23,304.49,458.715,138.8995,26.5143
iso,2,0,24,297.76,471.195,49.1116,9.9605
iso,2,0,25,310.205,466.93,138.8384,24.4004
iso,2,0,26,336.43,478.34,48.764,51.702
iso,2,0,27,353.855,497.45,139.3996,1.0142
iso,2,0,28,337.465,477.925,48.8489,50.9843
iso,2,0,29,321.505,457.525,124.0724,2.9095
iso,2,0,30,322.87,455.78,135.5257,1.5416
iso,2,0,31,324.47,454.22,135.8303,2.9277
iso,2,0,32,325.97,452.855,142.5241,1.1341
iso,2,0,33,327.755,451.435,141.1572,3.428
iso,2,0,34,330.185,449.835,154.3845,2.4287
iso,2,0,35,332.32,449.985,32.985,2.4797
iso,2,0,36,333.945,451.26,45.7256,1.676
iso,2,0,37,334.62,451.955,46.5448,0.2617
iso,2,0,38,335.17,452.54,46.8091,1.3442
iso,2,0,39,335.865,453.27,45.6037,0.6718
iso,2,0,40,336.23,453.64,44.9983,0.3677
iso,2,0,41,336.48,453.865,38.369,0.3061
iso,2,0,42,336.69,454.02,33.6901,0.2163
iso,2,0,43,336.87,454.13,29.053,0.2059
iso,2,0,44,337.035,454.22,28.074,0.17
iso,2,0,45,337.21,454.295,19.2897,0.2119
iso,2,0,46,337.41,454.365,19.2908,0.2119
iso,2,0,47,337.605,454.43,17.5247,0.1993
iso,2,0,48,337.82,454.485,11.7695,0.2451
iso,2,0,49,338.045,454.53,10.783,0.2138
iso,2,0,50,338.235,454.555,3.3644,0.1703
iso,2,0,51,338.59,454.58,4.2372,0.5415
iso,2,0,52,339.005,454.595,178.026,0.2902
