airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
ith,0,0,0,35.035,447.235,46.5029,14.0197
ith,0,0,1,29.92,441.495,66.1187,1.4327
ith,0,0,2,29.465,440.265,73.9889,1.1964
ith,0,0,3,29.3,438.96,90.0,1.46
ith,0,0,4,29.36,437.565,95.1557,1.3354
ith,0,0,5,29.65,436.085,105.7594,1.6937
ith,0,0,6,30.22,434.715,121.4922,1.3017
ith,0,0,7,30.835,433.725,122.3005,1.0293
ith,0,0,8,46.29,419.38,137.4998,41.1787
ith,0,0,9,62.475,406.56,47.3234,2.9652
ith,0,0,10,61.99,409.015,137.507,4.0414
ith,0,0,11,59.31,411.47,137.5112,3.2275
ith,0,0,12,57.095,413.5,137.4771,2.7815
ith,0,0,13,55.335,415.235,132.7543,2.1654
ith,0,0,14,53.665,417.13,130.3644,2.8874
ith,0,0,15,51.955,419.245,127.3634,2.5541
ith,0,0,16,50.475,421.09,130.3444,2.178
ith,0,0,17,49.565,422.29,118.9891,0.846
ith,0,0,18,49.27,423.23,98.9726,1.1541
ith,0,0,19,49.255,424.28,81.1193,0.9717
ith,0,0,20,49.47,425.175,71.3583,0.876
ith,0,0,21,52.68,428.81,46.366,8.8979
ith,0,0,22,56.18,432.365,37.9216,1.0902
ith,0,0,23,57.235,432.98,24.1323,1.3697
ith,0,0,24,58.36,433.41,16.6994,1.044
ith,0,0,25,59.37,433.52,175.5153,1.0231
ith,0,0,26,60.3,433.34,161.5651,0.8854
ith,0,0,27,56.61,437.085,136.6121,11.3111
ith,0,0,28,52.685,440.375,107.272,1.2462
ith,0,0,29,52.99,439.245,102.642,1.0966
ith,0,0,30,53.095,438.36,87.5461,0.7006
ith,0,0,31,52.995,437.72,73.6638,0.6044
ith,0,0,32,52.765,437.075,67.7828,0.7669
ith,0,0,33,52.475,436.425,63.8245,0.6574
ith,0,0,34,49.205,432.72,47.4971,9.2507
ith,0,0,35,45.685,428.945,42.7399,1.0756
ith,0,0,36,44.88,428.465,15.6679,0.8516
ith,0,0,37,43.935,428.295,5.8696,1.0756
ith,0,0,38,43.01,428.35,164.2488,0.8104
ith,0,0,39,38.155,432.555,137.475,12.117
ith,0,0,40,33.58,436.995,107.6844,0.7242
ith,0,0,41,33.42,437.815,96.0089,0.9552
ith,0,0,42,33.41,438.8,85.5155,1.0231
ith,0,0,43,33.6,439.535,56.3098,0.5408
ith,0,0,44,37.145,443.535,48.0338,10.1541
ith,0,0,45,41.005,447.55,27.2994,1.0466
ith,0,0,46,41.91,447.875,10.9337,0.8963
ith,0,0,47,42.95,448.08,11.3102,1.2238
ith,0,0,48,44.11,448.07,166.9302,1.1498
ith,0,0,49,45.055,447.83,164.0545,0.8008
ith,1,0,0,87.38,408.555,104.837,1.5621
ith,1,0,1,87.665,407.295,99.5541,1.0242
ith,1,0,2,87.67,406.37,79.2159,0.8551
ith,1,0,3,87.57,405.73,84.8055,0.4418
ith,1,0,4,87.465,405.28,69.7165,0.4904
ith,1,0,5,87.355,404.89,81.1203,0.3239
ith,1,0,6,83.385,400.49,47.0641,11.5829
ith,1,0,7,79.065,396.11,20.4722,0.8006
ith,1,0,8,78.345,395.86,17.6844,0.7242
ith,1,0,9,77.68,395.795,171.9956,0.6463
ith,1,0,10,77.01,395.86,176.7288,0.7011
ith,1,0,11,76.46,395.995,150.1017,0.4614
ith,1,0,12,76.005,396.225,155.726,0.5595
ith,1,0,13,69.465,402.165,137.1754,17.1385
ith,1,0,14,62.19,406.9,47.7524,2.945
ith,1,0,15,88.485,380.73,137.4112,74.1209
ith,1,0,16,116.735,356.715,47.8203,2.8743
ith,1,0,17,109.035,365.66,137.7164,23.4245
ith,1,0,18,95.905,377.57,137.9313,12.0295
ith,1,0,19,89.91,383.185,133.9887,4.406
ith,1,0,20,87.515,385.745,131.5785,2.6068
ith,1,0,21,85.84,387.765,127.7801,2.6443
ith,1,0,22,84.63,389.24,132.9298,1.1746
ith,1,0,23,83.59,390.5,127.6353,2.0962
ith,1,0,24,82.805,391.765,108.4346,0.9171
ith,1,0,25,82.675,392.615,87.9301,0.8305
ith,1,0,26,82.74,393.285,78.9063,0.5197
ith,1,0,27,82.935,393.96,70.9536,0.8887
ith,1,0,28,86.685,398.385,48.0088,10.777
ith,1,0,29,90.85,402.605,21.0028,1.1997
ith,1,0,30,91.795,402.835,2.2311,0.7706
ith,1,0,31,92.9,402.795,175.6317,1.4442
ith,1,0,32,93.98,402.685,171.3147,0.7283
ith,2,0,0,169.58,333.0,120.63,1.7665
ith,2,0,1,170.125,331.545,97.7836,1.4029
ith,2,0,2,170.18,330.275,86.0205,1.1528
ith,2,0,3,170.0,329.28,71.5651,0.8854
ith,2,0,4,166.22,324.885,47.519,10.7797
ith,2,0,5,162.205,320.77,20.4722,0.8006
ith,2,0,6,161.165,320.57,5.1554,1.3354
ith,2,0,7,159.92,320.675,164.1203,1.206
ith,2,0,8,158.655,321.285,146.9906,1.6337
ith,2,0,9,157.045,322.45,142.1034,2.3444
ith,2,0,10,155.365,323.74,142.949,1.892
ith,2,0,11,153.825,324.85,145.4754,1.9056
ith,2,0,12,152.4,325.81,146.7252,1.531
ith,2,0,13,149.97,324.215,48.3841,5.3905
ith,2,0,14,152.74,317.885,136.5813,12.5559
ith,2,0,15,161.855,310.43,145.4195,11.0648
ith,2,0,16,168.18,306.035,144.6618,4.3396
ith,2,0,17,171.88,303.435,145.1276,4.7048
ith,2,0,18,174.495,301.645,146.9915,1.6337
ith,2,0,19,175.81,300.625,137.6134,1.7059
ith,2,0,20,177.115,299.125,126.1194,2.2902
ith,2,0,21,178.63,297.19,129.7493,2.6273
ith,2,0,22,180.27,295.26,131.0097,2.4383
ith,2,0,23,181.67,293.735,134.7617,1.7042
ith,2,0,24,182.58,292.6,120.3235,1.228
ith,2,0,25,183.11,291.38,107.6844,1.4485
ith,2,0,26,185.925,288.68,142.2399,6.5648
ith,2,0,27,189.335,286.165,148.2162,1.9176
ith,2,0,28,191.3,284.85,144.8412,2.8133
ith,2,0,29,193.43,283.32,143.6953,2.4321
ith,2,0,30,195.43,281.855,143.8562,2.5262
ith,2,0,31,197.205,280.59,145.4429,1.8335
ith,2,0,32,198.955,281.235,49.5002,3.0642
ith,2,0,33,199.455,282.855,137.412,1.3447
ith,2,0,34,198.465,283.765,137.4111,1.3447
ith,2,0,35,197.47,284.675,137.6977,1.3521
ith,2,0,36,196.43,285.935,123.8538,1.9387
ith,2,0,37,195.385,287.385,128.0593,1.6383
ith,2,0,38,194.475,288.52,129.5744,1.2714
ith,2,0,39,193.695,289.66,119.9819,1.5008
ith,2,0,40,193.195,290.97,100.7244,1.3435
ith,2,0,41,193.205,292.24,77.5214,1.2495
ith,2,0,42,193.485,293.08,57.77,0.5438
ith,2,0,43,197.295,297.44,48.4139,11.0434
ith,2,0,44,201.4,301.72,18.8242,0.9297
ith,2,0,45,202.25,301.92,6.9533,0.8261
ith,2,0,46,202.98,301.92,171.1188,0.6478
ith,2,0,47,203.595,301.92,9.6204,0.5984
ith,2,0,48,200.255,305.245,137.9822,9.7855
ith,2,0,49,196.92,307.92,116.5645,1.3416
ith,2,0,50,197.365,306.88,108.2398,0.9266
ith,2,0,51,197.4,306.12,71.0291,0.6767
ith,2,0,52,197.265,305.575,83.6596,0.4528
ith,2,0,53,197.185,305.155,74.2481,0.4052
ith,2,0,54,193.55,301.12,47.0069,10.4999
ith,2,0,55,189.695,297.045,40.5161,0.7235
ith,2,0,56,188.885,296.625,19.0747,1.1322
ith,2,0,57,187.94,296.39,6.9512,0.8261
ith,2,0,58,187.02,296.32,2.2462,1.0208
ith,2,0,59,185.995,296.53,155.9347,1.128
ith,2,0,60,184.925,297.085,149.6476,1.2863
ith,2,0,61,183.775,297.955,137.5115,1.6138
ith,2,0,62,182.485,299.075,140.3971,1.8041
ith,2,0,63,181.27,299.945,150.4338,1.1957
ith,2,0,64,180.255,300.695,137.4106,1.3447
