airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
jwn,0,path,,UNLABELED,183.6,135.96,227.67,93.44,44.07,42.52,1873.8562,598.8774,307.5857,205.635,114.7,1.0365,50,1,0,1,rgb,207,207,207,0,none,,,,0.0,138.7479,2.6636,165.204,31.0909,0.0,594.0,387.36,0.0,1282.5924
jwn,1,path,,UNLABELED,217.03,229.77,252.97,199.66,35.94,30.11,1082.154,482.862,82.0793,235.0,214.715,1.1936,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,142.0989,3.9023,164.1689,24.7799,0.0,594.0,387.36,0.0,484.4015
jwn,2,path,,UNLABELED,246.9,187.17,261.34,178.09,14.44,9.08,131.115,78.2582,29.198,254.12,182.63,1.5903,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,165.2227,4.9667,165.2479,13.5879,0.0,594.0,387.36,0.0,78.2582
jwn,3,path,,UNLABELED,220.03,125.21,242.69,81.16,22.66,44.05,998.1736,397.3064,211.2217,231.36,103.185,0.5144,24,1,0,1,rgb,207,207,207,0,none,,,,0.0,74.5792,5.0956,75.6785,29.2283,0.0,594.0,387.36,0.0,609.917
jwn,4,path,,UNLABELED,192.0,267.57,232.42,218.29,40.42,49.28,1991.8975,937.6248,142.2515,212.21,242.93,0.8202,30,1,0,1,rgb,207,207,207,0,none,,,,0.0,105.7454,3.2053,132.9464,17.7598,0.0,594.0,387.36,0.0,1138.9193
jwn,5,path,,UNLABELED,241.84,173.07,257.78,158.79,15.94,14.28,227.6237,152.051,35.9999,249.81,165.93,1.1162,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,166.2033,1.4307,165.4884,13.4491,0.0,594.0,387.36,0.0,152.051
jwn,6,path,,UNLABELED,228.08,154.97,252.9,122.62,24.82,32.35,802.9274,323.9564,125.8222,240.49,138.795,0.7672,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,64.1223,2.5074,74.96,29.9044,0.0,594.0,387.36,0.0,465.3102
jwn,7,path,,UNLABELED,193.23,203.37,226.97,137.21,33.74,66.16,2232.2379,1040.4676,233.8409,210.1,170.29,0.51,50,1,0,1,rgb,207,207,207,0,none,,,,0.0,71.3698,9.8852,74.548,25.5225,0.0,594.0,387.36,0.0,1285.9078
jwn,8,path,,UNLABELED,178.04,206.42,259.95,107.77,81.91,98.65,8080.4214,2454.534,662.6482,218.995,157.095,0.8303,100,1,0,1,rgb,207,207,207,0,none,,,,0.0,64.5876,4.4101,75.6873,34.1809,0.0,594.0,387.36,0.0,4908.393
jwn,9,path,,UNLABELED,175.99,217.12,184.94,206.31,8.95,10.81,96.7496,61.5095,27.7767,180.465,211.715,0.8279,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,62.0061,2.6091,77.4969,9.7,0.0,594.0,387.36,0.0,65.3298
jwn,10,path,,UNLABELED,171.05,228.87,177.71,223.21,6.66,5.66,37.6956,22.64,16.7118,174.38,226.04,1.1767,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,166.8529,1.283,74.66,5.3299,0.0,594.0,387.36,0.0,24.8943
jwn,11,path,,UNLABELED,178.02,220.53,182.73,215.9,4.71,4.63,21.8074,15.5738,11.5045,180.375,218.215,1.0173,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,152.3172,2.4766,164.9902,4.7107,0.0,594.0,387.36,0.0,15.5738
jwn,12,path,,UNLABELED,194.51,253.77,201.33,243.99,6.82,9.78,66.6997,42.2583,23.7614,197.92,248.88,0.6973,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,70.956,3.777,75.2423,6.1633,0.0,594.0,387.36,0.0,44.5036
jwn,13,path,,UNLABELED,151.74,126.34,160.45,119.91,8.71,6.43,56.0055,36.2615,18.4446,156.095,123.125,1.3546,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,165.3371,2.3144,165.6028,5.3892,0.0,594.0,387.36,0.0,36.3225
jwn,14,path,,UNLABELED,158.7,233.6,171.95,225.57,13.25,8.03,106.3975,51.1238,27.5626,165.325,229.585,1.6501,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,164.8112,4.6386,165.6868,7.5235,0.0,594.0,387.36,0.0,61.5826
jwn,15,path,,UNLABELED,176.3,230.28,184.73,219.28,8.43,11.0,92.7301,59.8791,28.2071,180.515,224.78,0.7664,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,84.5593,2.4217,77.4978,9.3313,0.0,594.0,387.36,0.0,63.976
jwn,16,path,,UNLABELED,180.81,247.95,190.86,229.31,10.05,18.64,187.3319,62.8839,41.4817,185.835,238.63,0.5392,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,70.3145,19.2648,73.5135,15.9977,0.0,594.0,387.36,0.0,76.6304
jwn,17,path,,UNLABELED,186.78,256.63,195.63,246.9,8.85,9.73,86.1107,55.8203,26.6524,191.205,251.765,0.9096,18,1,0,1,rgb,207,207,207,0,none,,,,0.0,86.8766,1.6158,75.4258,8.266,0.0,594.0,387.36,0.0,59.7337
jwn,18,path,,UNLABELED,183.55,213.48,218.42,200.73,34.87,12.75,444.5924,103.7837,54.3317,200.985,207.105,2.7349,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,165.1141,55.8654,165.2107,23.6226,0.0,594.0,387.36,0.0,138.0257
jwn,19,path,,UNLABELED,166.59,175.32,186.59,130.18,20.0,45.14,902.7997,138.8505,103.1201,176.59,152.75,0.4431,24,1,0,1,rgb,207,207,207,0,none,,,,0.0,69.9086,61.7475,73.2737,30.4378,0.0,594.0,387.36,0.0,230.1336
jwn,20,path,,UNLABELED,152.88,207.29,179.79,124.89,26.91,82.4,2217.3841,256.0473,174.9451,166.335,166.09,0.3266,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,74.7332,297.8224,75.1571,31.6977,0.0,594.0,387.36,0.0,424.5487
jwn,21,path,,UNLABELED,237.85,430.27,243.97,412.05,6.12,18.22,111.5063,33.4146,20.4429,240.91,421.16,0.3359,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,74.9294,26.7806,74.2863,6.7939,0.0,594.0,387.36,0.0,36.721
jwn,22,path,,UNLABELED,217.65,413.8,233.25,365.16,15.6,48.64,758.7843,142.5623,101.5283,225.45,389.48,0.3207,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,75.0265,197.0038,75.1407,33.2624,0.0,594.0,387.36,0.0,143.5251
jwn,23,path,,UNLABELED,221.16,362.97,232.35,342.44,11.19,20.53,229.7307,123.0819,45.8857,226.755,352.705,0.5451,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,74.7722,10.0976,74.6663,19.8154,0.0,594.0,387.36,0.0,123.0819
jwn,24,path,,UNLABELED,220.83,343.86,227.33,339.92,6.5,3.94,25.61,15.7804,11.1416,224.08,341.89,1.6497,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,166.156,5.8361,166.1486,6.0149,0.0,594.0,387.36,0.0,15.7804
jwn,25,path,,UNLABELED,188.32,345.95,201.99,338.02,13.67,7.93,108.4032,50.344,27.9123,195.155,341.985,1.7238,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,164.2172,4.9829,75.1887,6.4545,0.0,594.0,387.36,0.0,62.0342
jwn,26,path,,UNLABELED,228.26,444.18,235.43,438.26,7.17,5.92,42.4464,25.7693,17.207,231.845,441.22,1.2111,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,173.6469,1.401,74.9243,5.8824,0.0,594.0,387.36,0.0,28.2442
jwn,27,path,,UNLABELED,189.06,333.48,211.8,255.62,22.74,77.86,1770.5365,232.9233,162.3554,200.43,294.55,0.2921,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,76.4595,372.944,75.2892,30.2827,0.0,594.0,387.36,0.0,331.7421
jwn,28,path,,UNLABELED,233.9,445.5,241.34,435.3,7.44,10.2,75.888,49.0027,24.9016,237.62,440.4,0.7294,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,67.6044,3.2889,75.647,7.0191,0.0,594.0,387.36,0.0,50.5544
