airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
jwn,0,0,0,192.2,131.29,75.2254,3.7645
jwn,0,0,1,191.09,126.97,75.856,5.1563
jwn,0,0,2,189.985,122.665,75.2564,3.7329
jwn,0,0,3,188.98,118.375,77.9604,5.0818
jwn,0,0,4,187.895,113.86,74.709,4.209
jwn,0,0,5,192.7,110.49,165.9638,11.0499
jwn,0,0,6,200.625,108.46,164.9434,5.3124
jwn,0,0,7,210.22,105.945,165.4472,14.5261
jwn,0,0,8,217.775,106.125,75.3269,4.1452
jwn,0,0,9,211.27,109.95,165.4853,14.5235
jwn,0,0,10,204.895,114.22,75.0322,5.0721
jwn,0,0,11,212.355,114.925,165.6176,14.0503
jwn,0,0,12,219.62,114.95,75.4318,3.6576
jwn,0,0,13,213.275,118.465,165.6175,14.0504
jwn,0,0,14,207.06,122.675,76.5393,5.0692
jwn,0,0,15,214.25,123.45,165.6374,13.6259
jwn,0,0,16,221.4,123.88,75.4562,4.3804
jwn,0,0,17,224.81,125.605,172.1364,5.7743
jwn,0,0,18,224.055,111.05,75.6785,29.2283
jwn,0,0,19,220.02,95.345,74.792,3.2021
jwn,0,0,20,218.3,94.155,164.7264,2.6952
jwn,0,0,21,217.25,95.45,75.1066,1.9454
jwn,0,0,22,217.545,96.67,80.8701,0.5672
jwn,0,0,23,217.595,97.235,88.9955,0.5701
jwn,0,0,24,217.57,97.805,96.0087,0.5732
jwn,0,0,25,217.47,98.36,104.535,0.5578
jwn,0,0,26,217.3,98.89,111.0365,0.5572
jwn,0,0,27,217.01,99.36,132.1391,0.5664
jwn,0,0,28,216.605,99.74,141.6675,0.5482
jwn,0,0,29,216.16,100.05,148.6682,0.5385
jwn,0,0,30,215.69,100.285,158.4074,0.5162
jwn,0,0,31,215.325,99.89,75.6887,1.0114
jwn,0,0,32,208.995,100.975,165.7576,12.8035
jwn,0,0,33,202.435,101.24,74.8373,2.7145
jwn,0,0,34,208.29,98.325,165.5087,12.8281
jwn,0,0,35,214.08,95.08,75.6351,3.3858
jwn,0,0,36,198.63,97.41,165.204,31.0909
jwn,0,0,37,183.98,102.87,75.6928,3.0754
jwn,0,0,38,190.64,102.765,165.7493,12.9588
jwn,0,0,39,197.33,102.605,74.0547,2.9848
jwn,0,0,40,191.425,105.67,165.5269,13.044
jwn,0,0,41,185.72,109.695,75.7107,4.9429
jwn,0,0,42,186.85,114.125,75.6658,4.2008
jwn,0,0,43,188.0,118.625,75.6635,5.0885
jwn,0,0,44,189.09,122.895,75.7026,3.7254
jwn,0,0,45,190.19,127.195,75.6131,5.1515
jwn,0,0,46,191.295,131.525,75.7802,3.786
jwn,0,0,47,192.095,134.66,75.5498,2.6849
jwn,0,0,48,192.555,134.535,95.0131,2.8609
jwn,1,0,0,223.085,224.03,43.4702,16.6866
jwn,1,0,1,232.765,225.875,132.9437,10.6417
jwn,1,0,2,236.38,221.1,89.3488,1.7601
jwn,1,0,3,237.215,220.21,179.3223,1.6901
jwn,1,0,4,245.515,212.19,132.9447,21.8849
jwn,1,0,5,252.455,201.92,77.1629,4.6359
jwn,1,0,6,240.02,203.04,164.1689,24.7799
jwn,2,0,0,259.185,183.98,153.3817,4.821
jwn,2,0,1,260.69,180.495,74.8761,4.9826
jwn,2,0,2,253.47,179.82,165.2479,13.5879
jwn,2,0,3,247.63,184.36,75.4372,5.8065
jwn,3,0,0,235.635,119.37,164.7647,12.634
jwn,3,0,1,229.06,119.24,74.9891,3.7065
jwn,3,0,2,234.685,115.86,165.4021,12.6173
jwn,3,0,3,240.125,111.825,74.7845,5.0676
jwn,3,0,4,233.375,111.005,165.0481,12.5965
jwn,3,0,5,226.81,110.87,74.7451,3.6486
jwn,3,0,6,232.425,107.505,165.2472,12.6055
jwn,3,0,7,237.85,103.45,74.7053,5.0799
jwn,3,0,8,231.1,102.61,165.1683,12.5791
jwn,3,0,9,224.555,102.52,74.7022,3.5249
jwn,3,0,10,230.165,99.18,164.8925,12.5849
jwn,3,0,11,235.6,95.18,74.827,4.8905
jwn,3,0,12,234.195,93.015,165.7003,1.5789
jwn,3,0,13,231.755,87.185,74.4637,12.507
jwn,3,0,14,228.555,81.6,163.9058,3.1744
jwn,3,0,15,228.615,87.975,75.0476,12.286
jwn,3,0,16,228.41,94.41,164.3934,3.717
jwn,3,0,17,224.99,88.92,74.7773,12.4156
jwn,3,0,18,221.695,83.395,164.3962,3.4574
jwn,3,0,19,221.74,89.955,74.3281,12.6607
jwn,3,0,20,221.945,96.47,164.4072,3.125
jwn,3,0,21,224.055,111.05,75.6785,29.2283
jwn,3,0,22,235.18,123.225,165.1945,15.5358
jwn,4,0,0,223.085,224.03,43.4702,16.6866
jwn,4,0,1,215.645,219.775,133.0045,4.0613
jwn,4,0,2,213.75,221.785,134.1689,1.4639
jwn,4,0,3,212.685,222.77,140.3476,1.4417
jwn,4,0,4,211.545,223.615,146.6499,1.4007
jwn,4,0,5,210.345,224.315,152.8796,1.3819
jwn,4,0,6,209.09,224.865,159.8373,1.3636
jwn,4,0,7,200.225,227.23,165.4812,16.9926
jwn,4,0,8,194.015,236.975,75.1787,15.7542
jwn,4,0,9,197.54,244.29,168.763,3.079
jwn,4,0,10,199.835,246.97,75.2423,6.1633
jwn,4,0,11,200.975,251.295,75.2144,2.7821
jwn,4,0,12,199.835,253.205,159.297,3.1964
jwn,4,0,13,200.205,260.67,74.8749,14.2952
jwn,4,0,14,206.33,266.47,165.5217,8.7994
jwn,4,0,15,209.78,262.295,75.2427,6.3598
jwn,4,0,16,208.92,258.68,84.7097,1.0846
jwn,4,0,17,208.875,257.595,90.5261,1.09
jwn,4,0,18,208.95,256.51,97.3861,1.089
jwn,4,0,19,209.145,255.45,103.5165,1.0696
jwn,4,0,20,209.46,254.435,110.9984,1.0604
jwn,4,0,21,209.89,253.48,117.553,1.0377
jwn,4,0,22,210.42,252.61,125.2716,1.0044
jwn,4,0,23,211.04,251.84,132.5106,0.9767
jwn,4,0,24,211.745,251.18,141.3399,0.9605
jwn,4,0,25,212.52,250.65,150.1017,0.9228
jwn,4,0,26,215.165,249.75,163.3828,4.6857
jwn,4,0,27,223.46,242.58,132.9464,17.7598
jwn,4,0,28,230.965,234.505,132.7321,4.2884
jwn,5,0,0,256.32,164.235,74.99,11.2747
jwn,5,0,1,248.35,160.475,165.4884,13.4491
jwn,5,0,2,243.265,167.615,75.3599,11.2761
jwn,6,0,0,249.02,137.06,74.96,29.9044
jwn,6,0,1,238.48,124.415,164.9161,13.7953
jwn,6,0,2,229.95,126.385,174.6536,3.7563
jwn,6,0,3,230.01,128.205,40.442,5.0719
jwn,6,0,4,238.03,128.255,165.3236,12.5908
jwn,6,0,5,244.595,128.455,75.1779,3.7136
jwn,6,0,6,238.98,131.845,165.3236,12.5908
jwn,6,0,7,234.255,135.69,58.7562,5.2634
jwn,6,0,8,240.83,136.565,165.2158,10.7768
jwn,6,0,9,246.565,137.16,75.0776,4.0775
jwn,6,0,10,241.88,140.51,165.1644,10.7793
jwn,6,0,11,238.345,148.43,75.6344,13.5022
jwn,7,0,0,226.065,198.365,105.6751,6.6992
jwn,7,0,1,226.44,193.135,75.1931,4.1477
jwn,7,0,2,225.655,190.215,74.4278,1.8998
jwn,7,0,3,224.87,187.31,75.0863,4.1187
jwn,7,0,4,223.37,181.665,75.137,7.563
jwn,7,0,5,221.865,176.025,74.9159,4.1117
jwn,7,0,6,221.065,173.135,73.6793,1.886
jwn,7,0,7,220.265,170.265,74.7696,4.073
jwn,7,0,8,218.49,164.43,72.2337,8.1276
jwn,7,0,9,216.86,159.15,74.5388,2.9259
jwn,7,0,10,215.835,155.25,75.6933,5.1394
jwn,7,0,11,214.81,151.36,74.4338,2.9066
jwn,7,0,12,213.74,147.465,74.7546,5.172
jwn,7,0,13,212.675,143.565,74.6761,2.9136
jwn,7,0,14,211.645,139.685,75.3932,5.1153
jwn,7,0,15,209.19,140.31,120.2793,7.1795
jwn,7,0,16,207.77,144.87,75.0441,3.0224
jwn,7,0,17,200.695,148.305,165.1809,15.4437
jwn,7,0,18,193.885,152.715,74.9442,5.0431
jwn,7,0,19,201.92,153.18,165.0541,15.2768
jwn,7,0,20,209.7,152.715,75.116,3.1145
jwn,7,0,21,202.725,156.19,165.0444,15.2672
jwn,7,0,22,195.99,160.57,75.1277,4.987
jwn,7,0,23,204.0,160.99,164.8898,15.2679
jwn,7,0,24,211.765,160.455,74.8117,3.0153
jwn,7,0,25,204.79,163.9,164.8898,15.2679
jwn,7,0,26,197.33,168.05,92.3858,4.3238
jwn,7,0,27,197.81,171.965,72.007,3.6905
jwn,7,0,28,201.78,186.02,74.548,25.5225
jwn,7,0,29,212.98,196.355,165.86,16.0874
jwn,7,0,30,220.96,194.37,173.6633,0.3622
jwn,7,0,31,221.325,194.365,4.6351,0.3712
jwn,7,0,32,221.69,194.435,16.9887,0.3764
jwn,7,0,33,222.04,194.575,26.5671,0.3801
jwn,7,0,34,222.37,194.785,37.9994,0.4061
jwn,7,0,35,222.665,195.06,48.0112,0.4036
jwn,7,0,36,222.915,195.39,57.4276,0.4272
jwn,7,0,37,223.12,195.77,65.771,0.4386
jwn,7,0,38,223.275,196.185,73.1796,0.4492
jwn,7,0,39,223.37,196.625,82.404,0.454
jwn,7,0,40,223.405,197.075,88.7276,0.4501
jwn,7,0,41,223.38,197.53,97.4308,0.4639
jwn,7,0,42,223.295,197.975,104.3496,0.4438
jwn,7,0,43,223.155,198.39,113.0256,0.4346
jwn,7,0,44,222.96,198.775,120.736,0.4305
jwn,7,0,45,222.715,199.115,131.0555,0.4111
jwn,7,0,46,222.425,199.4,140.0118,0.4046
jwn,7,0,47,220.0,200.13,165.1942,4.6959
jwn,7,0,48,218.075,202.05,75.3528,2.7287
jwn,8,0,0,253.68,204.885,44.7977,2.0011
jwn,8,0,1,257.17,202.775,134.6416,7.9127
jwn,8,0,2,259.77,197.6,85.6382,4.7337
jwn,8,0,3,259.13,193.415,75.8532,3.7641
jwn,8,0,4,254.455,192.72,164.9924,8.7277
jwn,8,0,5,249.3,190.51,74.2814,6.9395
jwn,8,0,6,247.63,184.36,75.4372,5.8065
jwn,8,0,7,245.795,177.31,75.3929,8.7632
jwn,8,0,8,243.265,167.615,75.3599,11.2761
jwn,8,0,9,240.93,158.565,75.7952,7.4168
jwn,8,0,10,238.345,148.43,75.6344,13.5022
jwn,8,0,11,236.145,139.915,75.1136,4.0872
jwn,8,0,12,234.255,135.69,58.7562,5.2634
jwn,8,0,13,232.415,131.645,75.1781,3.7136
jwn,8,0,14,230.01,128.205,40.4418,5.0718
jwn,8,0,15,227.875,125.885,73.1062,1.4109
jwn,8,0,16,224.81,125.605,172.1364,5.7743
jwn,8,0,17,215.35,127.69,165.6374,13.6259
jwn,8,0,18,208.2,127.26,75.4562,4.3804
jwn,8,0,19,207.06,122.675,76.5395,5.0692
jwn,8,0,20,206.01,118.44,75.4319,3.6576
jwn,8,0,21,204.895,114.22,75.0322,5.0721
jwn,8,0,22,203.715,109.77,75.2917,4.1355
jwn,8,0,23,200.625,108.46,164.9435,5.3124
jwn,8,0,24,198.61,111.155,74.6602,4.1581
jwn,8,0,25,193.805,114.525,165.6998,11.0525
jwn,8,0,26,188.98,118.375,77.9604,5.0818
jwn,8,0,27,194.96,119.455,165.544,11.2564
jwn,8,0,28,200.89,119.84,74.9891,3.7065
jwn,8,0,29,195.915,123.05,165.4091,11.2736
jwn,8,0,30,191.09,126.97,75.856,5.1563
jwn,8,0,31,197.255,128.14,166.4886,11.3851
jwn,8,0,32,203.185,128.53,77.0663,3.5295
jwn,8,0,33,198.13,131.68,165.2979,11.269
jwn,8,0,34,192.555,134.535,95.0131,2.8609
jwn,8,0,35,185.235,137.8,165.655,14.8531
jwn,8,0,36,182.265,156.2,75.6873,34.1809
