airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
jyo,0,path,,UNLABELED,145.57,450.6,154.32,439.61,8.75,10.99,96.1625,28.0425,31.6461,149.945,445.105,0.7962,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,59.6157,5.44,18.6911,8.4876,0.0,594.0,387.36,0.0,46.4569
jyo,1,path,,UNLABELED,179.24,348.5,190.15,334.46,10.91,14.04,153.1764,41.8147,40.8572,184.695,341.48,0.7771,24,1,0,1,rgb,207,207,207,0,none,,,,0.0,141.6722,1.6152,108.753,9.1138,0.0,594.0,387.36,0.0,73.7919
jyo,2,path,,UNLABELED,203.81,276.01,214.95,260.69,11.14,15.32,170.6649,41.8107,43.5971,209.38,268.35,0.7272,23,1,0,1,rgb,207,207,207,0,none,,,,0.0,104.0765,1.185,108.6669,7.0298,0.0,594.0,387.36,0.0,79.8743
jyo,3,path,,UNLABELED,216.79,237.71,227.9,222.39,11.11,15.32,170.2053,41.6662,43.5311,222.345,230.05,0.7252,23,1,0,1,rgb,207,207,207,0,none,,,,0.0,104.2417,1.1882,108.6409,7.0393,0.0,594.0,387.36,0.0,79.5394
jyo,4,path,,UNLABELED,244.67,155.42,255.38,147.61,10.71,7.81,83.6451,28.4428,30.627,250.025,151.515,1.3713,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,174.2013,5.4216,18.6902,8.5193,0.0,594.0,387.36,0.0,44.1925
jyo,5,path,,UNLABELED,252.33,173.77,267.04,151.83,14.71,21.94,322.7376,129.6988,56.8712,259.685,162.8,0.6705,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,119.8923,11.7912,108.7063,20.7037,0.0,594.0,387.36,0.0,138.1851
jyo,6,path,,UNLABELED,227.12,237.77,231.5,229.32,4.38,8.45,37.0111,11.2193,20.4622,229.31,233.545,0.5183,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,107.1984,5.9584,108.6991,3.4311,0.0,594.0,387.36,0.0,15.3161
jyo,7,path,,UNLABELED,228.96,242.75,234.91,229.69,5.95,13.06,77.7069,13.0586,31.0461,231.935,236.22,0.4556,15,1,0,1,rgb,207,207,207,0,none,,,,0.0,107.5091,8.8418,108.7182,10.8752,0.0,594.0,387.36,0.0,23.9574
jyo,8,path,,UNLABELED,214.17,276.08,218.52,267.62,4.35,8.46,36.8009,11.1104,20.4319,216.345,271.85,0.5142,14,1,0,1,rgb,207,207,207,0,none,,,,0.0,107.8073,8.2589,108.7469,3.4849,0.0,594.0,387.36,0.0,15.1712
jyo,9,path,,UNLABELED,212.68,290.8,222.09,264.37,9.41,26.43,248.7063,48.2394,60.4513,217.385,277.585,0.356,23,1,0,1,rgb,207,207,207,0,none,,,,0.0,107.4918,72.2711,108.7077,27.9042,0.0,594.0,387.36,0.0,62.1085
jyo,10,path,,UNLABELED,200.5,326.73,205.15,317.39,4.65,9.34,43.4309,12.7812,22.8256,202.825,322.06,0.4979,15,1,0,1,rgb,207,207,207,0,none,,,,0.0,106.2482,7.5541,108.7186,8.943,0.0,594.0,387.36,0.0,18.0219
jyo,11,path,,UNLABELED,189.38,351.77,194.36,338.94,4.98,12.83,63.8934,12.1395,29.4753,191.87,345.355,0.3882,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,109.1569,15.5006,108.7291,13.5474,0.0,594.0,387.36,0.0,21.3181
jyo,12,path,,UNLABELED,175.52,403.0,185.81,392.21,10.29,10.79,111.029,26.4526,40.7622,180.665,397.605,0.9537,27,1,0,1,rgb,207,207,207,0,none,,,,0.0,11.4133,1.4869,108.6516,3.3457,0.0,594.0,387.36,0.0,68.9784
jyo,13,path,,UNLABELED,182.61,392.11,197.66,386.03,15.05,6.08,91.504,23.8475,33.0908,190.135,389.07,2.4753,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,18.0534,76.3205,18.725,11.2452,0.0,594.0,387.36,0.0,23.8907
jyo,14,path,,UNLABELED,193.61,360.15,195.63,358.05,2.02,2.1,4.242,1.9004,7.0545,194.62,359.1,0.9619,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,120.8593,1.8815,108.7676,1.0878,0.0,594.0,387.36,0.0,2.6052
jyo,15,path,,UNLABELED,198.57,359.3,200.58,357.18,2.01,2.12,4.2612,1.5888,6.3755,199.575,358.24,0.9481,18,1,0,1,rgb,207,207,207,0,none,,,,0.0,42.2888,3.2037,48.3663,1.0837,0.0,594.0,387.36,0.0,2.124
jyo,16,path,,UNLABELED,182.64,391.12,210.47,349.93,27.83,41.19,1146.3178,322.0896,239.1395,196.555,370.525,0.6756,102,1,0,1,rgb,207,207,207,0,none,,,,0.0,113.3194,3.8981,108.7184,23.651,0.0,594.0,387.36,0.0,607.4456
jyo,17,path,,UNLABELED,196.41,363.93,205.73,352.52,9.32,11.41,106.341,18.9048,29.6675,201.07,358.225,0.8168,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,48.4625,59.736,48.4814,7.4525,0.0,594.0,387.36,0.0,19.0443
