airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
lex,0,compound,,UNLABELED,77.53,347.0,280.33,116.11,202.8,230.89,46824.4961,3711.7715,1533.2564,178.93,231.555,0.8783,225,3,0,1,rgb,207,207,207,0,none,,,,0.0,91.8641,1.804,138.6814,191.7317,0.0,594.0,387.36,0.0,25757.8665
lex,1,path,,UNLABELED,49.66,461.99,200.68,376.26,151.02,85.73,12946.9443,4359.8097,602.902,125.17,419.125,1.7616,140,1,0,1,rgb,207,207,207,0,none,,,,0.0,8.7582,4.3953,139.9424,37.2617,0.0,594.0,387.36,0.0,8108.4019
lex,2,path,,UNLABELED,168.91,431.77,299.98,326.82,131.07,104.95,13755.7937,4408.3382,936.3615,234.445,379.295,1.2489,325,1,0,1,rgb,207,207,207,0,none,,,,0.0,141.1481,1.9562,60.5814,35.9334,0.0,594.0,387.36,0.0,8413.3812
lex,3,path,,UNLABELED,128.51,382.85,354.3,151.2,225.79,231.65,52304.2471,2369.6033,869.5526,241.405,267.025,0.9747,129,1,0,1,rgb,207,207,207,0,none,,,,0.0,136.3057,161.654,138.7457,47.3004,0.0,594.0,387.36,0.0,9612.5588
lex,4,path,,UNLABELED,36.2,434.74,49.66,421.16,13.46,13.58,182.7868,91.2808,28.2493,42.93,427.95,0.9912,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,114.3965,1.5411,137.3662,10.276,0.0,594.0,387.36,0.0,91.2933
lex,5,path,,UNLABELED,338.8,405.06,338.8,205.46,0.0,199.6,0.0,0.0,199.6,338.8,305.26,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.42,90.0,1000000.0,90.0,199.6,0.0,594.0,387.36,0.0,0.0
lex,6,path,,UNLABELED,325.75,209.56,330.6,205.92,4.85,3.64,17.654,5.1004,20.0544,328.175,207.74,1.3324,75,1,0,1,rgb,0,0,0,0,none,,,,0.0,177.3362,2.3159,0.0,0.69,0.0,594.0,387.36,0.0,14.8662
lex,7,compound,,UNLABELED,325.68,214.36,330.52,209.94,4.84,4.42,21.3928,5.9676,22.3689,328.1,212.15,1.095,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,0.1548,1.2436,24.5418,5.3207,0.0,594.0,387.36,0.0,10.6964
lex,8,path,,UNLABELED,325.92,218.29,330.6,214.89,4.68,3.4,15.9119,6.0274,22.1182,328.26,216.59,1.3765,51,1,0,1,rgb,0,0,0,0,none,,,,0.0,15.3752,1.3755,0.0,2.9,0.0,594.0,387.36,0.0,14.7248
lex,9,path,,UNLABELED,325.92,221.66,330.52,218.87,4.6,2.79,12.8341,3.836,14.78,328.22,220.265,1.6487,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,179.3302,3.4463,0.0,4.09,0.0,594.0,387.36,0.0,8.335
lex,10,path,,UNLABELED,325.92,222.89,330.52,222.3,4.6,0.59,2.714,2.714,10.38,328.22,222.595,7.7967,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,178.7555,62.5829,0.0,4.6,0.0,594.0,387.36,0.0,2.714
lex,11,compound,,UNLABELED,325.75,228.45,330.6,223.6,4.85,4.85,23.5226,7.4985,27.0421,328.175,226.025,1.0,114,2,0,1,rgb,0,0,0,0,none,,,,0.0,0.1053,1.0724,151.3918,0.3759,0.0,594.0,387.36,0.0,18.5122
lex,12,path,,UNLABELED,325.7,233.23,330.71,229.23,5.01,4.0,20.04,7.4866,27.5524,328.205,231.23,1.2525,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,157.7503,1.7664,42.9748,5.0024,0.0,594.0,387.36,0.0,19.22
lex,13,path,,UNLABELED,329.92,235.02,330.6,234.34,0.68,0.68,0.4624,0.352,2.1179,330.26,234.68,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,0.2384,1.1039,143.9632,0.136,0.0,594.0,387.36,0.0,0.352
lex,14,path,,UNLABELED,327.45,235.02,328.13,234.34,0.68,0.68,0.4624,0.3544,2.1254,327.79,234.68,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,0.197,1.1183,53.9632,0.136,0.0,594.0,387.36,0.0,0.3544
lex,15,compound,,UNLABELED,325.92,240.87,330.52,238.23,4.6,2.64,12.1441,6.6046,23.6322,328.22,239.55,1.7424,77,3,0,1,rgb,0,0,0,0,none,,,,0.0,6.1099,4.6743,0.0,4.6,0.0,594.0,387.36,0.0,10.4934
lex,16,path,,UNLABELED,325.92,244.23,330.52,241.73,4.6,2.5,11.5,5.6248,21.72,328.22,242.98,1.84,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,172.4761,2.6667,0.0,4.6,0.0,594.0,387.36,0.0,11.5
lex,17,compound,,UNLABELED,325.68,251.04,330.52,246.61,4.84,4.43,21.4413,5.9858,22.3771,328.1,248.825,1.0926,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,179.8146,1.2385,155.3602,5.3249,0.0,594.0,387.36,0.0,10.7206
lex,18,path,,UNLABELED,325.92,253.65,330.52,251.65,4.6,2.0,9.2,3.474,13.2,328.22,252.65,2.3,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,10.4862,10.2887,0.0,4.6,0.0,594.0,387.36,0.0,6.337
lex,19,path,,UNLABELED,325.92,256.73,330.52,254.23,4.6,2.5,11.5,5.6248,21.72,328.22,255.48,1.84,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,172.4761,2.6667,0.0,4.6,0.0,594.0,387.36,0.0,11.5
lex,20,compound,,UNLABELED,325.92,260.54,330.52,257.64,4.6,2.9,13.34,6.4132,23.4913,328.22,259.09,1.5862,45,2,0,1,rgb,0,0,0,0,none,,,,0.0,2.0931,3.0671,0.0,4.6,0.0,594.0,387.36,0.0,11.9308
lex,21,path,,UNLABELED,325.92,263.55,330.52,260.76,4.6,2.79,12.8341,3.877,14.78,328.22,262.155,1.6487,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,179.3783,3.4394,0.0,4.09,0.0,594.0,387.36,0.0,8.3555
lex,22,path,,UNLABELED,325.92,268.55,330.52,265.76,4.6,2.79,12.8341,3.836,14.78,328.22,267.155,1.6487,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,179.3302,3.4463,0.0,4.09,0.0,594.0,387.36,0.0,8.335
lex,23,compound,,UNLABELED,325.75,273.7,330.6,268.85,4.85,4.85,23.5226,7.4901,27.0439,328.175,271.275,1.0,114,2,0,1,rgb,0,0,0,0,none,,,,0.0,179.8446,1.0724,152.744,0.3712,0.0,594.0,387.36,0.0,18.5089
lex,24,compound,,UNLABELED,325.92,279.37,330.52,276.47,4.6,2.9,13.3399,6.424,23.4824,328.22,277.92,1.5862,45,2,0,1,rgb,0,0,0,0,none,,,,0.0,2.0826,3.0638,0.0,4.6,0.0,594.0,387.36,0.0,11.9316
lex,25,path,,UNLABELED,325.92,283.33,330.6,279.93,4.68,3.4,15.9119,6.0284,22.1191,328.26,281.63,1.3765,51,1,0,1,rgb,0,0,0,0,none,,,,0.0,15.4106,1.375,0.0,2.9,0.0,594.0,387.36,0.0,14.7264
lex,26,path,,UNLABELED,325.7,288.33,330.71,284.33,5.01,4.0,20.04,7.503,27.5556,328.205,286.33,1.2525,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,157.8144,1.7685,42.8908,4.9956,0.0,594.0,387.36,0.0,19.22
lex,27,path,,UNLABELED,325.75,295.32,330.69,288.85,4.94,6.47,31.9618,9.0173,33.0759,328.22,292.085,0.7635,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,63.2437,1.2644,157.9712,5.1456,0.0,594.0,387.36,0.0,22.2297
lex,28,compound,,UNLABELED,325.68,299.78,330.52,295.36,4.84,4.42,21.393,5.9677,22.369,328.1,297.57,1.095,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,0.1376,1.2424,24.5421,5.3207,0.0,594.0,387.36,0.0,10.6965
lex,29,path,,UNLABELED,325.92,303.52,330.52,299.91,4.6,3.61,16.6061,4.3812,16.4053,328.22,301.715,1.2742,10,1,0,1,rgb,0,0,0,0,none,,,,0.0,179.4459,3.1713,149.4659,2.9722,0.0,594.0,387.36,0.0,9.66
lex,30,path,,UNLABELED,325.75,309.5,330.6,305.85,4.85,3.65,17.7024,5.0999,20.0759,328.175,307.675,1.3288,75,1,0,1,rgb,0,0,0,0,none,,,,0.0,177.319,2.3163,0.0,0.69,0.0,594.0,387.36,0.0,14.8895
lex,31,compound,,UNLABELED,325.92,313.28,330.52,310.38,4.6,2.9,13.3399,6.424,23.4824,328.22,311.83,1.5862,45,2,0,1,rgb,0,0,0,0,none,,,,0.0,2.0826,3.0638,0.0,4.6,0.0,594.0,387.36,0.0,11.9316
lex,32,compound,,UNLABELED,325.75,318.43,330.6,313.58,4.85,4.85,23.5226,7.496,27.0435,328.175,316.005,1.0,114,2,0,1,rgb,0,0,0,0,none,,,,0.0,179.9349,1.0723,28.6082,0.3759,0.0,594.0,387.36,0.0,18.5122
lex,33,path,,UNLABELED,325.75,321.94,330.6,319.01,4.85,2.93,14.2105,5.4216,20.493,328.175,320.475,1.6553,91,1,0,1,rgb,0,0,0,0,none,,,,0.0,1.7781,3.6149,102.4265,0.6041,0.0,594.0,387.36,0.0,11.9654
lex,34,path,,UNLABELED,325.75,325.45,330.6,322.51,4.85,2.94,14.259,5.4299,20.5004,328.175,323.98,1.6497,91,1,0,1,rgb,0,0,0,0,none,,,,0.0,1.7654,3.6094,102.2254,0.6139,0.0,594.0,387.36,0.0,11.9738
lex,35,path,,UNLABELED,325.92,326.83,330.52,326.23,4.6,0.6,2.76,2.76,10.4,328.22,326.53,7.6666,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,178.7337,60.5142,0.0,4.6,0.0,594.0,387.36,0.0,2.76
lex,36,path,,UNLABELED,325.7,331.87,330.71,327.87,5.01,4.0,20.04,7.4866,27.5524,328.205,329.87,1.2525,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,157.7503,1.7664,42.9748,5.0024,0.0,594.0,387.36,0.0,19.22
lex,37,path,,UNLABELED,325.75,337.07,330.6,332.64,4.85,4.43,21.4855,7.0537,26.8671,328.175,334.855,1.0948,100,1,0,1,rgb,0,0,0,0,none,,,,0.0,7.4357,1.4415,90.0,1.77,0.0,594.0,387.36,0.0,17.1855
lex,38,path,,UNLABELED,325.75,343.27,330.6,339.62,4.85,3.65,17.7024,5.1009,20.0721,328.175,341.445,1.3288,75,1,0,1,rgb,0,0,0,0,none,,,,0.0,177.3223,2.3164,0.0,0.69,0.0,594.0,387.36,0.0,14.8863
lex,39,path,,UNLABELED,325.92,346.15,330.52,344.15,4.6,2.0,9.2,3.4331,13.2,328.22,345.15,2.3,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,10.5501,10.2883,0.0,4.6,0.0,594.0,387.36,0.0,6.3166
lex,40,path,,UNLABELED,325.92,349.23,330.52,346.72,4.6,2.51,11.546,5.6708,21.74,328.22,347.975,1.8327,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,172.4078,2.6543,0.0,4.6,0.0,594.0,387.36,0.0,11.546
lex,41,compound,,UNLABELED,325.68,354.05,330.52,349.62,4.84,4.43,21.4413,5.9859,22.377,328.1,351.835,1.0926,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,179.8146,1.2385,155.3602,5.3249,0.0,594.0,387.36,0.0,10.7206
lex,42,compound,,UNLABELED,325.92,357.56,330.52,354.66,4.6,2.9,13.34,6.4644,23.4663,328.22,356.11,1.5862,45,2,0,1,rgb,0,0,0,0,none,,,,0.0,2.096,3.074,0.0,4.6,0.0,594.0,387.36,0.0,11.9411
lex,43,compound,,UNLABELED,325.68,362.12,330.52,357.69,4.84,4.43,21.4413,5.9859,22.377,328.1,359.905,1.0926,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,179.8146,1.2385,155.3602,5.3249,0.0,594.0,387.36,0.0,10.7206
