airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
lhw,1,0,0,79.455,246.895,12.8293,1.0359
lhw,1,0,1,78.51,247.055,147.9937,1.0377
lhw,1,0,2,76.125,249.695,129.4343,6.1241
lhw,1,0,3,74.0,252.395,118.2493,0.7606
lhw,1,0,4,73.78,253.11,96.0091,0.7642
lhw,1,0,5,76.565,281.275,84.1945,55.8565
lhw,1,0,6,79.54,309.54,72.6462,1.0058
lhw,1,0,7,80.005,310.41,51.0725,1.0026
lhw,1,0,8,97.13,324.625,39.4348,43.5296
lhw,1,0,9,115.01,337.15,129.4569,3.3674
lhw,1,0,10,117.005,333.74,113.6721,4.6077
lhw,1,0,11,118.55,330.875,129.3923,1.9539
lhw,1,0,12,120.535,331.245,39.4946,3.5377
lhw,1,0,13,118.805,336.13,129.459,9.74
lhw,1,0,14,122.25,345.27,39.4417,16.9371
lhw,1,0,15,131.325,347.57,129.4562,7.9781
lhw,1,0,16,134.735,342.805,117.4422,3.7973
lhw,1,0,17,136.405,340.155,129.4827,2.5006
lhw,1,0,18,138.505,340.265,39.4803,3.3815
lhw,1,0,19,135.305,346.82,129.4229,14.1881
lhw,1,0,20,142.54,361.955,39.434,30.4004
lhw,1,0,21,156.085,367.66,114.5586,8.6857
lhw,1,0,22,158.445,361.015,101.6366,5.5031
lhw,1,0,23,159.555,357.115,114.7299,2.6533
lhw,1,0,24,161.53,356.56,24.5959,3.1234
lhw,1,0,25,159.315,365.15,114.5987,17.465
lhw,1,0,26,160.07,377.855,47.3456,12.958
lhw,1,0,27,167.37,376.26,114.5864,13.9882
lhw,1,0,28,170.885,367.545,104.4076,4.8629
lhw,1,0,29,171.85,364.405,114.6363,1.7272
lhw,1,0,30,173.7,364.3,24.5307,3.2757
lhw,1,0,31,170.715,374.765,114.5762,21.5195
lhw,1,0,32,172.225,391.045,47.3401,17.6641
lhw,1,0,33,178.51,397.83,44.0288,0.8345
lhw,1,0,34,179.24,398.28,20.4094,0.9176
lhw,1,0,35,180.13,398.39,173.7971,0.9254
lhw,1,0,36,180.95,398.13,149.7437,0.8335
lhw,1,0,37,180.01,399.445,130.4463,4.0078
lhw,1,0,38,166.7,388.105,46.9686,35.1993
lhw,1,0,39,154.47,375.02,44.999,0.6222
lhw,1,0,40,154.02,374.595,41.7115,0.6162
lhw,1,0,41,152.325,373.09,41.5849,3.9173
lhw,1,0,42,150.05,372.535,137.394,2.201
lhw,1,0,43,148.975,373.41,153.8681,0.5903
lhw,1,0,44,148.515,373.54,0.0,0.39
lhw,1,0,45,147.66,373.3,19.9828,1.4046
lhw,1,0,46,146.845,372.795,59.6773,0.614
lhw,1,0,47,147.395,371.08,115.9294,3.2246
lhw,1,0,48,140.245,363.215,39.2377,20.2833
lhw,1,0,49,131.315,358.105,129.4804,3.3815
lhw,1,0,50,129.995,360.235,106.5394,1.7212
lhw,1,0,51,128.65,362.4,129.3823,3.4673
lhw,1,0,52,126.5,362.88,39.319,2.7145
lhw,1,0,53,128.13,358.76,129.4231,8.4404
lhw,1,0,54,124.33,350.17,39.4383,16.7809
lhw,1,0,55,115.45,347.755,129.4655,7.5517
lhw,1,0,56,111.83,353.28,115.053,5.7621
lhw,1,0,57,109.84,356.825,129.4725,2.4225
lhw,1,0,58,107.73,356.66,39.3824,3.4673
lhw,1,0,59,107.58,354.115,129.4724,3.7439
lhw,1,0,60,108.215,351.84,56.2306,1.9969
lhw,1,0,61,104.92,351.17,176.658,5.4893
lhw,1,0,62,102.145,350.725,86.6891,1.212
lhw,1,0,63,106.705,349.85,176.6372,9.2059
lhw,1,0,64,113.785,346.56,129.4491,7.8219
lhw,1,0,65,110.22,338.565,39.4309,15.6656
lhw,1,0,66,102.95,335.075,129.4051,3.8437
lhw,1,0,67,100.66,335.68,39.4346,2.7708
lhw,1,0,68,100.81,333.315,129.4048,3.8438
lhw,1,0,69,90.585,322.42,39.4268,29.6335
lhw,1,0,70,78.52,312.25,50.7926,1.9616
lhw,1,0,71,77.61,310.555,72.7683,1.9579
lhw,1,0,72,74.455,281.39,84.205,56.75
lhw,1,0,73,71.64,252.655,95.6549,1.0149
lhw,1,0,74,71.93,251.7,118.0716,1.02
lhw,1,0,75,74.785,248.07,129.4315,8.2342
lhw,1,0,76,78.68,245.95,39.629,3.3238
lhw,2,0,0,219.2,361.715,28.6736,0.7295
lhw,2,0,1,218.49,361.5,5.855,0.7841
lhw,2,0,2,217.725,361.575,162.9513,0.7845
lhw,2,0,3,217.07,361.925,139.9935,0.7311
lhw,2,0,4,217.405,361.405,129.1649,1.9476
lhw,2,0,5,218.77,361.27,39.5795,1.9462
lhw,3,0,0,222.2899,358.5458,45.0,0.0014
lhw,3,0,1,222.2899,358.5458,45.0,0.0014
lhw,4,0,0,222.055,358.27,49.9935,0.7311
lhw,4,0,1,221.705,357.61,73.163,0.794
lhw,4,0,2,221.63,356.84,95.8562,0.7841
lhw,4,0,3,221.845,356.13,118.6725,0.7294
lhw,4,0,4,221.405,356.56,129.3517,1.9398
lhw,4,0,5,221.54,357.93,39.5795,1.9462
lhw,5,0,0,213.035,356.575,45.0,0.3536
lhw,5,0,1,213.265,356.855,55.8845,0.3744
lhw,5,0,2,213.49,357.385,72.256,0.7875
lhw,5,0,3,213.57,358.15,95.8562,0.7841
lhw,5,0,4,213.355,358.86,118.6725,0.7294
lhw,5,0,5,213.795,358.43,129.3517,1.9398
lhw,5,0,6,213.66,357.065,39.3517,1.9398
lhw,6,0,0,245.15,382.97,39.8054,0.6248
lhw,6,0,1,246.63,380.675,129.3861,5.4212
lhw,6,0,2,256.29,372.93,144.5648,19.4901
lhw,6,0,3,262.92,365.44,54.5506,4.5174
lhw,6,0,4,262.825,362.735,144.552,2.9829
lhw,6,0,5,265.35,363.71,54.5509,4.5174
lhw,6,0,6,275.54,359.23,144.5601,21.7988
lhw,6,0,7,283.135,351.105,54.5528,4.4314
lhw,6,0,8,280.7,348.51,34.4872,2.7904
lhw,6,0,9,278.73,346.565,54.6271,2.833
lhw,6,0,10,279.105,344.56,144.5757,2.9329
lhw,6,0,11,283.165,347.735,54.5566,9.8811
lhw,6,0,12,288.775,349.805,144.5413,6.74
lhw,6,0,13,292.53,347.025,140.7573,2.6082
lhw,6,0,14,294.425,345.25,132.9712,2.5967
lhw,6,0,15,299.32,339.39,129.2385,12.6788
lhw,6,0,16,301.885,333.3,39.2354,3.7312
lhw,6,0,17,298.84,331.61,17.6799,3.3586
lhw,6,0,18,296.44,330.445,39.3093,2.0679
lhw,6,0,19,296.695,328.5,129.2773,3.3329
lhw,6,0,20,301.205,330.03,39.2215,8.9195
lhw,6,0,21,309.75,326.61,129.2043,16.1053
lhw,6,0,22,311.135,317.345,39.2305,9.5661
lhw,6,0,23,306.105,313.86,19.1452,2.8051
lhw,6,0,24,303.935,312.71,39.234,2.1819
lhw,6,0,25,304.015,310.885,129.1791,2.9284
lhw,6,0,26,310.515,314.3,39.2194,14.3921
lhw,6,0,27,329.695,302.18,129.2191,43.0342
lhw,6,0,28,343.66,284.83,117.8976,1.5388
lhw,6,0,29,344.085,283.39,94.8885,1.5256
lhw,6,0,30,342.875,270.775,83.8615,23.8467
lhw,6,0,31,341.385,258.22,72.9251,1.4645
lhw,6,0,32,340.72,256.955,51.4644,1.4446
lhw,6,0,33,330.455,247.935,40.7429,25.9092
lhw,6,0,34,320.37,239.28,36.528,0.672
lhw,6,0,35,319.745,238.995,13.4641,0.7301
lhw,6,0,36,319.03,238.975,169.7676,0.7317
lhw,6,0,37,318.385,239.22,147.7222,0.6742
lhw,6,0,38,319.105,238.23,130.6611,3.0848
lhw,6,0,39,330.74,246.085,40.3317,27.8889
