airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
lsf,0,0,0,156.0335,325.4485,135.4168,4.8594
lsf,0,0,1,166.4695,323.249,176.7523,17.439
lsf,0,0,2,195.059,297.0625,127.7371,64.9763
lsf,0,0,3,215.093,270.0325,96.3991,2.6918
lsf,0,0,4,211.4365,255.7505,73.6133,26.9852
lsf,0,0,5,208.696,241.4225,127.6147,3.4931
lsf,0,0,6,213.403,252.9595,74.2622,26.8474
lsf,0,0,7,217.644,266.302,35.1199,1.4671
lsf,0,0,8,218.9945,266.161,143.124,1.8764
lsf,0,0,9,220.4955,264.19,118.0588,3.1911
lsf,0,0,10,223.047,264.1895,38.0081,4.5715
lsf,0,0,11,200.8945,296.851,127.4671,78.7549
lsf,0,0,12,174.016,327.39,13.7362,6.0222
lsf,0,0,13,165.1785,327.391,173.0951,11.9114
lsf,0,0,14,157.802,329.181,143.7358,3.6314
lsf,1,0,0,292.1005,179.0455,128.1603,108.7862
lsf,1,0,1,327.096,135.676,156.5881,3.025
lsf,1,0,2,331.7945,131.669,134.1853,9.4995
lsf,1,0,3,336.5995,124.7575,113.0899,7.6215
lsf,1,0,4,338.2005,119.9495,94.6747,2.6137
lsf,1,0,5,331.8985,113.8405,36.8707,16.0214
lsf,1,0,6,318.0155,109.164,179.0035,14.9513
lsf,1,0,7,308.2345,112.2865,127.6237,7.5564
lsf,1,0,8,307.379,115.3625,3.2934,2.9068
lsf,1,0,9,316.0935,121.3545,39.1267,18.7263
lsf,1,0,10,323.357,127.764,90.0,1.002
lsf,1,0,11,323.037,130.3685,98.6497,4.2554
lsf,1,0,12,299.6525,162.223,127.7847,75.2886
lsf,1,0,13,276.1605,190.271,75.9082,3.5117
lsf,1,0,14,268.74,180.582,48.7927,21.23
lsf,1,0,15,260.301,174.4725,127.6173,4.738
lsf,1,0,16,260.245,177.151,29.9841,3.2096
lsf,1,0,17,265.8005,182.3595,46.6104,12.1274
lsf,1,0,18,270.8205,188.168,58.6382,3.2838
lsf,1,0,19,271.996,191.0725,77.9403,3.0728
lsf,1,0,20,272.2105,195.3795,92.1749,5.6131
lsf,1,0,21,270.9295,200.2875,119.177,4.8184
lsf,1,0,22,262.698,210.836,129.8835,22.0109
lsf,2,0,0,125.4255,440.731,67.9573,112.4949
lsf,2,0,1,149.7875,491.55,157.956,7.0181
lsf,2,0,2,131.93,438.097,67.9568,112.4952
lsf,3,0,0,237.2835,228.1755,128.5346,24.8047
lsf,3,0,1,247.231,220.243,38.5371,5.6788
lsf,3,0,2,241.726,231.7135,128.5329,24.804
lsf,4,0,0,102.7495,384.7265,67.9551,8.3473
lsf,4,0,1,102.3855,379.3205,128.0296,3.9038
lsf,4,0,2,106.5005,380.134,38.9108,7.4859
lsf,4,0,3,110.117,384.223,67.949,3.7503
lsf,5,0,0,83.701,319.1035,67.9578,88.1933
lsf,5,0,1,63.929,279.535,157.9567,6.9544
lsf,5,0,2,77.255,321.7135,67.9578,88.1932
lsf,6,0,0,108.253,381.5485,38.9098,11.9902
lsf,6,0,1,129.291,426.0045,68.0812,87.7221
lsf,6,0,2,150.478,465.0875,161.5346,10.1506
lsf,6,0,3,157.7555,465.237,35.497,6.0517
lsf,6,0,4,144.8015,427.968,68.4432,83.9221
lsf,6,0,5,126.8405,389.4195,169.3674,5.1759
lsf,6,0,6,120.227,388.228,22.2972,8.7978
lsf,6,0,7,113.231,379.4025,67.7624,15.4631
lsf,6,0,8,109.155,372.1495,4.7965,2.3081
lsf,7,0,0,136.8905,407.3095,67.771,39.6844
lsf,7,0,1,126.8405,389.4195,169.3674,5.1759
lsf,7,0,2,120.227,388.228,22.2972,8.7978
lsf,7,0,3,113.231,379.403,67.761,15.4622
lsf,7,0,4,113.611,369.503,140.3071,8.5928
lsf,7,0,5,115.772,364.3735,64.3597,5.2921
lsf,7,0,6,110.112,367.5855,128.89,14.3829
lsf,7,0,7,104.4225,370.2815,67.9623,6.2604
lsf,7,0,8,107.4745,361.451,125.4833,14.5625
lsf,7,0,9,114.5385,357.709,37.6231,7.165
lsf,7,0,10,119.2155,357.5095,127.6249,6.0263
lsf,7,0,11,121.911,358.913,77.2729,7.7709
lsf,7,0,12,123.403,363.4185,48.3666,1.9146
lsf,7,0,13,125.565,363.06,144.862,3.7321
lsf,7,0,14,137.1365,349.461,128.7309,32.1115
lsf,7,0,15,147.309,335.624,95.5289,2.6363
lsf,7,0,16,145.0195,332.523,36.5135,6.0133
lsf,7,0,17,141.4395,330.46,13.2516,2.3907
lsf,7,0,18,142.886,326.7995,127.6217,8.5511
lsf,7,0,19,146.0835,324.449,60.4429,2.382
lsf,7,0,20,147.5615,326.32,43.1581,2.4415
lsf,7,0,21,149.597,328.109,39.8004,2.9807
lsf,7,0,22,151.632,329.063,0.0,1.78
lsf,7,0,23,153.4125,328.1085,133.0134,2.6108
lsf,7,0,24,155.3205,328.7045,56.7258,3.7091
lsf,7,0,25,153.4135,334.788,122.8284,10.789
lsf,7,0,26,150.489,340.633,90.0,2.624
lsf,7,0,27,150.8705,342.541,57.3763,1.4153
lsf,7,0,28,151.888,343.2565,10.642,1.2943
lsf,7,0,29,155.4495,343.137,175.3296,5.8705
lsf,7,0,30,164.7325,334.786,128.0863,20.6128
lsf,7,0,31,174.0155,327.3895,13.7432,6.0235
lsf,7,0,32,171.7275,334.308,130.0464,16.2059
lsf,7,0,33,166.514,340.988,90.0,0.954
lsf,7,0,34,167.15,342.1805,48.3664,1.9146
lsf,7,0,35,168.422,343.254,29.3752,1.4597
lsf,7,0,36,169.5665,343.4925,166.7752,1.0447
lsf,7,0,37,175.9245,336.0965,128.7955,18.6723
lsf,7,0,38,199.7065,330.2485,4.5545,35.9786
lsf,7,0,39,217.5125,337.641,91.2151,11.9307
lsf,7,0,40,211.284,359.35,111.1839,33.7721
lsf,7,0,41,202.7655,375.0955,179.9881,4.833
lsf,7,0,42,200.348,367.9395,89.992,14.313
lsf,7,0,43,196.15,360.7835,179.9932,8.394
lsf,7,0,44,191.954,367.583,89.9916,13.598
lsf,7,0,45,187.3765,374.263,1.4889,9.1601
lsf,7,0,46,183.1785,367.8225,93.4446,12.6659
lsf,7,0,47,185.2125,361.262,171.7754,3.3414
lsf,7,0,48,186.865,357.087,89.9855,7.872
lsf,7,0,49,165.0885,353.433,179.258,43.5546
lsf,7,0,50,143.535,361.983,88.4619,16.542
lsf,7,0,51,158.833,419.5505,72.9961,103.1063
lsf,7,0,52,170.094,472.5485,135.8883,10.627
lsf,7,0,53,165.007,474.8155,48.3763,3.83
lsf,7,0,54,158.3655,481.817,122.4859,19.9947
lsf,7,0,55,151.452,486.437,67.9555,8.2275
lsf,7,0,56,151.4805,481.7025,149.6294,3.6452
lsf,7,0,57,156.8675,474.459,121.1055,14.7673
lsf,7,0,58,153.0485,449.2925,67.9482,40.6638
lsf,8,0,0,132.3425,394.3575,167.153,5.2935
lsf,8,0,1,140.501,410.202,71.2508,34.7078
lsf,8,0,2,144.1635,427.073,167.1201,3.9299
lsf,9,0,0,67.326,278.6595,67.9463,0.9268
lsf,9,0,1,63.9215,279.538,157.9574,6.9705
