airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
lts,0,0,0,195.328,220.622,86.3524,0.5972
lts,0,0,1,195.3315,221.208,93.0798,0.5768
lts,0,0,2,195.3125,220.91,89.6576,1.172
lts,1,0,0,194.686,218.947,65.6564,3.0228
lts,1,0,1,192.8205,216.807,31.5535,2.9161
lts,1,0,2,191.1825,215.881,22.3976,0.8555
lts,1,0,3,186.354,215.7075,0.1359,8.866
lts,1,0,4,179.83,217.369,141.3533,5.3546
lts,1,0,5,177.732,236.8985,90.0225,35.715
lts,1,0,6,175.623,254.756,0.0,4.204
lts,1,0,7,173.5185,254.4095,89.5862,0.693
lts,1,0,8,173.1265,253.49,55.7935,1.3857
lts,1,0,9,172.0435,252.9205,179.7101,1.387
lts,1,0,10,158.2635,265.4705,136.2069,36.2586
lts,1,0,11,137.9925,270.522,46.2117,20.7646
lts,1,0,12,143.6595,250.708,136.2119,35.6044
lts,1,0,13,156.511,214.9245,90.0,46.929
lts,1,0,14,149.353,184.1845,45.4664,20.4127
lts,1,0,15,137.064,181.9575,135.4643,14.3965
lts,1,0,16,124.5855,179.5385,45.4641,20.9523
lts,1,0,17,122.3695,167.0225,135.4671,14.3972
lts,1,0,18,121.6065,155.9835,45.4628,16.8085
lts,1,0,19,120.506,145.276,135.4639,13.451
lts,1,0,20,126.057,141.329,45.4874,2.1596
lts,1,0,21,127.5135,142.465,27.6196,1.5789
lts,1,0,22,128.956,142.564,160.2339,1.579
lts,1,0,23,130.2845,141.4945,126.1144,1.9868
lts,1,0,24,130.87,137.832,90.0,5.72
lts,1,0,25,129.8735,133.633,53.3433,3.3382
lts,1,0,26,128.595,132.2285,13.0771,0.579
lts,1,0,27,127.743,132.1635,179.9494,1.14
lts,1,0,28,127.173,133.6905,90.0,3.053
lts,1,0,29,124.732,135.217,0.0,4.882
lts,1,0,30,122.291,124.319,90.0,21.796
lts,1,0,31,124.732,113.421,0.0,4.882
lts,1,0,32,127.173,114.225,90.0,1.608
lts,1,0,33,129.7555,115.017,179.7339,5.1651
lts,1,0,34,133.263,114.242,140.4818,2.3982
lts,1,0,35,134.188,112.0405,90.0,2.877
lts,1,0,36,135.2435,110.602,0.0,2.111
lts,1,0,37,136.299,112.8155,90.0,4.427
lts,1,0,38,140.918,115.029,0.0,9.238
lts,1,0,39,145.572,116.364,88.4981,2.6709
lts,1,0,40,142.8815,117.6905,0.1787,5.451
lts,1,0,41,137.7875,117.509,4.1777,4.7496
lts,1,0,42,134.4805,118.086,141.37,2.4027
