airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
lwc,0,0,0,121.385,183.96,161.3173,25.5989
lwc,0,0,1,108.69,188.095,176.4874,1.1421
lwc,0,0,2,107.81,188.055,13.6,0.6379
lwc,0,0,3,107.18,187.715,39.629,0.831
lwc,0,0,4,105.47,185.165,58.6873,5.3491
lwc,0,0,5,101.05,179.655,46.7855,8.8502
lwc,0,0,6,97.105,176.14,17.586,1.9197
lwc,0,0,7,95.975,176.055,136.3637,0.5941
lwc,0,0,8,95.48,176.245,3.0664,0.5608
lwc,0,0,9,94.36,176.085,9.7941,1.7049
lwc,0,0,10,93.195,175.64,42.7085,0.8846
lwc,0,0,11,94.165,168.84,101.2675,13.2555
lwc,0,0,12,95.46,161.595,90.0,1.49
lwc,0,0,13,94.985,159.91,63.1918,2.1064
lwc,0,0,14,94.22,158.565,54.3953,0.9962
lwc,0,0,15,93.54,158.09,10.1744,0.7925
lwc,0,0,16,84.24,157.975,0.2894,17.8202
lwc,0,0,17,72.695,158.27,172.6477,5.3137
lwc,0,0,18,70.075,159.48,89.0123,1.7402
lwc,0,0,19,71.195,161.56,47.5971,3.2773
lwc,0,0,20,72.93,163.125,29.4006,1.4463
lwc,0,0,21,75.43,163.6,3.6716,3.7477
lwc,0,0,22,84.44,163.82,0.8025,14.2814
lwc,0,0,23,92.0,164.07,19.653,0.892
lwc,0,0,24,92.74,164.5,41.1874,0.8504
lwc,0,0,25,93.275,165.32,68.2902,1.1624
lwc,0,0,26,93.53,166.285,84.6232,0.8538
lwc,0,0,27,93.445,167.305,101.8644,1.216
lwc,0,0,28,92.655,171.05,101.9208,6.4388
lwc,0,0,29,91.755,175.605,99.4954,2.849
lwc,0,0,30,91.41,177.945,96.7097,1.8829
lwc,0,0,31,87.815,181.485,143.2222,8.702
lwc,0,0,32,86.09,186.54,54.3078,6.0333
lwc,0,0,33,87.05,189.985,128.8,2.5534
lwc,0,0,34,87.445,192.23,46.2887,3.4586
lwc,0,0,35,90.62,195.29,42.4317,5.3652
lwc,0,0,36,94.26,197.65,18.3314,3.4975
lwc,0,0,37,96.895,197.55,146.3101,2.3436
lwc,0,0,38,98.825,196.32,148.7284,2.2347
lwc,0,0,39,99.995,195.725,176.0092,0.431
lwc,0,0,40,100.405,195.78,19.7448,0.4144
lwc,0,0,41,100.755,196.015,46.7909,0.4528
lwc,0,0,42,103.735,198.73,42.0712,7.6113
lwc,0,0,43,104.84,203.46,128.2732,5.5537
lwc,0,0,44,103.29,205.74,30.4673,0.3945
lwc,0,0,45,102.81,207.045,118.3431,2.7383
lwc,0,0,46,102.955,208.82,35.6395,1.9564
lwc,0,0,47,107.925,204.45,130.2025,12.9359
lwc,0,0,48,109.43,197.465,37.4491,6.7263
lwc,0,0,49,106.54,193.755,82.4729,3.3589
lwc,0,0,50,106.845,191.56,134.7286,1.492
lwc,0,0,51,109.805,190.2,161.1776,5.1451
lwc,0,0,52,122.055,186.065,161.3901,20.713
lwc,0,0,53,132.3,182.745,178.0022,0.8605
lwc,0,0,54,133.145,182.785,7.5505,0.8373
lwc,0,0,55,133.915,183.09,35.1545,0.8684
lwc,0,0,56,134.71,183.83,48.0767,1.3171
lwc,1,0,0,121.55,452.48,26.5407,21.0817
lwc,1,0,1,132.52,454.76,122.3642,5.7538
lwc,1,0,2,133.01,453.13,142.6958,2.6401
lwc,1,0,3,131.575,454.09,157.4336,0.8338
lwc,1,0,4,130.835,454.29,173.571,0.7145
lwc,1,0,5,130.0,454.24,10.6192,0.9767
lwc,1,0,6,124.135,451.465,26.5012,12.0345
lwc,1,0,7,118.125,448.45,27.8336,1.4135
lwc,1,0,8,117.115,447.74,44.626,1.0819
lwc,1,0,9,116.45,446.895,58.9456,1.0856
lwc,1,0,10,116.12,445.995,83.4427,0.8757
lwc,1,0,11,116.16,444.97,98.6732,1.1936
lwc,1,0,12,117.025,442.61,113.6464,3.8645
lwc,1,0,13,118.615,439.255,117.2119,3.5645
