airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
mdt,0,path,,UNLABELED,111.63,178.68,121.83,167.8,10.2,10.88,110.976,58.9832,22.5416,116.73,173.24,0.9375,12,1,0,1,rgb,207,207,207,0,none,,,,0.0,80.5662,1.8094,63.1028,7.7146,0.0,594.0,387.36,0.0,61.5509
mdt,1,path,,UNLABELED,267.3,466.72,274.43,457.94,7.13,8.78,62.6014,25.524,20.7523,270.865,462.33,0.8121,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,54.9072,2.2251,63.2045,7.7861,0.0,594.0,387.36,0.0,32.8013
mdt,2,path,,UNLABELED,259.26,467.36,269.09,461.21,9.83,6.15,60.4544,34.8587,24.1544,264.175,464.285,1.5984,26,1,0,1,rgb,207,207,207,0,none,,,,0.0,25.465,2.1739,62.7129,3.9045,0.0,594.0,387.36,0.0,37.5295
mdt,3,path,,UNLABELED,240.19,462.89,262.27,425.88,22.08,37.01,817.1805,128.2354,73.1592,251.23,444.385,0.5966,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,62.4648,82.2218,62.3395,18.2452,0.0,594.0,387.36,0.0,163.5167
mdt,4,path,,UNLABELED,242.42,419.26,250.83,403.5,8.41,15.76,132.5414,51.5378,33.1519,246.625,411.38,0.5336,22,1,0,1,rgb,207,207,207,0,none,,,,0.0,66.3762,8.5022,63.2159,16.3771,0.0,594.0,387.36,0.0,62.5271
mdt,5,path,,UNLABELED,232.88,427.73,245.21,412.21,12.33,15.52,191.3617,119.8267,41.6951,239.045,419.97,0.7945,48,1,0,1,rgb,207,207,207,0,none,,,,0.0,77.7139,1.6847,62.6761,6.0782,0.0,594.0,387.36,0.0,139.2813
mdt,6,path,,UNLABELED,223.69,428.83,235.07,419.89,11.38,8.94,101.7373,46.2093,25.599,229.38,424.36,1.2729,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,150.8982,3.4715,156.7314,6.455,0.0,594.0,387.36,0.0,49.4506
mdt,7,path,,UNLABELED,158.15,405.87,176.76,391.95,18.61,13.92,259.0512,58.7815,46.3345,167.455,398.91,1.3369,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,36.8455,47.1018,34.1433,16.4807,0.0,594.0,387.36,0.0,60.9087
mdt,8,path,,UNLABELED,213.25,436.41,225.79,424.63,12.54,11.78,147.7211,83.7694,34.9883,219.52,430.52,1.0645,24,1,0,1,rgb,207,207,207,0,none,,,,0.0,48.87,4.275,49.6837,12.2101,0.0,594.0,387.36,0.0,93.9136
mdt,9,path,,UNLABELED,186.0,406.7,198.05,393.98,12.05,12.72,153.2761,75.3441,34.765,192.025,400.34,0.9473,27,1,0,1,rgb,207,207,207,0,none,,,,0.0,91.6936,1.7301,124.8224,9.6842,0.0,594.0,387.36,0.0,89.9246
mdt,10,path,,UNLABELED,191.53,395.29,200.7,383.89,9.17,11.4,104.5379,34.6392,30.2144,196.115,389.59,0.8044,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,110.4423,16.1628,124.2178,9.336,0.0,594.0,387.36,0.0,40.212
mdt,11,path,,UNLABELED,196.64,385.75,206.59,375.4,9.95,10.35,102.9825,57.6891,31.0917,201.615,380.575,0.9614,29,1,0,1,rgb,207,207,207,0,none,,,,0.0,144.7002,1.4306,66.3009,3.7568,0.0,594.0,387.36,0.0,67.3701
mdt,12,path,,UNLABELED,205.08,379.94,212.31,373.14,7.23,6.8,49.164,26.6956,17.3664,208.695,376.54,1.0632,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,176.6821,1.7386,146.5187,6.0907,0.0,594.0,387.36,0.0,26.9918
mdt,13,path,,UNLABELED,219.22,373.03,227.27,357.39,8.05,15.64,125.902,46.6677,33.4307,223.245,365.21,0.5147,22,1,0,1,rgb,207,207,207,0,none,,,,0.0,67.8151,5.9322,63.2394,15.7241,0.0,594.0,387.36,0.0,60.6512
mdt,14,path,,UNLABELED,216.76,414.12,237.76,378.78,21.0,35.34,742.1399,124.1021,76.0014,227.26,396.45,0.5942,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,62.9769,55.5605,63.25,15.2411,0.0,594.0,387.36,0.0,170.6306
mdt,15,path,,UNLABELED,210.16,380.57,221.66,366.31,11.5,14.26,163.9899,105.1094,42.5418,215.91,373.44,0.8065,41,1,0,1,rgb,207,207,207,0,none,,,,0.0,69.4868,1.4594,62.7096,5.2999,0.0,594.0,387.36,0.0,119.2022
mdt,16,path,,UNLABELED,184.0,302.31,192.39,291.88,8.39,10.43,87.5076,29.9093,27.2155,188.195,297.095,0.8044,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,62.6615,3.8998,63.1937,11.6858,0.0,594.0,387.36,0.0,41.8144
mdt,17,path,,UNLABELED,179.71,368.05,214.49,304.96,34.78,63.09,2194.27,212.0605,144.4756,197.1,336.505,0.5513,14,1,0,1,rgb,207,207,207,0,none,,,,0.0,62.0095,342.7357,63.1059,54.5162,0.0,594.0,387.36,0.0,283.2198
mdt,18,path,,UNLABELED,173.3,308.44,185.39,297.0,12.09,11.44,138.3096,76.5381,37.9534,179.345,302.72,1.0568,35,1,0,1,rgb,207,207,207,0,none,,,,0.0,102.7106,1.7088,47.1764,5.9581,0.0,594.0,387.36,0.0,88.8715
mdt,19,path,,UNLABELED,171.86,314.41,177.45,304.06,5.59,10.35,57.8565,40.5501,22.8557,174.655,309.235,0.5401,16,1,0,1,rgb,207,207,207,0,none,,,,0.0,56.0884,1.8874,47.1764,5.9581,0.0,594.0,387.36,0.0,42.0611
