airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
mfe,0,path,,UNLABELED,275.8459,360.6961,275.8459,360.6951,0.0,0.001,0.0,0.0,0.002,275.8459,360.6956,0.0,4,1,0,0,none,,,,1,rgb,207,207,207,0.39,90.0,1000000.0,90.0,0.001,0.0,594.0,387.36,0.0,0.0
mfe,1,path,,UNLABELED,275.85,360.72,275.85,360.7,0.0,0.02,0.0,0.0,0.02,275.85,360.71,0.0,3,1,0,0,none,,,,1,rgb,207,207,207,0.39,90.0,1000000.0,90.0,0.02,0.0,594.0,387.36,0.0,0.0
mfe,2,path,,UNLABELED,272.1029,361.3201,272.1039,361.3191,0.001,0.001,0.0,0.0,0.0028,272.1034,361.3196,1.0,4,1,0,0,none,,,,1,rgb,207,207,207,0.39,45.0,1000000.0,45.0,0.0014,0.0,594.0,387.36,0.0,0.0
mfe,3,path,,UNLABELED,323.8496,142.0007,323.8496,141.9997,0.0,0.001,0.0,0.0,0.002,323.8496,142.0002,0.0,4,1,0,0,none,,,,1,rgb,207,207,207,0.39,90.0,1000000.0,90.0,0.001,0.0,594.0,387.36,0.0,0.0
mfe,4,path,,UNLABELED,305.2339,164.697,305.2349,164.697,0.001,0.0,0.0,0.0,0.002,305.2344,164.697,0.0,4,1,0,0,none,,,,1,rgb,207,207,207,0.39,0.0,1000000.0,0.0,0.001,0.0,594.0,387.36,0.0,0.0
mfe,5,compound,,UNLABELED,98.73,452.74,346.6,132.81,247.87,319.93,79301.0533,8168.4029,2157.3881,222.665,292.775,0.7748,383,3,0,1,rgb,207,207,207,0,none,,,,0.0,124.4571,6.4632,129.3547,137.1509,0.0,594.0,387.36,0.0,32554.8234
mfe,6,compound,,UNLABELED,218.06,451.24,221.21,446.39,3.15,4.85,15.2776,5.735,22.4418,219.635,448.815,0.6495,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.9887,2.6318,105.0183,0.4245,0.0,594.0,387.36,0.0,12.1883
mfe,7,path,,UNLABELED,221.95,447.07,222.63,446.39,0.68,0.68,0.4624,0.3512,2.1154,222.29,446.73,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.0,1.1309,102.0943,0.1432,0.0,594.0,387.36,0.0,0.3512
mfe,8,path,,UNLABELED,223.94,451.07,225.25,446.47,1.31,4.6,6.026,2.6724,11.5921,224.595,448.77,0.2848,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,95.2382,23.0277,90.0,4.6,0.0,594.0,387.36,0.0,4.3084
mfe,9,compound,,UNLABELED,227.03,451.08,229.1,449.0,2.07,2.08,4.3056,2.4014,10.0067,228.065,450.04,0.9952,34,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.051,1.1241,79.2178,0.4276,0.0,594.0,387.36,0.0,3.3493
mfe,10,path,,UNLABELED,231.05,451.24,237.52,446.3,6.47,4.94,31.9618,9.0181,33.0758,234.285,448.77,1.3097,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,153.2204,1.2653,112.0289,5.1457,0.0,594.0,387.36,0.0,22.2296
mfe,11,compound,,UNLABELED,189.3,457.61,193.73,452.77,4.43,4.84,21.4411,6.0124,22.3587,191.515,455.19,0.9153,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.5828,1.2358,114.6399,5.3248,0.0,594.0,387.36,0.0,10.7206
mfe,12,path,,UNLABELED,194.12,457.59,198.12,452.58,4.0,5.01,20.04,7.4703,27.5697,196.12,455.085,0.7984,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.7606,1.7653,132.8908,4.9956,0.0,594.0,387.36,0.0,19.22
mfe,13,path,,UNLABELED,198.93,457.59,202.93,452.58,4.0,5.01,20.04,7.4703,27.5697,200.93,455.085,0.7984,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.7606,1.7653,132.8908,4.9956,0.0,594.0,387.36,0.0,19.22
mfe,14,path,,UNLABELED,203.66,457.37,207.07,452.69,3.41,4.68,15.9588,6.0932,22.1414,205.365,455.03,0.7286,51,1,0,1,rgb,0,0,0,0,none,,,,0.0,105.3628,1.3752,90.0,2.91,0.0,594.0,387.36,0.0,14.7619
mfe,15,compound,,UNLABELED,207.34,457.61,211.76,452.77,4.42,4.84,21.3928,6.0001,22.3446,209.55,455.19,0.9132,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.2748,1.2428,65.4579,5.3207,0.0,594.0,387.36,0.0,10.6964
mfe,16,path,,UNLABELED,212.16,457.37,214.16,452.77,2.0,4.6,9.2,3.4331,13.2,213.16,455.07,0.4348,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,100.5501,10.2883,90.0,4.6,0.0,594.0,387.36,0.0,6.3166
mfe,17,compound,,UNLABELED,216.29,457.37,219.19,452.77,2.9,4.6,13.3401,6.4213,23.4803,217.74,455.07,0.6304,45,2,0,1,rgb,0,0,0,0,none,,,,0.0,92.1314,3.0628,90.0,4.6,0.0,594.0,387.36,0.0,11.9281
