airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
mfr,0,path,,UNLABELED,231.21,301.52,267.14,284.91,35.93,16.61,596.7967,144.334,77.522,249.175,293.215,2.1632,15,1,0,1,rgb,207,207,207,0,none,,,,0.0,13.8592,42.0531,20.8694,27.3974,0.0,594.0,387.36,0.0,217.5364
mfr,1,path,,UNLABELED,271.68,122.58,281.22,114.37,9.54,8.21,78.3237,37.841,22.0946,276.45,118.475,1.162,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,16.5572,2.664,24.0023,7.3014,0.0,594.0,387.36,0.0,42.0823
mfr,2,path,,UNLABELED,261.82,123.01,273.47,113.67,11.65,9.34,108.8113,56.8448,30.146,267.645,118.34,1.2473,18,1,0,1,rgb,207,207,207,0,none,,,,0.0,146.6632,3.6988,126.4981,5.5481,0.0,594.0,387.36,0.0,63.0957
mfr,3,path,,UNLABELED,240.98,161.68,247.02,151.79,6.04,9.89,59.7354,18.3367,25.9084,244.0,156.735,0.6107,25,1,0,1,rgb,207,207,207,0,none,,,,0.0,114.0019,7.8001,111.7215,10.6459,0.0,594.0,387.36,0.0,26.3454
mfr,4,path,,UNLABELED,245.43,165.27,253.17,153.11,7.74,12.16,94.1183,55.1842,22.6776,249.3,159.19,0.6365,20,1,0,1,rgb,207,207,207,0,none,,,,0.0,106.6129,5.3064,19.0575,4.6552,0.0,594.0,387.36,0.0,59.6084
mfr,5,path,,UNLABELED,249.5,154.47,265.77,121.26,16.27,33.21,540.3262,128.553,70.2671,257.635,137.865,0.4899,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,112.9939,49.2574,111.0136,18.9074,0.0,594.0,387.36,0.0,139.9804
mfr,6,path,,UNLABELED,244.08,169.13,249.83,163.75,5.75,5.38,30.935,19.6558,14.1395,246.955,166.44,1.0688,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,24.8541,1.8409,18.2085,5.6004,0.0,594.0,387.36,0.0,19.6558
mfr,7,path,,UNLABELED,249.53,180.45,259.65,171.05,10.12,9.4,95.1279,48.4279,25.0144,254.59,175.75,1.0766,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,23.5299,1.2448,111.231,7.6492,0.0,594.0,387.36,0.0,56.5451
mfr,8,path,,UNLABELED,240.01,179.83,251.55,167.38,11.54,12.45,143.6732,81.6549,35.029,245.78,173.605,0.9269,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,121.746,2.9048,110.3215,11.7194,0.0,594.0,387.36,0.0,87.3861
mfr,9,path,,UNLABELED,203.57,267.64,215.58,249.51,12.01,18.13,217.7413,105.9977,40.6883,209.575,258.575,0.6624,27,1,0,1,rgb,207,207,207,0,none,,,,0.0,111.508,5.5702,108.1585,9.177,0.0,594.0,387.36,0.0,124.2296
mfr,10,path,,UNLABELED,211.82,251.03,244.23,178.37,32.41,72.66,2354.911,322.8329,153.4292,228.025,214.7,0.4461,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,112.4741,274.4472,112.4144,66.4828,0.0,594.0,387.36,0.0,360.5115
mfr,11,path,,UNLABELED,197.82,261.52,205.79,253.9,7.97,7.62,60.7316,29.4056,15.205,201.805,257.71,1.0459,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,142.2681,2.53,111.0441,6.1824,0.0,594.0,387.36,0.0,29.4056
mfr,12,path,,UNLABELED,185.74,260.01,194.75,251.84,9.01,8.17,73.6115,31.1767,27.6736,190.245,255.925,1.1028,19,1,0,1,rgb,207,207,207,0,none,,,,0.0,158.5557,7.2274,155.5498,7.5138,0.0,594.0,387.36,0.0,36.8127
mfr,13,path,,UNLABELED,186.14,268.44,199.5,256.86,13.36,11.58,154.709,91.6541,36.7529,192.82,262.65,1.1537,28,1,0,1,rgb,207,207,207,0,none,,,,0.0,134.7265,3.0271,155.5498,7.5138,0.0,594.0,387.36,0.0,104.089
mfr,14,path,,UNLABELED,134.6,292.02,143.62,280.9,9.02,11.12,100.3024,54.8713,28.9932,139.11,286.46,0.8112,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,65.0905,2.9802,66.6724,8.1568,0.0,594.0,387.36,0.0,61.3885
mfr,15,path,,UNLABELED,150.75,275.07,155.8,270.47,5.05,4.6,23.23,9.4332,14.0849,153.275,272.77,1.0978,20,1,0,1,rgb,207,207,207,0,none,,,,0.0,149.5056,1.9055,156.8425,5.4926,0.0,594.0,387.36,0.0,13.0051
mfr,16,path,,UNLABELED,152.11,280.32,160.26,274.36,8.15,5.96,48.5739,23.793,14.7199,156.185,277.34,1.3675,19,1,0,1,rgb,207,207,207,0,none,,,,0.0,158.8115,4.0196,65.2789,2.2238,0.0,594.0,387.36,0.0,28.0618
