airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
mgm,0,path,,UNLABELED,51.41,319.11,57.67,313.42,6.26,5.69,35.6194,29.2529,16.5971,54.54,316.265,1.1002,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,174.9967,1.2534,173.4831,5.727,0.0,594.0,387.36,0.0,29.2529
mgm,1,path,,UNLABELED,233.93,294.65,238.79,290.49,4.86,4.16,20.2176,6.2371,14.6076,236.36,292.57,1.1683,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,140.2736,2.2441,173.6597,4.8899,0.0,594.0,387.36,0.0,9.4311
mgm,2,path,,UNLABELED,324.57,290.07,330.75,284.43,6.18,5.64,34.8552,28.5721,21.4107,327.66,287.25,1.0957,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,27.6135,1.7634,173.8844,5.6321,0.0,594.0,387.36,0.0,28.5721
mgm,3,path,,UNLABELED,252.79,316.38,332.57,290.07,79.78,26.31,2099.012,362.7109,224.0911,292.68,303.225,3.0323,39,1,0,1,rgb,207,207,207,0,none,,,,0.0,169.0908,26.1677,174.0095,58.2581,0.0,594.0,387.36,0.0,1240.3811
mgm,4,path,,UNLABELED,173.4,286.15,324.57,122.11,151.17,164.04,24797.9278,1491.9965,715.1989,248.985,204.13,0.9215,71,1,0,1,rgb,207,207,207,0,none,,,,0.0,47.1393,7.2881,173.8426,79.2472,0.0,594.0,387.36,0.0,10785.7762
mgm,5,path,,UNLABELED,55.95,313.42,229.74,236.68,173.79,76.74,13336.6424,777.8785,568.4924,142.845,275.05,2.2647,68,1,0,1,rgb,207,207,207,0,none,,,,0.0,169.1418,16.8474,173.8102,78.2763,0.0,594.0,387.36,0.0,6633.0843
mgm,6,path,,UNLABELED,57.67,326.17,65.03,317.68,7.36,8.49,62.4863,32.7013,27.1339,61.35,321.925,0.8669,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,83.7654,2.0337,173.9505,7.4012,0.0,594.0,387.36,0.0,40.2782
mgm,7,path,,UNLABELED,59.91,331.73,67.99,325.77,8.08,5.96,48.1567,21.2112,22.0722,63.95,328.75,1.3557,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,35.5723,9.0921,52.4873,4.9923,0.0,594.0,387.36,0.0,23.9328
mgm,8,path,,UNLABELED,53.78,335.32,68.06,326.17,14.28,9.15,130.6619,80.6676,37.7101,60.92,330.745,1.5607,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,11.2454,8.2256,177.6002,6.9261,0.0,594.0,387.36,0.0,88.9762
mgm,9,path,,UNLABELED,67.81,332.66,251.91,304.47,184.1,28.19,5189.7796,486.7174,362.7169,159.86,318.565,6.5307,61,1,0,1,rgb,207,207,207,0,none,,,,0.0,173.6108,402.9768,174.0126,67.9708,0.0,594.0,387.36,0.0,1280.9726
