airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
mkl,0,path,,UNLABELED,226.29,462.01,236.43,452.79,10.14,9.22,93.4908,55.7166,28.1841,231.36,457.4,1.0998,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,47.1566,1.2879,58.6939,6.6011,0.0,594.0,387.36,0.0,56.9369
mkl,1,path,,UNLABELED,187.14,376.75,204.33,360.33,17.19,16.42,282.2596,169.8475,48.8717,195.735,368.54,1.0469,14,1,0,1,rgb,207,207,207,0,none,,,,0.0,52.8498,1.2323,66.9868,6.4971,0.0,594.0,387.36,0.0,198.5292
mkl,2,path,,UNLABELED,131.05,227.9,143.62,215.84,12.57,12.06,151.5943,83.9222,35.7794,137.335,221.87,1.0423,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,110.9894,1.1359,67.7662,11.0733,0.0,594.0,387.36,0.0,96.079
mkl,3,path,,UNLABELED,91.79,130.64,102.16,113.99,10.37,16.65,172.6608,82.7904,41.0826,96.975,122.315,0.6228,15,1,0,1,rgb,207,207,207,0,none,,,,0.0,91.1669,1.6892,67.4942,9.6662,0.0,594.0,387.36,0.0,108.1495
mkl,4,path,,UNLABELED,100.83,117.51,114.05,109.47,13.22,8.04,106.2889,50.6802,27.38,107.44,113.49,1.6443,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,163.9893,7.4092,157.9154,12.0221,0.0,594.0,387.36,0.0,55.9605
mkl,5,path,,UNLABELED,95.49,217.65,135.34,129.47,39.85,88.18,3513.9726,302.2723,124.5657,115.415,173.56,0.4519,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,66.9918,649.5017,67.7786,88.1575,0.0,594.0,387.36,0.0,379.7277
mkl,6,path,,UNLABELED,142.18,219.92,155.98,209.91,13.8,10.01,138.1377,57.3742,31.6827,149.08,214.915,1.3786,14,1,0,1,rgb,207,207,207,0,none,,,,0.0,157.725,3.5488,170.6407,6.3951,0.0,594.0,387.36,0.0,72.5202
mkl,7,path,,UNLABELED,135.24,287.35,163.44,226.07,28.2,61.28,1728.0958,220.3707,128.7704,149.34,256.71,0.4602,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,68.2335,165.0211,67.8218,43.2066,0.0,594.0,387.36,0.0,328.9972
mkl,8,path,,UNLABELED,165.98,291.35,172.09,285.08,6.11,6.27,38.3096,22.3124,19.2521,169.035,288.215,0.9745,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,59.9178,1.1977,67.5572,5.9723,0.0,594.0,387.36,0.0,22.5186
mkl,9,path,,UNLABELED,161.82,361.87,193.63,294.06,31.81,67.81,2157.0369,239.1012,139.4225,177.725,327.965,0.4691,12,1,0,1,rgb,207,207,207,0,none,,,,0.0,67.3006,240.7946,67.5481,47.7602,0.0,594.0,387.36,0.0,367.5424
