airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
mqi,0,0,0,271.43,300.585,104.0992,2.2168
mqi,0,0,1,272.65,298.95,149.4818,2.2055
mqi,1,0,0,255.06,320.645,136.468,0.2759
mqi,1,0,1,254.865,320.645,45.0,0.2687
mqi,1,0,2,254.865,320.45,133.5298,0.2759
mqi,1,0,3,255.06,320.45,45.0022,0.2828
mqi,2,0,0,195.51,273.405,154.0483,30.9176
mqi,2,0,1,210.74,266.03,155.3616,2.9264
mqi,2,0,2,213.275,264.595,145.6026,2.9207
mqi,2,0,3,235.805,245.83,139.9272,55.7351
mqi,2,0,4,257.885,226.34,115.9707,3.4482
mqi,2,0,5,257.74,224.39,23.9619,1.9698
mqi,2,0,6,234.39,243.135,139.543,59.0096
mqi,2,0,7,211.205,262.88,140.7748,1.8976
mqi,2,0,8,209.595,263.865,156.2508,1.9119
mqi,2,0,9,194.19,270.965,155.1961,32.0133
mqi,2,0,10,180.635,278.925,51.9343,3.1627
mqi,3,0,0,214.57,306.885,171.7472,11.2162
mqi,3,0,1,208.68,307.78,165.1715,0.7034
mqi,3,0,2,207.995,308.06,151.1571,0.7877
mqi,3,0,3,207.13,308.92,127.8156,1.6962
mqi,3,0,4,206.525,310.44,95.7106,1.7085
mqi,3,0,5,206.555,311.66,72.7349,0.7749
mqi,3,0,6,206.855,312.33,58.3385,0.7049
mqi,3,0,7,205.405,310.54,51.964,5.3071
mqi,3,0,8,202.54,306.88,51.9234,3.9889
mqi,3,0,9,202.095,305.635,22.4901,1.6992
mqi,3,0,10,203.73,305.97,0.6737,1.7001
mqi,3,0,11,215.225,304.425,171.6892,21.5159
mqi,3,0,12,226.275,302.74,162.2033,0.8507
mqi,3,0,13,226.965,302.3,132.5946,0.8422
mqi,3,0,14,225.525,306.285,111.8819,9.2569
mqi,3,0,15,223.53,308.915,80.789,3.3735
mqi,3,0,16,221.69,306.665,20.4362,3.3509
mqi,4,0,0,257.63,324.69,171.1045,2.328
mqi,4,0,1,257.63,324.69,171.1045,2.328
mqi,5,0,0,99.935,236.71,141.8216,19.7051
mqi,5,0,1,93.09,243.915,51.0906,2.8658
