airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
mqy,0,path,,UNLABELED,91.68,423.8,115.25,396.71,23.57,27.09,638.5112,170.2795,66.2542,103.465,410.255,0.8701,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,129.3492,29.3878,129.1413,30.4799,0.0,594.0,387.36,0.0,170.2795
mqy,1,path,,UNLABELED,115.25,414.44,194.8,337.99,79.55,76.45,6081.5981,580.8539,287.1621,155.025,376.215,1.0405,36,1,0,1,rgb,207,207,207,0,none,,,,0.0,140.9161,5.5953,145.7357,47.6012,0.0,594.0,387.36,0.0,2746.6061
mqy,2,path,,UNLABELED,192.0711,298.4796,192.0711,298.4796,0.0,0.0,0.0,0.0,0.0,192.0711,298.4796,0.0,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,0.0,1000000.0,0.0,0.0,0.0,594.0,387.36,0.0,0.0
mqy,3,path,,UNLABELED,192.07,302.9,194.8,298.48,2.73,4.42,12.0666,4.4228,11.9058,193.435,300.69,0.6176,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,78.0623,2.2997,87.4092,4.4245,0.0,594.0,387.36,0.0,5.8943
mqy,4,compound,,UNLABELED,184.85,375.17,312.75,200.94,127.9,174.23,22284.0173,7060.3845,1068.5859,248.8,288.055,0.7341,196,3,0,1,rgb,207,207,207,0,none,,,,0.0,87.2125,2.3758,41.0027,65.0211,0.0,594.0,387.36,0.0,19143.5728
mqy,5,path,,UNLABELED,146.51,267.74,153.82,265.77,7.31,1.97,14.4007,12.7851,10.7873,150.165,266.755,3.7107,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,178.4276,16.7837,178.1041,7.254,0.0,594.0,387.36,0.0,12.7851
mqy,6,path,,UNLABELED,189.9,286.66,208.95,268.21,19.05,18.45,351.4722,47.9434,57.3094,199.425,277.435,1.0325,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,37.1203,47.9256,41.4915,23.1091,0.0,594.0,387.36,0.0,94.9813
mqy,7,path,,UNLABELED,133.84,267.16,155.27,224.46,21.43,42.7,915.0609,527.498,143.1166,144.555,245.81,0.5019,32,1,0,1,rgb,207,207,207,0,none,,,,0.0,107.5974,10.0576,86.3129,30.3228,0.0,594.0,387.36,0.0,711.6738
mqy,8,path,,UNLABELED,186.5154,262.2993,186.5154,262.2993,0.0,0.0,0.0,0.0,0.0,186.5154,262.2993,0.0,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,0.0,1000000.0,0.0,0.0,0.0,594.0,387.36,0.0,0.0
mqy,9,path,,UNLABELED,101.2,396.71,187.11,201.08,85.91,195.63,16806.5729,1049.3032,688.1718,144.155,298.895,0.4391,121,1,0,1,rgb,207,207,207,0,none,,,,0.0,105.9055,26.5593,85.7394,80.4924,0.0,594.0,387.36,0.0,7109.0303
mqy,10,path,,UNLABELED,150.04,227.02,162.44,210.81,12.4,16.21,201.0038,40.1355,70.2127,156.24,218.915,0.765,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,122.6061,19.3478,122.3336,16.285,0.0,594.0,387.36,0.0,72.6699
mqy,11,path,,UNLABELED,102.13,76.28,305.04,76.28,202.91,0.0,0.0,0.0,202.91,203.585,76.28,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.42,0.0,1000000.0,0.0,202.91,0.0,594.0,387.36,0.0,0.0
mqy,12,path,,UNLABELED,100.95,90.56,104.87,85.34,3.92,5.22,20.4624,5.9181,21.5959,102.91,87.95,0.751,75,1,0,1,rgb,0,0,0,0,none,,,,0.0,87.3157,2.3168,90.0,0.73,0.0,594.0,387.36,0.0,17.2619
mqy,13,compound,,UNLABELED,105.04,90.64,109.8,85.43,4.76,5.21,24.7995,6.9412,24.0729,107.42,88.035,0.9136,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0537,1.2405,114.5516,5.7279,0.0,594.0,387.36,0.0,12.3998
mqy,14,path,,UNLABELED,110.13,90.38,113.8,85.34,3.67,5.04,18.4968,7.0508,23.8369,111.965,87.86,0.7282,51,1,0,1,rgb,0,0,0,0,none,,,,0.0,105.514,1.3763,90.0,3.13,0.0,594.0,387.36,0.0,17.1038
mqy,15,path,,UNLABELED,114.19,90.38,117.2,85.43,3.01,4.95,14.8995,4.4715,15.92,115.695,87.905,0.6081,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.3791,3.4248,90.0,4.4,0.0,594.0,387.36,0.0,9.6855
mqy,16,path,,UNLABELED,117.65,90.38,118.3,85.43,0.65,4.95,3.2175,3.2175,11.2,117.975,87.905,0.1313,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,88.7249,59.7092,90.0,4.95,0.0,594.0,387.36,0.0,3.2175
mqy,17,compound,,UNLABELED,118.82,90.56,124.04,85.34,5.22,5.22,27.2484,8.6919,29.1217,121.43,87.95,1.0,114,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0,1.0728,62.7843,0.3936,0.0,594.0,387.36,0.0,21.4664
mqy,18,path,,UNLABELED,124.65,90.62,128.96,85.23,4.31,5.39,23.231,8.673,29.6562,126.805,87.925,0.7996,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.61,1.7625,133.0405,5.3772,0.0,594.0,387.36,0.0,22.2828
mqy,19,path,,UNLABELED,129.92,86.07,130.66,85.34,0.74,0.73,0.5402,0.4103,2.286,130.29,85.705,1.0137,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.0,1.0918,101.3077,0.153,0.0,594.0,387.36,0.0,0.4103
mqy,20,path,,UNLABELED,129.92,88.73,130.66,88.0,0.74,0.73,0.5402,0.4112,2.2886,130.29,88.365,1.0137,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.0,1.0985,56.315,0.1442,0.0,594.0,387.36,0.0,0.4112
mqy,21,compound,,UNLABELED,133.65,90.38,136.49,85.43,2.84,4.95,14.058,7.6276,25.4708,135.07,87.905,0.5737,77,3,0,1,rgb,0,0,0,0,none,,,,0.0,96.1077,4.6705,90.0,4.95,0.0,594.0,387.36,0.0,12.1512
mqy,22,path,,UNLABELED,137.18,90.38,139.88,85.43,2.7,4.95,13.365,6.534,23.42,138.53,87.905,0.5455,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,82.4239,2.6518,90.0,4.95,0.0,594.0,387.36,0.0,13.365
mqy,23,compound,,UNLABELED,141.98,90.64,146.74,85.43,4.76,5.21,24.7995,6.9347,24.0788,144.36,88.035,0.9136,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.4228,1.2388,65.4483,5.7279,0.0,594.0,387.36,0.0,12.3998
mqy,24,path,,UNLABELED,147.17,90.38,149.32,85.43,2.15,4.95,10.6425,3.9985,14.2,148.245,87.905,0.4343,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,100.5038,10.3054,90.0,4.95,0.0,594.0,387.36,0.0,7.3205
mqy,25,path,,UNLABELED,149.71,90.38,152.4,85.43,2.69,4.95,13.3155,6.5175,23.36,151.055,87.905,0.5434,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,82.4849,2.6734,90.0,4.95,0.0,594.0,387.36,0.0,13.3155
mqy,26,compound,,UNLABELED,153.15,90.38,156.28,85.43,3.13,4.95,15.4936,7.4619,25.2906,154.715,87.905,0.6323,45,2,0,1,rgb,0,0,0,0,none,,,,0.0,92.1043,3.0561,90.0,4.95,0.0,594.0,387.36,0.0,13.8497
mqy,27,path,,UNLABELED,156.29,90.38,159.29,85.43,3.0,4.95,14.8499,4.466,15.9,157.79,87.905,0.6061,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.3251,3.4473,90.0,4.4,0.0,594.0,387.36,0.0,9.658
mqy,28,path,,UNLABELED,161.2,90.38,164.21,85.43,3.01,4.95,14.8994,4.5154,15.92,162.705,87.905,0.6081,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.3124,3.42,90.0,4.4,0.0,594.0,387.36,0.0,9.7074
mqy,29,compound,,UNLABELED,164.29,90.56,169.52,85.34,5.23,5.22,27.3006,8.6943,29.129,166.905,87.95,1.0019,114,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.1395,1.0717,51.1153,0.3982,0.0,594.0,387.36,0.0,21.4767
mqy,30,compound,,UNLABELED,172.03,90.38,175.16,85.43,3.13,4.95,15.4936,7.4934,25.2836,173.595,87.905,0.6323,45,2,0,1,rgb,0,0,0,0,none,,,,0.0,92.1144,3.0625,90.0,4.95,0.0,594.0,387.36,0.0,13.8719
mqy,31,path,,UNLABELED,175.53,90.38,179.2,85.34,3.67,5.04,18.4968,7.0508,23.8369,177.365,87.86,0.7282,51,1,0,1,rgb,0,0,0,0,none,,,,0.0,105.4008,1.3757,90.0,3.13,0.0,594.0,387.36,0.0,17.1038
mqy,32,path,,UNLABELED,180.04,90.62,184.34,85.23,4.3,5.39,23.1771,8.658,29.6425,182.19,87.925,0.7978,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.8023,1.7689,132.9625,5.3704,0.0,594.0,387.36,0.0,22.2311
mqy,33,path,,UNLABELED,184.67,90.56,191.64,85.25,6.97,5.31,37.0107,10.4249,35.6086,188.155,87.905,1.3126,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,153.4557,1.2656,67.9295,5.5356,0.0,594.0,387.36,0.0,25.7387
mqy,34,compound,,UNLABELED,191.45,90.64,196.22,85.43,4.77,5.21,24.8517,6.9672,24.087,193.835,88.035,0.9155,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.6095,1.2379,114.6425,5.732,0.0,594.0,387.36,0.0,12.4258
