airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
myf,0,0,0,212.035,222.845,174.2391,5.6787
myf,0,0,1,208.955,220.5,84.4619,5.2847
myf,0,0,2,213.745,217.365,174.2837,10.1404
myf,0,0,3,219.025,219.305,84.5099,4.9125
myf,0,0,4,221.115,221.505,172.4763,3.7422
myf,0,0,5,223.365,224.43,82.8973,6.389
myf,0,0,6,219.725,228.14,172.3775,8.1419
myf,0,0,7,215.275,225.62,82.2766,6.176
myf,1,0,0,107.555,314.18,64.8915,10.2042
myf,1,0,1,108.09,319.565,154.8582,3.6012
myf,1,0,2,100.955,308.525,64.999,26.0509
myf,1,0,3,82.475,297.88,174.8912,26.0535
myf,1,0,4,66.615,300.48,153.4749,6.4488
myf,1,0,5,64.415,303.38,64.8652,3.2254
myf,1,0,6,59.585,307.435,154.8014,12.19
myf,1,0,7,52.52,306.715,64.9406,7.3189
myf,1,0,8,56.485,300.805,154.8014,12.19
myf,1,0,9,62.42,299.115,65.1045,1.9954
myf,1,0,10,65.88,298.505,153.5104,6.7932
myf,1,0,11,81.78,295.26,172.3383,25.9517
myf,1,0,12,93.81,292.305,55.8804,2.9594
myf,1,0,13,92.945,289.855,88.3636,2.451
myf,1,0,14,93.925,285.235,106.645,7.087
myf,1,0,15,96.61,282.59,24.185,3.6614
myf,1,0,16,97.65,286.02,103.2286,5.5061
myf,1,0,17,96.66,289.675,110.2657,2.0787
myf,1,0,18,99.3,296.67,63.5112,13.4522
myf,1,0,19,106.035,300.94,154.895,8.2493
myf,1,0,20,110.525,298.89,158.3294,1.6248
myf,1,0,21,112.135,298.455,171.0277,1.7312
myf,1,0,22,113.985,298.395,4.3105,1.9956
myf,1,0,23,115.615,298.79,26.7446,1.4221
myf,1,0,24,116.68,299.38,32.1254,1.0155
myf,1,0,25,121.715,297.515,155.1264,10.1517
myf,1,0,26,128.755,296.49,24.506,5.3521
myf,1,0,27,118.29,303.58,155.1292,28.4373
myf,3,0,0,109.94,323.465,154.8759,3.5565
myf,3,0,1,115.92,332.04,64.9025,20.6054
myf,3,0,2,118.67,342.13,154.867,3.5788
myf,3,0,3,112.69,333.555,64.9646,20.606
myf,4,0,0,175.305,310.17,135.9134,3.1046
myf,4,0,1,176.78,308.55,123.6904,1.298
myf,4,0,2,177.175,307.93,113.6311,0.1746
myf,4,0,3,176.635,303.015,83.2179,9.7382
myf,4,0,4,173.075,296.72,26.0637,6.6458
myf,4,0,5,172.47,294.145,154.8974,5.2565
myf,4,0,6,186.815,298.86,25.9779,26.6195
myf,4,0,7,196.395,305.805,154.9435,5.2655
myf,4,0,8,186.94,303.475,25.9786,15.7293
myf,4,0,9,180.375,304.305,83.2629,8.6094
myf,4,0,10,180.885,308.585,45.0437,0.0141
myf,4,0,11,182.365,309.705,37.087,3.698
myf,4,0,12,185.035,310.69,173.7912,2.4041
