airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
ngu,0,path,,UNLABELED,183.652,198.99,201.396,174.145,17.744,24.845,440.8498,367.891,78.8052,192.524,186.5675,0.7142,13,1,0,1,rgb,230,230,230,0,none,,,,0.0,60.4097,4.3124,90.4505,24.8008,0.0,593.0,387.0,0.0,390.4182
ngu,1,path,,UNLABELED,209.844,197.533,218.394,174.406,8.55,23.127,197.736,184.1284,60.4842,214.119,185.9695,0.3697,7,1,0,1,rgb,230,230,230,0,none,,,,0.0,87.8794,8.3325,90.5737,21.7741,0.0,593.0,387.0,0.0,187.292
ngu,2,path,,UNLABELED,225.765,488.771,233.579,462.25,7.814,26.521,207.2349,164.747,49.7347,229.672,475.5105,0.2946,7,1,0,1,rgb,230,230,230,0,none,,,,0.0,83.9624,11.587,90.4753,17.7196,0.0,593.0,387.0,0.0,168.8235
ngu,3,path,,UNLABELED,233.904,283.839,276.746,264.511,42.842,19.328,828.0499,453.9524,101.3165,255.325,274.175,2.2166,11,1,0,1,rgb,230,230,230,0,none,,,,0.0,165.275,8.2794,1.2209,32.9935,0.0,593.0,387.0,0.0,505.3765
ngu,4,path,,UNLABELED,233.998,275.412,265.134,250.918,31.136,24.494,762.6458,345.9532,78.1912,249.566,263.165,1.2712,10,1,0,1,rgb,230,230,230,0,none,,,,0.0,155.899,6.8178,160.1095,27.2879,0.0,593.0,387.0,0.0,347.6181
ngu,5,path,,UNLABELED,279.545,290.537,287.922,271.001,8.377,19.536,163.6534,75.1937,43.2332,283.7335,280.769,0.4288,5,1,0,1,rgb,230,230,230,0,none,,,,0.0,64.482,11.3965,50.9871,13.3075,0.0,593.0,387.0,0.0,77.1825
ngu,6,path,,UNLABELED,242.679,247.56,251.269,239.364,8.59,8.196,70.4037,20.4136,14.0114,246.974,243.462,1.0481,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,42.7581,21.9941,43.5634,9.8425,0.0,593.0,387.0,0.0,20.4136
ngu,7,path,,UNLABELED,239.576,251.127,248.327,242.526,8.751,8.601,75.2675,21.9075,14.5924,243.9515,246.8265,1.0174,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,43.4471,21.8005,43.4654,10.244,0.0,593.0,387.0,0.0,21.9075
ngu,8,path,,UNLABELED,171.51,482.602,179.25,448.503,7.74,34.099,263.9259,184.5567,65.5833,175.38,465.5525,0.227,8,1,0,1,rgb,230,230,230,0,none,,,,0.0,93.2009,15.6638,90.6272,18.7251,0.0,593.0,387.0,0.0,194.0822
ngu,9,path,,UNLABELED,127.493,319.277,180.727,212.533,53.234,106.744,5682.4088,4787.1117,316.7825,154.11,265.905,0.4987,66,1,0,1,rgb,230,230,230,0,none,,,,0.0,92.1241,3.3799,90.0224,43.556,0.0,593.0,387.0,0.0,5274.316
ngu,10,path,,UNLABELED,136.375,362.268,152.603,351.741,16.228,10.527,170.8323,79.268,30.0947,144.489,357.0045,1.5416,7,1,0,1,rgb,230,230,230,0,none,,,,0.0,27.2019,2.7287,41.8694,9.4646,0.0,593.0,387.0,0.0,89.0452
ngu,11,path,,UNLABELED,145.42,352.484,157.559,340.932,12.139,11.552,140.2298,57.0789,37.6058,151.4895,346.708,1.0508,15,1,0,1,rgb,230,230,230,0,none,,,,0.0,31.8348,1.4767,132.3356,11.5758,0.0,593.0,387.0,0.0,77.2418
ngu,12,path,,UNLABELED,235.789,354.715,316.774,296.52,80.985,58.195,4712.9218,3457.6618,267.0192,276.2815,325.6175,1.3916,45,1,0,1,rgb,230,230,230,0,none,,,,0.0,8.9383,2.0938,0.3231,29.7905,0.0,593.0,387.0,0.0,3892.854
ngu,13,path,,UNLABELED,236.142,381.532,268.068,364.285,31.926,17.247,550.6274,423.6623,67.2682,252.105,372.9085,1.8511,10,1,0,1,rgb,230,230,230,0,none,,,,0.0,175.5259,5.1149,1.0352,22.5267,0.0,593.0,387.0,0.0,477.0698
ngu,14,path,,UNLABELED,277.052,444.606,294.044,433.655,16.992,10.951,186.0795,137.076,44.207,285.548,439.1305,1.5516,19,1,0,1,rgb,230,230,230,0,none,,,,0.0,2.4958,2.4644,0.2849,13.2742,0.0,593.0,387.0,0.0,143.2901
ngu,15,path,,UNLABELED,275.862,455.773,288.432,445.936,12.57,9.837,123.6512,68.954,32.4545,282.147,450.8545,1.2778,5,1,0,1,rgb,230,230,230,0,none,,,,0.0,26.8777,2.576,22.7926,10.6377,0.0,593.0,387.0,0.0,68.9557
