airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
nlc,0,path,,UNLABELED,173.003,334.737,188.587,325.087,15.584,9.65,150.3855,37.1157,37.0517,180.795,329.912,1.6149,12,1,0,1,rgb,230,230,230,0,none,,,,0.0,24.5738,22.1336,23.6114,11.4823,0.0,593.0,387.0,0.0,52.9599
nlc,1,path,,UNLABELED,175.484,313.018,178.699,309.543,3.215,3.475,11.1721,6.4726,8.6973,177.0915,311.2805,0.9252,7,1,0,1,rgb,230,230,230,0,none,,,,0.0,95.919,1.0823,21.8016,2.2079,0.0,593.0,387.0,0.0,6.5223
nlc,2,path,,UNLABELED,230.065,278.009,246.481,263.352,16.416,14.657,240.609,107.8695,52.841,238.273,270.6805,1.12,20,1,0,1,rgb,230,230,230,0,none,,,,0.0,26.2773,3.8768,23.7751,8.1311,0.0,593.0,387.0,0.0,131.1075
nlc,3,path,,UNLABELED,231.854,268.745,246.218,258.915,14.364,9.83,141.1983,46.2604,41.7715,239.036,263.83,1.4612,16,1,0,1,rgb,230,230,230,0,none,,,,0.0,24.9387,7.221,23.7528,8.1209,0.0,593.0,387.0,0.0,72.2066
nlc,4,path,,UNLABELED,228.556,359.348,239.112,350.536,10.556,8.812,93.0196,35.2225,25.0661,233.834,354.942,1.1979,7,1,0,1,rgb,230,230,230,0,none,,,,0.0,144.738,4.9516,114.0468,9.6495,0.0,593.0,387.0,0.0,39.0866
nlc,5,path,,UNLABELED,220.144,329.485,223.33,325.91,3.186,3.575,11.3899,6.4705,7.3015,221.737,327.6975,0.8912,5,1,0,1,rgb,230,230,230,0,none,,,,0.0,115.8913,1.5371,23.451,2.1735,0.0,593.0,387.0,0.0,6.4705
nlc,6,path,,UNLABELED,229.044,309.249,232.237,305.755,3.193,3.494,11.1564,6.2706,7.3709,230.6405,307.502,0.9138,5,1,0,1,rgb,230,230,230,0,none,,,,0.0,116.2825,1.368,24.8263,2.2841,0.0,593.0,387.0,0.0,6.3553
nlc,7,path,,UNLABELED,250.357,261.394,252.532,258.986,2.175,2.408,5.2375,2.4869,7.1138,251.4445,260.19,0.9032,8,1,0,1,rgb,230,230,230,0,none,,,,0.0,61.5062,2.0298,22.1812,2.0767,0.0,593.0,387.0,0.0,3.1009
nlc,8,path,,UNLABELED,208.353,316.697,225.776,302.928,17.423,13.769,239.8976,112.3425,47.8507,217.0645,309.8125,1.2654,14,1,0,1,rgb,230,230,230,0,none,,,,0.0,24.6363,4.8761,23.6064,15.2403,0.0,593.0,387.0,0.0,128.2314
nlc,9,path,,UNLABELED,206.011,276.592,218.536,267.759,12.525,8.833,110.6331,46.6781,33.0413,212.2735,272.1755,1.418,20,1,0,1,rgb,230,230,230,0,none,,,,0.0,26.0937,5.7085,24.0356,13.194,0.0,593.0,387.0,0.0,51.5032
nlc,10,path,,UNLABELED,191.501,294.31,206.854,285.192,15.353,9.118,139.9888,44.6081,35.2447,199.1775,289.751,1.6838,17,1,0,1,rgb,230,230,230,0,none,,,,0.0,24.71,16.1908,24.4386,7.9909,0.0,593.0,387.0,0.0,52.2054
nlc,11,path,,UNLABELED,166.537,333.173,169.992,329.734,3.455,3.439,11.8817,6.4984,8.8297,168.2645,331.4535,1.0047,9,1,0,1,rgb,230,230,230,0,none,,,,0.0,154.3417,1.3486,113.946,2.8284,0.0,593.0,387.0,0.0,7.0477
nlc,12,path,,UNLABELED,159.282,341.21,163.383,338.321,4.101,2.889,11.8478,4.3026,11.0749,161.3325,339.7655,1.4195,16,1,0,1,rgb,230,230,230,0,none,,,,0.0,21.731,6.5614,24.4948,2.6242,0.0,593.0,387.0,0.0,6.2615
nlc,13,path,,UNLABELED,194.124,288.604,209.176,279.928,15.052,8.676,130.5911,28.835,35.3815,201.65,284.266,1.7349,16,1,0,1,rgb,230,230,230,0,none,,,,0.0,24.026,25.6898,24.2842,8.0119,0.0,593.0,387.0,0.0,43.1767
nlc,14,path,,UNLABELED,192.864,291.292,208.071,282.516,15.207,8.776,133.4567,31.37,35.5047,200.4675,286.904,1.7328,16,1,0,1,rgb,230,230,230,0,none,,,,0.0,23.9224,23.0474,24.3695,8.0316,0.0,593.0,387.0,0.0,45.6073
nlc,15,path,,UNLABELED,188.749,306.961,201.306,298.889,12.557,8.072,101.36,32.05,32.641,195.0275,302.925,1.5556,15,1,0,1,rgb,230,230,230,0,none,,,,0.0,23.0899,10.0779,24.2167,6.1776,0.0,593.0,387.0,0.0,43.3153
nlc,16,path,,UNLABELED,171.181,338.698,187.207,328.051,16.026,10.647,170.6291,55.2033,38.4998,179.194,333.3745,1.5052,12,1,0,1,rgb,230,230,230,0,none,,,,0.0,24.542,11.6133,24.39,11.5124,0.0,593.0,387.0,0.0,70.6128
nlc,17,path,,UNLABELED,170.329,340.327,185.452,332.205,15.123,8.122,122.8292,30.4076,34.2848,177.8905,336.266,1.862,12,1,0,1,rgb,230,230,230,0,none,,,,0.0,24.4923,48.4467,24.2414,11.4934,0.0,593.0,387.0,0.0,30.5752
nlc,18,path,,UNLABELED,155.651,342.499,157.976,339.824,2.325,2.675,6.2194,3.7026,5.126,156.8135,341.1615,0.8692,15,1,0,1,rgb,230,230,230,0,none,,,,0.0,111.0048,2.3462,130.8079,0.5126,0.0,593.0,387.0,0.0,3.8097
nlc,19,path,,UNLABELED,158.045,343.975,162.068,341.118,4.023,2.857,11.4937,4.1362,10.9116,160.0565,342.5465,1.4081,17,1,0,1,rgb,230,230,230,0,none,,,,0.0,23.7068,6.8445,23.5732,2.7505,0.0,593.0,387.0,0.0,6.022
nlc,20,path,,UNLABELED,186.175,287.418,190.947,282.863,4.772,4.555,21.7366,12.3336,13.4082,188.561,285.1405,1.0476,5,1,0,1,rgb,230,230,230,0,none,,,,0.0,37.2313,1.7393,25.0892,3.9243,0.0,593.0,387.0,0.0,12.3336
nlc,21,path,,UNLABELED,197.26,386.385,199.784,384.042,2.524,2.343,5.9137,2.2336,5.6825,198.522,385.2135,1.0773,9,1,0,1,rgb,230,230,230,0,none,,,,0.0,123.8096,4.278,133.5714,2.0138,0.0,593.0,387.0,0.0,2.2336
nlc,22,path,,UNLABELED,245.957,359.416,262.204,334.643,16.247,24.773,402.4869,170.1643,38.1237,254.0805,347.0295,0.6558,9,1,0,1,rgb,230,230,230,0,none,,,,0.0,118.0834,15.8204,113.9861,21.1997,0.0,593.0,387.0,0.0,170.5255
nlc,23,path,,UNLABELED,261.0,333.245,266.329,326.98,5.329,6.265,33.3862,18.1296,12.0812,263.6645,330.1125,0.8506,6,1,0,1,rgb,230,230,230,0,none,,,,0.0,114.9666,2.8658,114.5468,5.3967,0.0,593.0,387.0,0.0,18.1296
nlc,24,path,,UNLABELED,206.59,337.079,216.535,329.805,9.945,7.274,72.34,29.4615,27.4722,211.5625,333.442,1.3672,21,1,0,1,rgb,230,230,230,0,none,,,,0.0,24.6101,5.3252,23.8487,9.0497,0.0,593.0,387.0,0.0,36.3201
nlc,25,path,,UNLABELED,200.654,343.078,214.778,335.733,14.124,7.345,103.7407,28.4635,29.7834,207.716,339.4055,1.9229,11,1,0,1,rgb,230,230,230,0,none,,,,0.0,23.8547,47.3116,24.4629,8.7538,0.0,593.0,387.0,0.0,28.8343
nlc,26,path,,UNLABELED,191.384,364.904,207.22,352.536,15.836,12.368,195.8598,92.2462,43.97,199.302,358.72,1.2804,15,1,0,1,rgb,230,230,230,0,none,,,,0.0,27.5381,5.2632,24.1724,14.1935,0.0,593.0,387.0,0.0,103.0509
nlc,27,path,,UNLABELED,228.917,273.502,235.59,267.677,6.673,5.825,38.8703,20.5929,15.3219,232.2535,270.5895,1.1456,7,1,0,1,rgb,230,230,230,0,none,,,,0.0,19.6456,1.8987,118.9839,3.7725,0.0,593.0,387.0,0.0,21.5728
nlc,28,path,,UNLABELED,244.429,272.442,249.397,264.497,4.968,7.945,39.4707,18.2482,21.5577,246.913,268.4695,0.6253,13,1,0,1,rgb,230,230,230,0,none,,,,0.0,109.7106,4.9737,114.3943,7.0603,0.0,593.0,387.0,0.0,22.3112
nlc,29,path,,UNLABELED,178.513,322.155,194.899,313.222,16.386,8.933,146.3764,47.7446,39.2222,186.706,317.6885,1.8343,23,1,0,1,rgb,230,230,230,0,none,,,,0.0,22.8752,29.5459,24.2629,13.6157,0.0,593.0,387.0,0.0,55.4447
nlc,30,path,,UNLABELED,183.789,318.166,196.259,310.045,12.47,8.121,101.2685,29.3875,30.5005,190.024,314.1055,1.5355,12,1,0,1,rgb,230,230,230,0,none,,,,0.0,24.3773,12.2699,25.1039,8.9096,0.0,593.0,387.0,0.0,41.8874
nlc,31,path,,UNLABELED,185.141,315.111,197.46,307.411,12.319,7.7,94.8565,23.6035,29.9149,191.3005,311.261,1.5999,12,1,0,1,rgb,230,230,230,0,none,,,,0.0,24.584,17.349,24.7396,8.9152,0.0,593.0,387.0,0.0,36.4721
nlc,32,path,,UNLABELED,186.313,312.413,198.776,304.499,12.463,7.914,98.6322,28.3138,30.1291,192.5445,308.456,1.5748,12,1,0,1,rgb,230,230,230,0,none,,,,0.0,24.0432,13.3606,24.0103,8.749,0.0,593.0,387.0,0.0,40.8983
nlc,33,path,,UNLABELED,195.301,286.124,210.65,276.916,15.349,9.208,141.3337,38.1966,36.6554,202.9755,281.52,1.6669,16,1,0,1,rgb,230,230,230,0,none,,,,0.0,23.7559,15.8718,24.2134,7.9998,0.0,593.0,387.0,0.0,53.5701
nlc,34,path,,UNLABELED,196.667,282.82,211.847,274.439,15.18,8.381,127.2238,27.0208,38.055,204.257,278.6295,1.8112,16,1,0,1,rgb,230,230,230,0,none,,,,0.0,23.1673,27.6895,23.9455,7.9459,0.0,593.0,387.0,0.0,43.8613
nlc,35,path,,UNLABELED,211.81,309.031,227.938,298.413,16.128,10.618,171.2469,71.7191,41.3028,219.874,303.722,1.5189,16,1,0,1,rgb,230,230,230,0,none,,,,0.0,26.4781,16.6748,23.6097,15.2407,0.0,593.0,387.0,0.0,78.9241
nlc,36,path,,UNLABELED,213.738,304.366,229.402,295.38,15.664,8.986,140.7571,36.4887,36.8645,221.57,299.873,1.7432,16,1,0,1,rgb,230,230,230,0,none,,,,0.0,23.4423,19.2636,23.9276,9.0093,0.0,593.0,387.0,0.0,53.2659
nlc,37,path,,UNLABELED,215.081,301.373,230.488,292.872,15.407,8.501,130.975,27.9597,36.3598,222.7845,297.1225,1.8124,16,1,0,1,rgb,230,230,230,0,none,,,,0.0,23.5453,30.7602,23.9703,8.9893,0.0,593.0,387.0,0.0,43.7979
nlc,38,path,,UNLABELED,217.479,296.047,232.906,287.524,15.427,8.523,131.4845,26.9019,36.3932,225.1925,291.7855,1.81,16,1,0,1,rgb,230,230,230,0,none,,,,0.0,23.7628,32.6255,24.1459,9.006,0.0,593.0,387.0,0.0,43.3289
nlc,39,path,,UNLABELED,187.667,309.457,199.887,302.031,12.22,7.426,90.7457,23.0197,29.5501,193.777,305.744,1.6456,12,1,0,1,rgb,230,230,230,0,none,,,,0.0,23.9031,18.3674,23.6196,8.5034,0.0,593.0,387.0,0.0,34.1922
nlc,40,path,,UNLABELED,174.292,328.63,194.435,315.485,20.143,13.145,264.7796,97.5542,57.0971,184.3635,322.0575,1.5324,20,1,0,1,rgb,230,230,230,0,none,,,,0.0,26.2832,4.8635,24.1041,19.623,0.0,593.0,387.0,0.0,146.8776
nlc,41,path,,UNLABELED,176.097,331.623,189.921,322.876,13.824,8.747,120.9183,31.4345,33.5971,183.009,327.2495,1.5804,14,1,0,1,rgb,230,230,230,0,none,,,,0.0,26.8671,25.5216,23.7662,10.1934,0.0,593.0,387.0,0.0,39.0127
nlc,42,path,,UNLABELED,217.349,293.665,234.28,282.875,16.931,10.79,182.6856,46.5235,43.0617,225.8145,288.27,1.5691,19,1,0,1,rgb,230,230,230,0,none,,,,0.0,26.3533,20.3739,24.0009,8.9564,0.0,593.0,387.0,0.0,65.5341
nlc,43,path,,UNLABELED,216.191,298.958,231.786,289.962,15.595,8.996,140.2927,34.9078,36.8354,223.9885,294.46,1.7335,16,1,0,1,rgb,230,230,230,0,none,,,,0.0,23.6665,21.152,23.9098,9.0452,0.0,593.0,387.0,0.0,51.5611
nlc,44,path,,UNLABELED,197.593,349.071,212.704,340.06,15.111,9.011,136.1652,39.3755,37.9971,205.1485,344.5655,1.6769,18,1,0,1,rgb,230,230,230,0,none,,,,0.0,23.4699,10.7019,23.9057,6.3421,0.0,593.0,387.0,0.0,51.857
nlc,45,path,,UNLABELED,198.977,346.04,213.955,336.421,14.978,9.619,144.0734,39.4679,35.6444,206.466,341.2305,1.5571,12,1,0,1,rgb,230,230,230,0,none,,,,0.0,24.7449,14.737,24.0116,8.7634,0.0,593.0,387.0,0.0,54.6109
nlc,46,path,,UNLABELED,201.647,327.569,219.244,317.833,17.597,9.736,171.3243,48.5527,45.0539,210.4455,322.701,1.8074,20,1,0,1,rgb,230,230,230,0,none,,,,0.0,21.8707,16.4795,24.2421,9.0698,0.0,593.0,387.0,0.0,72.4079
nlc,47,path,,UNLABELED,206.986,319.971,222.435,310.45,15.449,9.521,147.0898,37.4912,38.3148,214.7105,315.2105,1.6226,12,1,0,1,rgb,230,230,230,0,none,,,,0.0,24.3035,20.1712,24.2459,11.4939,0.0,593.0,387.0,0.0,54.6332
nlc,48,path,,UNLABELED,205.898,322.258,221.008,313.502,15.11,8.756,132.3033,25.808,36.547,213.453,317.88,1.7257,12,1,0,1,rgb,230,230,230,0,none,,,,0.0,24.3338,35.1797,24.2414,11.4934,0.0,593.0,387.0,0.0,42.453
nlc,49,path,,UNLABELED,205.046,324.014,220.01,315.934,14.964,8.08,120.909,32.8707,32.8675,212.528,319.974,1.852,9,1,0,1,rgb,230,230,230,0,none,,,,0.0,24.5863,40.7349,24.2414,11.4934,0.0,593.0,387.0,0.0,33.4551
nlc,50,path,,UNLABELED,201.943,341.254,216.371,332.113,14.428,9.141,131.8864,43.4768,36.6423,209.157,336.6835,1.5784,20,1,0,1,rgb,230,230,230,0,none,,,,0.0,24.8163,14.6743,23.8487,9.0497,0.0,593.0,387.0,0.0,56.1945
nlc,51,path,,UNLABELED,197.722,280.136,214.9,269.959,17.178,10.177,174.8205,61.1419,40.2829,206.311,275.0475,1.6879,15,1,0,1,rgb,230,230,230,0,none,,,,0.0,24.0159,14.9048,24.2367,17.5247,0.0,593.0,387.0,0.0,72.07
nlc,52,path,,UNLABELED,259.724,337.192,262.377,334.082,2.653,3.11,8.2508,4.1236,7.0261,261.0505,335.637,0.8531,7,1,0,1,rgb,230,230,230,0,none,,,,0.0,81.6845,1.838,111.6982,2.4722,0.0,593.0,387.0,0.0,4.5958
nlc,53,path,,UNLABELED,196.287,352.213,211.45,343.297,15.163,8.916,135.1934,38.5684,37.9637,203.8685,347.755,1.7007,16,1,0,1,rgb,230,230,230,0,none,,,,0.0,23.296,16.0647,24.5502,8.6621,0.0,593.0,387.0,0.0,51.3903
nlc,54,path,,UNLABELED,194.935,355.248,209.988,346.282,15.053,8.966,134.9652,37.8189,36.1748,202.4615,350.765,1.6789,13,1,0,1,rgb,230,230,230,0,none,,,,0.0,24.6567,14.6438,24.5267,7.5063,0.0,593.0,387.0,0.0,50.9813
nlc,55,path,,UNLABELED,194.294,358.253,208.608,349.377,14.314,8.876,127.0511,37.1326,35.6111,201.451,353.815,1.6127,18,1,0,1,rgb,230,230,230,0,none,,,,0.0,25.1457,21.9587,24.5267,7.5063,0.0,593.0,387.0,0.0,49.2768
nlc,56,path,,UNLABELED,191.541,355.134,193.784,353.174,2.243,1.96,4.3963,2.4401,4.751,192.6625,354.154,1.1444,7,1,0,1,rgb,230,230,230,0,none,,,,0.0,169.1119,1.9608,113.711,1.5717,0.0,593.0,387.0,0.0,2.5779
nlc,57,path,,UNLABELED,191.64,353.49,194.51,351.076,2.87,2.414,6.9282,3.9347,6.0792,193.075,352.283,1.1889,13,1,0,1,rgb,230,230,230,0,none,,,,0.0,19.7865,3.2346,24.8366,2.2832,0.0,593.0,387.0,0.0,3.977
nlc,58,path,,UNLABELED,199.873,335.237,202.738,332.894,2.865,2.343,6.7126,3.6967,5.4705,201.3055,334.0655,1.2228,7,1,0,1,rgb,230,230,230,0,none,,,,0.0,15.7822,2.4766,22.9601,1.8919,0.0,593.0,387.0,0.0,3.6967
nlc,59,path,,UNLABELED,201.226,333.739,203.292,331.483,2.066,2.256,4.6609,2.0641,6.2885,202.259,332.611,0.9158,8,1,0,1,rgb,230,230,230,0,none,,,,0.0,57.9294,3.0418,28.7862,1.4536,0.0,593.0,387.0,0.0,2.4504
nlc,60,path,,UNLABELED,203.563,270.7,205.65,268.014,2.087,2.686,5.6057,1.8953,7.1195,204.6065,269.357,0.777,10,1,0,1,rgb,230,230,230,0,none,,,,0.0,112.2601,3.4515,115.4469,1.5128,0.0,593.0,387.0,0.0,3.0292
nlc,61,path,,UNLABELED,202.921,327.307,203.978,325.404,1.057,1.903,2.0115,0.6393,2.5768,203.4495,326.3555,0.5554,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,112.9359,33.6517,113.5094,1.9128,0.0,593.0,387.0,0.0,0.6393
nlc,62,path,,UNLABELED,229.909,287.059,233.812,282.443,3.903,4.616,18.0162,10.318,11.3825,231.8605,284.751,0.8455,11,1,0,1,rgb,230,230,230,0,none,,,,0.0,36.8597,1.2968,23.2111,2.9585,0.0,593.0,387.0,0.0,11.0938
nlc,63,path,,UNLABELED,199.581,280.146,221.627,268.702,22.046,11.444,252.2945,40.8491,48.6682,210.604,274.424,1.9264,12,1,0,1,rgb,230,230,230,0,none,,,,0.0,26.2175,148.7709,24.2164,21.2587,0.0,593.0,387.0,0.0,43.9915
nlc,64,path,,UNLABELED,217.74,328.616,220.676,326.246,2.936,2.37,6.9583,2.1314,6.1565,219.208,327.431,1.2388,13,1,0,1,rgb,230,230,230,0,none,,,,0.0,23.0046,6.8018,109.6346,1.4047,0.0,593.0,387.0,0.0,3.7023
nlc,65,path,,UNLABELED,248.397,266.012,252.28,260.611,3.883,5.401,20.9721,4.0732,13.4288,250.3385,263.3115,0.7189,9,1,0,1,rgb,230,230,230,0,none,,,,0.0,118.614,15.925,114.2265,4.5157,0.0,593.0,387.0,0.0,8.5067
nlc,66,path,,UNLABELED,220.214,284.93,222.339,281.987,2.125,2.943,6.2539,3.2252,5.0076,221.2765,283.4585,0.7221,5,1,0,1,rgb,230,230,230,0,none,,,,0.0,114.1011,3.525,112.0724,1.7298,0.0,593.0,387.0,0.0,3.2409
nlc,67,path,,UNLABELED,200.456,269.259,202.807,266.058,2.351,3.201,7.5255,2.3621,7.9972,201.6315,267.6585,0.7345,10,1,0,1,rgb,230,230,230,0,none,,,,0.0,112.5958,5.3769,113.2072,1.7942,0.0,593.0,387.0,0.0,3.8309
nlc,68,path,,UNLABELED,177.507,315.331,183.318,311.704,5.811,3.627,21.0766,4.2443,9.1768,180.4125,313.5175,1.6021,13,1,0,1,rgb,230,230,230,0,none,,,,0.0,24.5981,40.9778,24.1465,4.2707,0.0,593.0,387.0,0.0,7.8881
nlc,69,path,,UNLABELED,203.271,296.918,205.541,293.771,2.27,3.147,7.1437,3.5365,7.0891,204.406,295.3445,0.7213,5,1,0,1,rgb,230,230,230,0,none,,,,0.0,114.6865,4.5468,113.569,2.8836,0.0,593.0,387.0,0.0,3.5365
nlc,70,path,,UNLABELED,168.509,334.032,171.01,331.865,2.501,2.167,5.4196,2.2782,8.0859,169.7595,332.9485,1.1541,12,1,0,1,rgb,230,230,230,0,none,,,,0.0,14.7256,1.9603,25.2658,2.0125,0.0,593.0,387.0,0.0,3.1391
nlc,71,path,,UNLABELED,156.707,343.482,160.977,336.393,4.27,7.089,30.2701,9.8372,16.9116,158.842,339.9375,0.6023,10,1,0,1,rgb,230,230,230,0,none,,,,0.0,115.9458,17.1489,115.1317,4.0405,0.0,593.0,387.0,0.0,10.0406
nlc,72,path,,UNLABELED,189.623,288.252,192.078,286.778,2.455,1.474,3.6187,1.5895,5.1614,190.8505,287.515,1.6655,8,1,0,1,rgb,230,230,230,0,none,,,,0.0,3.9351,4.2048,23.9564,2.0539,0.0,593.0,387.0,0.0,2.1956
nlc,73,path,,UNLABELED,191.752,292.721,196.156,289.46,4.404,3.261,14.3614,6.5247,6.9689,193.954,291.0905,1.3505,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,149.459,4.1682,142.7873,3.0061,0.0,593.0,387.0,0.0,6.5247
nlc,74,path,,UNLABELED,189.822,299.615,192.077,295.625,2.255,3.99,8.9974,6.3622,8.8933,190.9495,297.62,0.5652,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,77.8512,4.3807,82.2502,4.0268,0.0,593.0,387.0,0.0,6.3622
nlc,75,path,,UNLABELED,195.856,294.494,200.154,291.242,4.298,3.252,13.9772,6.3289,6.8701,198.005,292.868,1.3216,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,147.9926,4.1265,141.5738,2.9895,0.0,593.0,387.0,0.0,6.3289
nlc,76,path,,UNLABELED,193.964,301.427,196.174,297.429,2.21,3.998,8.8356,6.2381,8.7312,195.069,299.428,0.5528,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,77.648,4.2612,82.8996,4.0289,0.0,593.0,387.0,0.0,6.2381
nlc,77,path,,UNLABELED,180.193,294.025,189.679,287.835,9.486,6.19,58.7184,24.5703,14.5684,184.936,290.93,1.5325,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,24.1067,11.7581,23.9195,9.2144,0.0,593.0,387.0,0.0,24.5703
nlc,78,path,,UNLABELED,191.74,295.833,193.762,292.941,2.022,2.892,5.8476,2.881,4.8365,192.751,294.387,0.6992,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,112.598,6.157,112.8452,2.6813,0.0,593.0,387.0,0.0,2.881
nlc,79,path,,UNLABELED,188.616,295.756,192.799,291.278,4.183,4.478,18.7315,11.985,12.6441,190.7075,293.517,0.9341,18,1,0,1,rgb,230,230,230,0,none,,,,0.0,115.0398,1.9382,112.8534,2.6804,0.0,593.0,387.0,0.0,13.0998
nlc,80,path,,UNLABELED,196.001,299.502,202.471,294.74,6.47,4.762,30.8101,15.292,14.4612,199.236,297.121,1.3587,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,23.9325,5.2536,24.3381,5.9959,0.0,593.0,387.0,0.0,15.292
nlc,81,path,,UNLABELED,200.135,303.79,202.383,300.668,2.248,3.122,7.0182,3.507,5.3194,201.259,302.229,0.7201,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,113.0486,5.3937,114.1923,2.8624,0.0,593.0,387.0,0.0,3.507
nlc,82,path,,UNLABELED,192.739,297.558,197.008,293.1,4.269,4.458,19.0312,12.3011,13.0495,194.8735,295.329,0.9576,19,1,0,1,rgb,230,230,230,0,none,,,,0.0,110.0848,1.7155,112.5635,2.6661,0.0,593.0,387.0,0.0,13.4718
nlc,83,path,,UNLABELED,226.597,308.42,229.619,306.029,3.022,2.391,7.2256,2.1489,6.1899,228.108,307.2245,1.2639,11,1,0,1,rgb,230,230,230,0,none,,,,0.0,25.1868,6.0696,114.2942,1.4559,0.0,593.0,387.0,0.0,3.7542
nlc,84,path,,UNLABELED,201.308,301.153,204.39,296.414,3.082,4.739,14.6056,6.7055,11.2977,202.849,298.7835,0.6503,10,1,0,1,rgb,230,230,230,0,none,,,,0.0,115.4997,10.3971,115.3568,4.6865,0.0,593.0,387.0,0.0,7.1522
nlc,85,path,,UNLABELED,171.163,338.483,173.769,336.78,2.606,1.703,4.438,2.1381,4.3144,172.466,337.6315,1.5302,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,19.3736,3.1555,39.1457,1.8232,0.0,593.0,387.0,0.0,2.1381
nlc,86,path,,UNLABELED,175.225,340.396,177.968,338.61,2.743,1.786,4.899,2.3775,4.5247,176.5965,339.503,1.5358,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,17.4638,3.008,40.5279,1.8682,0.0,593.0,387.0,0.0,2.3775
nlc,87,path,,UNLABELED,173.148,341.981,176.645,339.183,3.497,2.798,9.7846,5.5242,8.0836,174.8965,340.582,1.2498,10,1,0,1,rgb,230,230,230,0,none,,,,0.0,26.3951,1.7428,24.58,2.5435,0.0,593.0,387.0,0.0,5.8583
