airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
nmm,0,0,0,354.136,206.536,79.8752,2.3323
nmm,0,0,1,343.5035,207.125,170.5426,21.1424
nmm,0,0,2,331.8405,209.0415,171.734,2.4969
nmm,0,0,3,330.7955,210.354,80.4562,2.2978
nmm,0,0,4,331.1965,212.616,79.4381,2.2969
nmm,0,0,5,332.5355,213.572,171.2841,2.2834
nmm,0,0,6,344.211,211.7225,170.9681,21.3588
nmm,1,0,0,88.195,262.1105,80.694,4.638
nmm,1,0,1,87.75,260.197,100.5735,0.763
nmm,1,0,2,86.6735,261.5275,136.4889,2.7756
nmm,1,0,3,83.0565,262.8845,171.2565,5.2824
nmm,1,0,4,80.7585,265.311,81.2273,4.098
nmm,1,0,5,81.245,267.3145,172.9562,0.3506
nmm,1,0,6,84.4365,266.8045,170.804,6.1136
nmm,1,0,7,87.6525,267.1635,76.8181,1.7409
nmm,1,0,8,88.529,267.9135,171.8164,1.37
nmm,2,0,0,204.77,329.88,170.0072,5.2212
nmm,2,0,1,207.0245,327.383,81.198,4.1367
nmm,2,0,2,206.447,325.371,173.0107,0.5259
nmm,2,0,3,203.1995,325.894,170.6638,6.0532
nmm,2,0,4,200.0645,325.5515,79.8975,1.6932
nmm,2,0,5,199.2715,324.8055,172.2691,1.3008
nmm,2,0,6,198.885,326.6165,81.4862,3.4854
nmm,2,0,7,199.513,330.655,80.9193,4.6888
nmm,2,0,8,200.022,332.459,105.2171,1.0591
nmm,2,0,9,200.3245,331.6305,117.2472,0.7142
nmm,2,0,10,200.6175,331.1035,121.7217,0.4926
nmm,2,0,11,200.962,330.753,146.7409,0.5142
nmm,2,0,12,201.5,330.5055,161.7528,0.6802
nmm,3,0,0,194.501,275.193,33.2272,0.6862
nmm,3,0,1,194.071,274.1935,80.0062,1.648
nmm,3,0,2,193.213,273.4765,172.4711,1.4424
nmm,3,0,3,191.402,273.735,171.4896,2.2164
nmm,3,0,4,190.439,274.73,80.9073,1.6831
nmm,3,0,5,190.347,275.8575,127.1922,0.7444
nmm,4,0,0,156.8475,297.1965,82.2148,0.6571
nmm,4,0,1,158.4095,296.584,169.8709,3.2639
nmm,4,0,2,160.08,296.6525,79.794,0.7224
nmm,4,0,3,160.2365,297.0,175.0596,0.1857
nmm,4,0,4,160.281,296.648,82.057,0.6947
nmm,4,0,5,161.85,296.0355,170.5718,3.2783
nmm,4,0,6,163.525,296.113,80.4844,0.7017
nmm,4,0,7,164.359,296.3615,172.8384,1.5642
nmm,4,0,8,165.091,295.917,82.7736,0.6996
nmm,4,0,9,165.681,295.462,170.3325,1.2863
nmm,4,0,10,166.3735,295.7165,80.8336,0.7344
nmm,4,0,11,169.9925,295.519,171.0617,7.2085
nmm,4,0,12,173.3225,293.5405,80.7704,2.8742
nmm,4,0,13,169.483,292.342,176.5116,7.2314
nmm,4,0,14,165.914,292.8085,80.7823,0.4994
nmm,4,0,15,165.296,293.1415,172.5107,1.3273
nmm,4,0,16,164.6075,292.987,82.7866,0.4858
nmm,4,0,17,164.5205,292.757,168.9805,0.1151
nmm,4,0,18,164.5055,293.022,80.7214,0.5147
nmm,4,0,19,163.8655,293.3815,171.2002,1.3792
nmm,4,0,20,163.156,293.1865,84.6765,0.6036
nmm,4,0,21,163.052,292.9215,154.9664,0.1678
nmm,4,0,22,163.0205,293.22,80.396,0.5335
nmm,4,0,23,161.4285,293.743,170.9728,3.3141
nmm,4,0,24,159.7565,293.746,82.1351,0.5189
nmm,4,0,25,159.6545,293.489,0.0,0.133
nmm,4,0,26,159.6365,293.7575,79.7606,0.5457
nmm,4,0,27,158.0475,294.2835,171.063,3.3152
nmm,4,0,28,156.373,294.2725,82.1536,0.5421
nmm,4,0,29,156.2545,294.0195,169.2295,0.1659
nmm,4,0,30,156.217,294.301,80.608,0.5392
nmm,4,0,31,154.637,294.8225,171.0593,3.288
nmm,4,0,32,153.3605,296.4645,75.9299,2.8588
nmm,5,0,0,152.9745,294.804,81.7675,0.5517
nmm,5,0,1,152.891,294.224,81.8428,0.6203
nmm,5,0,2,154.451,293.6195,169.4925,3.2627
nmm,5,0,3,156.1145,293.678,80.5114,0.7219
nmm,5,0,4,156.2555,294.0185,169.2295,0.1659
nmm,5,0,5,156.2925,293.6775,82.2148,0.6571
nmm,5,0,6,157.8545,293.065,169.871,3.2639
nmm,5,0,7,159.525,293.1335,79.7952,0.7224
nmm,5,0,8,159.6555,293.489,0.0,0.133
nmm,5,0,9,159.674,293.1455,82.0442,0.6937
nmm,5,0,10,161.243,292.5335,170.5718,3.2783
nmm,5,0,11,162.918,292.611,80.4832,0.7017
nmm,5,0,12,163.052,292.921,154.6556,0.1682
