airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
nrs,0,0,0,125.877,240.303,90.0,0.36
nrs,0,0,1,127.0745,240.123,0.0,2.395
nrs,0,0,2,128.272,240.0845,90.0,0.077
nrs,0,0,3,126.217,240.046,0.0,4.11
nrs,0,0,4,124.162,240.303,90.0,0.514
nrs,0,0,5,126.217,240.56,0.0,4.11
nrs,0,0,6,128.272,240.5215,90.0,0.077
nrs,1,0,0,128.272,240.5215,90.0,0.077
nrs,1,0,1,126.217,240.56,0.0,4.11
nrs,1,0,2,124.162,240.303,90.0,0.514
nrs,1,0,3,126.217,240.046,0.0,4.11
nrs,1,0,4,128.272,240.0845,90.0,0.077
nrs,1,0,5,128.289,240.123,0.0,0.034
nrs,1,0,6,128.306,237.96,90.0,4.326
nrs,1,0,7,125.289,224.6105,74.9064,23.1724
nrs,1,0,8,118.123,217.572,135.007,11.7337
nrs,1,0,9,120.0655,242.2215,73.452,42.7747
nrs,1,0,10,127.2305,266.6755,74.805,8.1914
nrs,1,0,11,128.305,255.5555,90.0038,30.145
nrs,2,0,0,126.3685,305.834,0.0,3.443
nrs,2,0,1,126.1255,305.834,0.0,3.929
nrs,2,0,2,124.161,306.091,90.0,0.514
nrs,2,0,3,124.404,306.348,0.0,0.486
nrs,3,0,0,124.161,306.09,90.0,0.514
nrs,3,0,1,126.1255,305.833,0.0,3.929
nrs,3,0,2,127.953,305.3285,74.8077,1.0455
nrs,3,0,3,122.498,284.9895,74.9909,41.0701
nrs,3,0,4,119.2515,264.6185,165.48,4.2797
nrs,3,0,5,123.7395,263.402,164.2836,5.0207
nrs,3,0,6,124.9505,258.664,73.455,8.4665
nrs,3,0,7,116.5165,256.4635,165.5886,14.9267
nrs,3,0,8,107.8605,258.6815,165.8268,2.9446
nrs,3,0,9,105.267,259.4655,160.0389,2.481
nrs,3,0,10,105.1275,264.0605,76.1757,8.5919
nrs,3,0,11,108.435,276.7935,75.0815,17.7203
nrs,3,0,12,111.5145,288.257,74.6155,6.0197
nrs,3,0,13,117.131,308.717,74.6555,36.4141
nrs,3,0,14,117.5205,331.921,128.1093,14.3512
nrs,3,0,15,111.3185,338.0615,164.4201,3.6823
nrs,3,0,16,112.587,349.6675,74.6893,23.0408
nrs,3,0,17,116.314,360.5775,163.6076,1.428
nrs,3,0,18,118.8385,359.8515,164.0855,3.8256
nrs,3,0,19,120.952,360.362,75.1719,2.1413
nrs,3,0,20,121.2885,361.4595,45.0,0.1768
nrs,3,0,21,121.391,361.6005,63.0,0.1762
nrs,3,0,22,121.4445,361.7655,81.1295,0.1751
nrs,3,0,23,121.4445,361.939,98.8207,0.1761
nrs,3,0,24,121.6515,362.7705,73.5021,1.5529
nrs,3,0,25,120.0325,364.0395,164.0855,3.8256
nrs,3,0,26,117.506,364.789,161.8659,1.4458
nrs,3,0,27,117.6355,368.029,74.847,6.2472
nrs,3,0,28,119.801,376.1275,75.1381,10.5189
nrs,3,0,29,121.7495,383.388,74.6035,4.5161
nrs,3,0,30,124.89,395.04,74.9877,19.6196
nrs,3,0,31,127.8505,404.515,0.0,0.839
nrs,3,0,32,128.27,404.772,90.0,0.514
nrs,3,0,33,127.9195,405.029,0.0,0.701
nrs,3,0,34,127.6235,405.2335,75.077,0.4233
nrs,3,0,35,127.9865,406.468,73.3263,2.1504
nrs,3,0,36,128.2985,357.0535,90.004,100.889
nrs,3,0,37,128.266,306.478,74.6323,0.2717
nrs,3,0,38,126.1955,306.347,0.0,4.069
nrs,3,1,0,124.161,338.984,90.0,0.514
nrs,3,1,1,126.216,338.727,0.0,4.11
nrs,3,1,2,128.271,338.984,90.0,0.514
nrs,3,1,3,126.216,339.241,0.0,4.11
nrs,3,2,0,124.16,371.878,90.0,0.514
nrs,3,2,1,126.215,371.621,0.0,4.11
nrs,3,2,2,128.27,371.878,90.0,0.514
nrs,3,2,3,126.215,372.135,0.0,4.11
nrs,3,3,0,120.6015,295.1265,152.3783,0.9943
nrs,3,3,1,121.234,297.47,85.734,5.1623
nrs,3,3,2,120.297,297.723,64.0604,5.162
nrs,3,3,3,119.6645,295.3795,177.4063,0.994
nrs,4,0,0,127.5585,404.9905,74.7415,0.0798
nrs,4,0,1,127.9195,405.029,0.0,0.701
nrs,4,0,2,128.27,404.9905,90.0,0.077
nrs,5,0,0,128.27,404.9905,90.0,0.077
nrs,5,0,1,127.919,405.029,0.0,0.702
nrs,5,0,2,127.623,405.234,74.9817,0.4245
nrs,5,0,3,127.9865,406.469,73.3263,2.1504
nrs,5,0,4,128.295,406.2255,90.0,2.547
nrs,6,0,0,128.27,404.5535,90.0,0.077
nrs,6,0,1,127.8505,404.515,0.0,0.839
nrs,6,0,2,127.441,404.5535,75.4413,0.0796
nrs,7,0,0,128.2665,306.478,74.8373,0.2714
nrs,7,0,1,126.1965,306.347,0.0,4.069
nrs,7,0,2,124.162,306.09,90.0,0.514
nrs,7,0,3,126.1265,305.833,0.0,3.929
nrs,7,0,4,127.954,305.3285,74.8073,1.0455
nrs,7,0,5,122.499,284.9895,74.9909,41.0701
nrs,7,0,6,119.252,264.6185,165.4766,4.2787
nrs,7,0,7,123.74,263.402,164.2867,5.0217
nrs,7,0,8,124.9515,258.664,73.455,8.4665
nrs,7,0,9,116.517,256.4635,165.5895,14.9277
nrs,7,0,10,107.861,258.6815,165.8225,2.9437
nrs,7,0,11,105.2675,259.4655,160.0462,2.482
nrs,7,0,12,105.128,264.06,76.1676,8.5912
nrs,7,0,13,108.436,276.793,75.0823,17.7213
nrs,7,0,14,111.5155,288.257,74.6155,6.0197
nrs,7,0,15,117.132,308.7165,74.655,36.4131
nrs,7,0,16,117.5215,331.9205,128.1068,14.3519
nrs,7,0,17,111.319,338.0615,164.4243,3.6833
nrs,7,0,18,112.587,349.6675,74.6893,23.0408
nrs,7,0,19,116.3145,360.5775,163.6195,1.429
nrs,7,0,20,118.839,359.8515,164.0814,3.8247
nrs,7,0,21,120.9525,360.362,75.146,2.1416
nrs,7,0,22,121.2895,361.4595,45.0,0.1768
nrs,7,0,23,121.392,361.6005,63.0023,0.1762
nrs,7,0,24,121.4455,361.7655,81.1287,0.1751
nrs,7,0,25,121.4455,361.939,98.8207,0.1761
nrs,7,0,26,121.652,362.7705,73.5376,1.5527
nrs,7,0,27,120.033,364.039,164.0959,3.8244
nrs,7,0,28,117.507,364.7885,161.828,1.4461
nrs,7,0,29,117.6365,368.0285,74.8446,6.2462
nrs,7,0,30,119.8015,376.127,75.1447,10.5196
nrs,7,0,31,121.75,383.388,74.5914,4.5163
