airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
nuw,0,path,,UNLABELED,161.934,431.227,174.045,423.253,12.111,7.974,96.573,36.6187,26.0887,167.9895,427.24,1.5188,7,1,0,1,rgb,230,230,230,0,none,,,,0.0,26.2756,15.0408,25.3344,10.6824,0.0,593.0,387.0,0.0,36.6187
nuw,1,path,,UNLABELED,118.563,345.574,124.07,339.054,5.507,6.52,35.9056,19.8984,12.3379,121.3165,342.314,0.8446,6,1,0,1,rgb,230,230,230,0,none,,,,0.0,117.8231,2.5536,3.0455,5.5148,0.0,593.0,387.0,0.0,19.8984
nuw,2,path,,UNLABELED,110.829,350.309,118.838,338.678,8.009,11.631,93.1526,58.8491,28.5987,114.8335,344.4935,0.6886,8,1,0,1,rgb,230,230,230,0,none,,,,0.0,72.2955,2.7326,80.43,8.836,0.0,593.0,387.0,0.0,62.2552
nuw,3,path,,UNLABELED,170.909,311.256,180.806,302.878,9.897,8.378,82.9169,54.4814,31.5959,175.8575,307.067,1.1813,13,1,0,1,rgb,230,230,230,0,none,,,,0.0,144.698,1.3823,66.6664,6.0138,0.0,593.0,387.0,0.0,61.451
nuw,4,path,,UNLABELED,176.004,297.644,189.342,285.059,13.338,12.585,167.859,89.3249,70.8011,182.673,291.3515,1.0598,43,1,0,1,rgb,230,230,230,0,none,,,,0.0,155.7322,1.7974,17.4488,6.5232,0.0,593.0,387.0,0.0,101.8949
nuw,5,path,,UNLABELED,208.539,296.224,231.167,283.07,22.628,13.154,297.6486,154.1564,57.4341,219.853,289.647,1.7202,11,1,0,1,rgb,230,230,230,0,none,,,,0.0,18.4952,5.9341,170.3004,21.0469,0.0,593.0,387.0,0.0,162.0629
nuw,6,path,,UNLABELED,304.716,344.302,314.83,329.16,10.114,15.142,153.1464,101.0721,41.6358,309.773,336.731,0.6679,10,1,0,1,rgb,230,230,230,0,none,,,,0.0,71.45,2.5507,74.763,10.4866,0.0,593.0,387.0,0.0,116.062
nuw,7,path,,UNLABELED,117.345,334.441,137.813,319.949,20.468,14.492,296.6224,130.9137,50.9719,127.579,327.195,1.4124,23,1,0,1,rgb,230,230,230,0,none,,,,0.0,161.7876,8.8369,3.0182,9.7806,0.0,593.0,387.0,0.0,177.8079
nuw,8,path,,UNLABELED,111.07,333.827,116.069,325.957,4.999,7.87,39.3421,33.7135,24.462,113.5695,329.892,0.6352,11,1,0,1,rgb,230,230,230,0,none,,,,0.0,97.4811,1.6926,93.9605,5.3859,0.0,593.0,387.0,0.0,36.27
nuw,9,path,,UNLABELED,180.214,304.01,210.209,294.8,29.995,9.21,276.2536,56.2745,72.0007,195.2115,299.405,3.2568,20,1,0,1,rgb,230,230,230,0,none,,,,0.0,169.9809,30.4967,170.0643,24.0923,0.0,593.0,387.0,0.0,140.3718
nuw,10,path,,UNLABELED,246.12,249.334,259.837,241.921,13.717,7.413,101.684,35.9268,30.386,252.9785,245.6275,1.8504,8,1,0,1,rgb,230,230,230,0,none,,,,0.0,22.6512,18.9187,25.2599,9.758,0.0,593.0,387.0,0.0,37.4985
nuw,11,path,,UNLABELED,158.714,230.43,172.346,218.771,13.632,11.659,158.9355,64.1568,22.722,165.53,224.6005,1.1692,8,1,0,1,rgb,230,230,230,0,none,,,,0.0,34.3803,7.6961,124.3503,5.0315,0.0,593.0,387.0,0.0,65.2067
nuw,12,path,,UNLABELED,100.863,320.369,149.279,289.998,48.416,30.371,1470.4425,837.8986,134.3749,125.071,305.1835,1.5942,51,1,0,1,rgb,230,230,230,0,none,,,,0.0,17.2428,2.205,34.8381,19.1454,0.0,593.0,387.0,0.0,1005.9481
nuw,13,path,,UNLABELED,133.335,297.848,156.996,269.772,23.661,28.076,664.3066,349.4553,73.0696,145.1655,283.81,0.8427,13,1,0,1,rgb,230,230,230,0,none,,,,0.0,127.3849,1.9037,125.9562,21.8984,0.0,593.0,387.0,0.0,359.807
nuw,14,path,,UNLABELED,143.047,277.246,198.39,196.611,55.343,80.635,4462.5835,1538.2741,241.0981,170.7185,236.9285,0.6863,65,1,0,1,rgb,230,230,230,0,none,,,,0.0,112.0968,6.3225,124.6989,32.8916,0.0,593.0,387.0,0.0,2235.0864
nuw,15,path,,UNLABELED,189.318,222.437,223.548,183.623,34.23,38.814,1328.6029,802.3992,114.529,206.433,203.03,0.8819,22,1,0,1,rgb,230,230,230,0,none,,,,0.0,112.5463,1.9156,124.6438,22.3458,0.0,593.0,387.0,0.0,863.6552
nuw,16,path,,UNLABELED,113.936,293.85,126.121,281.646,12.185,12.204,148.7058,66.7275,38.4356,120.0285,287.748,0.9984,16,1,0,1,rgb,230,230,230,0,none,,,,0.0,42.3709,5.8532,34.8678,9.6749,0.0,593.0,387.0,0.0,71.5069
nuw,17,path,,UNLABELED,124.522,292.323,132.99,283.413,8.468,8.91,75.4499,20.2699,29.7415,128.756,287.868,0.9504,25,1,0,1,rgb,230,230,230,0,none,,,,0.0,125.4905,9.0811,124.1006,5.4972,0.0,593.0,387.0,0.0,35.0267
nuw,18,path,,UNLABELED,127.566,294.174,135.779,284.663,8.213,9.511,78.114,22.4917,26.6713,131.6725,289.4185,0.8635,13,1,0,1,rgb,230,230,230,0,none,,,,0.0,125.1,7.204,125.4067,5.8045,0.0,593.0,387.0,0.0,32.744
nuw,19,path,,UNLABELED,119.706,417.256,158.347,347.926,38.641,69.33,2678.9799,150.8967,157.3926,139.0265,382.591,0.5573,5,1,0,1,rgb,230,230,230,0,none,,,,0.0,61.502,1392.9289,61.6194,77.7339,0.0,593.0,387.0,0.0,150.996
nuw,20,path,,UNLABELED,167.367,426.564,170.901,423.6,3.534,2.964,10.4748,5.7302,7.9614,169.134,425.082,1.1923,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,24.1091,2.553,24.3712,3.0607,0.0,593.0,387.0,0.0,5.7302
