airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
nzy,0,path,,UNLABELED,99.199,229.927,101.761,228.327,2.562,1.6,4.0992,2.2146,5.8396,100.48,229.127,1.6012,7,1,0,1,rgb,230,230,230,0,none,,,,0.0,11.8988,2.5845,17.4329,1.9695,0.0,593.0,387.0,0.0,2.7178
nzy,1,path,,UNLABELED,98.729,231.711,101.077,230.299,2.348,1.412,3.3154,1.806,5.2356,99.903,231.005,1.6629,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,16.53,7.3067,16.5181,2.2123,0.0,593.0,387.0,0.0,1.806
nzy,2,path,,UNLABELED,97.748,234.69,100.205,233.325,2.457,1.365,3.3538,1.7158,5.4254,98.9765,234.0075,1.8,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,16.4297,10.3112,16.4212,2.3488,0.0,593.0,387.0,0.0,1.7158
nzy,3,path,,UNLABELED,98.039,267.763,104.246,261.494,6.207,6.269,38.9117,13.1636,13.7591,101.1425,264.6285,0.9901,9,1,0,1,rgb,230,230,230,0,none,,,,0.0,134.6298,4.2299,144.001,5.0394,0.0,593.0,387.0,0.0,13.1636
nzy,4,path,,UNLABELED,106.113,239.206,112.354,232.903,6.241,6.303,39.3371,13.3083,13.8349,109.2335,236.0545,0.9902,9,1,0,1,rgb,230,230,230,0,none,,,,0.0,134.6257,4.2314,143.9917,5.0672,0.0,593.0,387.0,0.0,13.3083
nzy,5,path,,UNLABELED,112.376,224.276,120.845,209.743,8.469,14.533,123.0799,60.2278,34.6349,116.6105,217.0095,0.5827,7,1,0,1,rgb,230,230,230,0,none,,,,0.0,72.3781,12.5429,74.4754,12.4191,0.0,593.0,387.0,0.0,63.1809
nzy,6,path,,UNLABELED,103.586,214.226,106.243,212.769,2.657,1.457,3.8713,2.1807,5.1789,104.9145,213.4975,1.8236,7,1,0,1,rgb,230,230,230,0,none,,,,0.0,177.8429,3.9232,14.7576,1.6566,0.0,593.0,387.0,0.0,2.6595
nzy,7,path,,UNLABELED,103.111,215.885,105.768,214.49,2.657,1.395,3.7065,2.0899,5.0387,104.4395,215.1875,1.9047,7,1,0,1,rgb,230,230,230,0,none,,,,0.0,0.4686,4.3341,15.6984,1.6298,0.0,593.0,387.0,0.0,2.5909
nzy,8,path,,UNLABELED,102.625,217.508,105.244,216.16,2.619,1.348,3.5304,1.9964,4.6779,103.9345,216.834,1.9429,7,1,0,1,rgb,230,230,230,0,none,,,,0.0,4.0961,5.4611,14.5781,1.6408,0.0,593.0,387.0,0.0,2.372
nzy,9,path,,UNLABELED,102.073,219.826,104.555,218.125,2.482,1.701,4.2219,2.046,5.8197,103.314,218.9755,1.4592,6,1,0,1,rgb,230,230,230,0,none,,,,0.0,24.4568,4.9706,14.5809,2.3714,0.0,593.0,387.0,0.0,2.3491
