airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
opf,0,0,0,223.555,266.25,0.0,0.01
opf,0,0,1,223.63,266.205,147.2657,0.1664
opf,0,0,2,223.975,266.025,153.8542,0.6127
opf,0,0,3,224.545,265.79,161.273,0.623
opf,0,0,4,225.145,265.63,168.8713,0.6217
opf,0,0,5,225.765,265.54,174.5599,0.6329
opf,0,0,6,228.975,265.495,179.7031,5.7901
opf,0,0,7,229.885,262.29,58.1079,7.5143
opf,0,0,8,227.315,259.1,0.0,1.17
opf,0,0,9,222.925,259.13,179.5483,7.6102
opf,1,0,0,193.11,218.725,134.1689,0.488
opf,1,0,1,193.475,218.4,142.4325,0.492
opf,1,0,2,193.89,218.13,151.3876,0.5012
opf,1,0,3,194.35,217.92,159.4446,0.5126
opf,1,0,4,194.965,217.805,176.1869,0.7517
opf,1,0,5,195.715,217.795,2.2905,0.7506
opf,1,0,6,196.46,217.865,8.4539,0.7481
opf,1,0,7,197.19,218.02,15.525,0.7473
opf,1,0,8,197.895,218.255,21.3698,0.7409
opf,1,0,9,198.565,218.56,27.613,0.7335
opf,1,0,10,199.605,219.185,32.4712,1.695
opf,1,0,11,201.01,220.13,35.3808,1.6926
opf,1,0,12,202.36,221.145,38.5002,1.6867
opf,1,0,13,203.645,222.225,41.6055,1.6717
opf,1,0,14,204.865,223.36,44.2686,1.6618
opf,1,0,15,206.015,224.55,47.703,1.6494
opf,1,0,16,207.095,225.8,50.6378,1.6556
opf,1,0,17,202.915,218.865,58.1547,17.8345
opf,1,0,18,198.22,211.385,83.9934,0.191
opf,1,0,19,198.225,211.575,93.0111,0.1903
opf,1,0,20,198.195,211.76,105.5231,0.1868
opf,1,0,21,198.13,211.94,113.9638,0.197
opf,1,0,22,198.035,212.11,124.5081,0.1942
opf,1,0,23,197.915,212.265,130.9133,0.1985
opf,1,0,24,197.77,212.4,143.1319,0.2
opf,1,0,25,197.6,212.51,150.9429,0.2059
opf,1,0,26,197.415,212.6,157.17,0.2062
opf,1,0,27,197.215,212.66,169.2138,0.2138
opf,1,0,28,197.07,212.685,172.8683,0.0806
opf,1,0,29,193.75,212.87,176.859,6.5699
opf,1,0,30,190.465,213.99,90.3046,1.88
opf,2,0,0,278.06,365.34,147.8042,4.4669
opf,2,0,1,279.455,363.7,42.2738,1.3379
opf,2,0,2,278.445,362.745,44.4382,1.4426
opf,2,0,3,277.445,361.71,47.5389,1.4368
opf,2,0,4,276.5,360.63,50.0915,1.434
opf,2,0,5,275.61,359.51,52.9701,1.428
opf,2,0,6,273.665,356.505,58.1112,5.7357
opf,2,0,7,271.74,353.36,59.9948,1.6398
opf,2,0,8,270.96,351.92,63.122,1.6368
opf,2,0,9,270.265,350.45,66.2888,1.6165
opf,2,0,10,269.66,348.95,69.7751,1.6199
opf,2,0,11,269.27,347.88,70.4631,0.6579
opf,2,0,12,267.44,348.63,148.3554,4.0408
opf,3,0,0,144.865,132.5,147.7923,7.5048
opf,3,0,1,147.89,130.26,57.9949,0.566
opf,3,0,2,147.495,129.63,57.8624,0.9211
opf,3,0,3,146.155,127.475,58.1846,4.1542
opf,3,0,4,144.61,125.99,148.1091,1.06
opf,3,0,5,141.43,127.985,147.8626,6.448
opf,3,0,6,140.195,132.1,58.0804,5.6551
opf,4,0,0,269.315,335.295,103.1992,7.1386
