airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
orh,0,0,0,110.745,311.83,126.3611,26.127
orh,0,0,1,105.955,324.51,36.1653,7.3205
orh,0,0,2,116.655,316.15,126.3611,26.127
orh,1,0,0,143.455,352.975,43.4793,90.0606
orh,1,0,1,174.765,385.365,134.1728,3.9178
orh,1,0,2,140.72,355.82,43.4426,90.0197
orh,2,0,0,207.01,335.035,115.5529,123.7991
orh,2,0,1,183.05,392.21,25.892,6.0915
orh,2,0,2,212.485,337.695,115.5487,123.7948
orh,3,0,0,199.23,364.355,178.2011,123.9211
orh,3,0,1,261.27,366.88,88.5903,8.9427
orh,3,0,2,199.48,373.26,178.2326,123.8589
orh,4,0,0,235.69,439.835,43.5681,40.4662
orh,4,0,1,249.665,457.385,100.7588,7.339
orh,4,0,2,232.95,445.64,43.7586,44.3884
orh,5,0,0,269.735,471.47,43.1141,38.8907
orh,5,0,1,281.695,487.21,132.3725,6.6326
orh,5,0,2,265.23,476.37,43.0437,38.9418
orh,6,0,0,280.94,485.16,130.4981,49.3669
orh,6,0,1,266.42,505.95,53.2211,5.044
orh,6,0,2,284.47,488.875,130.899,50.5249
orh,7,0,0,293.515,464.73,81.83,2.0407
orh,7,0,1,293.805,466.715,81.5417,1.9714
orh,7,0,2,293.695,468.735,103.7128,2.1513
orh,7,0,3,293.15,470.535,111.0126,1.6176
orh,7,0,4,292.79,472.335,93.8318,2.0947
orh,7,0,5,294.81,473.775,10.7023,4.254
orh,7,0,6,297.045,473.885,116.9664,0.6395
orh,7,0,7,297.84,473.38,161.3011,1.3724
orh,7,0,8,298.99,473.09,172.0304,1.0098
orh,7,0,9,299.96,473.02,0.0,0.94
orh,7,0,10,300.79,472.91,163.0091,0.7529
orh,7,0,11,301.51,472.37,129.9364,1.1216
orh,7,0,12,299.675,468.625,56.4897,7.9517
orh,8,0,0,238.825,415.27,67.381,0.39
orh,8,0,1,239.115,416.35,76.5643,1.8507
orh,8,0,2,239.365,417.86,86.7165,1.222
orh,8,0,3,239.435,418.905,85.3994,0.8728
orh,8,0,4,239.47,419.77,90.0,0.86
orh,8,0,5,239.22,420.49,130.7635,0.7658
orh,8,0,6,236.625,421.75,157.5277,5.0754
orh,8,0,7,232.48,423.445,158.0616,3.881
orh,8,0,8,229.42,424.85,151.6449,2.8636
orh,8,0,9,227.51,425.93,148.3925,1.5264
orh,8,0,10,226.43,426.435,166.2782,0.8853
orh,8,0,11,225.6,426.65,164.6237,0.8297
orh,8,0,12,224.84,426.795,174.4465,0.7234
orh,8,0,13,223.615,426.36,28.5177,1.9689
orh,8,0,14,221.67,425.855,1.8563,2.1611
orh,8,0,15,225.165,430.47,45.4658,13.0466
orh,8,0,16,229.85,434.725,105.5617,0.8201
orh,8,0,17,229.78,434.255,22.6211,0.39
orh,8,0,18,229.35,434.11,15.6422,0.5192
orh,8,0,19,229.135,433.86,101.0023,0.3667
orh,8,0,20,229.205,433.245,94.6006,0.8728
orh,8,0,21,229.275,432.38,94.6528,0.8628
orh,8,0,22,229.525,431.445,113.062,1.0977
orh,8,0,23,229.96,430.76,140.7097,0.5685
orh,8,0,24,230.54,430.325,144.6883,0.8823
orh,8,0,25,231.51,429.64,144.8193,1.4927
orh,8,0,26,232.915,428.85,155.6377,1.7454
orh,8,0,27,235.44,427.66,154.3699,3.8376
orh,8,0,28,238.07,426.435,156.3037,1.9657
orh,8,0,29,239.365,425.825,151.4406,0.8994
orh,8,0,30,240.19,425.535,170.1055,0.873
orh,8,0,31,241.235,425.495,3.2575,1.232
orh,8,0,32,242.14,425.605,14.4999,0.5991
orh,8,0,33,242.895,425.785,12.7246,0.9534
orh,8,0,34,243.72,426.07,26.5651,0.805
orh,8,0,35,244.66,426.505,23.7326,1.2672
orh,8,0,36,245.74,427.01,26.5651,1.118
orh,8,0,37,246.17,423.84,88.8274,6.8414
orh,9,0,0,199.44,404.925,41.9682,62.7021
orh,9,0,1,220.05,428.235,139.025,7.1523
orh,9,0,2,217.06,430.615,173.1176,0.5842
orh,9,0,3,216.27,430.795,163.8282,1.0412
orh,9,0,4,215.265,431.19,153.6622,1.127
orh,9,0,5,214.18,431.765,150.7359,1.3297
orh,9,0,6,209.42,436.235,135.2409,11.7734
orh,9,0,7,204.45,440.595,164.7753,1.6375
orh,9,0,8,183.41,422.255,42.4989,54.9309
orh,9,0,9,147.38,404.455,177.2608,31.5961
orh,9,0,10,131.565,408.205,90.6696,5.9904
orh,9,0,11,127.89,411.74,171.5616,7.3597
orh,9,0,12,119.1,412.495,177.6095,10.309
orh,9,0,13,109.805,412.89,177.5134,8.2978
orh,9,0,14,92.69,396.21,52.4298,42.5432
orh,9,0,15,77.415,379.205,3.5995,4.6191
orh,9,0,16,74.965,374.63,88.1253,8.8647
orh,9,0,17,77.45,370.02,176.0847,5.2723
orh,9,0,18,80.48,366.92,97.8002,5.8945
orh,9,0,19,84.265,363.71,175.1032,6.7948
orh,9,0,20,87.76,362.665,98.2895,1.5259
orh,9,0,21,88.915,352.685,96.4629,18.568
orh,9,0,22,88.59,341.155,59.2744,5.3628
orh,9,0,23,83.905,339.285,172.5243,6.6868
orh,9,0,24,79.255,338.815,34.1332,3.2257
orh,9,0,25,76.695,334.96,67.4492,6.3885
orh,9,0,26,75.255,330.71,80.6092,2.6353
orh,9,0,27,75.835,327.355,111.1494,4.4068
orh,9,0,28,78.895,325.16,176.4631,4.5386
orh,9,0,29,81.305,325.705,78.048,1.4004
orh,9,0,30,81.67,327.035,71.1663,1.363
orh,9,0,31,82.21,328.115,53.6605,1.08
orh,9,0,32,82.785,328.875,51.8813,0.8262
orh,9,0,33,83.435,329.45,32.3304,0.9349
orh,9,0,34,84.37,329.915,21.7109,1.1625
orh,9,0,35,85.92,330.31,10.1046,2.0518
orh,9,0,36,88.48,330.565,2.7701,3.1036
orh,9,0,37,91.0,330.46,169.4878,1.9731
orh,9,0,38,92.87,330.06,166.2637,1.853
orh,9,0,39,94.35,329.77,173.1176,1.1684
orh,9,0,40,95.36,329.52,157.2864,0.9323
orh,9,0,41,96.585,328.87,149.4085,1.8471
orh,9,0,42,97.99,327.86,138.4837,1.6293
orh,9,0,43,99.285,326.675,136.7224,1.8818
orh,9,0,44,101.485,324.19,129.4669,4.7669
orh,9,0,45,105.195,325.125,51.6564,7.0764
orh,9,0,46,106.635,328.37,148.097,1.7787
orh,9,0,47,105.305,329.56,128.6112,1.8429
orh,9,0,48,104.475,330.925,111.5713,1.3872
orh,9,0,49,104.115,332.185,99.6889,1.2478
orh,9,0,50,104.295,333.34,62.1763,1.2212
orh,9,0,51,107.21,336.22,41.6605,7.0406
orh,9,0,52,126.02,353.115,41.9735,43.5266
orh,9,0,53,143.53,371.49,70.8037,8.0898
orh,9,0,54,144.895,378.805,89.4262,6.9903
orh,9,0,55,145.615,383.96,67.5766,3.5916
orh,9,0,56,153.435,385.15,176.2312,14.3009
orh,10,0,0,233.895,279.505,55.6856,0.7628
orh,10,0,1,234.125,278.65,129.4914,1.3995
orh,10,0,2,235.285,277.46,137.7258,1.9326
orh,10,0,3,236.15,279.075,86.2111,4.5399
orh,11,0,0,228.69,303.44,168.1134,0.3883
orh,11,0,1,228.985,303.085,108.4341,0.6641
orh,11,0,2,228.84,303.05,131.7604,0.7507
orh,11,0,3,228.545,303.405,120.9638,0.1749
orh,12,0,0,229.115,302.74,129.8084,0.0781
orh,12,0,1,229.19,302.515,104.3796,0.4026
orh,12,0,2,229.165,302.545,108.4338,0.4744
orh,13,0,0,229.08,302.945,104.3221,0.4851
orh,13,0,1,229.135,302.88,110.9729,0.6426
orh,13,0,2,229.21,302.63,128.6587,0.1281
orh,13,0,3,229.155,302.695,135.0,0.0424
orh,14,0,0,229.495,302.27,128.3206,0.7903
orh,14,0,1,230.21,301.78,159.0431,1.0066
orh,14,0,2,231.075,301.455,159.844,0.8415
orh,14,0,3,231.94,301.2,166.8274,0.9654
orh,14,0,4,232.805,301.09,0.0,0.79
orh,14,0,5,233.455,301.165,16.3886,0.5316
orh,14,0,6,234.07,301.385,21.9395,0.7762
orh,14,0,7,234.825,301.815,35.8098,0.9742
orh,14,0,8,235.47,302.5,57.9952,0.9434
orh,14,0,9,236.225,303.255,35.1059,1.2346
orh,14,0,10,237.305,303.97,32.05,1.3568
orh,14,0,11,237.29,295.26,86.2781,18.1783
orh,14,0,12,234.935,289.11,121.151,6.824
orh,14,0,13,231.21,297.305,110.3833,11.2547
orh,15,0,0,228.365,303.51,167.4719,0.2766
orh,15,0,1,228.16,304.19,96.1467,1.3075
orh,15,0,2,228.16,304.41,99.2462,0.8713
orh,15,0,3,228.365,303.73,118.3694,0.5682
orh,16,0,0,203.37,362.305,47.5685,10.2563
orh,16,0,1,201.715,366.235,178.3763,10.2341
orh,17,0,0,192.275,379.96,109.9251,0.8509
orh,17,0,1,192.565,379.235,114.0451,0.7118
orh,17,0,2,193.215,378.625,150.5611,1.1597
orh,17,0,3,194.945,377.8,156.2113,2.6775
orh,17,0,4,196.78,377.005,157.3137,1.3223
orh,17,0,5,198.11,376.68,174.4471,1.4468
orh,17,0,6,196.38,374.265,43.7456,6.7828
orh,18,0,0,185.825,373.69,13.3094,0.9557
orh,18,0,1,186.51,374.015,44.3408,0.6152
orh,18,0,2,186.91,374.445,50.0641,0.5608
orh,18,0,3,187.235,374.985,65.9549,0.7118
orh,18,0,4,187.34,375.78,94.8646,0.9434
orh,18,0,5,188.06,374.77,117.1812,3.3275
orh,19,0,0,157.435,374.66,6.4935,1.2379
orh,19,0,1,158.555,374.875,16.0198,1.0508
orh,19,0,2,159.565,375.13,12.2885,1.0337
orh,19,0,3,160.535,375.49,28.2642,1.0559
orh,19,0,4,161.36,375.995,35.3117,0.8823
orh,19,0,5,162.3,376.68,36.5524,1.444
orh,19,0,6,163.42,377.545,38.8532,1.3868
orh,19,0,7,164.14,378.16,45.0,0.5091
orh,19,0,8,164.57,378.77,59.8265,0.9948
orh,19,0,9,165.035,379.67,65.4189,1.0337
orh,19,0,10,165.395,380.465,65.9549,0.7118
orh,19,0,11,165.47,381.185,100.0492,0.8023
orh,19,0,12,165.255,381.94,111.939,0.7762
orh,19,0,13,164.64,382.805,132.9439,1.3797
orh,19,0,14,163.63,383.635,148.9586,1.2605
orh,19,0,15,162.73,384.175,149.153,0.8386
orh,19,0,16,161.795,384.86,140.7379,1.4853
orh,19,0,17,166.875,384.93,175.954,11.3383
orh,19,0,18,166.225,378.335,44.4958,17.6784
orh,20,0,0,124.26,340.375,21.1244,0.4717
orh,20,0,1,123.785,340.145,29.6247,0.5867
orh,20,0,2,123.245,339.895,20.2241,0.6075
orh,20,0,3,122.635,339.715,12.9954,0.6671
orh,20,0,4,122.02,339.68,172.1465,0.5855
orh,20,0,5,121.405,339.72,0.0,0.65
orh,20,0,6,120.615,339.825,167.2753,0.9534
orh,20,0,7,119.895,340.04,156.6659,0.5554
orh,20,0,8,119.28,340.545,132.3458,1.0689
orh,20,0,9,118.74,341.155,129.9359,0.5608
orh,20,0,10,118.38,341.66,121.8274,0.6826
orh,20,0,11,118.095,342.24,109.9036,0.6168
orh,20,0,12,117.95,342.85,97.1252,0.645
orh,20,0,13,117.805,343.855,98.7147,1.386
orh,20,0,14,117.95,345.19,68.9625,1.3928
orh,20,0,15,118.56,346.67,66.5518,1.8094
orh,20,0,16,113.735,342.705,42.7621,14.1246
orh,20,0,17,108.98,337.985,9.8935,0.873
orh,20,0,18,109.845,338.24,22.4794,0.9415
orh,20,0,19,110.745,338.42,0.0,0.93
