airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
oxc,0,0,0,195.155,319.685,32.9827,2.9207
oxc,0,0,1,202.47,321.305,7.7147,12.2913
oxc,0,0,2,209.675,321.99,172.8434,2.2475
oxc,0,0,3,211.55,321.235,141.0204,1.9553
oxc,0,0,4,211.695,324.365,99.3259,7.5903
oxc,0,0,5,210.215,327.175,47.227,2.5475
oxc,0,0,6,208.485,325.735,30.2773,2.0032
oxc,0,0,7,201.715,324.295,8.9975,11.9571
oxc,0,0,8,194.69,323.395,178.2099,2.2411
oxc,0,0,9,192.525,324.115,146.7551,2.499
oxc,0,0,10,192.02,320.98,98.0461,7.716
oxc,1,0,0,162.07,491.025,9.251,8.0244
oxc,1,0,1,166.95,486.005,99.2243,11.4784
oxc,1,0,2,163.91,479.695,9.251,8.0244
oxc,2,0,0,219.305,138.755,9.2396,8.0342
oxc,2,0,1,222.26,145.62,99.2231,12.6029
oxc,2,0,2,217.285,151.195,9.2396,8.0342
oxc,3,0,0,140.91,422.29,149.8398,1.7117
oxc,3,0,1,139.57,423.395,131.6333,1.8062
oxc,3,0,2,138.615,424.895,113.2826,1.7963
oxc,3,0,3,138.18,426.57,95.3768,1.7075
oxc,3,0,4,135.47,443.955,99.0376,33.4857
oxc,3,0,5,131.635,462.33,123.2205,4.3989
oxc,3,0,6,129.93,464.355,159.6958,1.0663
oxc,3,0,7,128.715,464.54,0.0,1.43
oxc,3,0,8,128.0,464.215,90.0,0.65
oxc,3,0,9,128.265,461.315,95.8759,5.1772
oxc,3,0,10,129.35,451.54,96.4974,14.4931
oxc,3,0,11,131.475,436.105,99.0048,16.6755
oxc,3,0,12,132.115,427.24,43.4517,1.8321
oxc,3,0,13,131.04,426.455,20.7087,0.8766
oxc,3,0,14,129.79,425.91,24.9048,1.8522
oxc,3,0,15,127.5,425.08,16.8804,3.0306
oxc,3,0,16,125.91,424.79,133.0247,0.4104
oxc,3,0,17,122.875,442.89,99.1618,36.3639
oxc,3,0,18,120.065,460.84,0.0,0.17
oxc,3,0,19,120.035,461.73,97.3625,1.7948
oxc,3,0,20,120.485,462.72,10.0368,1.1476
oxc,3,0,21,119.4,473.15,99.0751,20.9219
oxc,3,0,22,121.055,484.08,10.2896,6.718
oxc,3,0,23,125.045,484.145,142.0094,1.7383
oxc,3,0,24,126.7,477.555,99.1014,12.2644
oxc,3,0,25,128.07,470.42,110.3232,2.3034
oxc,3,0,26,129.44,468.715,147.2049,2.3078
oxc,3,0,27,132.05,467.355,155.8594,3.5943
oxc,3,0,28,133.925,466.325,128.5414,0.7543
oxc,3,0,29,134.595,465.075,114.4894,2.0988
oxc,3,0,30,135.645,461.115,101.5663,6.1346
oxc,3,0,31,137.63,449.53,99.0721,17.3774
oxc,3,0,32,139.965,436.235,101.5667,9.6255
oxc,3,0,33,141.38,430.495,113.7025,2.2389
oxc,3,0,34,142.48,428.03,114.2939,3.1598
oxc,3,0,35,144.27,426.92,16.1444,2.3736
oxc,3,0,36,145.6,428.74,82.7329,3.0041
oxc,3,0,37,145.885,430.92,82.1607,1.393
oxc,3,0,38,146.12,432.46,80.647,1.7229
oxc,3,0,39,147.185,427.615,99.2256,11.5393
oxc,3,0,40,148.595,418.975,99.3517,5.9693
oxc,3,0,41,147.865,418.625,115.0893,5.7307
oxc,3,0,42,146.445,421.34,149.6564,0.4751
oxc,3,0,43,143.945,421.66,175.0196,4.6074
oxc,4,0,0,166.625,253.61,8.423,10.7863
oxc,4,0,1,159.38,264.995,98.9159,24.6478
oxc,4,0,2,160.64,277.675,9.0516,6.42
oxc,4,0,3,163.09,282.395,99.6936,8.5521
oxc,4,0,4,155.275,285.495,8.9311,14.3642
oxc,4,0,5,147.38,289.26,99.31,9.8903
oxc,4,0,6,146.695,294.16,9.8674,0.2335
oxc,4,0,7,146.27,297.17,100.2374,6.0768
oxc,4,0,8,145.665,300.145,12.9936,0.1334
oxc,4,0,9,145.595,300.175,96.337,0.0905
oxc,4,0,10,145.62,300.225,9.4434,0.0608
oxc,4,0,11,144.715,305.85,99.4458,11.3945
oxc,4,0,12,143.765,311.47,0.0,0.03
oxc,4,0,13,140.62,330.63,99.2779,38.8279
oxc,4,0,14,137.535,349.795,6.337,0.0905
oxc,4,0,15,136.97,353.26,99.9984,7.0267
oxc,4,0,16,140.395,357.44,10.1173,8.1975
oxc,4,0,17,145.62,350.845,99.2399,14.8223
oxc,4,0,18,150.95,344.18,8.9228,8.3814
oxc,4,0,19,155.235,344.58,120.1132,0.578
oxc,4,0,20,155.74,344.115,149.1539,0.8386
oxc,4,0,21,157.215,344.025,6.3966,2.244
oxc,4,0,22,158.945,341.13,101.5105,6.164
oxc,4,0,23,158.805,337.94,12.6892,1.5478
oxc,4,0,24,157.725,337.41,47.9253,0.97
oxc,4,0,25,158.95,328.225,99.9617,17.9202
oxc,4,0,26,160.97,316.445,99.0374,5.9843
oxc,4,0,27,161.64,312.34,99.8661,2.3345
oxc,4,0,28,162.385,310.96,157.1183,1.1831
oxc,4,0,29,163.68,310.875,10.9425,1.5278
oxc,4,0,30,164.825,308.695,99.642,4.7166
oxc,4,0,31,164.345,306.165,13.1859,1.7974
oxc,4,0,32,163.175,305.62,49.0534,0.9003
oxc,4,0,33,163.705,300.555,99.9042,9.593
oxc,4,0,34,165.54,291.435,102.9422,9.0191
oxc,4,0,35,166.765,285.78,99.6836,2.5564
oxc,4,0,36,167.305,284.375,155.9549,0.7118
oxc,4,0,37,168.44,284.33,7.0384,1.6323
oxc,4,0,38,169.395,283.85,104.0366,1.1957
oxc,4,0,39,168.8,283.105,12.5693,1.5163
oxc,4,0,40,167.74,282.58,48.3665,0.9633
oxc,4,0,41,167.67,280.885,100.6066,2.7164
oxc,4,0,42,169.045,279.71,8.0946,2.2726
oxc,4,0,43,172.005,267.285,98.2957,25.4362
oxc,4,0,44,172.9,254.55,9.0661,1.9038
oxc,5,0,0,143.77,457.365,49.2035,3.1835
oxc,5,0,1,146.31,459.105,19.6295,3.1851
oxc,5,0,2,149.765,459.98,9.8659,3.9687
oxc,5,0,3,156.145,461.005,8.7996,8.9554
oxc,5,0,4,161.61,462.23,27.4397,2.3437
oxc,5,0,5,163.09,463.195,44.0066,1.2235
oxc,5,0,6,163.985,460.84,99.2951,5.634
oxc,5,0,7,164.015,458.36,144.7823,1.0404
oxc,5,0,8,162.295,458.735,176.6855,2.5943
oxc,5,0,9,155.38,457.98,8.401,11.3619
oxc,5,0,10,148.68,456.68,23.518,2.3557
oxc,5,0,11,146.975,455.38,53.0199,2.078
oxc,5,0,12,147.11,449.995,99.4725,9.2359
oxc,5,0,13,150.19,430.645,98.912,29.9516
oxc,5,0,14,153.045,415.43,141.8667,1.3603
oxc,5,0,15,154.59,414.905,174.0646,2.0309
oxc,5,0,16,161.435,415.7,8.7683,11.808
oxc,5,0,17,168.315,417.14,27.3274,2.3526
oxc,5,0,18,170.065,418.36,43.9661,1.959
oxc,5,0,19,171.305,415.755,99.2501,6.6566
oxc,5,0,20,171.07,413.02,144.4623,1.8925
oxc,5,0,21,169.0,413.645,176.6983,2.6043
oxc,5,0,22,162.08,412.89,8.4011,11.3619
oxc,5,0,23,155.38,411.59,23.518,2.3557
oxc,5,0,24,153.89,410.575,53.0463,1.364
oxc,5,0,25,154.955,401.19,99.4728,17.9244
oxc,5,0,26,150.685,394.62,158.4397,12.3544
oxc,5,0,27,145.285,397.62,64.705,1.6148
oxc,5,0,28,133.995,403.79,154.9413,25.6879
oxc,5,0,29,121.995,408.445,65.0633,1.7314
oxc,5,0,30,121.26,407.91,145.954,0.8931
oxc,5,0,31,121.88,410.125,63.2603,4.4006
oxc,5,0,32,133.005,407.435,155.3307,22.3058
oxc,5,0,33,143.755,402.97,17.1684,1.2874
oxc,5,0,34,148.0,401.905,160.9282,7.6816
oxc,5,0,35,149.87,411.285,99.3968,21.5593
oxc,5,0,36,147.09,428.185,99.2472,12.695
oxc,5,0,37,145.25,440.19,98.1301,11.5965
oxc,5,0,38,143.58,451.045,99.4351,10.3703
oxc,6,0,0,152.625,385.67,139.1576,3.6087
oxc,6,0,1,149.36,387.75,154.6538,4.2048
oxc,6,0,2,146.765,388.99,153.932,1.5474
oxc,6,0,3,145.515,388.55,54.5666,1.9146
oxc,6,0,4,134.555,392.85,153.9771,23.1578
oxc,6,0,5,124.0,397.985,159.8638,0.3195
oxc,6,0,6,124.065,398.64,70.2856,1.2747
oxc,6,0,7,124.86,400.11,56.3101,2.0912
oxc,6,0,8,124.505,401.48,151.8639,2.1206
oxc,6,0,9,122.67,402.47,151.4343,2.0495
oxc,6,0,10,121.77,403.295,90.0,0.67
oxc,6,0,11,120.525,404.29,152.0711,2.8182
oxc,6,0,12,120.085,406.555,63.3636,3.5911
oxc,6,0,13,121.26,407.91,145.954,0.8931
oxc,6,0,14,121.325,407.01,64.8626,1.436
oxc,6,0,15,132.655,400.92,154.9414,25.6879
oxc,6,0,16,144.615,396.185,65.2507,1.5526
oxc,6,0,17,150.685,394.62,158.4398,12.3544
oxc,6,0,18,156.895,389.575,99.5125,5.6274
oxc,6,0,19,155.675,385.645,34.4291,4.0857
oxc,7,0,0,154.35,383.24,106.0664,2.6016
oxc,7,0,1,155.675,385.645,34.4291,4.0857
oxc,7,0,2,162.485,356.05,99.4623,62.3483
oxc,7,0,3,165.615,324.385,24.6383,4.3896
oxc,7,0,4,162.455,330.73,99.1165,14.7057
oxc,7,0,5,160.785,338.13,164.5051,1.0481
oxc,7,0,6,159.92,338.19,12.5291,0.7376
oxc,7,0,7,158.945,341.13,101.5105,6.164
oxc,7,0,8,159.09,344.24,6.7533,1.5306
oxc,7,0,9,160.175,344.58,37.5689,0.8201
oxc,7,0,10,160.64,345.075,60.2542,0.5644
oxc,7,0,11,157.745,363.655,99.399,37.169
oxc,8,0,0,169.225,320.58,146.5968,2.2161
oxc,8,0,1,171.27,319.935,178.2099,2.2411
oxc,8,0,2,177.54,320.695,8.7754,10.422
oxc,8,0,3,183.81,321.99,24.0573,2.4531
oxc,8,0,4,185.56,323.265,50.8927,1.9975
oxc,8,0,5,186.735,320.68,99.2132,6.8078
oxc,8,0,6,186.425,317.82,149.681,1.9809
oxc,8,0,7,184.455,318.46,172.8434,2.2475
oxc,8,0,8,178.15,317.81,8.655,10.4996
oxc,8,0,9,171.915,316.445,28.8212,2.3855
oxc,8,0,10,170.19,315.005,51.8278,2.2006
oxc,8,0,11,177.99,263.225,99.4559,103.2327
oxc,8,0,12,184.695,211.875,13.77,3.6551
oxc,8,0,13,179.35,233.02,99.3934,43.7466
oxc,8,0,14,175.455,254.755,154.5024,0.7201
oxc,8,0,15,174.485,254.805,9.2457,1.307
oxc,8,0,16,172.005,267.285,98.2958,25.4361
oxc,8,0,17,171.065,280.0,8.2648,1.8088
oxc,8,0,18,171.635,281.64,102.1468,3.0891
oxc,8,0,19,170.805,283.295,163.9792,1.0508
oxc,8,0,20,169.92,283.355,12.6075,0.7788
oxc,8,0,21,169.395,283.85,104.037,1.1957
oxc,8,0,22,169.63,284.475,6.7555,0.7653
oxc,8,0,23,170.44,284.81,33.9958,1.0373
oxc,8,0,24,170.655,286.54,98.492,2.9119
oxc,8,0,25,169.53,292.46,101.482,9.143
oxc,8,0,26,167.745,301.585,100.668,9.4534
oxc,8,0,27,166.335,306.375,164.8367,1.1086
oxc,8,0,28,165.51,306.445,14.4996,0.5991
oxc,8,0,29,164.825,308.695,99.642,4.7166
oxc,8,0,30,164.745,311.075,9.9057,0.6395
oxc,8,0,31,165.43,311.53,47.2305,1.0898
oxc,8,0,32,165.565,313.175,100.689,2.534
oxc,8,0,33,164.75,317.23,101.6624,5.7385
oxc,8,0,34,163.895,321.755,99.1096,3.4738
oxc,8,0,35,165.615,324.385,24.6383,4.3896
oxc,9,0,0,191.98,179.185,99.3107,0.6181
oxc,9,0,1,192.91,178.305,146.8384,2.1024
oxc,9,0,2,194.905,177.695,178.2027,2.2311
oxc,9,0,3,201.175,178.455,8.767,10.4319
oxc,9,0,4,206.595,179.37,24.3616,0.5818
oxc,9,0,5,207.69,179.86,24.0262,1.8175
oxc,9,0,6,208.945,180.735,49.9166,1.3201
oxc,9,0,7,209.84,178.34,99.2059,5.8757
oxc,9,0,8,209.76,175.76,149.8091,1.2726
oxc,9,0,9,208.09,176.225,172.6231,2.2587
oxc,9,0,10,201.785,175.575,8.7171,10.4912
oxc,9,0,11,195.555,174.205,28.8212,2.3855
oxc,9,0,12,193.85,172.795,51.6765,2.1287
oxc,9,0,13,194.39,164.76,99.4624,14.5986
oxc,9,0,14,195.77,156.945,106.3137,1.2816
oxc,9,0,15,196.42,155.61,123.1356,1.7197
oxc,9,0,16,197.465,154.385,138.7089,1.5305
oxc,9,0,17,198.47,153.63,149.8265,0.9948
oxc,9,0,18,199.625,153.09,158.198,1.5617
oxc,9,0,19,201.07,152.655,168.6133,1.4689
oxc,9,0,20,202.33,152.585,7.9084,1.0904
oxc,9,0,21,205.39,153.02,8.1301,5.0912
oxc,9,0,22,209.1,154.065,29.9259,2.7461
oxc,9,0,23,211.26,155.4,33.8259,2.3353
oxc,9,0,24,212.59,156.985,68.9419,2.0038
oxc,9,0,25,213.005,158.225,79.778,0.6199
oxc,9,0,26,213.69,154.625,99.1646,7.911
oxc,9,0,27,213.88,150.645,9.6748,0.8927
oxc,9,0,28,207.755,149.675,8.9466,11.51
oxc,9,0,29,201.03,148.92,172.3332,2.0988
oxc,9,0,30,199.21,149.295,163.2333,1.6293
oxc,9,0,31,197.65,149.86,157.0678,1.6939
oxc,9,0,32,196.23,150.705,141.1768,1.643
oxc,9,0,33,194.655,152.05,138.4046,2.5005
oxc,9,0,34,193.25,153.635,121.903,1.7787
oxc,9,0,35,192.42,155.29,111.8012,1.9387
oxc,9,0,36,187.49,183.815,99.3934,56.0009
oxc,9,0,37,184.695,211.875,13.7701,3.655
oxc,10,0,0,220.805,398.055,99.1487,2.7044
oxc,10,0,1,220.52,396.645,8.5313,1.0112
oxc,10,0,2,223.115,377.655,99.2928,38.3331
oxc,10,0,3,226.64,358.81,9.2461,0.8713
oxc,10,0,4,227.075,358.845,98.1371,0.0707
oxc,10,0,5,220.055,357.515,10.4447,14.2867
oxc,10,0,6,212.225,361.27,99.0571,10.2275
oxc,10,0,7,211.25,366.385,159.0746,0.364
oxc,10,0,8,210.65,366.485,175.3462,0.8628
oxc,10,0,9,209.525,366.425,7.7837,1.4029
oxc,10,0,10,208.65,367.67,97.6507,2.7041
oxc,10,0,11,209.165,369.1,7.3789,1.4016
oxc,10,0,12,210.185,369.37,28.98,0.743
oxc,10,0,13,210.68,369.72,45.0,0.4808
oxc,10,0,14,209.28,379.73,99.0653,19.9289
oxc,10,0,15,207.7,389.575,153.4,0.0224
oxc,10,0,16,207.26,389.615,175.3472,0.8628
oxc,10,0,17,206.26,389.57,7.9888,1.1512
oxc,10,0,18,205.425,390.82,101.2685,2.7123
oxc,10,0,19,205.815,392.235,7.3939,1.321
oxc,10,0,20,206.795,392.5,28.98,0.743
oxc,10,0,21,207.16,392.72,45.0,0.1131
oxc,10,0,22,206.885,394.74,99.0395,4.0098
oxc,11,0,0,214.08,351.9,100.008,3.7978
oxc,11,0,1,220.56,354.885,9.2985,13.8014
oxc,11,0,2,227.84,353.55,100.8594,4.9893
oxc,11,0,3,229.025,346.415,98.6773,9.4785
oxc,11,0,4,229.915,341.76,9.7274,0.3551
oxc,11,0,5,230.095,341.76,99.4718,0.0608
oxc,11,0,6,223.185,340.65,8.8769,13.9977
oxc,11,0,7,215.595,343.355,100.1116,7.6894
oxc,11,0,8,213.77,346.91,11.3102,2.3455
oxc,11,0,9,212.31,348.145,101.9479,2.9949
oxc,12,0,0,217.24,420.35,99.0807,42.452
oxc,12,0,1,219.26,399.14,10.6456,2.7066
oxc,12,0,2,217.72,400.335,98.2688,2.9204
oxc,12,0,3,218.005,401.875,10.8641,1.0081
oxc,12,0,4,215.225,421.355,99.5893,39.3194
oxc,12,0,5,211.5,440.63,13.7355,0.9265
oxc,12,0,6,211.0,440.67,108.4367,0.3162
oxc,13,0,0,203.205,417.83,99.0569,42.753
oxc,13,0,1,201.055,439.145,9.5771,2.4643
oxc,13,0,2,202.26,439.31,75.9612,0.0825
oxc,13,0,3,201.8,439.21,7.5953,0.908
oxc,13,0,4,204.485,419.515,99.0715,39.7674
oxc,13,0,5,208.115,399.965,9.7436,1.0045
oxc,13,0,6,208.99,398.65,105.186,2.9013
oxc,14,0,0,208.99,398.65,105.1857,2.9013
oxc,14,0,1,208.945,400.11,10.1539,0.6807
oxc,14,0,2,206.11,419.77,99.1872,39.7094
oxc,14,0,3,202.595,439.32,8.2455,0.6972
oxc,14,0,4,202.26,439.31,75.9715,0.0825
oxc,14,0,5,206.61,440.085,9.6121,8.8036
