airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
pam,0,path,,UNLABELED,75.921,238.479,85.555,225.13,9.634,13.349,128.6042,35.5649,29.1396,80.738,231.8045,0.7217,11,1,0,1,rgb,230,230,230,0,none,,,,0.0,125.1535,14.9048,134.8447,10.7021,0.0,593.0,387.0,0.0,42.8129
pam,1,path,,UNLABELED,280.02,502.905,288.504,485.605,8.484,17.3,146.7734,94.9265,59.927,284.262,494.255,0.4904,33,1,0,1,rgb,230,230,230,0,none,,,,0.0,98.1705,5.1686,90.1885,10.6411,0.0,593.0,387.0,0.0,121.1409
pam,2,path,,UNLABELED,102.052,326.796,106.952,321.897,4.9,4.899,24.005,23.5095,14.5329,104.502,324.3465,1.0002,5,1,0,1,rgb,230,230,230,0,none,,,,0.0,166.4406,1.2137,0.4514,4.8232,0.0,593.0,387.0,0.0,23.5099
pam,3,path,,UNLABELED,356.13,397.737,359.318,393.649,3.188,4.088,13.0325,3.5798,7.9882,357.724,395.693,0.7798,9,1,0,1,rgb,230,230,230,0,none,,,,0.0,8.6421,9.276,0.0,3.049,0.0,593.0,387.0,0.0,3.5798
pam,4,path,,UNLABELED,318.167,384.492,341.174,361.365,23.007,23.127,532.0826,230.548,66.8175,329.6705,372.9285,0.9948,9,1,0,1,rgb,230,230,230,0,none,,,,0.0,42.1355,2.9573,45.6189,21.4075,0.0,593.0,387.0,0.0,259.9556
pam,5,path,,UNLABELED,291.777,375.535,314.04,359.882,22.263,15.653,348.4827,105.724,57.9301,302.9085,367.7085,1.4223,33,1,0,1,rgb,230,230,230,0,none,,,,0.0,143.6291,4.1338,45.7261,7.1968,0.0,593.0,387.0,0.0,152.6302
pam,6,path,,UNLABELED,295.667,354.402,307.323,341.829,11.656,12.573,146.5509,57.0398,34.3395,301.495,348.1155,0.9271,23,1,0,1,rgb,230,230,230,0,none,,,,0.0,62.1709,1.1881,46.3112,5.4999,0.0,593.0,387.0,0.0,73.0376
pam,7,path,,UNLABELED,295.78,343.838,299.223,340.485,3.443,3.353,11.5443,5.7053,6.9445,297.5015,342.1615,1.0268,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,41.7061,1.5464,45.7015,2.6561,0.0,593.0,387.0,0.0,5.7053
pam,8,path,,UNLABELED,291.59,339.241,298.273,332.299,6.683,6.942,46.3934,21.3803,17.2934,294.9315,335.77,0.9627,5,1,0,1,rgb,230,230,230,0,none,,,,0.0,135.5956,2.3696,135.8686,5.9715,0.0,593.0,387.0,0.0,21.8355
pam,9,path,,UNLABELED,286.186,331.408,291.923,325.746,5.737,5.662,32.4828,16.2434,12.3814,289.0545,328.577,1.0132,5,1,0,1,rgb,230,230,230,0,none,,,,0.0,176.029,1.3837,135.903,4.0381,0.0,593.0,387.0,0.0,16.2434
pam,10,path,,UNLABELED,274.235,315.381,282.62,306.067,8.385,9.314,78.0979,32.6401,25.4417,278.4275,310.724,0.9003,14,1,0,1,rgb,230,230,230,0,none,,,,0.0,129.3472,5.9498,135.4648,7.5811,0.0,593.0,387.0,0.0,34.7891
pam,11,path,,UNLABELED,284.862,314.621,288.064,311.45,3.202,3.171,10.1535,4.4016,7.5891,286.463,313.0355,1.0098,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,135.6743,4.6172,135.7641,3.0762,0.0,593.0,387.0,0.0,4.4016
pam,12,path,,UNLABELED,175.014,257.564,199.14,233.31,24.126,24.254,585.1518,274.0919,61.8684,187.077,245.437,0.9947,12,1,0,1,rgb,230,230,230,0,none,,,,0.0,40.1294,2.0167,45.1164,11.1412,0.0,593.0,387.0,0.0,274.4792
pam,13,path,,UNLABELED,156.889,198.732,165.507,189.957,8.618,8.775,75.6229,36.7941,23.563,161.198,194.3445,0.9821,6,1,0,1,rgb,230,230,230,0,none,,,,0.0,48.2926,1.8109,46.9815,7.2189,0.0,593.0,387.0,0.0,36.7941
pam,14,path,,UNLABELED,163.945,207.986,172.302,198.884,8.357,9.102,76.0653,36.9684,25.9419,168.1235,203.435,0.9182,13,1,0,1,rgb,230,230,230,0,none,,,,0.0,139.3529,2.1758,135.5831,8.2672,0.0,593.0,387.0,0.0,37.9788
pam,15,path,,UNLABELED,217.804,257.977,223.173,251.734,5.369,6.243,33.5187,17.42,14.3028,220.4885,254.8555,0.86,10,1,0,1,rgb,230,230,230,0,none,,,,0.0,144.043,3.3598,135.9528,5.2298,0.0,593.0,387.0,0.0,18.1164
pam,16,path,,UNLABELED,204.985,249.787,215.934,237.597,10.949,12.19,133.4684,53.4717,33.2253,210.4595,243.692,0.8982,11,1,0,1,rgb,230,230,230,0,none,,,,0.0,71.9463,1.9618,46.7639,8.5459,0.0,593.0,387.0,0.0,63.8843
pam,17,path,,UNLABELED,184.042,237.811,200.243,222.702,16.201,15.109,244.7811,102.376,44.6403,192.1425,230.2565,1.0723,10,1,0,1,rgb,230,230,230,0,none,,,,0.0,144.568,3.4864,135.8251,15.2228,0.0,593.0,387.0,0.0,108.9669
pam,18,path,,UNLABELED,150.11,189.866,157.029,183.36,6.919,6.506,45.015,22.2806,17.4163,153.5695,186.613,1.0635,6,1,0,1,rgb,230,230,230,0,none,,,,0.0,132.128,1.5469,135.2519,4.9844,0.0,593.0,387.0,0.0,22.2818
pam,19,path,,UNLABELED,133.285,192.464,150.243,173.646,16.958,18.818,319.1157,150.8662,60.9916,141.764,183.055,0.9012,26,1,0,1,rgb,230,230,230,0,none,,,,0.0,117.8709,1.9907,91.0464,12.8141,0.0,593.0,387.0,0.0,198.7491
pam,20,path,,UNLABELED,282.969,310.235,284.906,308.355,1.937,1.88,3.6415,1.7384,4.3426,283.9375,309.295,1.0303,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,138.0277,2.4082,137.4,1.6547,0.0,593.0,387.0,0.0,1.7384
