airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
pou,0,path,,UNLABELED,92.2,360.06,195.95,276.67,103.75,83.39,8651.714,477.8898,262.7012,144.075,318.365,1.2442,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,38.42,1232.109,38.4084,129.5427,0.0,594.0,387.36,0.0,477.8898
pou,1,path,,UNLABELED,96.8,329.12,143.85,287.62,47.05,41.5,1952.5751,660.8875,112.686,120.325,308.37,1.1337,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,38.794,13.9499,38.7696,49.7133,0.0,594.0,387.36,0.0,660.8875
pou,2,path,,UNLABELED,119.07,335.54,137.94,316.95,18.87,18.59,350.7933,176.9489,40.9953,128.505,326.245,1.0151,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,38.6907,1.3413,38.2786,14.3183,0.0,594.0,387.36,0.0,176.9489
pou,3,path,,UNLABELED,147.82,371.92,170.95,347.21,23.13,24.71,571.5426,263.5253,56.1227,159.385,359.565,0.9361,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,128.7189,3.4453,128.6558,22.1408,0.0,594.0,387.36,0.0,263.5253
pou,4,path,,UNLABELED,152.0,352.9,166.62,335.68,14.62,17.22,251.7566,62.4108,42.0973,159.31,344.29,0.849,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,128.4638,36.7815,128.3934,19.4829,0.0,594.0,387.36,0.0,62.4108
pou,5,path,,UNLABELED,152.36,361.19,170.73,344.33,18.37,16.86,309.7181,141.2091,41.4971,161.545,352.76,1.0896,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,38.2414,3.676,38.7577,16.4529,0.0,594.0,387.36,0.0,141.2091
pou,6,path,,UNLABELED,204.81,391.02,308.72,271.84,103.91,119.18,12383.9935,460.3543,313.3233,256.765,331.43,0.8719,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,130.9329,2736.2651,130.9317,155.1838,0.0,594.0,387.36,0.0,460.3543
pou,7,path,,UNLABELED,194.44,379.85,224.48,355.57,30.04,24.28,729.3714,122.396,77.5732,209.46,367.71,1.2372,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,26.2696,5.1668,132.1548,16.5243,0.0,594.0,387.36,0.0,349.5369
pou,8,path,,UNLABELED,166.91,398.73,207.05,381.15,40.14,17.58,705.6613,172.8351,102.9108,186.98,389.94,2.2833,28,1,0,1,rgb,207,207,207,0,none,,,,0.0,5.3457,10.7627,131.2892,9.3959,0.0,594.0,387.36,0.0,417.218
pou,9,path,,UNLABELED,132.32,363.42,306.99,219.81,174.67,143.61,25084.359,788.0079,448.8545,219.655,291.615,1.2163,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,39.2478,3958.1287,39.2478,222.6577,0.0,594.0,387.36,0.0,788.0079
pou,10,path,,UNLABELED,271.82,363.13,313.98,324.58,42.16,38.55,1625.2676,619.5971,100.1928,292.9,343.855,1.0936,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,39.7981,8.7829,39.8244,42.877,0.0,594.0,387.36,0.0,619.5971
pou,11,path,,UNLABELED,309.65,262.33,326.66,259.3,17.01,3.03,51.5402,35.4243,35.9434,318.155,260.815,5.6139,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,176.8138,65.4076,176.8239,16.9661,0.0,594.0,387.36,0.0,35.4243
