airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
psc,0,path,,UNLABELED,100.5,405.17,145.7,358.66,45.2,46.51,2102.2516,215.4053,68.5622,123.1,381.915,0.9718,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,133.6573,272.1338,134.2505,54.6004,0.0,594.0,387.36,0.0,225.8018
psc,1,path,,UNLABELED,204.56,300.09,214.19,289.2,9.63,10.89,104.8709,57.0381,27.8325,209.375,294.645,0.8843,22,1,0,1,rgb,207,207,207,0,none,,,,0.0,128.8304,4.239,134.4638,9.8222,0.0,594.0,387.36,0.0,63.0503
psc,2,path,,UNLABELED,284.42,214.85,297.54,203.75,13.12,11.1,145.632,50.241,29.5373,290.98,209.3,1.182,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,143.917,5.4317,136.6366,8.9132,0.0,594.0,387.36,0.0,59.0665
psc,3,path,,UNLABELED,94.13,207.05,155.01,173.06,60.88,33.99,2069.3105,117.179,134.1848,124.57,190.055,1.7911,20,1,0,1,rgb,207,207,207,0,none,,,,0.0,26.4238,195.7788,22.8472,37.0357,0.0,594.0,387.36,0.0,305.5393
psc,4,path,,UNLABELED,318.55,270.57,328.4,246.55,9.85,24.02,236.597,56.8537,29.135,323.475,258.56,0.4101,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,108.1643,110.1065,107.4587,24.4986,0.0,594.0,387.36,0.0,56.8537
psc,5,path,,UNLABELED,326.9,233.42,334.88,223.41,7.98,10.01,79.8797,32.402,32.7082,330.89,228.415,0.7972,36,1,0,1,rgb,207,207,207,0,none,,,,0.0,107.2713,1.5367,105.5472,6.7157,0.0,594.0,387.36,0.0,44.4118
psc,6,path,,UNLABELED,306.13,305.45,317.94,278.4,11.81,27.05,319.4607,80.9542,33.5997,312.035,291.925,0.4366,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,109.3524,90.7284,109.2888,21.0094,0.0,594.0,387.36,0.0,82.8294
psc,7,path,,UNLABELED,239.55,292.51,248.54,283.41,8.99,9.1,81.8091,33.5791,23.2837,244.045,287.96,0.9879,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,51.8065,1.0942,134.2914,8.0051,0.0,594.0,387.36,0.0,40.6292
psc,8,path,,UNLABELED,248.3,298.54,254.65,292.04,6.35,6.5,41.2749,23.8371,19.0769,251.475,295.29,0.9769,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,48.8091,1.5783,43.7402,5.4673,0.0,594.0,387.36,0.0,24.8531
psc,9,path,,UNLABELED,245.95,294.76,250.86,289.82,4.91,4.94,24.2554,12.0797,10.6722,248.405,292.29,0.9939,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,133.1916,1.2977,133.9149,3.7342,0.0,594.0,387.36,0.0,12.0797
