airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
pvu,0,0,0,171.72,76.48,169.5309,3.7423
pvu,0,0,1,176.425,75.47,166.8373,5.8846
pvu,0,0,2,180.675,74.615,172.3919,2.7946
pvu,0,0,3,184.07,74.5,1.9948,4.0224
pvu,0,0,4,187.67,74.82,8.9356,3.2191
pvu,0,0,5,191.34,75.81,19.5837,4.4154
pvu,0,0,6,252.515,98.305,20.2105,125.9444
pvu,0,0,7,309.55,122.785,127.0878,6.8321
pvu,0,0,8,307.63,124.285,96.5204,2.466
pvu,0,0,9,307.585,122.46,72.8637,1.2557
pvu,0,0,10,307.1,121.585,42.5097,0.814
pvu,0,0,11,305.62,120.775,24.3893,2.5912
pvu,0,0,12,300.095,118.645,20.1574,9.257
pvu,0,0,13,249.96,100.25,20.1477,97.5492
pvu,0,0,14,201.715,85.44,140.9723,6.3205
pvu,0,0,15,195.4,86.065,19.4748,8.1885
pvu,0,0,16,190.845,81.505,77.7278,6.5394
pvu,0,0,17,189.375,78.01,21.1604,1.6621
pvu,0,0,18,186.955,77.43,9.6598,3.3373
pvu,0,0,19,183.55,77.15,0.0,3.52
pvu,0,0,20,180.375,77.315,173.3498,2.8492
pvu,0,0,21,176.205,78.035,168.6096,5.6207
pvu,0,0,22,172.55,78.915,160.1458,1.9138
pvu,0,0,23,171.37,79.68,122.4709,1.0431
pvu,0,0,24,170.93,81.485,96.6856,2.7487
pvu,1,0,0,159.645,70.235,77.9635,18.558
pvu,1,0,1,161.925,60.26,167.9471,8.62
pvu,1,0,2,168.075,68.43,77.957,18.5482
pvu,2,0,0,284.625,333.23,77.2449,4.1217
pvu,2,0,1,283.61,331.35,166.9316,1.1498
pvu,2,0,2,283.46,333.48,78.4148,4.0832
pvu,2,0,3,276.9,336.89,168.5636,14.2224
pvu,2,0,4,269.515,336.42,77.5517,3.8505
pvu,2,0,5,267.415,335.53,149.564,3.9086
pvu,2,0,6,266.045,337.895,77.0966,2.8212
pvu,2,0,7,267.19,341.355,68.2934,4.4883
pvu,2,0,8,273.945,342.23,168.4578,12.0946
pvu,2,0,9,280.09,342.0,77.3474,2.0088
pvu,2,0,10,280.65,344.695,78.7866,3.4967
pvu,2,0,11,281.185,347.39,78.7468,1.9984
pvu,2,0,12,280.06,350.365,123.4907,4.7843
pvu,2,0,13,278.94,353.345,78.5226,2.0102
pvu,2,0,14,275.81,357.155,139.6904,8.7337
pvu,2,0,15,278.065,358.77,167.7757,11.4292
