airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
rap,0,0,0,97.645,478.025,28.1114,7.7888
rap,0,0,1,98.835,484.065,118.0973,9.5335
rap,0,0,2,93.155,486.43,28.1763,7.7935
rap,1,0,0,300.485,99.12,28.1431,7.6324
rap,1,0,1,299.52,92.82,118.0726,10.2
rap,1,0,2,305.29,90.115,28.0416,7.6365
rap,2,0,0,104.495,317.075,30.7304,2.5245
rap,2,0,1,102.87,317.465,117.5528,2.3348
rap,2,0,2,103.43,319.07,27.3927,2.4778
rap,3,0,0,160.225,251.13,76.6754,1.1716
rap,3,0,1,160.26,252.33,99.0193,1.2758
rap,3,0,2,159.825,253.5,121.8143,1.271
rap,3,0,3,159.015,254.385,144.0083,1.1741
rap,3,0,4,157.67,255.155,153.9647,1.9365
rap,3,0,5,153.5,257.11,155.1259,7.2749
rap,3,0,6,148.435,258.59,1.6223,3.5314
rap,3,0,7,144.44,257.345,28.1858,5.06
rap,3,0,8,139.975,260.315,118.2186,9.4536
rap,3,0,9,140.265,265.835,28.2194,5.7312
rap,3,0,10,142.935,266.91,117.3785,0.6306
rap,3,0,11,150.08,270.38,28.1786,15.8824
rap,3,0,12,160.575,271.0,138.1534,9.3834
rap,3,0,13,158.36,264.81,28.1869,12.9565
rap,3,0,14,153.03,261.56,153.4349,0.8497
rap,3,0,15,153.245,261.06,61.9752,0.7023
rap,3,0,16,153.445,260.585,155.6732,0.8011
rap,3,0,17,153.655,260.105,63.7991,0.7021
rap,3,0,18,153.845,259.635,155.807,0.7564
rap,3,0,19,154.045,259.17,64.9328,0.6845
rap,3,0,20,156.575,257.595,154.6907,5.9181
rap,3,0,21,159.395,256.66,66.2802,0.7209
rap,3,0,22,160.245,256.66,154.9163,1.5568
rap,3,0,23,161.085,256.655,67.4432,0.7039
rap,3,0,24,161.59,256.795,153.4331,0.8273
rap,3,0,25,162.255,257.28,66.2362,1.4642
rap,3,0,26,162.925,257.765,153.7398,0.8363
rap,3,0,27,161.695,254.07,65.427,7.7191
rap,4,0,0,122.545,287.285,50.9468,0.6825
rap,4,0,1,122.36,286.68,95.0423,0.6826
rap,4,0,2,122.66,286.12,140.8262,0.6966
rap,4,0,3,123.27,285.935,5.878,0.6836
rap,4,0,4,130.7,289.77,28.1897,16.0883
rap,4,0,5,138.22,292.575,113.3722,2.1679
rap,4,0,6,131.315,287.65,28.1818,16.643
rap,4,0,7,124.45,282.84,118.1062,1.9953
rap,4,0,8,125.66,281.715,161.6816,1.559
rap,4,0,9,133.215,285.125,28.2054,15.4665
rap,4,0,10,139.965,287.015,87.8908,3.5324
rap,4,0,11,140.445,284.235,118.2337,2.3041
rap,4,0,12,135.155,280.095,28.1718,13.2383
rap,4,0,13,130.52,274.735,118.2319,5.0735
rap,4,0,14,129.055,271.07,28.2175,6.0489
rap,4,0,15,124.345,273.455,118.1931,8.6571
rap,4,0,16,119.565,282.46,117.7881,11.7331
rap,4,0,17,118.69,288.69,29.2111,4.262
rap,4,0,18,119.73,291.335,117.0625,3.6047
rap,4,0,19,118.915,292.945,44.9344,0.0141
rap,4,0,20,118.23,294.28,117.4202,2.9967
rap,4,0,21,117.415,295.845,118.0091,0.5324
rap,4,0,22,117.295,296.085,45.0218,0.0142
rap,4,0,23,116.605,297.435,117.3267,3.0279
rap,4,0,24,115.535,299.5,117.512,1.6236
rap,4,0,25,116.11,300.825,32.4905,2.2526
rap,4,0,26,119.105,297.74,118.9952,8.4376
rap,4,0,27,130.135,299.25,30.0598,20.7625
rap,4,0,28,140.41,303.795,153.0808,2.8935
rap,4,0,29,131.45,297.65,28.174,23.2553
rap,4,0,30,121.58,291.45,118.1563,1.6106
rap,4,0,31,132.21,296.235,28.1956,23.2601
rap,4,0,32,139.7,298.44,50.0064,8.5888
rap,4,0,33,129.85,291.35,28.1898,16.0883
rap,5,0,0,213.985,150.78,114.1733,1.9292
rap,5,0,1,213.545,152.715,92.4427,2.1119
rap,5,0,2,213.72,154.695,76.6214,1.9016
rap,5,0,3,214.955,156.855,50.5845,3.1972
rap,5,0,4,217.51,158.97,29.745,3.5474
rap,5,0,5,221.385,160.865,23.4941,5.0921
rap,5,0,6,225.525,162.1,6.9492,3.6367
rap,5,0,7,228.87,161.88,164.0545,3.2033
rap,5,0,8,232.48,160.78,162.3155,4.3453
rap,5,0,9,231.555,158.71,25.2104,6.6206
rap,5,0,10,227.855,157.65,153.5971,1.5742
rap,5,0,11,226.005,158.09,175.5058,2.2971
rap,5,0,12,223.32,157.695,17.4811,3.2291
rap,5,0,13,220.37,156.46,28.0092,3.1941
rap,5,0,14,218.565,154.96,62.2255,1.6953
rap,5,0,15,218.39,153.77,116.5651,0.9839
rap,6,0,0,188.045,177.525,26.1142,0.568
rap,6,0,1,185.35,183.66,116.144,13.3899
rap,6,0,2,182.15,189.55,25.6401,0.5546
rap,6,0,3,181.33,190.595,116.0713,2.5939
rap,6,0,4,181.815,192.275,26.02,2.348
rap,6,0,5,188.005,195.305,26.0945,11.4356
rap,6,0,6,195.71,199.08,26.1173,5.7245
rap,6,0,7,200.34,201.35,26.1182,4.5885
rap,6,0,8,201.445,204.315,116.0351,4.3516
rap,6,0,9,202.28,207.145,26.0506,3.9848
rap,6,0,10,205.85,204.38,116.0591,8.1038
rap,6,0,11,211.81,202.785,26.0695,9.3069
rap,6,0,12,223.425,191.105,118.445,31.2189
rap,6,0,13,227.42,175.695,26.097,7.661
rap,6,0,14,222.42,177.19,116.131,7.0841
rap,6,0,15,209.265,174.695,26.0788,25.8186
rap,6,0,16,198.62,167.08,116.0905,4.3202
rap,6,0,17,197.24,164.0,26.0711,5.1879
rap,6,0,18,192.93,166.905,116.0814,9.0072
rap,6,0,19,191.375,171.18,28.4226,0.9665
rap,6,0,20,191.035,172.825,118.3973,3.2171
rap,6,0,21,189.91,174.05,27.8244,0.8141
rap,6,0,22,189.405,174.125,118.6856,0.6041
rap,6,0,23,188.525,175.895,116.0295,3.3498
rap,7,0,0,241.385,156.49,165.8743,1.5571
rap,7,0,1,239.705,156.68,0.0,1.85
rap,7,0,2,237.855,156.505,10.7133,1.8828
rap,7,0,3,235.92,155.67,33.1635,2.413
