airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
rdd,0,0,0,304.9,107.55,116.5476,0.0447
rdd,0,0,1,304.93,107.55,45.0,0.0566
rdd,0,0,2,304.92,107.57,0.0,0.06
rdd,1,0,0,310.995,107.565,179.9526,12.09
rdd,1,0,1,316.045,108.57,134.5709,2.8356
rdd,1,0,2,314.67,109.96,135.0012,1.0748
rdd,1,0,3,313.775,110.875,133.9086,1.4852
rdd,1,0,4,312.43,112.255,134.4869,2.3689
rdd,1,0,5,308.275,110.335,39.7462,8.6489
rdd,2,0,0,300.065,113.335,129.9275,15.0354
rdd,2,0,1,295.61,118.415,118.3753,1.5571
rdd,2,0,2,296.155,116.935,102.4145,1.6281
rdd,2,0,3,296.27,115.33,85.7638,1.6244
rdd,2,0,4,295.935,113.79,69.3576,1.5602
rdd,2,0,5,295.195,112.43,53.5689,1.566
rdd,2,0,6,294.085,111.31,37.2237,1.62
rdd,2,0,7,292.68,110.535,20.5564,1.6234
rdd,2,0,8,291.14,110.185,4.7638,1.5654
rdd,2,0,9,228.86,110.29,179.8416,123.0005
rdd,2,0,10,166.39,110.565,173.8222,1.9513
rdd,2,0,11,164.49,111.175,151.4981,2.1165
rdd,2,0,12,162.91,112.51,128.0657,2.1085
rdd,2,0,13,161.995,114.28,105.7439,1.9533
rdd,2,0,14,161.725,111.42,89.9247,7.6
rdd,2,0,15,233.305,107.595,179.98,143.17
rdd,3,0,0,132.11,418.38,105.4396,2.1786
rdd,3,0,1,130.99,420.14,139.4557,2.1845
rdd,3,0,2,129.075,420.97,173.689,2.1832
rdd,3,0,3,127.02,420.59,27.2695,2.1826
rdd,3,0,4,124.67,418.665,45.919,3.9674
rdd,3,0,5,122.0,418.395,138.1604,3.463
rdd,3,0,6,126.81,425.57,44.6218,17.1406
rdd,3,0,7,132.655,424.46,87.9517,14.2691
rdd,4,0,0,49.6,326.175,90.0,19.89
rdd,4,0,1,46.65,316.23,0.0,5.9
rdd,4,0,2,43.7,326.175,90.0,19.89
rdd,5,0,0,39.555,336.12,0.0,3.53
rdd,5,0,1,41.32,326.175,90.0,19.89
rdd,5,0,2,39.555,316.23,0.0,3.53
rdd,6,0,0,77.49,341.825,90.0,5.23
rdd,6,0,1,79.905,344.275,176.0914,4.8413
rdd,6,0,2,82.46,346.035,85.8404,3.8602
rdd,6,0,3,85.755,347.985,0.454,6.3102
rdd,6,0,4,88.91,345.385,90.0,5.25
rdd,6,0,5,90.56,342.75,179.6527,3.3001
rdd,6,0,6,88.705,340.975,26.7283,7.8486
rdd,6,0,7,85.2,341.695,90.0,4.97
rdd,6,0,8,84.01,344.18,0.0,2.38
rdd,6,0,9,82.82,341.695,90.0,4.97
rdd,7,0,0,52.505,376.895,156.3534,5.7094
rdd,7,0,1,48.79,378.04,0.0,2.2
rdd,7,0,2,47.69,377.5,90.0,1.08
rdd,7,0,3,48.23,375.925,117.5528,2.3348
rdd,7,0,4,48.78,373.52,90.4182,2.7401
rdd,7,0,5,45.425,372.18,179.4891,6.7303
rdd,7,0,6,42.1,377.54,89.57,10.6603
rdd,7,0,7,44.39,382.855,179.618,4.5001
rdd,7,0,8,49.495,382.23,167.9395,5.8389
