airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
rme,0,0,0,71.845,459.365,136.0381,28.883
rme,0,0,1,85.185,452.395,46.0503,8.4867
rme,0,0,2,77.735,465.475,136.0381,28.883
rme,1,0,0,329.185,216.2,44.288,8.5354
rme,1,0,1,342.52,209.15,135.7053,28.7249
rme,1,0,2,349.785,196.065,45.3775,8.5845
rme,2,0,0,306.98,201.53,63.4349,1.118
rme,2,0,1,307.285,202.625,84.7195,1.1951
rme,2,0,2,307.18,203.79,105.6787,1.184
rme,2,0,3,306.695,204.815,125.5373,1.1183
rme,2,0,4,293.92,217.31,135.9591,34.639
rme,2,0,5,281.1,229.59,147.0313,0.882
rme,2,0,6,280.265,229.92,169.0445,0.9473
rme,2,0,7,279.335,229.905,12.7253,0.9534
rme,2,0,8,278.515,229.55,35.1545,0.8684
rme,2,0,9,274.95,225.985,45.922,9.2289
rme,2,0,10,271.475,221.56,76.5725,2.2824
rme,2,0,11,272.06,219.685,138.0119,2.2871
rme,2,0,12,274.475,218.61,168.7958,3.1908
rme,2,0,13,275.76,216.895,78.7293,2.8653
rme,2,0,14,272.93,216.0,168.6899,5.201
rme,2,0,15,268.7,218.14,135.8655,4.6816
rme,2,0,16,272.115,225.04,45.9673,14.6604
rme,2,0,17,277.45,230.675,56.6752,0.8737
rme,2,0,18,277.78,231.51,79.1602,0.9571
rme,2,0,19,277.765,232.44,102.8578,0.9436
rme,2,0,20,277.405,233.26,125.3101,0.8823
rme,2,0,21,266.475,243.945,135.9549,29.7026
rme,2,0,22,255.735,254.33,137.2856,0.1769
rme,2,0,23,252.365,257.335,138.2967,8.8535
rme,2,0,24,248.745,260.84,119.3581,1.285
rme,2,0,25,246.655,263.12,135.9016,4.9433
rme,2,0,26,244.695,264.985,141.91,0.4701
rme,2,0,27,243.61,265.27,171.1582,1.8216
rme,2,0,28,239.14,269.065,134.326,10.2184
rme,2,0,29,234.745,274.03,122.2015,3.0963
rme,2,0,30,228.455,280.63,135.9322,15.2119
rme,2,0,31,220.44,288.43,135.4528,7.1562
rme,2,0,32,175.9,331.56,135.9501,116.8442
rme,2,0,33,130.85,375.185,135.5195,8.5776
rme,2,0,34,110.59,394.825,135.9567,47.8566
rme,2,0,35,91.95,412.065,157.2108,3.1239
rme,2,0,36,88.895,412.015,22.0761,3.4855
rme,2,0,37,84.325,408.305,45.9532,8.5006
rme,2,0,38,80.605,404.12,55.9023,2.7292
rme,2,0,39,79.56,400.62,83.2621,4.773
rme,2,0,40,81.51,386.585,100.8226,23.7525
rme,2,0,41,84.775,373.005,118.39,4.3536
rme,2,0,42,94.905,362.315,136.0259,25.2761
rme,2,0,43,104.35,353.315,147.2648,0.8322
rme,2,0,44,105.88,353.34,11.962,2.4124
rme,2,0,45,105.865,352.355,45.9431,3.437
rme,2,0,46,103.17,349.565,46.0314,4.3211
rme,2,0,47,102.11,348.69,57.0946,1.6199
rme,2,0,48,102.715,350.23,79.1396,1.7514
rme,2,0,49,102.685,351.945,102.8476,1.7539
rme,2,0,50,102.025,353.46,125.1664,1.6147
rme,2,0,51,93.265,362.125,136.0192,23.0553
rme,2,0,52,84.135,371.225,127.3277,2.7541
rme,2,0,53,82.84,373.62,109.4864,2.758
rme,2,0,54,80.195,386.365,100.8084,23.3034
rme,2,0,55,77.93,398.95,94.0143,2.2856
rme,2,0,56,78.045,401.255,80.4978,2.3624
rme,2,0,57,78.71,403.5,66.482,2.3557
rme,2,0,58,79.875,405.49,52.6296,2.2901
rme,2,0,59,84.18,410.135,45.975,10.3889
