airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
s50,0,path,,UNLABELED,218.81,507.35,223.69,499.72,4.88,7.63,37.2345,18.4053,22.7086,221.25,503.535,0.6396,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,46.3861,2.5096,0.4716,4.8602,0.0,594.0,387.36,0.0,24.7259
s50,1,path,,UNLABELED,218.86,499.72,223.94,460.46,5.08,39.26,199.4409,84.6567,92.987,221.4,480.09,0.1294,29,1,0,1,rgb,207,207,207,0,none,,,,0.0,90.8591,42.7773,90.3993,30.1307,0.0,594.0,387.36,0.0,164.4922
s50,2,path,,UNLABELED,219.14,460.46,223.35,451.0,4.21,9.46,39.8265,19.958,23.874,221.245,455.73,0.445,12,1,0,1,rgb,207,207,207,0,none,,,,0.0,111.7956,3.6354,90.4356,5.2601,0.0,594.0,387.36,0.0,25.7588
s50,3,path,,UNLABELED,223.26,507.66,269.16,446.8,45.9,60.86,2793.4737,1559.5625,568.4219,246.21,477.23,0.7542,71,1,0,1,rgb,207,207,207,0,none,,,,0.0,2.5833,1.3227,0.4022,44.1611,0.0,594.0,387.36,0.0,2668.3511
s50,4,path,,UNLABELED,261.36,476.45,262.04,470.98,0.68,5.47,3.7196,3.5008,12.2203,261.7,473.715,0.1243,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,91.5565,75.2454,90.4191,5.4701,0.0,594.0,387.36,0.0,3.5008
s50,5,path,,UNLABELED,242.93,476.32,243.48,470.85,0.55,5.47,3.0085,2.7874,11.9504,243.205,473.585,0.1005,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,91.3174,118.1849,90.4189,5.4701,0.0,594.0,387.36,0.0,2.7874
s50,6,path,,UNLABELED,242.69,461.8,243.12,458.09,0.43,3.71,1.5953,1.4803,8.2005,242.905,459.945,0.1159,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,91.498,87.9357,90.4645,3.7001,0.0,594.0,387.36,0.0,1.4803
s50,7,path,,UNLABELED,260.62,463.69,261.14,458.22,0.52,5.47,2.8443,2.6234,11.8904,260.88,460.955,0.0951,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,91.2626,133.3107,90.4187,5.4701,0.0,594.0,387.36,0.0,2.6234
s50,8,path,,UNLABELED,217.35,140.06,273.24,106.96,55.89,33.1,1849.9598,1762.2409,172.4835,245.295,123.51,1.6885,18,1,0,1,rgb,207,207,207,0,none,,,,0.0,160.5171,6.8232,0.4093,48.9913,0.0,594.0,387.36,0.0,1783.5932
s50,9,path,,UNLABELED,198.33,192.68,217.21,158.25,18.88,34.43,650.0379,198.4397,116.1671,207.77,175.465,0.5484,37,1,0,1,rgb,207,207,207,0,none,,,,0.0,114.2239,2.1785,90.417,23.3606,0.0,594.0,387.36,0.0,461.8633
s50,10,path,,UNLABELED,197.7,279.4,216.46,260.96,18.76,18.44,345.9338,102.0205,87.0087,207.08,270.18,1.0174,39,1,0,1,rgb,207,207,207,0,none,,,,0.0,179.977,2.0235,90.373,7.6802,0.0,594.0,387.36,0.0,317.0627
s50,11,path,,UNLABELED,197.0,392.5,215.76,358.17,18.76,34.33,644.0312,204.2915,117.4255,206.38,375.335,0.5465,49,1,0,1,rgb,207,207,207,0,none,,,,0.0,74.7661,2.7761,90.4143,23.5106,0.0,594.0,387.36,0.0,471.0245
s50,12,path,,UNLABELED,218.99,347.97,222.44,338.91,3.45,9.06,31.257,21.9021,23.5807,220.715,343.44,0.3808,16,1,0,1,rgb,207,207,207,0,none,,,,0.0,92.7622,10.6186,90.4681,6.1202,0.0,594.0,387.36,0.0,25.7733
s50,13,path,,UNLABELED,219.07,336.96,222.51,328.16,3.44,8.8,30.272,21.029,23.1228,220.79,332.56,0.3909,20,1,0,1,rgb,207,207,207,0,none,,,,0.0,86.215,12.0454,90.3872,5.9201,0.0,594.0,387.36,0.0,24.9522
s50,14,path,,UNLABELED,219.14,326.31,222.55,317.78,3.41,8.53,29.0873,20.0537,22.5586,220.845,322.045,0.3998,24,1,0,1,rgb,207,207,207,0,none,,,,0.0,89.5706,14.3803,90.4056,5.6501,0.0,594.0,387.36,0.0,23.9651
s50,15,path,,UNLABELED,218.17,357.82,222.36,316.09,4.19,41.73,174.8488,50.8118,91.8334,220.265,336.955,0.1004,30,1,0,1,rgb,207,207,207,0,none,,,,0.0,90.4382,287.1348,90.418,41.1211,0.0,594.0,387.36,0.0,123.6314
s50,16,path,,UNLABELED,222.31,361.22,250.8,319.24,28.49,41.98,1196.0103,672.4813,264.3367,236.555,340.23,0.6787,25,1,0,1,rgb,207,207,207,0,none,,,,0.0,83.8067,1.3522,0.4259,28.2508,0.0,594.0,387.36,0.0,1094.8447
s50,17,path,,UNLABELED,218.48,319.45,271.34,139.68,52.86,179.77,9502.6406,5699.0085,1265.2569,244.91,229.565,0.294,84,1,0,1,rgb,207,207,207,0,none,,,,0.0,87.7319,8.2711,90.4125,176.4146,0.0,594.0,387.36,0.0,8342.3112
s50,18,path,,UNLABELED,214.69,507.31,219.75,139.66,5.06,367.65,1860.3081,941.1794,741.1876,217.22,323.485,0.0138,30,1,0,1,rgb,207,207,207,0,none,,,,0.0,90.0496,6455.1192,90.4125,176.4146,0.0,594.0,387.36,0.0,1280.833
s50,19,path,,UNLABELED,223.92,161.26,263.18,150.0,39.26,11.26,442.0679,211.135,162.752,243.55,155.63,3.4867,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,178.0003,12.5187,0.4141,38.741,0.0,594.0,387.36,0.0,413.4653
s50,20,path,,UNLABELED,191.69,133.17,214.28,111.31,22.59,21.86,493.817,146.168,83.8129,202.985,122.24,1.0334,18,1,0,1,rgb,207,207,207,0,none,,,,0.0,168.4824,2.8758,70.8833,21.5271,0.0,594.0,387.36,0.0,280.1647
s50,21,path,,UNLABELED,196.13,481.21,215.96,476.36,19.83,4.85,96.1755,54.5771,48.539,206.045,478.785,4.0887,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,179.4459,25.1018,0.0,18.69,0.0,594.0,387.36,0.0,79.0603
s50,22,path,,UNLABELED,216.02,133.7,219.14,117.49,3.12,16.21,50.5751,39.3237,34.8206,217.58,125.595,0.1925,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,91.4494,19.3141,90.4282,14.7204,0.0,594.0,387.36,0.0,39.3237
s50,23,path,,UNLABELED,209.26,143.89,217.39,133.24,8.13,10.65,86.5845,42.312,34.2481,213.325,138.565,0.7634,14,1,0,1,rgb,207,207,207,0,none,,,,0.0,59.7996,2.1383,90.3838,5.9701,0.0,594.0,387.36,0.0,59.1101
s50,24,path,,UNLABELED,209.26,133.28,214.28,113.92,5.02,19.36,97.1872,80.9463,47.0171,211.77,123.6,0.2593,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,96.2631,14.9267,90.3937,16.0104,0.0,594.0,387.36,0.0,86.5687
s50,25,path,,UNLABELED,205.55,470.43,216.0,436.91,10.45,33.52,350.2839,178.7803,77.2414,210.775,453.67,0.3118,28,1,0,1,rgb,207,207,207,0,none,,,,0.0,83.7537,9.1363,90.4537,13.8904,0.0,594.0,387.36,0.0,221.505
s50,26,path,,UNLABELED,214.14,133.29,216.5,122.9,2.36,10.39,24.5204,17.1704,23.8975,215.32,128.095,0.2271,36,1,0,1,rgb,207,207,207,0,none,,,,0.0,83.9907,30.1689,90.3692,7.7602,0.0,594.0,387.36,0.0,19.5647
s50,27,path,,UNLABELED,31.94,85.69,34.83,85.69,2.89,0.0,0.0,0.0,2.89,33.385,85.69,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.89,0.0,594.0,387.36,0.0,0.0
s50,28,path,,UNLABELED,31.95,144.1,34.83,144.1,2.88,0.0,0.0,0.0,2.88,33.39,144.1,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.88,0.0,594.0,387.36,0.0,0.0
s50,29,path,,UNLABELED,31.23,202.5,38.44,202.5,7.21,0.0,0.0,0.0,7.21,34.835,202.5,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,7.21,0.0,594.0,387.36,0.0,0.0
s50,30,path,,UNLABELED,31.96,260.91,34.84,260.91,2.88,0.0,0.0,0.0,2.88,33.4,260.91,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.88,0.0,594.0,387.36,0.0,0.0
s50,31,path,,UNLABELED,31.96,319.31,34.85,319.31,2.89,0.0,0.0,0.0,2.89,33.405,319.31,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.89,0.0,594.0,387.36,0.0,0.0
s50,32,path,,UNLABELED,31.97,377.71,34.85,377.71,2.88,0.0,0.0,0.0,2.88,33.41,377.71,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.88,0.0,594.0,387.36,0.0,0.0
s50,33,path,,UNLABELED,31.97,436.12,34.86,436.12,2.89,0.0,0.0,0.0,2.89,33.415,436.12,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.89,0.0,594.0,387.36,0.0,0.0
s50,34,path,,UNLABELED,352.5,497.41,352.5,494.52,0.0,2.89,0.0,0.0,2.89,352.5,495.965,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.89,0.0,594.0,387.36,0.0,0.0
