airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
shd,0,0,0,138.935,252.32,65.158,0.5951
shd,0,0,1,138.72,251.755,73.0344,0.6168
shd,0,0,2,138.585,251.15,81.7394,0.6265
shd,0,0,3,138.53,250.525,88.1827,0.6303
shd,0,0,4,138.55,249.895,95.4401,0.6329
shd,0,0,5,138.655,249.28,104.0362,0.6184
shd,0,0,6,138.84,248.695,111.1047,0.611
shd,0,0,7,137.61,246.775,50.6632,4.2279
shd,0,0,8,135.955,245.345,146.9441,0.7517
shd,0,0,9,135.305,245.685,158.0498,0.7224
shd,0,0,10,134.62,245.88,170.2728,0.7102
shd,0,0,11,133.915,245.925,2.4194,0.7106
shd,0,0,12,133.215,245.82,14.6203,0.7131
shd,0,0,13,132.54,245.57,25.8667,0.7335
shd,0,0,14,130.85,246.49,141.5463,3.4733
shd,0,0,15,130.72,249.14,51.9232,3.9889
shd,0,0,16,131.96,250.72,45.0218,0.0283
shd,0,0,17,133.755,253.01,51.9428,5.7912
shd,0,0,18,137.3,253.94,142.5101,4.4363
shd,1,0,0,307.805,454.94,52.9987,5.234
shd,1,0,1,305.515,453.335,145.8504,1.7279
shd,1,0,2,303.725,454.44,150.0262,2.482
shd,1,0,3,304.36,457.76,57.6524,6.3919
shd,2,0,0,238.045,397.875,51.5977,5.9081
shd,2,0,1,235.93,395.685,155.9426,0.6133
shd,2,0,2,235.575,395.85,151.9284,0.17
shd,2,0,3,235.42,395.91,165.9599,0.1649
shd,2,0,4,235.255,395.94,173.2943,0.1712
shd,2,0,5,235.09,395.94,7.1217,0.1612
shd,2,0,6,234.93,395.905,17.3546,0.1676
shd,2,0,7,234.77,395.84,26.5651,0.1789
shd,2,0,8,234.62,395.745,38.1575,0.178
shd,2,0,9,231.685,397.41,149.0215,6.6833
shd,2,0,10,229.07,399.825,70.2157,1.4772
shd,2,0,11,231.015,402.645,51.4225,5.4364
shd,2,0,12,233.115,404.455,142.1247,1.0262
shd,2,0,13,235.115,403.13,147.6568,3.7758
shd,3,0,0,211.92,345.2,47.9289,3.0445
shd,3,0,1,208.02,340.875,47.9682,8.6029
shd,3,0,2,203.375,335.67,48.7135,5.3499
shd,3,0,3,198.75,330.035,51.7278,9.2348
shd,3,0,4,190.22,319.22,51.7408,18.3134
shd,3,0,5,178.585,304.475,51.7074,19.252
shd,3,0,6,167.155,289.93,51.9806,17.7456
