airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
spi,0,0,0,241.955,185.155,53.2583,11.618
spi,0,0,1,237.895,180.955,142.1249,1.4822
spi,0,0,2,236.705,181.87,142.7538,1.52
spi,0,0,3,235.49,182.72,147.4075,1.448
spi,0,0,4,238.355,187.765,53.2583,11.618
spi,1,0,0,332.905,223.92,143.4708,1.008
spi,1,0,1,332.225,222.085,54.7461,3.7595
spi,1,0,2,331.26,220.55,0.0,0.24
spi,1,0,3,331.505,220.555,2.2928,0.2502
spi,1,0,4,331.755,220.575,6.8425,0.2518
spi,1,0,5,332.0,220.615,11.7729,0.2451
spi,1,0,6,332.24,220.675,16.2557,0.25
spi,1,0,7,332.475,220.75,19.182,0.2435
spi,1,0,8,332.705,220.84,23.4988,0.2508
spi,1,0,9,332.875,220.92,28.6127,0.1253
spi,1,0,10,333.05,221.03,33.6884,0.2885
spi,1,0,11,333.35,221.265,40.733,0.4751
spi,1,0,12,334.905,223.335,54.321,4.715
spi,1,0,13,336.825,225.99,53.6292,1.8381
spi,1,0,14,337.655,226.535,145.619,0.6907
spi,1,0,15,339.205,225.465,145.3284,3.0763
spi,1,0,16,339.265,222.985,53.1014,4.014
spi,1,0,17,341.13,219.085,143.2199,7.666
spi,1,0,18,345.37,218.36,53.3056,3.916
spi,1,0,19,347.995,218.85,143.4147,3.624
spi,1,0,20,347.565,215.125,54.5236,6.4959
spi,1,0,21,345.375,212.725,141.2257,0.7824
spi,1,0,22,344.635,213.285,144.0899,1.0741
spi,1,0,23,343.915,213.81,143.6171,0.708
spi,1,0,24,343.34,214.23,144.0902,0.7161
spi,1,0,25,342.66,214.73,143.3665,0.972
spi,1,0,26,342.045,215.185,143.7436,0.558
spi,1,0,27,341.615,215.5,143.8081,0.508
spi,1,0,28,341.03,215.92,144.6051,0.9323
spi,1,0,29,340.505,216.295,144.0922,0.3581
spi,1,0,30,340.135,216.56,144.5812,0.5522
spi,1,0,31,339.545,217.0,142.5079,0.9201
spi,1,0,32,339.06,217.37,143.1301,0.3
spi,1,0,33,338.67,217.67,142.1246,0.6841
spi,1,0,34,338.06,218.13,143.6729,0.844
spi,1,0,35,337.54,218.515,143.1324,0.45
spi,1,0,36,337.275,218.705,147.0884,0.2025
spi,1,0,37,337.085,218.795,161.57,0.2213
spi,1,0,38,336.87,218.865,162.3482,0.2309
spi,1,0,39,336.65,218.92,169.6931,0.2236
spi,1,0,40,336.43,218.96,169.6931,0.2236
spi,1,0,41,336.205,218.985,177.5157,0.2302
spi,1,0,42,335.98,218.99,0.0,0.22
spi,1,0,43,335.76,218.985,2.5972,0.2202
spi,1,0,44,335.535,218.965,7.4317,0.2319
spi,1,0,45,335.31,218.925,12.8087,0.2256
spi,1,0,46,335.095,218.87,15.9432,0.2184
spi,1,0,47,334.885,218.8,20.852,0.2247
spi,1,0,48,334.675,218.715,23.1986,0.2285
spi,1,0,49,334.47,218.62,26.5651,0.2236
spi,1,0,50,334.275,218.51,32.2743,0.2247
spi,1,0,51,334.09,218.385,35.8398,0.222
spi,1,0,52,333.925,218.26,38.6598,0.1921
spi,1,0,53,333.49,217.725,52.842,1.192
spi,1,0,54,332.235,217.885,144.6448,2.1948
spi,1,0,55,329.38,219.945,143.9811,4.8465
spi,1,0,56,327.305,221.415,158.6311,0.247
spi,1,0,57,327.075,221.5,160.818,0.2435
spi,1,0,58,326.84,221.575,163.7376,0.25
spi,1,0,59,326.6,221.63,170.5424,0.2433
spi,1,0,60,326.455,221.655,168.6833,0.051
spi,1,0,61,326.335,221.67,173.9943,0.1911
spi,1,0,62,326.115,221.69,175.4216,0.2508
spi,1,0,63,325.87,221.695,2.3884,0.2402
spi,1,0,64,325.625,221.68,4.5714,0.2508
spi,1,0,65,323.86,222.915,142.7963,4.1181
spi,1,0,66,324.215,224.095,178.1338,3.9921
spi,1,0,67,326.22,224.1,81.8629,0.1414
spi,1,0,68,326.265,224.245,64.9895,0.1655
spi,1,0,69,326.335,224.39,63.43,0.1565
spi,1,0,70,326.42,224.54,57.9936,0.1887
spi,1,0,71,326.53,224.695,51.3402,0.1921
spi,1,0,72,326.655,224.85,50.9057,0.2062
spi,1,0,73,327.88,226.515,53.8011,3.9283
spi,1,0,74,329.665,227.64,143.6465,1.5521
spi,1,0,75,331.715,226.135,143.7463,3.5342
spi,2,0,0,281.67,271.575,143.4965,8.7582
spi,2,0,1,285.335,269.2,57.7727,0.5438
spi,2,0,2,285.495,269.455,59.0311,0.0583
spi,2,0,3,285.765,269.29,143.3127,0.636
spi,2,0,4,286.15,269.27,52.5933,0.428
spi,2,0,5,288.76,267.645,144.1033,6.1229
spi,2,0,6,292.375,265.055,144.9905,2.7715
spi,2,0,7,293.46,264.19,54.4659,0.172
spi,2,0,8,296.49,261.845,143.5492,7.6582
spi,2,0,9,301.1,258.47,144.2854,3.7688
spi,2,0,10,302.27,256.895,52.842,1.192
spi,2,0,11,302.53,255.94,142.2532,1.5682
spi,2,0,12,305.275,253.89,143.5423,5.2841
spi,2,0,13,308.235,251.725,144.5274,2.0506
spi,2,0,14,309.655,250.715,144.6471,1.4345
spi,2,0,15,309.135,248.82,53.2542,3.694
spi,2,0,16,307.975,247.245,59.9282,0.2196
spi,2,0,17,307.88,247.045,69.148,0.2247
spi,2,0,18,307.8,246.835,69.1507,0.2247
spi,2,0,19,307.735,246.625,76.6022,0.2159
spi,2,0,20,307.685,246.41,77.1988,0.2256
spi,2,0,21,307.645,246.19,82.2352,0.222
spi,2,0,22,307.625,245.965,87.5078,0.2302
spi,2,0,23,307.625,245.74,92.6051,0.2202
spi,2,0,24,307.635,245.52,92.5972,0.2202
spi,2,0,25,307.66,245.3,100.3069,0.2236
spi,2,0,26,307.705,245.08,102.8012,0.2256
spi,2,0,27,307.76,244.865,105.9432,0.2184
spi,2,0,28,307.83,244.655,110.8593,0.2247
spi,2,0,29,307.915,244.45,114.2288,0.2193
spi,2,0,30,308.015,244.25,118.8128,0.2283
spi,2,0,31,308.13,244.06,123.6901,0.2163
spi,2,0,32,308.26,243.88,127.8683,0.228
spi,2,0,33,308.4,243.705,129.4782,0.2202
spi,2,0,34,308.55,243.54,135.0,0.2263
spi,2,0,35,308.715,243.39,140.5279,0.2202
spi,2,0,36,308.835,243.285,135.0,0.099
spi,2,0,37,310.85,241.775,143.3156,4.938
spi,2,0,38,313.14,240.725,53.893,1.0521
spi,2,0,39,314.015,240.775,146.4272,1.3562
spi,2,0,40,314.35,240.065,55.5288,0.8127
spi,2,0,41,314.66,239.37,146.3107,1.298
spi,2,0,42,317.13,237.585,143.56,4.7982
spi,2,0,43,318.935,235.975,55.9559,0.4466
spi,2,0,44,319.365,235.395,144.5605,1.3624
spi,2,0,45,319.98,235.09,56.3099,0.2163
spi,2,0,46,320.24,235.045,145.9834,0.4826
spi,2,0,47,320.575,234.82,146.3054,0.3245
spi,2,0,48,321.02,234.52,145.8864,0.7489
spi,2,0,49,321.195,234.13,53.1324,0.45
spi,2,0,50,323.875,231.885,143.7375,6.9824
spi,2,0,51,327.865,228.96,143.7983,2.9122
spi,2,0,52,327.88,226.515,53.8012,3.9282
spi,2,0,53,326.655,224.85,50.9057,0.2062
spi,2,0,54,326.53,224.695,51.3402,0.1921
spi,2,0,55,326.42,224.54,57.9936,0.1887
spi,2,0,56,326.335,224.39,63.43,0.1565
spi,2,0,57,326.265,224.245,64.9844,0.1656
spi,2,0,58,326.22,224.1,81.8734,0.1414
spi,2,0,59,324.215,224.095,178.1338,3.9921
spi,2,0,60,322.21,224.23,98.1388,0.1414
spi,2,0,61,322.155,224.44,107.8183,0.2941
spi,2,0,62,322.055,224.72,111.4452,0.3008
spi,2,0,63,321.935,224.99,116.5651,0.2907
spi,2,0,64,321.795,225.25,119.9797,0.3002
spi,2,0,65,321.635,225.505,124.2178,0.3023
spi,2,0,66,321.46,225.75,126.8699,0.3
spi,2,0,67,321.29,225.955,133.2678,0.2334
spi,2,0,68,315.315,230.375,143.6704,14.6347
spi,2,0,69,307.095,236.44,143.3476,5.796
spi,2,0,70,301.5,240.57,143.7233,8.1125
spi,2,0,71,292.055,247.575,143.2863,15.406
spi,2,0,72,283.76,253.75,143.4776,5.2761
spi,2,0,73,274.22,260.86,143.2539,18.52
spi,2,0,74,267.145,266.87,53.7197,1.1661
spi,2,0,75,270.99,272.14,53.9017,11.8811
spi,3,0,0,217.39,199.86,64.4324,11.8172
spi,3,0,1,214.23,194.81,155.3442,1.3424
spi,3,0,2,212.92,195.435,153.7631,1.5608
spi,3,0,3,214.79,201.08,64.131,11.7805
spi,4,0,0,295.255,331.375,48.4507,2.8194
spi,4,0,1,294.13,330.1,49.1847,0.5814
spi,4,0,2,292.665,330.97,139.4728,3.3548
spi,4,0,3,290.935,331.535,49.086,1.3895
spi,4,0,4,289.945,330.405,48.5134,1.6152
spi,4,0,5,290.66,328.745,139.8358,3.2714
spi,4,0,6,290.56,326.115,49.3988,4.1488
spi,4,0,7,287.95,325.565,140.8715,3.2485
spi,4,0,8,286.605,326.535,32.9069,0.2025
spi,4,0,9,286.44,326.42,36.8734,0.2
spi,4,0,10,286.28,326.29,41.1821,0.2126
spi,4,0,11,286.13,326.15,45.0,0.198
spi,4,0,12,285.995,326.0,50.9057,0.2062
spi,4,0,13,285.865,325.84,50.9057,0.2062
spi,4,0,14,285.745,325.675,57.0956,0.2025
spi,4,0,15,285.64,325.5,60.9429,0.2059
spi,4,0,16,285.55,325.315,67.17,0.2062
spi,4,0,17,285.47,325.125,67.1622,0.2062
spi,4,0,18,285.405,324.93,75.9679,0.2062
spi,4,0,19,285.355,324.735,75.2601,0.1965
spi,4,0,20,285.315,324.535,81.8617,0.2121
spi,4,0,21,285.29,324.33,84.2929,0.201
spi,4,0,22,285.28,324.125,90.0,0.21
spi,4,0,23,285.285,323.92,92.8655,0.2002
spi,4,0,24,285.3,323.72,95.7071,0.201
spi,4,0,25,285.33,323.52,101.3116,0.204
spi,4,0,26,285.38,323.32,106.7,0.2088
spi,4,0,27,285.44,323.125,107.5247,0.1993
spi,4,0,28,285.51,322.935,112.83,0.2062
spi,4,0,29,285.6,322.75,119.0571,0.2059
spi,4,0,30,285.7,322.57,119.053,0.2059
spi,4,0,31,285.815,322.39,125.8398,0.222
spi,4,0,32,286.525,321.675,135.9024,1.7963
spi,4,0,33,284.99,318.57,48.6833,6.6039
spi,4,0,34,282.695,315.955,49.5752,0.3547
spi,4,0,35,281.29,316.66,146.9296,3.0788
spi,4,0,36,279.96,317.53,143.1266,0.1
spi,4,0,37,279.88,317.58,153.4349,0.0895
spi,4,0,38,279.795,317.62,156.0483,0.0985
spi,4,0,39,279.705,317.66,156.0321,0.0985
spi,4,0,40,279.615,317.695,161.5651,0.0949
spi,4,0,41,279.525,317.72,167.4774,0.0922
spi,4,0,42,279.43,317.735,174.2842,0.1005
spi,4,0,43,279.335,317.745,173.6534,0.0906
spi,4,0,44,279.24,317.75,0.0,0.1
spi,4,0,45,279.145,317.75,0.0,0.09
spi,4,0,46,279.05,317.745,5.7158,0.1005
spi,4,0,47,278.955,317.73,12.5226,0.0922
spi,4,0,48,278.865,317.71,12.5412,0.0922
spi,4,0,49,278.775,317.685,18.4349,0.0949
spi,4,0,50,278.685,317.65,23.9517,0.0985
spi,4,0,51,278.595,317.61,23.9607,0.0985
spi,4,0,52,278.51,317.565,32.0191,0.0943
spi,4,0,53,278.43,317.51,36.8734,0.1
spi,4,0,54,278.355,317.45,40.5972,0.0922
spi,4,0,55,278.3,317.405,36.8629,0.05
spi,4,0,56,277.455,316.475,47.9608,2.464
spi,4,0,57,273.285,311.795,48.3806,10.0726
spi,4,0,58,263.465,313.755,138.5179,17.286
spi,4,0,59,258.565,321.27,48.6557,4.7686
spi,4,0,60,266.435,330.19,48.5591,19.0225
spi,4,0,61,275.325,340.205,48.0292,7.7607
spi,4,0,62,281.05,346.58,48.1128,9.3759
spi,4,0,63,284.98,349.365,138.6119,2.1326
spi,4,0,64,291.09,344.08,139.2215,14.0246
spi,4,0,65,296.465,339.18,101.4822,0.6531
spi,4,0,66,296.605,338.435,100.0077,0.8631
spi,4,0,67,295.51,336.755,47.0075,3.4316
spi,4,0,68,294.315,335.48,38.6726,0.064
spi,4,0,69,294.27,335.44,45.0,0.0566
spi,4,0,70,294.23,335.395,51.3274,0.064
spi,4,0,71,294.19,335.345,51.3487,0.064
spi,4,0,72,294.155,335.29,63.4466,0.0671
spi,4,0,73,294.125,335.235,59.0311,0.0583
spi,4,0,74,294.095,335.18,63.4349,0.0671
spi,4,0,75,294.07,335.12,71.5476,0.0632
spi,4,0,76,294.05,335.06,71.5738,0.0632
spi,4,0,77,294.035,335.0,80.5282,0.0608
spi,4,0,78,294.025,334.94,80.5282,0.0608
spi,4,0,79,294.015,334.88,80.5566,0.0608
spi,4,0,80,294.01,334.815,90.0,0.07
spi,4,0,81,294.015,334.75,99.4434,0.0608
spi,4,0,82,294.02,334.69,90.0,0.06
spi,4,0,83,294.03,334.63,108.4524,0.0632
spi,4,0,84,294.045,334.565,98.1126,0.0707
spi,4,0,85,294.06,334.505,111.8135,0.0539
spi,4,0,86,294.085,334.45,116.5651,0.0671
spi,4,0,87,294.115,334.39,116.5651,0.0671
spi,4,0,88,294.145,334.335,120.9689,0.0583
spi,4,0,89,294.18,334.285,128.6555,0.0641
spi,4,0,90,294.22,334.235,128.6513,0.064
spi,4,0,91,294.26,334.185,128.6726,0.064
spi,4,0,92,294.305,334.14,141.3445,0.0641
spi,4,0,93,294.355,334.1,141.3274,0.064
spi,5,0,0,296.87,356.88,47.4891,0.6512
spi,5,0,1,296.42,356.375,49.0449,0.7018
spi,5,0,2,295.72,356.505,139.9558,1.2279
spi,5,0,3,294.83,356.43,48.2157,1.2606
spi,5,0,4,294.365,355.995,142.121,0.114
spi,5,0,5,293.195,354.82,47.0848,3.3044
spi,5,0,6,292.1,353.58,134.9927,0.0849
spi,5,0,7,291.955,353.355,48.0935,0.524
spi,5,0,8,291.635,352.99,49.5366,0.4469
spi,5,0,9,291.35,352.94,139.3979,0.3688
spi,5,0,10,290.875,353.365,137.683,0.9061
spi,5,0,11,290.47,353.75,131.1882,0.2126
spi,5,0,12,289.59,354.53,139.1665,2.1411
spi,5,0,13,291.565,358.435,49.0108,8.4919
spi,5,0,14,295.835,360.355,139.1296,3.9276
spi,5,0,15,297.715,358.75,140.9874,1.0167
spi,6,0,0,254.395,298.28,54.2028,1.2822
spi,6,0,1,253.905,297.83,148.6682,0.2693
spi,6,0,2,253.065,296.91,53.784,2.4542
spi,6,0,3,252.235,295.915,2.7289,0.2102
spi,6,0,4,252.165,295.405,93.9643,1.0124
spi,6,0,5,252.315,294.91,4.9668,0.2309
spi,6,0,6,254.21,293.615,143.7533,4.4143
spi,6,0,7,256.095,292.225,141.0077,0.2702
spi,6,0,8,256.35,292.035,145.008,0.3662
spi,6,0,9,259.62,289.685,144.2631,7.6875
spi,6,0,10,266.92,284.26,142.7374,10.5043
spi,6,0,11,272.16,280.35,145.4457,2.5741
spi,6,0,12,273.8,279.215,145.0745,1.4148
spi,6,0,13,274.14,278.5,52.2523,0.7841
spi,6,0,14,274.085,278.055,143.8806,0.4581
spi,6,0,15,274.075,277.66,53.1285,0.65
spi,6,0,16,274.185,277.17,142.98,0.764
spi,6,0,17,270.99,272.14,53.9017,11.8811
spi,6,0,18,267.145,266.87,53.7209,1.166
spi,6,0,19,266.46,266.64,144.7844,0.8324
spi,6,0,20,262.265,269.75,143.3326,9.6121
spi,6,0,21,252.555,276.965,143.4208,14.5822
spi,6,0,22,243.57,283.645,143.277,7.81
spi,6,0,23,236.77,288.675,143.7089,9.1065
spi,6,0,24,232.995,293.515,92.8026,4.2951
spi,6,0,25,236.085,299.245,48.2922,9.6042
spi,6,0,26,241.9,305.83,48.8682,7.966
spi,6,0,27,246.12,310.615,48.1284,4.7943
spi,6,0,28,249.39,314.28,48.3853,5.0292
spi,6,0,29,255.615,312.115,138.3939,12.1836
spi,6,0,30,256.725,304.195,48.3618,10.3699
spi,6,0,31,253.755,299.765,130.5595,1.461
spi,7,0,0,315.03,393.62,3.9207,6.4351
spi,7,0,1,319.595,402.12,48.2789,23.3657
spi,7,0,2,327.545,407.635,93.1254,6.4196
spi,7,0,3,327.8,403.5,94.9167,1.8669
spi,7,0,4,324.04,398.28,48.168,11.5152
spi,8,0,0,125.59,182.325,92.5448,2.2522
