airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
ssc,0,0,0,39.802,157.5945,72.7666,4.4487
ssc,0,0,1,42.2005,161.106,38.5675,4.4496
ssc,0,0,2,48.575,169.279,55.666,16.4357
ssc,0,0,3,55.1595,167.751,103.1965,17.079
ssc,0,0,4,55.692,157.362,55.6713,5.0254
ssc,0,0,5,53.6165,153.2355,72.2041,4.3092
ssc,0,0,6,51.2865,149.8245,39.1228,4.3091
ssc,0,0,7,47.7605,145.75,55.6647,6.5758
ssc,0,0,8,40.7045,146.588,145.6641,12.5983
ssc,0,0,9,37.323,152.8055,55.6648,6.4535
ssc,1,0,0,102.141,220.861,54.5927,99.1983
ssc,1,0,1,127.124,276.462,103.8949,31.2649
ssc,1,0,2,130.2305,303.534,60.0297,27.4667
ssc,1,0,3,140.4565,314.3385,162.0157,7.0768
ssc,1,0,4,165.6985,343.8385,54.4317,75.2192
ssc,1,0,5,187.7045,375.6455,83.9136,2.4428
ssc,1,0,6,187.575,378.438,99.3208,3.1982
ssc,1,0,7,186.151,381.23,133.8202,3.3651
ssc,1,0,8,187.316,388.0285,67.3528,12.1021
ssc,1,0,9,183.6915,396.648,152.9921,13.3667
ssc,1,0,10,181.75,407.331,62.3135,17.2738
ssc,1,0,11,191.4585,412.0655,152.9082,12.7949
ssc,1,0,12,213.5935,439.016,61.1682,68.1796
ssc,1,0,13,238.706,464.51,153.2581,19.4235
ssc,1,0,14,249.968,460.14,0.0,5.178
ssc,1,0,15,254.4985,467.545,75.3085,15.3106
ssc,1,0,16,255.534,476.407,121.8748,3.4314
ssc,1,0,17,254.4985,478.471,102.0431,1.2413
ssc,1,0,18,254.4985,480.656,85.3084,3.1666
ssc,1,0,19,255.534,482.841,33.8208,2.1811
ssc,1,0,20,257.7345,483.8125,15.7261,2.6897
ssc,1,0,21,260.453,483.57,156.9135,3.096
ssc,1,0,22,262.524,481.87,120.6228,2.5403
ssc,1,0,23,263.171,479.563,90.0,2.428
ssc,1,0,24,261.359,476.6495,43.165,4.9685
ssc,1,0,25,258.2525,467.1805,80.5407,15.7532
ssc,1,0,26,264.9835,457.59,167.2159,16.459
ssc,1,0,27,275.7275,457.7115,35.5474,6.6824
ssc,1,0,28,286.6265,458.197,169.9011,16.6185
ssc,1,0,29,295.325,453.8265,100.0813,5.9184
ssc,1,0,30,297.3055,451.082,6.5918,2.9445
ssc,1,0,31,295.872,447.05,55.4192,10.2049
ssc,1,0,32,290.526,443.7245,160.3358,5.2035
ssc,1,0,33,288.076,445.5715,90.0,1.943
ssc,1,0,34,270.2125,450.0635,168.8512,36.4142
ssc,1,0,35,239.0165,430.6395,59.8401,53.0737
ssc,1,0,36,240.421,397.843,146.2364,35.4537
ssc,1,0,37,252.285,383.8235,55.4183,10.1237
ssc,1,0,38,248.033,380.9285,137.2999,3.7528
ssc,1,0,39,246.395,385.1145,95.0801,5.85
