airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
ssf,0,path,,UNLABELED,93.03,339.36,97.09,330.11,4.06,9.25,37.555,24.0063,20.3465,95.06,334.735,0.4389,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,81.1832,10.5066,81.0341,8.919,0.0,594.0,387.36,0.0,24.0063
ssf,1,path,,UNLABELED,126.17,331.93,139.46,321.04,13.29,10.89,144.7282,47.6924,34.2937,132.815,326.485,1.2204,14,1,0,1,rgb,207,207,207,0,none,,,,0.0,14.683,1.5158,164.7879,9.3372,0.0,594.0,387.36,0.0,91.4722
ssf,2,path,,UNLABELED,196.98,316.15,213.46,305.84,16.48,10.31,169.9087,50.7776,39.3837,205.22,310.995,1.5984,14,1,0,1,rgb,207,207,207,0,none,,,,0.0,17.4989,2.3481,165.5704,12.7213,0.0,594.0,387.36,0.0,96.9426
ssf,3,path,,UNLABELED,227.27,308.8,241.51,297.73,14.24,11.07,157.637,51.1821,34.9527,234.39,303.265,1.2864,20,1,0,1,rgb,207,207,207,0,none,,,,0.0,173.9112,1.981,161.8974,9.2688,0.0,594.0,387.36,0.0,98.7611
ssf,4,path,,UNLABELED,298.27,297.2,315.15,281.85,16.88,15.35,259.1082,74.2201,59.1729,306.71,289.525,1.0997,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,130.8278,2.2179,168.1113,13.2032,0.0,594.0,387.36,0.0,144.5292
ssf,5,path,,UNLABELED,331.52,233.39,341.75,217.15,10.23,16.24,166.1353,54.9704,41.654,336.635,225.27,0.6299,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,114.497,5.5322,124.5665,10.6986,0.0,594.0,387.36,0.0,77.4324
ssf,6,path,,UNLABELED,93.05,404.93,129.8,342.71,36.75,62.22,2286.585,309.6339,191.5994,111.425,373.82,0.5906,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,107.3842,1.3304,83.5439,58.9639,0.0,594.0,387.36,0.0,1249.3222
ssf,7,path,,UNLABELED,200.06,419.12,305.76,293.34,105.7,125.78,13294.9458,2867.955,444.5399,252.91,356.23,0.8404,69,1,0,1,rgb,207,207,207,0,none,,,,0.0,128.8307,20.3558,127.3825,48.0619,0.0,594.0,387.36,0.0,4080.6034
ssf,8,path,,UNLABELED,210.51,344.33,242.5,315.43,31.99,28.9,924.5115,119.6348,90.6199,226.505,329.88,1.1069,18,1,0,1,rgb,207,207,207,0,none,,,,0.0,39.7299,13.0307,41.2733,25.8924,0.0,594.0,387.36,0.0,312.131
ssf,9,path,,UNLABELED,254.93,314.27,255.9,312.84,0.97,1.43,1.3871,0.0429,3.4601,255.415,313.555,0.6783,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,123.9344,1107.9067,124.1501,1.7279,0.0,594.0,387.36,0.0,0.0429
