airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
szl,0,path,,UNLABELED,89.496,147.85,140.095,129.168,50.599,18.682,945.2908,575.1058,119.5328,114.7955,138.509,2.7084,13,1,0,1,rgb,230,230,230,0,none,,,,0.0,176.4411,5.5776,179.8876,25.9971,0.0,593.0,387.0,0.0,723.2521
szl,1,path,,UNLABELED,91.394,395.686,193.73,87.519,102.336,308.167,31536.5792,8560.4178,874.6321,142.562,241.6025,0.3321,32,1,0,1,rgb,230,230,230,0,none,,,,0.0,99.9378,19.035,86.5646,213.0759,0.0,593.0,387.0,0.0,21308.8197
szl,2,path,,UNLABELED,152.819,94.871,172.522,80.622,19.703,14.249,280.7479,170.7238,54.2062,162.6705,87.7465,1.3828,8,1,0,1,rgb,230,230,230,0,none,,,,0.0,148.1442,3.0532,163.9026,20.507,0.0,593.0,387.0,0.0,170.7238
szl,3,path,,UNLABELED,198.929,175.353,322.76,134.217,123.831,41.136,5093.9145,1374.8737,461.7915,260.8445,154.785,3.0103,18,1,0,1,rgb,230,230,230,0,none,,,,0.0,169.6671,25.0986,177.0772,106.2362,0.0,593.0,387.0,0.0,3708.9238
szl,4,path,,UNLABELED,188.802,407.822,198.648,391.635,9.846,16.187,159.3772,78.7726,43.3823,193.725,399.7285,0.6083,16,1,0,1,rgb,230,230,230,0,none,,,,0.0,78.0128,2.6251,79.0874,6.6452,0.0,593.0,387.0,0.0,100.9802
szl,5,path,,UNLABELED,135.946,368.874,153.997,206.821,18.051,162.053,2925.218,1354.2223,332.0537,144.9715,287.8475,0.1114,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,86.5645,374.1056,86.5643,161.8429,0.0,593.0,387.0,0.0,1354.2223
szl,6,compound,,UNLABELED,147.802,509.17,259.754,378.698,111.952,130.472,14606.6008,2318.7416,723.0936,203.778,443.934,0.8581,43,2,0,1,rgb,230,230,230,0,none,,,,0.0,47.53,5.9245,169.0998,89.8368,0.0,593.0,387.0,0.0,9269.8961
szl,7,path,,UNLABELED,360.63,328.986,360.667,120.664,0.037,208.322,7.7053,0.0,208.322,360.6485,224.825,0.0002,2,1,0,0,none,,,,1,rgb,0,0,0,0.36,90.0102,1000000.0,90.0102,208.322,0.0,593.0,387.0,0.0,0.0
szl,8,path,,UNLABELED,17.651,120.635,34.325,120.634,16.674,0.001,0.0168,0.0,16.674,25.988,120.6345,16556.7765,2,1,0,0,none,,,,1,rgb,0,0,0,0.36,0.0035,1000000.0,0.0035,16.674,0.0,593.0,387.0,0.0,0.0
szl,9,path,,UNLABELED,17.651,328.957,34.325,328.956,16.674,0.001,0.0168,0.0,16.674,25.988,328.9565,16556.7765,2,1,0,0,none,,,,1,rgb,0,0,0,0.36,0.0035,1000000.0,0.0035,16.674,0.0,593.0,387.0,0.0,0.0
szl,10,path,,UNLABELED,360.63,328.987,370.229,328.986,9.599,0.001,0.0097,0.0,9.599,365.4295,328.9865,9531.5152,2,1,0,0,none,,,,1,rgb,0,0,0,0.36,0.006,1000000.0,0.006,9.599,0.0,593.0,387.0,0.0,0.0
szl,11,path,,UNLABELED,360.667,120.665,370.229,120.664,9.562,0.001,0.0096,0.0,9.562,365.448,120.6645,9494.7879,2,1,0,0,none,,,,1,rgb,0,0,0,0.36,0.006,1000000.0,0.006,9.562,0.0,593.0,387.0,0.0,0.0
szl,12,path,,UNLABELED,360.667,120.664,360.681,43.348,0.014,77.316,1.083,0.0,77.316,360.674,82.006,0.0002,2,1,0,0,none,,,,1,rgb,0,0,0,0.36,90.0104,1000000.0,90.0104,77.316,0.0,593.0,387.0,0.0,0.0
szl,13,path,,UNLABELED,34.325,120.635,34.339,43.349,0.014,77.286,1.082,0.0,77.286,34.332,81.992,0.0002,2,1,0,0,none,,,,1,rgb,0,0,0,0.36,90.0104,1000000.0,90.0104,77.286,0.0,593.0,387.0,0.0,0.0
szl,14,path,,UNLABELED,360.592,537.308,360.629,328.986,0.037,208.322,7.7053,0.0,208.322,360.6105,433.147,0.0002,2,1,0,0,none,,,,1,rgb,0,0,0,0.36,90.0102,1000000.0,90.0102,208.322,0.0,593.0,387.0,0.0,0.0
szl,15,path,,UNLABELED,360.589,550.632,360.591,537.308,0.002,13.324,0.0268,0.0,13.324,360.59,543.97,0.0002,2,1,0,0,none,,,,1,rgb,0,0,0,0.36,90.0087,1000000.0,90.0087,13.324,0.0,593.0,387.0,0.0,0.0
szl,16,path,,UNLABELED,197.455,550.632,197.457,537.293,0.002,13.339,0.0267,0.0,13.339,197.456,543.9625,0.0001,2,1,0,0,none,,,,1,rgb,0,0,0,0.36,90.0086,1000000.0,90.0086,13.339,0.0,593.0,387.0,0.0,0.0
szl,17,path,,UNLABELED,197.457,537.308,360.628,537.293,163.171,0.015,2.4475,0.0,163.171,279.0425,537.3005,10878.5097,2,1,0,0,none,,,,1,rgb,0,0,0,0.36,0.0053,1000000.0,0.0053,163.171,0.0,593.0,387.0,0.0,0.0
