airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
teb,0,path,,UNLABELED,100.55,190.28,176.3,131.41,75.75,58.87,4459.4044,2503.7006,275.8603,138.425,160.845,1.2867,76,1,0,1,rgb,207,207,207,0,none,,,,0.0,20.7371,2.2115,170.3827,55.9057,0.0,594.0,387.36,0.0,3004.2433
teb,1,path,,UNLABELED,250.51,436.55,300.47,377.43,49.96,59.12,2953.6354,952.2291,152.491,275.49,406.99,0.8451,32,1,0,1,rgb,207,207,207,0,none,,,,0.0,41.2036,5.4007,42.0104,53.1478,0.0,594.0,387.36,0.0,1019.3668
teb,2,path,,UNLABELED,155.59,160.93,170.1,146.49,14.51,14.44,209.5244,109.3005,36.2618,162.845,153.71,1.0048,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,54.8594,3.2411,59.1612,14.1624,0.0,594.0,387.36,0.0,109.3005
teb,3,path,,UNLABELED,78.28,280.7,145.91,211.7,67.63,69.0,4666.4693,1946.6177,249.7518,112.095,246.2,0.9801,47,1,0,1,rgb,207,207,207,0,none,,,,0.0,151.0347,1.4519,41.9589,49.5814,0.0,594.0,387.36,0.0,2450.3226
teb,4,path,,UNLABELED,201.48,462.2,216.52,451.98,15.04,10.22,153.7087,80.9035,47.0895,209.0,457.09,1.4716,54,1,0,1,rgb,207,207,207,0,none,,,,0.0,8.5759,3.4808,178.0079,5.7535,0.0,594.0,387.36,0.0,125.3954
teb,5,path,,UNLABELED,230.17,479.05,281.09,464.23,50.92,14.82,754.6337,345.1478,110.098,255.63,471.64,3.4359,39,1,0,1,rgb,207,207,207,0,none,,,,0.0,9.9191,37.9353,10.5033,31.7622,0.0,594.0,387.36,0.0,380.8108
teb,6,path,,UNLABELED,182.24,138.29,191.02,113.04,8.78,25.25,221.6952,134.7981,65.1605,186.63,125.665,0.3477,46,1,0,1,rgb,207,207,207,0,none,,,,0.0,86.1727,18.1055,87.0275,17.9341,0.0,594.0,387.36,0.0,196.7085
teb,7,path,,UNLABELED,71.31,496.09,207.45,311.04,136.14,185.05,25192.7063,5065.1083,589.8072,139.38,403.565,0.7357,99,1,0,1,rgb,207,207,207,0,none,,,,0.0,52.0144,30.6585,42.3689,88.2622,0.0,594.0,387.36,0.0,7269.224
teb,8,path,,UNLABELED,96.72,465.47,205.04,322.75,108.32,142.72,15459.4299,685.9984,379.2767,150.88,394.11,0.759,47,1,0,1,rgb,207,207,207,0,none,,,,0.0,53.1009,25.3818,42.3689,88.2622,0.0,594.0,387.36,0.0,3148.1809
teb,9,path,,UNLABELED,219.16,234.85,240.75,216.83,21.59,18.02,389.0522,99.8205,54.2271,229.955,225.84,1.1981,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,141.109,20.732,142.1204,21.6774,0.0,594.0,387.36,0.0,100.9819
teb,10,path,,UNLABELED,228.55,402.24,252.19,380.88,23.64,21.36,504.9504,87.6281,63.7966,240.37,391.56,1.1067,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,39.5583,49.365,41.9326,15.5928,0.0,594.0,387.36,0.0,92.7203
