airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
tik,0,path,,UNLABELED,125.167,285.298,163.341,245.785,38.174,39.513,1508.3691,781.2908,94.5157,144.254,265.5415,0.9661,9,1,0,1,rgb,230,230,230,0,none,,,,0.0,61.8367,1.7053,48.9748,28.6034,0.0,593.0,387.0,0.0,781.7853
tik,1,path,,UNLABELED,125.492,252.799,135.282,244.424,9.79,8.375,81.9912,40.5043,24.5844,130.387,248.6115,1.169,16,1,0,1,rgb,230,230,230,0,none,,,,0.0,49.7232,2.0971,49.1255,4.433,0.0,593.0,387.0,0.0,43.6189
tik,2,path,,UNLABELED,241.539,109.289,253.826,103.916,12.287,5.373,66.0179,48.0636,30.9808,247.6825,106.6025,2.2868,17,1,0,1,rgb,230,230,230,0,none,,,,0.0,9.8365,4.5195,179.585,12.2873,0.0,593.0,387.0,0.0,50.72
tik,3,path,,UNLABELED,242.453,452.921,254.184,447.485,11.731,5.436,63.7698,45.6665,20.6167,248.3185,450.203,2.158,10,1,0,1,rgb,230,230,230,0,none,,,,0.0,174.3928,5.551,179.7326,5.7871,0.0,593.0,387.0,0.0,47.3686
tik,4,path,,UNLABELED,290.929,124.132,307.76,119.496,16.831,4.636,78.0288,76.8579,41.7336,299.3445,121.814,3.6305,5,1,0,1,rgb,230,230,230,0,none,,,,0.0,2.3073,13.3129,179.9149,16.831,0.0,593.0,387.0,0.0,76.8579
tik,5,path,,UNLABELED,222.062,313.427,229.348,304.236,7.286,9.191,66.9657,66.3713,23.6905,225.705,308.8315,0.7927,7,1,0,1,rgb,230,230,230,0,none,,,,0.0,65.5452,1.5298,0.174,7.247,0.0,593.0,387.0,0.0,66.5643
tik,6,path,,UNLABELED,204.794,313.355,212.051,304.268,7.257,9.087,65.9444,65.4224,29.0483,208.4225,308.8115,0.7986,6,1,0,1,rgb,230,230,230,0,none,,,,0.0,90.2599,1.2694,90.2727,9.0331,0.0,593.0,387.0,0.0,65.4326
tik,7,path,,UNLABELED,204.502,334.747,209.049,330.994,4.547,3.753,17.0648,14.3791,12.525,206.7755,332.8705,1.2116,10,1,0,1,rgb,230,230,230,0,none,,,,0.0,172.5372,1.2485,42.3022,2.2985,0.0,593.0,387.0,0.0,14.4382
tik,8,path,,UNLABELED,213.541,332.111,219.572,324.909,6.031,7.202,43.4353,43.0502,19.1958,216.5565,328.51,0.8374,6,1,0,1,rgb,230,230,230,0,none,,,,0.0,93.4174,1.5598,90.168,7.161,0.0,593.0,387.0,0.0,43.1688
tik,9,path,,UNLABELED,108.811,292.827,118.942,284.378,10.131,8.449,85.5968,35.0025,22.2916,113.8765,288.6025,1.1991,9,1,0,1,rgb,230,230,230,0,none,,,,0.0,111.1057,4.1146,98.9881,7.5274,0.0,593.0,387.0,0.0,35.0025
