airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
tik,0,0,0,153.9535,256.5745,48.9748,28.6034
tik,0,0,1,141.533,248.471,138.4722,8.1028
tik,0,0,2,135.673,253.582,139.3769,7.4492
tik,0,0,3,129.748,258.7075,138.9216,8.2196
tik,0,0,4,125.9085,263.376,110.6452,4.2061
tik,0,0,5,132.61,273.9265,49.0672,22.7207
tik,0,0,6,141.368,283.9035,46.6808,3.8335
tik,0,0,7,146.985,281.5735,139.1153,11.3805
tik,1,0,0,134.7865,250.304,137.5029,1.3441
tik,1,0,1,134.796,249.2935,48.869,1.4777
tik,1,0,2,133.361,247.653,48.7992,2.8814
tik,1,0,3,131.7665,245.8565,47.8249,1.9229
tik,1,0,4,131.0065,245.01,49.4837,0.3525
tik,1,0,5,130.698,244.65,49.3586,0.5957
tik,1,0,6,130.3115,244.698,125.0896,0.6697
tik,1,0,7,129.586,245.4915,135.7351,1.4886
tik,1,0,8,128.535,245.4015,49.6395,1.5998
tik,1,0,9,127.869,244.946,133.8603,0.4272
tik,1,0,10,126.6065,246.032,140.0962,2.9057
tik,1,0,11,126.9425,248.64,49.1255,4.433
tik,1,0,12,128.7435,250.458,22.0547,0.7563
tik,1,0,13,129.633,250.7175,12.2971,1.1033
tik,1,0,14,131.044,251.817,48.3952,2.6266
tik,2,0,0,249.9075,103.924,5.8159,0.1578
tik,2,0,1,247.007,103.947,179.3708,5.6443
tik,2,0,2,244.061,103.9975,171.0627,0.251
tik,2,0,3,243.808,104.089,150.8313,0.2955
tik,2,0,4,243.515,104.2665,147.2463,0.39
tik,2,0,5,243.2165,104.4965,137.2132,0.3666
tik,2,0,6,242.993,104.718,132.5361,0.2633
tik,2,0,7,242.7905,104.9945,122.3056,0.4248
tik,2,0,8,242.465,106.7685,97.5734,3.2171
tik,2,0,9,242.0835,108.616,123.8202,0.6091
tik,2,0,10,241.7265,109.079,131.7615,0.563
tik,2,0,11,247.6825,109.2445,179.585,12.2873
tik,2,0,12,253.542,109.076,23.5887,0.6198
tik,2,0,13,253.101,108.825,38.9688,0.4039
tik,2,0,14,252.7795,108.5385,44.1164,0.4583
tik,2,0,15,251.354,106.2035,59.9017,5.0291
tik,3,0,0,243.9645,447.4915,0.3155,2.361
tik,3,0,1,242.7825,448.0835,90.1432,1.197
tik,3,0,2,243.687,450.8015,66.8553,4.61
tik,3,0,3,247.4865,452.9075,179.7326,5.7871
tik,3,0,4,251.615,450.7605,120.0649,4.9303
tik,3,0,5,253.0025,448.4305,127.8133,0.4975
tik,3,0,6,253.3115,448.096,138.5963,0.4173
tik,3,0,7,253.616,447.856,145.425,0.3595
tik,3,0,8,253.974,447.664,156.8022,0.4569
tik,4,0,0,307.7345,121.766,90.6435,4.5403
tik,4,0,1,299.3445,119.5085,179.9149,16.831
tik,4,0,2,290.937,121.8265,89.8013,4.6111
tik,4,0,3,298.8205,124.087,179.6726,15.7513
tik,5,0,0,225.6855,304.247,0.174,7.247
tik,5,0,1,222.0855,305.7005,89.0807,2.9294
tik,5,0,2,222.098,308.8165,90.3817,3.3031
tik,5,0,3,222.084,311.94,90.1167,2.944
tik,5,0,4,225.132,313.4145,0.047,6.102
tik,5,0,5,228.7655,313.422,0.4923,1.1651
tik,6,0,0,212.023,305.685,89.7575,2.834
tik,6,0,1,208.427,304.2935,179.5928,7.1802
