airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
tix,0,path,,UNLABELED,310.3,329.88,321.47,321.67,11.17,8.21,91.7057,89.8058,27.3122,315.885,325.775,1.3605,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,179.8641,1.8457,0.4149,11.0503,0.0,594.0,387.36,0.0,89.8058
tix,1,path,,UNLABELED,274.61,522.37,282.98,511.5,8.37,10.87,90.9822,88.1304,27.1533,278.795,516.935,0.77,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,90.9527,1.7171,90.9061,10.7513,0.0,594.0,387.36,0.0,88.1304
tix,2,path,,UNLABELED,280.9,111.8,289.35,100.76,8.45,11.04,93.2882,90.3975,27.4732,285.125,106.28,0.7654,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,90.9296,1.7378,90.8928,10.9113,0.0,594.0,387.36,0.0,90.3975
tix,3,compound,,UNLABELED,286.2,323.0,355.69,111.8,69.49,211.2,14676.2911,2845.8615,1436.5427,320.945,217.4,0.329,613,4,0,1,rgb,207,207,207,0,none,,,,0.0,103.9949,7.5149,90.77,81.8474,0.0,594.0,387.36,0.0,9936.6468
tix,4,compound,,UNLABELED,284.03,443.8,325.74,328.39,41.71,115.41,4813.7503,615.6359,405.455,304.885,386.095,0.3614,117,2,0,1,rgb,207,207,207,0,none,,,,0.0,98.1757,7.0473,90.8345,61.7966,0.0,594.0,387.36,0.0,3013.3972
tix,5,path,,UNLABELED,282.81,511.5,286.17,497.53,3.36,13.97,46.939,26.8051,15.8819,284.49,504.515,0.2405,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,88.248,14.03,76.3135,1.9864,0.0,594.0,387.36,0.0,28.282
tix,6,path,,UNLABELED,155.61,294.89,163.61,289.74,8.0,5.15,41.2,22.6896,17.4243,159.61,292.315,1.5534,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,179.3257,2.6378,1.432,8.0025,0.0,594.0,387.36,0.0,23.2269
tix,7,path,,UNLABELED,220.79,252.88,249.53,222.45,28.74,30.43,874.5582,412.8145,110.1509,235.16,237.665,0.9445,26,1,0,1,rgb,207,207,207,0,none,,,,0.0,28.7825,1.2531,135.561,23.1094,0.0,594.0,387.36,0.0,507.1759
tix,8,path,,UNLABELED,237.1,235.89,257.67,204.4,20.57,31.49,647.7493,81.9348,106.4759,247.385,220.145,0.6532,26,1,0,1,rgb,207,207,207,0,none,,,,0.0,59.6684,2.3082,135.9554,23.748,0.0,594.0,387.36,0.0,395.7477
tix,9,path,,UNLABELED,231.99,216.36,235.49,213.63,3.5,2.73,9.555,5.7105,9.4056,233.74,214.995,1.282,14,1,0,1,rgb,207,207,207,0,none,,,,0.0,159.7858,1.4272,136.4251,2.8434,0.0,594.0,387.36,0.0,5.7105
tix,10,path,,UNLABELED,228.57,219.74,231.26,216.81,2.69,2.93,7.8817,4.5375,8.467,229.915,218.275,0.9181,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,114.6704,3.0908,136.2307,2.9635,0.0,594.0,387.36,0.0,4.5375
tix,11,path,,UNLABELED,246.03,200.4,256.14,190.51,10.11,9.89,99.9879,29.4332,28.2886,251.085,195.455,1.0222,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,133.8155,21.6538,136.0467,11.6126,0.0,594.0,387.36,0.0,29.4332
tix,12,compound,,UNLABELED,37.37,320.93,279.99,138.54,242.62,182.39,44251.4543,4309.9907,2024.5952,158.68,229.735,1.3302,348,2,0,1,rgb,207,207,207,0,none,,,,0.0,152.0751,1.744,0.8644,135.2254,0.0,594.0,387.36,0.0,31828.702
tix,13,path,,UNLABELED,65.1,66.41,268.01,66.41,202.91,0.0,0.0,0.0,202.91,166.555,66.41,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.42,0.0,1000000.0,0.0,202.91,0.0,594.0,387.36,0.0,0.0
tix,14,path,,UNLABELED,33.0,80.91,36.92,75.68,3.92,5.23,20.5018,5.9236,21.6092,34.96,78.295,0.7495,75,1,0,1,rgb,0,0,0,0,none,,,,0.0,87.3251,2.3145,90.0,0.74,0.0,594.0,387.36,0.0,17.2609
tix,15,compound,,UNLABELED,37.09,80.98,41.85,75.78,4.76,5.2,24.752,6.9198,24.0424,39.47,78.38,0.9154,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.3963,1.2337,114.5932,5.7188,0.0,594.0,387.36,0.0,12.376
tix,16,path,,UNLABELED,42.19,80.73,45.85,75.68,3.66,5.05,18.483,7.0247,23.8411,44.02,78.205,0.7248,51,1,0,1,rgb,0,0,0,0,none,,,,0.0,105.3123,1.3787,90.0,3.13,0.0,594.0,387.36,0.0,17.0878
tix,17,path,,UNLABELED,46.25,80.73,49.25,75.78,3.0,4.95,14.85,4.466,15.9,47.75,78.255,0.6061,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.3251,3.4473,90.0,4.4,0.0,594.0,387.36,0.0,9.658
tix,18,path,,UNLABELED,49.7,80.73,50.35,75.78,0.65,4.95,3.2175,3.2175,11.2,50.025,78.255,0.1313,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,88.7249,59.7092,90.0,4.95,0.0,594.0,387.36,0.0,3.2175
tix,19,compound,,UNLABELED,50.87,80.91,56.09,75.6801,5.22,5.23,27.3005,8.6944,29.1369,53.48,78.295,0.9981,114,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.1449,1.0746,61.507,0.3983,0.0,594.0,387.36,0.0,21.4844
tix,20,path,,UNLABELED,56.7,80.96,61.01,75.57,4.31,5.39,23.231,8.6548,29.6734,58.855,78.265,0.7996,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.6575,1.7611,132.968,5.3845,0.0,594.0,387.36,0.0,22.2828
tix,21,path,,UNLABELED,61.98,76.42,62.71,75.68,0.73,0.74,0.5402,0.4123,2.2918,62.345,76.05,0.9865,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.4333,1.1345,168.6794,0.153,0.0,594.0,387.36,0.0,0.4123
tix,22,path,,UNLABELED,61.98,79.08,62.71,78.34,0.73,0.74,0.5402,0.4123,2.2918,62.345,78.71,0.9865,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.4333,1.1345,168.6794,0.153,0.0,594.0,387.36,0.0,0.4123
tix,23,compound,,UNLABELED,65.7,80.73,68.54,75.78,2.84,4.95,14.058,7.621,25.4765,67.12,78.255,0.5737,77,3,0,1,rgb,0,0,0,0,none,,,,0.0,96.1535,4.6772,90.0,4.95,0.0,594.0,387.36,0.0,12.1484
tix,24,path,,UNLABELED,69.23,80.73,71.93,75.78,2.7,4.95,13.365,6.534,23.42,70.58,78.255,0.5455,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,82.4319,2.6498,90.0,4.95,0.0,594.0,387.36,0.0,13.365
tix,25,compound,,UNLABELED,74.03,80.98,78.8,75.78,4.77,5.2,24.804,6.9522,24.0506,76.415,78.38,0.9173,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.5864,1.2327,114.6842,5.723,0.0,594.0,387.36,0.0,12.402
tix,26,path,,UNLABELED,79.22,80.73,81.37,75.78,2.15,4.95,10.6425,3.9835,14.2,80.295,78.255,0.4343,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,100.4991,10.3276,90.0,4.95,0.0,594.0,387.36,0.0,7.313
tix,27,path,,UNLABELED,81.76,80.73,84.46,75.78,2.7,4.95,13.365,6.534,23.42,83.11,78.255,0.5455,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,82.4319,2.6498,90.0,4.95,0.0,594.0,387.36,0.0,13.365
tix,28,compound,,UNLABELED,85.2,80.73,88.33,75.78,3.13,4.95,15.4935,7.4609,25.2884,86.765,78.255,0.6323,45,2,0,1,rgb,0,0,0,0,none,,,,0.0,92.1144,3.0571,90.0,4.95,0.0,594.0,387.36,0.0,13.8398
tix,29,path,,UNLABELED,88.34,80.73,91.34,75.78,3.0,4.95,14.85,4.466,15.9,89.84,78.255,0.6061,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.3251,3.4473,90.0,4.4,0.0,594.0,387.36,0.0,9.658
tix,30,path,,UNLABELED,93.25,80.73,96.26,75.78,3.01,4.95,14.8995,4.4715,15.92,94.755,78.255,0.6081,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.3791,3.4249,90.0,4.4,0.0,594.0,387.36,0.0,9.6855
tix,31,compound,,UNLABELED,96.35,80.91,101.57,75.6801,5.22,5.23,27.3005,8.6908,29.1385,98.96,78.295,0.9981,114,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0983,1.0745,118.4934,0.3983,0.0,594.0,387.36,0.0,21.4839
tix,32,compound,,UNLABELED,104.09,80.73,107.21,75.78,3.12,4.95,15.4441,7.4584,25.2533,105.65,78.255,0.6303,45,2,0,1,rgb,0,0,0,0,none,,,,0.0,92.1372,3.0652,90.0,4.95,0.0,594.0,387.36,0.0,13.8163
tix,33,path,,UNLABELED,107.58,80.73,111.25,75.68,3.67,5.05,18.5334,7.0549,23.8496,109.415,78.205,0.7267,51,1,0,1,rgb,0,0,0,0,none,,,,0.0,105.3608,1.3785,90.0,3.13,0.0,594.0,387.36,0.0,17.117
