airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
tki,0,0,0,229.96,509.71,177.8977,15.8106
tki,0,0,1,238.7,509.225,166.9306,1.7247
tki,0,0,2,240.305,508.49,144.7823,1.8728
tki,0,0,3,241.555,507.15,121.2264,1.8711
tki,0,0,4,242.17,505.495,98.6457,1.7297
tki,0,0,5,242.385,506.945,87.8881,4.6131
tki,0,0,6,242.55,511.485,87.95,4.4729
tki,0,0,7,232.43,514.1,177.8664,20.4142
tki,0,0,8,221.39,514.67,167.2547,1.7224
tki,0,0,9,219.785,515.405,144.5333,1.8786
tki,0,0,10,218.535,516.75,121.2263,1.8711
tki,0,0,11,217.945,517.985,103.5709,0.895
tki,0,0,12,217.815,518.84,93.4066,0.8415
tki,0,0,13,217.705,516.955,87.8881,4.6131
tki,0,0,14,217.535,512.41,87.8269,4.4832
tki,0,0,15,217.365,507.865,87.8881,4.6131
tki,0,0,16,217.28,505.575,90.0,0.03
tki,0,0,17,217.28,505.605,90.0,0.03
tki,0,0,18,217.285,505.645,78.6951,0.051
tki,0,0,19,217.29,505.72,90.0,0.1
tki,0,0,20,217.3,505.875,84.5587,0.211
tki,0,0,21,217.35,506.19,79.2154,0.4275
tki,0,0,22,217.53,506.825,71.7676,0.8949
tki,0,0,23,218.21,508.01,54.6051,1.8646
tki,0,0,24,219.55,509.255,31.2265,1.8711
tki,0,0,25,221.205,509.87,8.6455,1.7297
tki,1,0,0,225.25,382.91,177.903,15.8506
tki,1,0,1,234.025,382.75,8.6452,1.7297
tki,1,0,2,235.68,383.36,30.9641,1.8659
tki,1,0,3,237.025,384.605,54.5329,1.8786
tki,1,0,4,237.76,386.21,77.2551,1.7224
tki,1,0,5,237.865,384.75,87.8835,4.6031
tki,1,0,6,237.7,380.2,87.9636,4.5028
tki,1,0,7,237.53,375.645,87.7641,4.6135
tki,1,0,8,237.445,373.35,63.4524,0.0224
tki,1,0,9,237.45,373.365,90.0,0.01
tki,1,0,10,237.45,373.385,90.0,0.03
tki,1,0,11,237.45,373.425,90.0,0.05
tki,1,0,12,237.45,373.5,90.0,0.1
tki,1,0,13,237.445,373.655,92.7249,0.2102
tki,1,0,14,237.42,373.975,95.3156,0.4319
tki,1,0,15,237.29,374.62,104.3484,0.8877
tki,1,0,16,236.7,375.85,120.9641,1.8659
tki,1,0,17,235.455,377.195,144.5333,1.8786
tki,1,0,18,233.85,377.93,167.2545,1.7224
tki,1,0,19,225.085,378.415,177.8682,15.861
tki,1,0,20,216.305,378.58,8.6452,1.7297
tki,1,0,21,214.65,377.965,31.2265,1.8711
tki,1,0,22,213.31,376.72,54.6052,1.8646
tki,1,0,23,212.63,375.535,71.7674,0.8949
tki,1,0,24,212.45,374.9,79.2154,0.4275
tki,1,0,25,212.4,374.585,84.5587,0.211
tki,1,0,26,212.39,374.425,90.0,0.11
tki,1,0,27,212.385,374.345,78.6968,0.051
tki,1,0,28,212.38,374.315,90.0,0.01
tki,1,0,29,212.38,374.305,90.0,0.01
tki,1,0,30,212.38,374.29,90.0,0.02
tki,1,0,31,212.38,374.275,90.0,0.01
tki,1,0,32,212.465,376.575,87.8881,4.6131
tki,1,0,33,212.635,381.125,87.8317,4.4932
tki,1,0,34,212.805,385.675,87.8881,4.6131
tki,1,0,35,212.915,387.56,93.4067,0.8415
tki,1,0,36,213.045,386.705,103.5709,0.895
tki,1,0,37,213.635,385.47,121.2259,1.8711
tki,1,0,38,214.885,384.13,144.7826,1.8728
tki,1,0,39,216.49,383.395,166.9306,1.7247
tki,2,0,0,222.34,304.535,177.8722,15.891
tki,2,0,1,231.13,304.37,8.6958,1.7198
tki,2,0,2,232.78,304.985,31.2265,1.8711
tki,2,0,3,234.125,306.23,54.355,1.8704
tki,2,0,4,234.81,307.415,71.7677,0.8949
tki,2,0,5,234.985,308.055,80.7548,0.4357
tki,2,0,6,235.03,308.37,84.2885,0.201
tki,2,0,7,235.045,308.575,87.2751,0.2102
tki,2,0,8,234.965,306.375,87.8881,4.6131
tki,2,0,9,234.8,301.83,87.9547,4.4828
tki,2,0,10,234.635,297.285,87.8879,4.6131
tki,2,0,11,234.42,295.835,98.6453,1.7296
tki,2,0,12,233.805,297.49,121.2263,1.8711
tki,2,0,13,232.555,298.83,144.782,1.8728
tki,2,0,14,230.95,299.565,166.9311,1.7247
tki,2,0,15,222.17,300.05,177.9082,15.8906
tki,2,0,16,213.38,300.21,8.6958,1.7198
tki,2,0,17,211.73,299.595,31.2263,1.8711
tki,2,0,18,210.385,298.35,54.3554,1.8704
tki,2,0,19,209.65,296.75,77.2547,1.7225
tki,2,0,20,209.545,298.21,87.8835,4.6031
tki,2,0,21,209.71,302.755,87.9591,4.4929
tki,2,0,22,209.88,307.305,87.7639,4.6135
tki,2,0,23,210.1,308.755,98.6453,1.7296
tki,2,0,24,210.715,307.1,121.2263,1.8711
tki,2,0,25,211.96,305.755,144.3557,1.8704
tki,2,0,26,213.56,305.02,167.2545,1.7224
tki,3,0,0,215.505,227.67,177.839,7.9557
tki,3,0,1,223.455,227.375,177.9108,7.9553
tki,3,0,2,228.285,227.36,8.6457,1.7297
tki,3,0,3,229.94,227.975,31.2265,1.8711
tki,3,0,4,231.28,229.22,54.6046,1.8646
tki,3,0,5,232.015,230.825,77.0059,1.7344
tki,3,0,6,232.125,229.365,87.8881,4.6131
tki,3,0,7,231.955,224.81,87.8365,4.5032
tki,3,0,8,231.785,220.26,87.8835,4.6031
tki,3,0,9,231.57,218.81,98.6954,1.7197
tki,3,0,10,230.955,220.46,121.2263,1.8711
tki,3,0,11,229.71,221.805,144.3557,1.8704
tki,3,0,12,228.105,222.54,167.3275,1.7322
tki,3,0,13,219.31,223.025,177.8749,15.9109
tki,3,0,14,210.505,223.19,8.6457,1.7297
tki,3,0,15,208.85,222.575,31.2265,1.8711
tki,3,0,16,207.51,221.33,54.605,1.8646
tki,3,0,17,206.775,219.73,76.9306,1.7247
tki,3,0,18,206.665,221.19,87.8835,4.6031
tki,3,0,19,206.835,225.74,87.8365,4.5032
tki,3,0,20,207.005,230.295,87.8881,4.6131
tki,3,0,21,207.115,232.175,93.3666,0.8515
tki,3,0,22,207.245,231.32,103.7229,0.8853
tki,3,0,23,207.835,230.09,121.2259,1.8711
tki,3,0,24,209.085,228.745,144.5336,1.8786
tki,3,0,25,210.69,228.01,167.2545,1.7224
tki,4,0,0,138.58,352.23,177.9022,10.9273
tki,4,0,1,144.68,351.88,166.8092,1.3147
tki,4,0,2,145.905,351.315,144.6479,1.4345
tki,4,0,3,146.86,350.29,121.2394,1.4269
tki,4,0,4,147.33,349.025,98.6803,1.3252
tki,4,0,5,147.405,347.7,87.863,1.3409
tki,4,0,6,146.675,347.055,177.9696,1.4109
tki,4,0,7,145.995,347.745,87.8476,1.3309
tki,4,0,8,145.96,348.81,98.5304,0.809
tki,4,0,9,145.67,349.585,121.5217,0.8798
tki,4,0,10,145.085,350.215,144.3105,0.8742
tki,4,0,11,144.335,350.56,167.1637,0.8102
tki,4,0,12,138.505,350.85,177.8926,10.8774
tki,4,0,13,133.095,351.74,87.9249,1.3809
tki,5,0,0,112.425,366.85,87.8878,21.4346
tki,5,0,1,109.89,377.67,177.85,5.8641
tki,5,0,2,106.015,352.185,87.8855,51.2249
tki,5,0,3,108.0,326.48,177.85,5.8641
tki,5,0,4,111.395,339.0,87.8915,25.2771
tki,5,0,5,112.915,351.59,177.8286,2.1115
tki,5,0,6,114.055,353.805,87.8413,4.5132
tki,5,0,7,113.085,356.1,177.8286,2.1115
tki,6,0,0,199.69,115.465,177.2269,6.4075
tki,6,0,1,210.71,323.845,87.8524,417.3632
tki,6,0,2,215.195,532.475,178.3683,6.6727
tki,7,0,0,137.35,375.59,178.6401,6.7419
tki,7,0,1,140.72,369.495,90.0,12.03
tki,7,0,2,139.06,363.41,2.4146,3.323
tki,7,0,3,137.8,359.515,95.97,7.6917
tki,7,0,4,135.73,355.965,173.647,4.9705
tki,8,0,0,169.62,112.655,90.0,6.07
tki,8,0,1,158.335,115.8,179.4415,22.5711
tki,8,0,2,146.98,111.4,89.1109,9.0211
tki,8,0,3,160.29,106.415,177.9668,26.7769
tki,8,0,4,173.735,105.93,171.2447,0.1315
tki,8,0,5,173.62,105.99,158.7467,0.3863
tki,8,0,6,173.01,106.2,161.9658,0.9044
tki,8,0,7,172.165,106.53,155.4,0.9129
tki,8,0,8,171.45,106.895,149.7434,0.6946
tki,8,0,9,170.905,107.265,141.4845,0.6263
tki,8,0,10,170.465,107.66,134.2752,0.5587
tki,8,0,11,170.125,108.08,123.3878,0.527
tki,8,0,12,169.91,108.44,116.5651,0.313
tki,8,0,13,169.76,108.83,107.7451,0.525
tki,8,0,14,169.65,109.35,96.3398,0.5433
tki,9,0,0,188.87,242.18,72.5,11.2402
tki,9,0,1,191.01,254.61,86.3581,14.1686
tki,9,0,2,191.97,268.75,85.8741,14.1768
tki,9,0,3,192.755,278.535,84.2162,5.4578
tki,9,0,4,193.135,283.98,87.7975,5.4641
tki,9,0,5,193.265,289.55,89.4956,5.6802
tki,9,0,6,193.035,295.57,94.5846,6.3804
tki,9,0,7,192.63,301.93,92.7007,6.3671
tki,9,0,8,192.465,307.66,90.337,5.1001
tki,9,0,9,191.545,316.21,98.5774,12.1357
tki,9,0,10,191.475,344.78,87.8813,45.1709
tki,9,0,11,192.935,372.065,82.4491,9.5125
tki,9,0,12,193.735,377.325,72.1985,1.1448
tki,9,0,13,194.295,378.35,51.2671,1.2306
tki,9,0,14,195.22,379.13,29.0548,1.2355
tki,9,0,15,196.325,379.51,8.0593,1.1413
tki,9,0,16,200.16,379.47,177.8983,6.5444
tki,9,0,17,203.96,379.225,166.7293,1.0891
tki,9,0,18,204.965,378.765,144.8061,1.1625
