airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
tme,0,compound,,UNLABELED,105.89,502.77,254.0,94.47,148.11,408.3,60473.3137,4269.9846,1939.3581,179.945,298.62,0.3627,579,2,0,1,rgb,207,207,207,0,none,,,,0.0,82.2455,2.3804,90.768,249.9325,0.0,594.0,387.36,0.0,38218.5677
tme,1,path,,UNLABELED,249.92,131.37,250.01,123.8,0.09,7.57,0.6813,0.0,7.5705,249.965,127.585,0.0119,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.6811,1000000.0,90.6811,7.5705,0.0,594.0,387.36,0.0,0.0
tme,2,path,,UNLABELED,249.27,134.61,250.57,131.22,1.3,3.39,4.407,2.1062,4.7747,249.92,132.915,0.3835,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.9038,9.9005,79.963,3.4427,0.0,594.0,387.36,0.0,2.2005
tme,3,path,,UNLABELED,243.9,476.74,243.98,471.16,0.08,5.58,0.4464,0.0,5.5806,243.94,473.95,0.0143,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.8214,1000000.0,90.8214,5.5806,0.0,594.0,387.36,0.0,0.0
tme,4,path,,UNLABELED,243.33,471.31,244.62,467.92,1.29,3.39,4.3731,2.09,4.7649,243.975,469.615,0.3805,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.7794,10.0535,79.963,3.4427,0.0,594.0,387.36,0.0,2.1836
tme,5,path,,UNLABELED,99.65,261.79,104.63,256.1,4.98,5.69,28.3362,0.0,7.5615,102.14,258.945,0.8752,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,48.8069,1000000.0,48.8069,7.5615,0.0,594.0,387.36,0.0,0.0
tme,6,path,,UNLABELED,99.65,256.1,106.63,253.19,6.98,2.91,20.3118,0.0,7.5623,103.14,254.645,2.3986,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,157.3685,1000000.0,157.3685,7.5623,0.0,594.0,387.36,0.0,0.0
tme,7,path,,UNLABELED,104.05,264.23,106.77,261.25,2.72,2.98,8.1056,2.1158,4.783,105.41,262.74,0.9127,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,48.8149,9.8598,37.9332,3.4486,0.0,594.0,387.36,0.0,2.2084
tme,8,path,,UNLABELED,106.25,253.84,109.62,251.94,3.37,1.9,6.403,2.1065,4.7714,107.935,252.89,1.7737,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,157.3584,9.8789,146.4947,3.4419,0.0,594.0,387.36,0.0,2.197
tme,9,path,,UNLABELED,139.5,183.33,141.9,176.23,2.4,7.1,17.04,0.0,7.4947,140.7,179.78,0.338,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,108.6766,1000000.0,108.6766,7.4947,0.0,594.0,387.36,0.0,0.0
tme,10,path,,UNLABELED,138.46,186.4,140.16,182.99,1.7,3.41,5.797,2.1012,4.7696,139.31,184.695,0.4985,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,108.7363,9.9484,97.8476,3.4422,0.0,594.0,387.36,0.0,2.1935
tme,11,path,,UNLABELED,163.0,276.29,168.32,270.43,5.32,5.86,31.1752,0.0,7.9147,165.66,273.36,0.9079,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,132.2348,1000000.0,132.2348,7.9147,0.0,594.0,387.36,0.0,0.0
tme,12,path,,UNLABELED,163.45,270.43,168.32,266.05,4.87,4.38,21.3306,0.0,6.5499,165.885,268.24,1.1119,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,41.9678,1000000.0,41.9678,6.5499,0.0,594.0,387.36,0.0,0.0
tme,13,path,,UNLABELED,161.51,277.92,164.27,274.98,2.76,2.94,8.1144,2.1003,4.7749,162.89,276.45,0.9388,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,132.3031,9.9796,121.4769,3.4473,0.0,594.0,387.36,0.0,2.1942
tme,14,path,,UNLABELED,161.51,267.05,164.46,264.3,2.95,2.75,8.1125,2.1007,4.7782,162.985,265.675,1.0727,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,42.0344,9.9838,31.2487,3.4506,0.0,594.0,387.36,0.0,2.1946
tme,15,path,,UNLABELED,136.2,521.45,136.2,451.55,0.0,69.9,0.0,0.0,69.9,136.2,486.5,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,69.9,0.0,594.0,387.36,0.0,0.0
tme,16,path,,UNLABELED,136.2,517.05,156.3,451.55,20.1,65.5,1316.5504,0.0,68.5147,146.25,484.3,0.3069,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,72.9403,1000000.0,72.9403,68.5147,0.0,594.0,387.36,0.0,0.0
tme,17,path,,UNLABELED,153.49,517.05,156.3,507.9,2.81,9.15,25.7115,8.1007,18.025,154.895,512.475,0.3071,10,1,0,1,rgb,0,0,0,0,none,,,,0.0,78.5226,27.4516,72.9281,9.5718,0.0,594.0,387.36,0.0,10.0372
tme,18,path,,UNLABELED,133.75,523.11,138.65,512.44,4.9,10.67,52.2829,22.8185,20.4338,136.2,517.775,0.4592,6,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.8987,5.0376,102.5421,4.651,0.0,594.0,387.36,0.0,26.1415
tme,19,path,,UNLABELED,143.54,471.94,147.55,469.0,4.01,2.94,11.7894,2.9792,14.6178,145.545,470.47,1.3639,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,170.8056,1.9313,5.5549,4.0289,0.0,594.0,387.36,0.0,5.7172
tme,20,compound,,UNLABELED,144.75,474.1,148.81,470.85,4.06,3.25,13.195,3.5401,17.1938,146.78,472.475,1.2492,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,163.291,1.2415,7.4374,4.0944,0.0,594.0,387.36,0.0,6.3325
tme,21,compound,,UNLABELED,145.52,477.06,149.55,474.39,4.03,2.67,10.7601,3.8117,18.0675,147.535,475.725,1.5094,45,2,0,1,rgb,0,0,0,0,none,,,,0.0,164.9814,3.0519,162.8973,3.5364,0.0,594.0,387.36,0.0,7.0732
tme,22,path,,UNLABELED,147.2,482.32,151.08,479.35,3.88,2.97,11.5236,3.0825,15.9169,149.14,480.835,1.3064,47,1,0,1,rgb,0,0,0,0,none,,,,0.0,173.8243,1.9547,124.1391,2.4768,0.0,594.0,387.36,0.0,7.6842
tme,23,path,,UNLABELED,150.9,482.68,151.42,482.16,0.52,0.52,0.2704,0.209,1.6318,151.16,482.42,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,163.7338,1.1081,63.4332,0.1118,0.0,594.0,387.36,0.0,0.209
tme,24,path,,UNLABELED,148.4,486.23,152.28,483.26,3.88,2.97,11.5236,3.082,15.9139,150.34,484.745,1.3064,47,1,0,1,rgb,0,0,0,0,none,,,,0.0,173.8876,1.9544,124.1391,2.4768,0.0,594.0,387.36,0.0,7.6751
tme,25,compound,,UNLABELED,149.22,488.22,150.83,486.61,1.61,1.61,2.5921,1.4356,7.7111,150.025,487.415,1.0,34,2,0,1,rgb,0,0,0,0,none,,,,0.0,162.7848,1.1171,81.3839,0.3338,0.0,594.0,387.36,0.0,1.995
tme,26,path,,UNLABELED,150.46,493.37,154.4,490.49,3.94,2.88,11.3472,3.3192,16.702,152.43,491.93,1.3681,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,155.3269,2.6748,162.8973,3.5364,0.0,594.0,387.36,0.0,6.8016
tme,27,path,,UNLABELED,345.44,546.65,367.05,523.02,21.61,23.63,510.6439,510.6439,90.48,356.245,534.835,0.9145,5,1,0,0,none,,,,1,rgb,0,0,0,0.39,120.8847,1.4643,90.0,23.63,0.0,594.0,387.36,0.0,510.6439
tme,28,path,,UNLABELED,18.04,549.11,369.32,44.72,351.28,504.39,177182.1276,177182.1276,1711.34,193.68,296.915,0.6964,5,1,0,0,none,,,,1,rgb,0,0,0,0.39,102.133,2.2278,90.0,504.39,0.0,594.0,387.36,0.0,177182.1276
tme,29,path,,UNLABELED,248.73,502.85,260.25,94.77,11.52,408.08,4701.0832,2548.383,822.3087,254.49,298.81,0.0282,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.7407,4268.3118,90.7414,408.0342,0.0,594.0,387.36,0.0,2548.383
