airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
tnx,0,path,,UNLABELED,17.651,550.632,370.229,43.348,352.578,507.284,178857.1794,178857.1794,1719.724,193.94,296.99,0.695,5,1,0,0,none,,,,1,rgb,0,0,0,0.84,102.0704,2.236,90.0,507.284,0.0,593.0,387.0,0.0,178857.1794
tnx,1,path,,UNLABELED,44.279,527.251,65.067,492.552,20.788,34.699,721.3228,193.832,77.6062,54.673,509.9015,0.5991,7,1,0,1,rgb,230,230,230,0,none,,,,0.0,115.9748,37.9573,116.2865,21.7992,0.0,593.0,387.0,0.0,194.0127
tnx,2,path,,UNLABELED,69.26,511.267,94.88,497.04,25.62,14.227,364.4957,85.9785,54.9987,82.07,504.1535,1.8008,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,26.5151,54.1491,26.7419,28.6884,0.0,593.0,387.0,0.0,85.9785
tnx,3,path,,UNLABELED,65.066,509.95,293.917,126.719,228.851,383.231,87702.798,1325.6725,927.7707,179.4915,318.3345,0.5972,70,1,0,1,rgb,230,230,230,0,none,,,,0.0,118.2152,271.0193,116.5277,83.6307,0.0,593.0,387.0,0.0,10054.5175
tnx,4,path,,UNLABELED,65.0,460.541,77.598,453.136,12.598,7.405,93.2882,52.785,25.5555,71.299,456.8385,1.7013,6,1,0,1,rgb,230,230,230,0,none,,,,0.0,7.3664,3.3944,25.2978,10.3739,0.0,593.0,387.0,0.0,58.1693
tnx,5,path,,UNLABELED,81.31,471.331,91.962,460.221,10.652,11.11,118.3437,54.0046,29.445,86.636,465.776,0.9588,6,1,0,1,rgb,230,230,230,0,none,,,,0.0,45.0435,3.2561,27.637,10.4944,0.0,593.0,387.0,0.0,59.2264
tnx,6,path,,UNLABELED,120.868,399.929,157.573,374.627,36.705,25.302,928.71,117.5195,87.4831,139.2205,387.278,1.4507,29,1,0,1,rgb,230,230,230,0,none,,,,0.0,26.5966,29.4724,25.3203,13.3605,0.0,593.0,387.0,0.0,362.9548
tnx,7,path,,UNLABELED,175.605,290.555,212.152,266.349,36.547,24.206,884.6564,106.3728,87.8912,193.8785,278.452,1.5098,26,1,0,1,rgb,230,230,230,0,none,,,,0.0,26.4342,31.1306,26.7549,15.6584,0.0,593.0,387.0,0.0,338.4418
tnx,8,path,,UNLABELED,186.383,290.831,197.456,277.644,11.073,13.187,146.0194,39.6598,38.3233,191.9195,284.2375,0.8397,22,1,0,1,rgb,230,230,230,0,none,,,,0.0,113.6663,2.6998,27.5566,8.5015,0.0,593.0,387.0,0.0,78.7849
tnx,9,path,,UNLABELED,210.106,296.297,222.398,283.372,12.292,12.925,158.8744,39.8904,43.2704,216.252,289.8345,0.951,21,1,0,1,rgb,230,230,230,0,none,,,,0.0,50.2749,1.1308,115.3311,9.9685,0.0,593.0,387.0,0.0,88.2692
tnx,10,path,,UNLABELED,184.096,295.993,191.699,288.066,7.603,7.927,60.269,33.8575,17.2985,187.8975,292.0295,0.9591,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,69.2549,1.0892,112.8397,5.892,0.0,593.0,387.0,0.0,33.8575
tnx,11,path,,UNLABELED,243.72,233.7,263.573,217.071,19.853,16.629,330.136,60.4579,60.4325,253.6465,225.3855,1.1939,24,1,0,1,rgb,230,230,230,0,none,,,,0.0,27.2839,6.7059,26.698,10.6035,0.0,593.0,387.0,0.0,167.0823
tnx,12,compound,,UNLABELED,205.166,331.125,266.048,240.342,60.882,90.783,5527.0503,1383.7985,534.2985,235.607,285.7335,0.6706,64,6,0,1,rgb,230,230,230,0,none,,,,0.0,119.9767,20.1857,117.1248,39.6925,0.0,593.0,387.0,0.0,2328.3529
